player_name,age,position,club_involved,fee,transfer_period,year,season
Siniša Mihajlović,23,Centre-Back,Red Star,4500000.0,Summer,1992,1992/1993
Dario Rossi,19,defence,Ternana,0.0,Summer,1992,1992/1993
Claudio Caniggia,25,Right Winger,Atalanta,0.0,Summer,1992,1992/1993
Fabio Petruzzi,21,Centre-Back,Casertana,0.0,Summer,1992,1992/1993
Rudi Völler,32,Centre-Forward,Marseille,0.0,Summer,1992,1992/1993
Stefano Pellegrini,24,Right-Back,Udinese,0.0,Summer,1992,1992/1993
Ferro Tontini,22,Goalkeeper,Catania,0.0,Summer,1992,1992/1993
Fabrizio Di Mauro,27,Defensive Midfield,Fiorentina,0.0,Summer,1992,1992/1993
Gabriele Grossi,20,Left-Back,Lecce,0.0,Summer,1992,1992/1993
Alessio Scarchilli,19,Attacking Midfield,Lecce,0.0,Summer,1992,1992/1993
Andrea Orocini,20,midfield,USC Baracca Lugo 1909,0.0,Summer,1992,1992/1993
Marco De Marchi,25,Centre-Back,Juventus,0.0,Summer,1992,1992/1993
Francesco Totti,16,Second Striker,Roma U19,0.0,Winter,1992,1992/1993
Sebastiano Nela,31,Left-Back,Napoli,0.0,Winter,1992,1992/1993
Emiliano Bernardini,18,defence,Udinese,0.0,Winter,1992,1992/1993
Fabrizio Carli,17,attack,Napoli,0.0,Winter,1992,1992/1993
Fabrizio Lorieri,29,Goalkeeper,Ascoli,0.0,Summer,1993,1993/1994
Walter Lapini,19,attack,Siena,0.0,Summer,1993,1993/1994
Gabriele Grossi,21,Left-Back,Lecce,0.0,Summer,1993,1993/1994
Marco Lanna,24,Centre-Back,Sampdoria,0.0,Summer,1993,1993/1994
Andrea Pazzagli,33,Goalkeeper,Bologna,0.0,Summer,1993,1993/1994
Abel Balbo,27,Centre-Forward,Udinese,0.0,Summer,1993,1993/1994
Alessio Scarchilli,20,Attacking Midfield,Lecce,0.0,Summer,1993,1993/1994
Antonino Bernardini,19,Defensive Midfield,Roma U19,0.0,Summer,1993,1993/1994
Roberto Muzzi,22,Centre-Forward,AC Pisa,-100000.0,Summer,1993,1993/1994
Patrizio Fimiani,20,Goalkeeper,Avezzano,0.0,Summer,1993,1993/1994
Fausto Salsano,33,Right Winger,Sampdoria,0.0,Summer,1993,1993/1994
Dario Rossi,20,defence,Modena,0.0,Summer,1993,1993/1994
Gabriele Grossi,21,Left-Back,Bari,0.0,Summer,1993,1993/1994
Giuseppe Zinetti,35,Goalkeeper,Ascoli,0.0,Summer,1993,1993/1994
Andrea Carnevale,32,Centre-Forward,Udinese,0.0,Summer,1993,1993/1994
Fabio Petruzzi,22,Centre-Back,Udinese,0.0,Summer,1993,1993/1994
Antonio Tempestilli,33,Right-Back,Retired,0.0,Summer,1993,1993/1994
Massimiliano Cappioli,25,Central Midfield,Cagliari Calcio,0.0,Winter,1993,1993/1994
Gianluca Festa,24,Right-Back,Inter,0.0,Winter,1993,1993/1994
Claudio Caniggia,26,Right Winger,Ban,0.0,Winter,1993,1993/1994
Daniel Fonseca,24,Centre-Forward,Napoli,0.0,Summer,1994,1994/1995
Dario Rossi,21,defence,Modena,0.0,Summer,1994,1994/1995
Andrea Borsa,22,Centre-Back,Pistoiese,0.0,Summer,1994,1994/1995
Ferro Tontini,24,Goalkeeper,Modena,0.0,Summer,1994,1994/1995
Francesco Statuto,22,Central Midfield,Udinese,0.0,Summer,1994,1994/1995
Francesco Moriero,25,Right Winger,Cagliari Calcio,0.0,Summer,1994,1994/1995
Jonas Thern,27,Central Midfield,Napoli,0.0,Summer,1994,1994/1995
Francesco Colonnese,22,Centre-Back,Cremonese,0.0,Summer,1994,1994/1995
Giampiero Maini,22,Defensive Midfield,Ascoli,0.0,Summer,1994,1994/1995
Andrea Cupi,18,Centre-Back,Roma U19,0.0,Summer,1994,1994/1995
Giampaolo Di Magno,20,Goalkeeper,Roma U19,0.0,Summer,1994,1994/1995
Lorenzo Stovini,17,Centre-Back,Roma U19,0.0,Summer,1994,1994/1995
Sandro Mazzoni,20,midfield,Roma U19,0.0,Summer,1994,1994/1995
Siniša Mihajlović,25,Centre-Back,Sampdoria,-6000000.0,Summer,1994,1994/1995
Thomas Häßler,28,Attacking Midfield,Karlsruher SC,-3700000.0,Summer,1994,1994/1995
Roberto Muzzi,23,Centre-Forward,Cagliari Calcio,0.0,Summer,1994,1994/1995
Walter Lapini,20,attack,Siena,0.0,Summer,1994,1994/1995
Steven Torbidoni,19,midfield,Reggina,0.0,Summer,1994,1994/1995
Emilio Pellegrino,19,defence,Unknown,0.0,Summer,1994,1994/1995
Dario Rossi,21,defence,Lecce,0.0,Summer,1994,1994/1995
Antonio Comi,29,Centre-Back,Como,0.0,Summer,1994,1994/1995
Valter Bonacina,29,Defensive Midfield,Atalanta BC,0.0,Summer,1994,1994/1995
Andrea Pazzagli,34,Goalkeeper,Prato,0.0,Summer,1994,1994/1995
Ruggiero Rizzitelli,26,Centre-Forward,Torino,0.0,Summer,1994,1994/1995
Alessio Scarchilli,21,Attacking Midfield,Udinese,0.0,Summer,1994,1994/1995
Daniele Berretta,22,Defensive Midfield,Cagliari Calcio,0.0,Summer,1994,1994/1995
Antonino Bernardini,20,Defensive Midfield,Torino,0.0,Summer,1994,1994/1995
Gianluca Festa,25,Right-Back,Inter,0.0,Summer,1994,1994/1995
Marco Branca,29,Centre-Forward,AC Parma,0.0,Winter,1994,1994/1995
Ferro Tontini,25,Goalkeeper,Lucchese,0.0,Winter,1994,1994/1995
Luigi Di Biagio,24,Defensive Midfield,Foggia,0.0,Summer,1995,1995/1996
Giorgio Sterchele,25,Goalkeeper,Vicenza,0.0,Summer,1995,1995/1996
Enrico Annoni,28,Right-Back,Torino,0.0,Summer,1995,1995/1996
Alessio Scarchilli,22,Attacking Midfield,Udinese,0.0,Summer,1995,1995/1996
Gianluca Cherubini,21,Right-Back,Reggiana,0.0,Summer,1995,1995/1996
Franco Florio,19,Central Midfield,Cosenza,0.0,Summer,1995,1995/1996
Lampros Choutos,15,Centre-Forward,Roma U19,0.0,Summer,1995,1995/1996
Giampiero Maini,23,Defensive Midfield,Vicenza,0.0,Summer,1995,1995/1996
Francesco Colonnese,23,Centre-Back,Napoli,0.0,Summer,1995,1995/1996
Marco Branca,30,Centre-Forward,Inter,0.0,Summer,1995,1995/1996
Fabrizio Lorieri,31,Goalkeeper,Lecce,0.0,Summer,1995,1995/1996
Silvano Benedetti,29,defence,Alessandria,0.0,Summer,1995,1995/1996
Andrea Borsa,23,Centre-Back,SPAL,0.0,Summer,1995,1995/1996
Giovanni Piacentini,27,Defensive Midfield,Fiorentina,0.0,Summer,1995,1995/1996
Katamba Mukeba,15,defence,Retired,0.0,Summer,1995,1995/1996
Sandro Mazzoni,21,midfield,Acireale,0.0,Summer,1995,1995/1996
Marco Delvecchio,22,Centre-Forward,Inter,5000000.0,Winter,1995,1995/1996
Gabriele Grossi,23,Left-Back,Vicenza,0.0,Winter,1995,1995/1996
Martin Dahlin,28,Centre-Forward,Bor. M'gladbach,2500000.0,Summer,1996,1996/1997
Damiano Tommasi,22,Defensive Midfield,Hellas Verona,0.0,Summer,1996,1996/1997
Roberto Trotta,27,Centre-Back,Vélez Sarsfield,0.0,Summer,1996,1996/1997
Daniele Conti,17,Defensive Midfield,Roma U19,0.0,Summer,1996,1996/1997
Alessio Scarchilli,23,Attacking Midfield,Torino,0.0,Summer,1996,1996/1997
Andrea Cupi,20,Centre-Back,Cisco Lodigiani,0.0,Summer,1996,1996/1997
Giuseppe Giannini,31,Attacking Midfield,Sturm Graz,0.0,Summer,1996,1996/1997
Gabriele Grossi,24,Left-Back,Reggiana,0.0,Summer,1996,1996/1997
Gianluca Cherubini,22,Right-Back,Reggiana,0.0,Summer,1996,1996/1997
Franco Florio,20,Central Midfield,Cosenza,0.0,Summer,1996,1996/1997
Vincent Candela,23,Left-Back,Guingamp,9600000.0,Winter,1996,1996/1997
Omari Tetradze,27,Right-Back,Spartak V-kavkaz,0.0,Winter,1996,1996/1997
Gianluca Berti,29,Goalkeeper,Genoa,0.0,Winter,1996,1996/1997
Matteo Pivotto,22,Right-Back,Carpi,0.0,Winter,1996,1996/1997
Martin Dahlin,28,Centre-Forward,Bor. M'gladbach,-750000.0,Winter,1996,1996/1997
Daniele Berretta,24,Defensive Midfield,Cagliari Calcio,0.0,Winter,1996,1996/1997
Massimiliano Cappioli,28,Central Midfield,Udinese,0.0,Winter,1996,1996/1997
Giorgio Sterchele,27,Goalkeeper,Cagliari Calcio,0.0,Winter,1996,1996/1997
Roberto Trotta,27,Centre-Back,River Plate,0.0,Winter,1996,1996/1997
Cafú,27,Right-Back,Palmeiras,7600000.0,Summer,1997,1997/1998
Vágner,24,Defensive Midfield,Santos FC,5000000.0,Summer,1997,1997/1998
Paulo Sérgio,28,Left Winger,Bay. Leverkusen,3500000.0,Summer,1997,1997/1998
César Gómez,29,Centre-Back,CD Tenerife,3500000.0,Summer,1997,1997/1998
Antonio Chimenti,27,Goalkeeper,Salernitana,1550000.0,Summer,1997,1997/1998
Giorgio Lucenti,21,Right-Back,US Palermo,1000000.0,Summer,1997,1997/1998
Iván Helguera,22,Centre-Back,Albacete,200000.0,Summer,1997,1997/1998
Michael Konsel,35,Goalkeeper,Rapid Vienna,0.0,Summer,1997,1997/1998
Giorgio Sterchele,27,Goalkeeper,Cagliari Calcio,0.0,Summer,1997,1997/1998
Cristiano Scapolo,26,Attacking Midfield,Bologna,0.0,Summer,1997,1997/1998
Filippo Dal Moro,26,Left-Back,Empoli,0.0,Summer,1997,1997/1998
Cristian Servidei,24,Centre-Back,Lecce,0.0,Summer,1997,1997/1998
Eusebio Di Francesco,27,Central Midfield,Piacenza,0.0,Summer,1997,1997/1998
Andrea Campagnolo,19,Goalkeeper,Cittadella,0.0,Summer,1997,1997/1998
Francesco Colonnese,25,Centre-Back,Napoli,0.0,Summer,1997,1997/1998
Carmine Gautieri,26,Right Winger,Perugia,0.0,Summer,1997,1997/1998
Andrea Conti,19,Right Winger,Roma U19,0.0,Summer,1997,1997/1998
Manuele Blasi,16,Central Midfield,Roma U19,0.0,Summer,1997,1997/1998
Stefano Fanucci,18,Centre-Back,Roma U19,0.0,Summer,1997,1997/1998
Daniele De Vezze,17,Central Midfield,Roma U19,0.0,Summer,1997,1997/1998
Daniel Fonseca,27,Centre-Forward,Juventus,-4700000.0,Summer,1997,1997/1998
Amedeo Carboni,32,Left-Back,Valencia,-4000000.0,Summer,1997,1997/1998
Martin Dahlin,29,Centre-Forward,Blackburn,-3000000.0,Summer,1997,1997/1998
Gianluca Berti,30,Goalkeeper,Reggiana,0.0,Summer,1997,1997/1998
Giampaolo Di Magno,23,Goalkeeper,Carpi,0.0,Summer,1997,1997/1998
Giovanni Cervone,34,Goalkeeper,Brescia,0.0,Summer,1997,1997/1998
Marco Lanna,28,Centre-Back,UD Salamanca,0.0,Summer,1997,1997/1998
Enrico Annoni,30,Right-Back,Celtic,0.0,Summer,1997,1997/1998
Francesco Statuto,26,Central Midfield,Udinese,0.0,Summer,1997,1997/1998
Francesco Moriero,28,Right Winger,Milan,0.0,Summer,1997,1997/1998
Andrea Conti,19,Right Winger,Carpi,0.0,Summer,1997,1997/1998
Jonas Thern,30,Central Midfield,Rangers,0.0,Summer,1997,1997/1998
Antonino Bernardini,23,Defensive Midfield,Perugia,0.0,Summer,1997,1997/1998
Lorenzo Stovini,20,Centre-Back,Vicenza,0.0,Summer,1997,1997/1998
Giorgio Sterchele,27,Goalkeeper,Bologna,0.0,Summer,1997,1997/1998
Iván Helguera,22,Centre-Back,Espanyol,-4500000.0,Winter,1997,1997/1998
Francesco Colonnese,26,Centre-Back,Inter,-1500000.0,Winter,1997,1997/1998
Giorgio Lucenti,22,Right-Back,Empoli,-800000.0,Winter,1997,1997/1998
Fábio Júnior,20,Centre-Forward,Cruzeiro,13800000.0,Summer,1998,1998/1999
Dmitri Alenichev,25,Central Midfield,Spartak Moscow,6150000.0,Summer,1998,1998/1999
Antônio Carlos Zago,29,Centre-Back,Corinthians,3500000.0,Summer,1998,1998/1999
Ivan Tomic,22,Defensive Midfield,Partizan,0.0,Summer,1998,1998/1999
Pierre Womé,19,Left-Back,Lucchese,0.0,Summer,1998,1998/1999
Gustavo Bartelt,23,Centre-Forward,Lanús,0.0,Summer,1998,1998/1999
Alessandro Frau,21,Attacking Midfield,Torres,0.0,Summer,1998,1998/1999
Vágner,25,Defensive Midfield,Vasco da Gama,-450000.0,Summer,1998,1998/1999
Manuele Blasi,17,Central Midfield,Lecce,0.0,Summer,1998,1998/1999
Stefano Fanucci,19,Centre-Back,Teramo,0.0,Summer,1998,1998/1999
Abel Balbo,32,Centre-Forward,AC Parma,0.0,Summer,1998,1998/1999
Cristiano Scapolo,27,Attacking Midfield,Napoli,0.0,Summer,1998,1998/1999
Filippo Dal Moro,27,Left-Back,Ternana,0.0,Summer,1998,1998/1999
Marvin Ficarra,18,Goalkeeper,Fano,0.0,Summer,1998,1998/1999
Matteo Pivotto,24,Right-Back,Chievo Verona,0.0,Winter,1998,1998/1999
Cristian Servidei,26,Centre-Back,Ternana,0.0,Winter,1998,1998/1999
Daniele Bordacconi,20,midfield,Foggia,0.0,Winter,1998,1998/1999
Giorgio Sterchele,29,Goalkeeper,Ternana,0.0,Winter,1998,1998/1999
Vincenzo Montella,25,Centre-Forward,Sampdoria,25820000.0,Summer,1999,1999/2000
Sergey Gurenko,26,Right-Back,Loko Moscow,5450000.0,Summer,1999,1999/2000
Joseph Dayo Oshadogan,23,Centre-Back,Foggia,550000.0,Summer,1999,1999/2000
Nesat Gülünoglu,20,Attacking Midfield,VfL Bochum,0.0,Summer,1999,1999/2000
Alessandro Rinaldi,24,Right-Back,Bologna,0.0,Summer,1999,1999/2000
Cristiano Zanetti,22,Defensive Midfield,Cagliari Calcio,0.0,Summer,1999,1999/2000
Giuseppe Colucci,18,Central Midfield,Foggia,0.0,Summer,1999,1999/2000
Amedeo Mangone,30,Centre-Back,Bologna,0.0,Summer,1999,1999/2000
Cristiano Lupatelli,21,Goalkeeper,Andria,0.0,Summer,1999,1999/2000
Francesco Antonioli,29,Goalkeeper,Bologna,0.0,Summer,1999,1999/2000
Marcos Assunção,22,Central Midfield,Flamengo,0.0,Summer,1999,1999/2000
Luca Ferri,19,Right-Back,Roma U19,0.0,Summer,1999,1999/2000
Paulo Sérgio,30,Left Winger,Bayern Munich,-6600000.0,Summer,1999,1999/2000
Daniele Conti,20,Defensive Midfield,Cagliari Calcio,-650000.0,Summer,1999,1999/2000
Vágner,26,Defensive Midfield,São Paulo,-251000.0,Summer,1999,1999/2000
Michael Konsel,37,Goalkeeper,AC Venezia 1907,0.0,Summer,1999,1999/2000
Omari Tetradze,29,Right-Back,PAOK Salonika,0.0,Summer,1999,1999/2000
Luigi Di Biagio,28,Defensive Midfield,Inter,0.0,Summer,1999,1999/2000
Pierre Womé,20,Left-Back,Bologna,0.0,Summer,1999,1999/2000
Antonio Chimenti,29,Goalkeeper,Lecce,0.0,Summer,1999,1999/2000
Carmine Gautieri,29,Right Winger,Piacenza,0.0,Summer,1999,1999/2000
Joseph Dayo Oshadogan,23,Centre-Back,Reggina,0.0,Summer,1999,1999/2000
