player_name,age,position,club_involved,fee,transfer_period,year,season
Sergio Zárate,23,Centre-Forward,1.FC Nuremberg,350000.0,Summer,1992,1992/1993
Nicola Caccia,22,Centre-Forward,Modena,0.0,Summer,1992,1992/1993
Lajos Détári,29,Attacking Midfield,Bologna,0.0,Summer,1992,1992/1993
Massimo Agostini,28,Centre-Forward,AC Parma,0.0,Summer,1992,1992/1993
Felice Centofanti,23,Left-Back,Palermo,0.0,Summer,1992,1992/1993
Oscar Ruggeri,30,Centre-Back,Vélez Sarsfield,0.0,Summer,1992,1992/1993
Paolo Cangini,24,midfield,Rimini,0.0,Summer,1992,1992/1993
Luca Bertarelli,18,attack,Riccione Vacanze,0.0,Summer,1992,1992/1993
Mauro Bertarelli,21,attack,Sampdoria,0.0,Summer,1992,1992/1993
Eupremio Carruezzo,22,Centre-Forward,Calcio Monza,0.0,Summer,1992,1992/1993
Gianluca De Angelis,24,midfield,Barletta CS,0.0,Summer,1992,1992/1993
Sandro Tovalieri,27,Centre-Forward,Bari,0.0,Summer,1992,1992/1993
Aureliano Modesti,18,midfield,Fano,0.0,Summer,1992,1992/1993
Paolo Siroti,22,defence,Alessandria,0.0,Summer,1992,1992/1993
Paolo Cangini,25,midfield,Andria,0.0,Summer,1992,1992/1993
Milos Glonek,24,Centre-Back,Slo. Bratislava,0.0,Winter,1992,1992/1993
Giovanni Deogratias,32,Centre-Back,Messina,0.0,Winter,1992,1992/1993
Stefano Lombardi,26,Centre-Back,Inter,115000.0,Summer,2003,2003/2004
Dario Hübner,36,Centre-Forward,Piacenza,0.0,Summer,2003,2003/2004
Milan Rapaic,29,Left Midfield,Hajduk Split,0.0,Summer,2003,2003/2004
Mads Jørgensen,24,Right Midfield,Bröndby IF,0.0,Summer,2003,2003/2004
Daniel Andersson,25,Defensive Midfield,AC Venezia 1907,0.0,Summer,2003,2003/2004
Sergio Marcon,32,Goalkeeper,Ternana,0.0,Summer,2003,2003/2004
Goran Pandev,19,Second Striker,Inter,0.0,Summer,2003,2003/2004
Daniele Berretta,31,Defensive Midfield,Atalanta BC,0.0,Summer,2003,2003/2004
Fábio Bilica,24,Centre-Back,Brescia,0.0,Summer,2003,2003/2004
Giovanni Goracci,18,midfield,Unknown,0.0,Summer,2003,2003/2004
Andrea Sussi,29,Left-Back,Ternana,0.0,Summer,2003,2003/2004
Ivano Cortelli,23,Goalkeeper,Unknown,0.0,Summer,2003,2003/2004
Alessio Scarpi,30,Goalkeeper,Inter,0.0,Summer,2003,2003/2004
Vincenzo Sommese,27,Right Winger,Torino,0.0,Summer,2003,2003/2004
Paolo Poggi,32,Centre-Forward,AC Parma,0.0,Summer,2003,2003/2004
Mauro Milanese,31,Left-Back,Perugia,0.0,Summer,2003,2003/2004
Marco Esposito,23,Centre-Back,Cittadella,0.0,Summer,2003,2003/2004
Eusebio Di Francesco,33,Central Midfield,Piacenza,0.0,Summer,2003,2003/2004
Davide Carrus,24,Defensive Midfield,Cagliari Calcio,0.0,Summer,2003,2003/2004
Salvatore Bruno,23,Centre-Forward,Chievo Verona,0.0,Summer,2003,2003/2004
William Viali,28,Centre-Back,US Palermo,0.0,Summer,2003,2003/2004
Marco Schenardi,35,Right Midfield,Narnese Calcio,0.0,Summer,2003,2003/2004
Giuseppe Vives,22,Defensive Midfield,Giugliano,0.0,Summer,2003,2003/2004
Stefano Mundula,27,midfield,Cesena,0.0,Summer,2003,2003/2004
Pier Graziano Gori,23,Goalkeeper,Fermana,0.0,Summer,2003,2003/2004
Tiziano De Patre,34,Left Midfield,Giulianova,0.0,Summer,2003,2003/2004
Oscar Magoni,35,Defensive Midfield,Triestina,0.0,Summer,2003,2003/2004
Alessio D'Imporzano,20,midfield,Castel di Sangro,0.0,Summer,2003,2003/2004
Francesco Mignogna,19,Left Winger,Taranto,0.0,Summer,2003,2003/2004
Francesco Montervino,25,Central Midfield,Napoli,0.0,Summer,2003,2003/2004
Mattia Graffiedi,23,Centre-Forward,Fiorentina,0.0,Summer,2003,2003/2004
Patrick Kalambay,19,Right Midfield,AC Milan,0.0,Summer,2003,2003/2004
Massimiliano Scaglia,26,Left-Back,Fiorentina,0.0,Summer,2003,2003/2004
Emiliano Tarana,24,Right Winger,Piacenza,0.0,Summer,2003,2003/2004
Giacomo Dicara,33,Centre-Back,Pescara,0.0,Summer,2003,2003/2004
Andrea Mussi,25,Centre-Forward,Varese,0.0,Summer,2003,2003/2004
Raffaele Costantino,27,attack,Retired,0.0,Summer,2003,2003/2004
Dmytro Koltsov,21,midfield,Unknown,0.0,Summer,2003,2003/2004
Luca Antonini,20,Left-Back,AC Milan,0.0,Summer,2003,2003/2004
Alessio Scarpi,30,Goalkeeper,Inter,0.0,Summer,2003,2003/2004
Stefano Lombardi,26,Centre-Back,Inter,0.0,Summer,2003,2003/2004
Anselmo Robbiati,33,Left Winger,Inter,0.0,Summer,2003,2003/2004
Giovanni Passiglia,21,Defensive Midfield,Arezzo,0.0,Summer,2003,2003/2004
Dejan Robnik,18,Centre-Forward,Inter U19,0.0,Summer,2003,2003/2004
Stanley Ibe,18,Centre-Forward,Genoa U19,0.0,Summer,2003,2003/2004
Mohamed Sarr,19,Centre-Back,AC Milan,0.0,Summer,2003,2003/2004
Igor Budan,23,Centre-Forward,US Palermo,0.0,Summer,2003,2003/2004
Jardel,30,Centre-Forward,Bolton,0.0,Winter,2003,2003/2004
Dino Baggio,32,Defensive Midfield,Lazio,0.0,Winter,2003,2003/2004
Magnus Hedman,30,Goalkeeper,Celtic,0.0,Winter,2003,2003/2004
Emanuele Pesoli,23,Centre-Back,Lupa Frascati,0.0,Winter,2003,2003/2004
Luciano Zavagno,26,Left-Back,Derby,0.0,Winter,2003,2003/2004
Cristian Bucchi,26,Centre-Forward,Cagliari Calcio,0.0,Winter,2003,2003/2004
Sean Sogliano,32,Centre-Back,Napoli,0.0,Winter,2003,2003/2004
Roberto Goretti,27,Defensive Midfield,Reggiana,0.0,Winter,2003,2003/2004
Corrado Grabbi,28,Centre-Forward,Blackburn,0.0,Winter,2003,2003/2004
Luis Helguera,27,Defensive Midfield,Udinese,0.0,Winter,2003,2003/2004
Alessandro Potenza,19,Centre-Back,Inter,0.0,Winter,2003,2003/2004
Luigi Sartor,28,Right-Back,AS Roma,0.0,Winter,2003,2003/2004
Dmytro Koltsov,21,midfield,Ferentino,0.0,Winter,2003,2003/2004
Mads Jørgensen,25,Right Midfield,Stabæk Fotball,0.0,Winter,2003,2003/2004
Dario Hübner,36,Centre-Forward,Perugia,0.0,Winter,2003,2003/2004
Liborio Zuppardo,18,Centre-Forward,Morro d'Oro Calcio,0.0,Winter,2003,2003/2004
Pietro Parente,32,midfield,AC Venezia 1907,0.0,Winter,2003,2003/2004
Roberto Maltagliati,34,Centre-Back,Cagliari Calcio,0.0,Winter,2003,2003/2004
Eusebio Di Francesco,34,Central Midfield,Perugia,0.0,Winter,2003,2003/2004
Fábio Bilica,24,Centre-Back,Goiás EC,0.0,Winter,2003,2003/2004
Salvatore Russo,32,Left-Back,Salernitana,0.0,Winter,2003,2003/2004
Pasquale Luiso,34,Centre-Forward,Catanzaro,0.0,Winter,2003,2003/2004
Paolo Poggi,32,Centre-Forward,AC Venezia 1907,0.0,Winter,2003,2003/2004
Davide Carrus,24,Defensive Midfield,Fiorentina,0.0,Winter,2003,2003/2004
Alessio Scarpi,30,Goalkeeper,Genoa,0.0,Winter,2003,2003/2004
Marco Roccati,28,Goalkeeper,Fiorentina,0.0,Winter,2003,2003/2004
Marko Perovic,31,Attacking Midfield,Napoli,0.0,Winter,2003,2003/2004
Andrea Sussi,29,Left-Back,Bologna,0.0,Winter,2003,2003/2004
Dario Baccin,27,Right-Back,Ascoli,0.0,Winter,2003,2003/2004
Salvatore Bruno,24,Centre-Forward,Chievo Verona,0.0,Winter,2003,2003/2004
Alessandro Potenza,19,Centre-Back,Inter,0.0,Winter,2003,2003/2004
William Viali,29,Centre-Back,US Palermo,0.0,Winter,2003,2003/2004
Sergio Zárate,23,Centre-Forward,1.FC Nuremberg,350000.0,in,Summer,1992,1992/1993
Nicola Caccia,22,Centre-Forward,Modena,0.0,in,Summer,1992,1992/1993
Lajos Détári,29,Attacking Midfield,Bologna,0.0,in,Summer,1992,1992/1993
Massimo Agostini,28,Centre-Forward,AC Parma,0.0,in,Summer,1992,1992/1993
Felice Centofanti,23,Left-Back,Palermo,0.0,in,Summer,1992,1992/1993
Oscar Ruggeri,30,Centre-Back,Vélez Sarsfield,0.0,in,Summer,1992,1992/1993
Paolo Cangini,24,midfield,Rimini,0.0,in,Summer,1992,1992/1993
Luca Bertarelli,18,attack,Riccione Vacanze,0.0,in,Summer,1992,1992/1993
Mauro Bertarelli,21,attack,Sampdoria,0.0,out,Summer,1992,1992/1993
Eupremio Carruezzo,22,Centre-Forward,Calcio Monza,0.0,out,Summer,1992,1992/1993
Gianluca De Angelis,24,midfield,Barletta CS,0.0,out,Summer,1992,1992/1993
Sandro Tovalieri,27,Centre-Forward,Bari,0.0,out,Summer,1992,1992/1993
Aureliano Modesti,18,midfield,Fano,0.0,out,Summer,1992,1992/1993
Paolo Siroti,22,defence,Alessandria,0.0,out,Summer,1992,1992/1993
Paolo Cangini,25,midfield,Andria,0.0,out,Summer,1992,1992/1993
Milos Glonek,24,Centre-Back,Slo. Bratislava,0.0,in,Winter,1992,1992/1993
Giovanni Deogratias,32,Centre-Back,Messina,0.0,out,Winter,1992,1992/1993
Stefano Lombardi,26,Centre-Back,Inter,115000.0,in,Summer,2003,2003/2004
