player_name,age,position,club_involved,fee,transfer_period,year,season
Igor Shalimov,27,Attacking Midfield,Udinese,4000000.0,Summer,1996,1996/1997
Giancarlo Marocchi,30,Central Midfield,Juventus,0.0,Summer,1996,1996/1997
Andrea Seno,30,Central Midfield,Inter,0.0,Summer,1996,1996/1997
Francesco Gnudi,24,Goalkeeper,USC Baracca Lugo 1909,0.0,Summer,1996,1996/1997
Oscar Magoni,28,Defensive Midfield,Genoa,0.0,Summer,1996,1996/1997
Kennet Andersson,28,Centre-Forward,Bari,0.0,Summer,1996,1996/1997
Pierpaolo Bresciani,25,Right Winger,Foggia,0.0,Summer,1996,1996/1997
Cristiano Pavone,24,Left-Back,Atalanta BC,0.0,Summer,1996,1996/1997
Davide Fontolan,30,Left Midfield,Inter,0.0,Summer,1996,1996/1997
Giuseppe Anaclerio,22,Defensive Midfield,SPAL,0.0,Summer,1996,1996/1997
Alex Brunner,22,Goalkeeper,Foggia,0.0,Summer,1996,1996/1997
Igor Kolyvanov,28,Left Winger,Foggia,0.0,Summer,1996,1996/1997
Giuseppe Cardone,22,Right-Back,Milan,0.0,Summer,1996,1996/1997
Claudio Gallicchio,19,attack,Carpi,0.0,Summer,1996,1996/1997
Roberto Savi,32,Central Midfield,Fiorenzuola,0.0,Summer,1996,1996/1997
Gian Luca Presicci,31,Centre-Back,Fiorenzuola,0.0,Summer,1996,1996/1997
Dario Morello,28,Centre-Forward,Genoa,0.0,Summer,1996,1996/1997
Giorgio Bresciani,27,Centre-Forward,Cremonese,0.0,Summer,1996,1996/1997
Rosario Pergolizzi,27,Left-Back,Brescia,0.0,Summer,1996,1996/1997
Giovanni Cornacchini,30,Centre-Forward,Vicenza,0.0,Summer,1996,1996/1997
Fabio Marchioro,28,Goalkeeper,Pavia,0.0,Summer,1996,1996/1997
Giovanni Bosi,26,Defensive Midfield,Cesena,0.0,Summer,1996,1996/1997
Fabian Natale Valtolina,25,Left Winger,Piacenza,0.0,Summer,1996,1996/1997
Cristiano Doni,23,Attacking Midfield,Brescia,0.0,Summer,1996,1996/1997
Guido Delcogliano,19,midfield,Retired,0.0,Summer,1996,1996/1997
Stefano Lombardi,19,Centre-Back,Treviso,0.0,Summer,1996,1996/1997
Massimo Brambilla,23,Central Midfield,AC Parma,0.0,Winter,1996,1996/1997
Amedeo Mangone,28,Centre-Back,Bari,0.0,Winter,1996,1996/1997
Marco Schenardi,28,Right Midfield,Reggiana,0.0,Winter,1996,1996/1997
Davide Olivares,25,midfield,Bari,0.0,Winter,1996,1996/1997
Roberto Baggio,30,Second Striker,Milan,1800000.0,Summer,1997,1997/1998
Massimo Paganin,26,Centre-Back,Inter,0.0,Summer,1997,1997/1998
Massimo Tarantino,26,Left-Back,Inter,0.0,Summer,1997,1997/1998
Antonio Foschini,19,Right-Back,Taranto,0.0,Summer,1997,1997/1998
Daniele Carnasciali,30,Right-Back,Fiorentina,0.0,Summer,1997,1997/1998
Giovanni Dall'Igna,24,Right-Back,Cremonese,0.0,Summer,1997,1997/1998
Mauro Bonomi,24,Centre-Back,Cesena,0.0,Summer,1997,1997/1998
