player_name,age,position,club_involved,fee,transfer_period,year,season
Luis Oliveira,23,Centre-Forward,RSC Anderlecht,3000000.0,Summer,1992,1992/1993
Giuseppe Pancaro,20,Right-Back,Avezzano,0.0,Summer,1992,1992/1993
Guido Nanni,24,Goalkeeper,Ischia,0.0,Summer,1992,1992/1993
Marco Sanna,22,Central Midfield,Tempio,0.0,Summer,1992,1992/1993
Giorgio Bresciani,23,Centre-Forward,Torino,0.0,Summer,1992,1992/1993
Vittorio Pusceddu,28,Left-Back,Napoli,0.0,Summer,1992,1992/1993
Francesco Moriero,23,Right Winger,Lecce,0.0,Summer,1992,1992/1993
Marcelo Tejera,18,Central Midfield,Defensor,0.0,Summer,1992,1992/1993
Emilio Budruni,22,attack,Ischia,0.0,Summer,1992,1992/1993
James Walter Wilson,20,Defensive Midfield,Avezzano,0.0,Summer,1992,1992/1993
Flavio Chiti,22,Right-Back,AC Venezia 1907,0.0,Summer,1992,1992/1993
Andrea Pistella,26,Centre-Forward,Lucchese,0.0,Summer,1992,1992/1993
Stefano Mobili,23,Attacking Midfield,Modena,0.0,Summer,1992,1992/1993
Mauro Nardini,28,Right Winger,Andria,0.0,Summer,1992,1992/1993
Alfonso Greco,23,Central Midfield,Catania,0.0,Summer,1992,1992/1993
Giorgio Bresciani,23,Centre-Forward,Napoli,0.0,Summer,1992,1992/1993
Pierluigi Corellas,20,attack,Centese,0.0,Summer,1992,1992/1993
Daniel Fonseca,22,Centre-Forward,Napoli,0.0,Summer,1992,1992/1993
Luigi Pili,20,midfield,Unknown,0.0,Summer,1992,1992/1993
Francesco Bellucci,19,Centre-Back,Bari,0.0,Winter,1992,1992/1993
Massimiliano Allegri,25,Central Midfield,Pescara,2500000.0,Summer,1993,1993/1994
Valerio Fiori,24,Goalkeeper,Lazio,0.0,Summer,1993,1993/1994
Julio Dely Valdés,26,Centre-Forward,Nacional,0.0,Summer,1993,1993/1994
Simone Veronese,18,Right-Back,Inter,0.0,Summer,1993,1993/1994
Antonio Aloisi,24,defence,Torino,0.0,Summer,1993,1993/1994
Felice Falaguerra,22,attack,Ischia,0.0,Summer,1993,1993/1994
Nunzio La Torre,20,midfield,Catania,0.0,Summer,1993,1993/1994
Marcelo Tejera,19,Central Midfield,Boca Juniors,0.0,Summer,1993,1993/1994
Gianluca Festa,24,Right-Back,Inter,0.0,Summer,1993,1993/1994
Mario Ielpo,30,Goalkeeper,Milan,0.0,Summer,1993,1993/1994
Gianluca Gaudenzi,27,midfield,Pescara,0.0,Summer,1993,1993/1994
Enzo Francescoli,31,Centre-Forward,Torino,0.0,Summer,1993,1993/1994
Guido Nanni,25,Goalkeeper,Unknown,0.0,Summer,1993,1993/1994
Felice Falaguerra,22,attack,Olbia,0.0,Summer,1993,1993/1994
Dario Marcolin,22,Defensive Midfield,Lazio,0.0,Winter,1993,1993/1994
Massimiliano Cappioli,25,Central Midfield,AS Roma,0.0,Winter,1993,1993/1994
Roberto Muzzi,23,Centre-Forward,AS Roma,0.0,Summer,1994,1994/1995
Christian Lantignotti,24,Attacking Midfield,Reggiana,0.0,Summer,1994,1994/1995
Antonio Bitetti,19,Attacking Midfield,Matera,0.0,Summer,1994,1994/1995
Andrea Benassi,18,Right-Back,Massese,0.0,Summer,1994,1994/1995
Luigi Molino,22,attack,Olbia,0.0,Summer,1994,1994/1995
Daniele Berretta,22,Defensive Midfield,AS Roma,0.0,Summer,1994,1994/1995
Francesco Paolo Tribuna,17,attack,Cagliari U19,0.0,Summer,1994,1994/1995
Dario Marcolin,22,Defensive Midfield,Genoa,0.0,Summer,1994,1994/1995
Francesco Moriero,25,Right Winger,AS Roma,0.0,Summer,1994,1994/1995
Gianfranco Matteoli,35,Defensive Midfield,Perugia,0.0,Summer,1994,1994/1995
