player_name,age,position,club_involved,fee,transfer_period,year,season
Mariano Izco,23,Central Midfield,Tigre,60000.0,Summer,2006,2006/2007
Giorgio Corona,32,Centre-Forward,Catanzaro,0.0,Summer,2006,2006/2007
Fausto Rossini,28,Centre-Forward,Udinese,0.0,Summer,2006,2006/2007
Juan Manuel Vargas,22,Left-Back,CA Colon,0.0,Summer,2006,2006/2007
Vincenzo Ferrante,19,Goalkeeper,Paganese,0.0,Summer,2006,2006/2007
Gianvito Plasmati,23,Centre-Forward,Andria,0.0,Summer,2006,2006/2007
Wálter García,22,Centre-Back,Rubin Kazan,0.0,Summer,2006,2006/2007
Gianluca Falsini,30,Left-Back,Siena,0.0,Summer,2006,2006/2007
Lorenzo Stovini,29,Centre-Back,Lecce,0.0,Summer,2006,2006/2007
Mark Edusei,29,Defensive Midfield,Torino,0.0,Summer,2006,2006/2007
Mauro Minelli,25,Centre-Back,UC AlbinoLeffe,0.0,Summer,2006,2006/2007
Francesco Millesi,25,Left Winger,Avellino,0.0,Summer,2006,2006/2007
Giuseppe Colucci,25,Central Midfield,Hellas Verona,0.0,Summer,2006,2006/2007
Gennaro Sardo,27,Right-Back,Piacenza,0.0,Summer,2006,2006/2007
Takayuki Morimoto,18,Centre-Forward,Tokyo Verdy,0.0,Summer,2006,2006/2007
Paolo Bianco,28,Centre-Back,Cagliari Calcio,-700000.0,Summer,2006,2006/2007
Antonino Cardinale,30,Central Midfield,Foggia,0.0,Summer,2006,2006/2007
Ezio Brevi,36,Defensive Midfield,Siena,0.0,Summer,2006,2006/2007
Vito Laudicina,17,Goalkeeper,Unknown,0.0,Summer,2006,2006/2007
Matteo Gritti,19,Centre-Back,Andria,0.0,Summer,2006,2006/2007
Adriano Mezavilla,23,Defensive Midfield,Cesena,0.0,Summer,2006,2006/2007
Orazio Russo,32,Right Winger,Padova,0.0,Summer,2006,2006/2007
Luciano Zavagno,28,Left-Back,Ionikos Nikeas,0.0,Summer,2006,2006/2007
Roberto De Zerbi,27,Attacking Midfield,SSC Napoli,0.0,Summer,2006,2006/2007
Rocco Sabato,24,Left-Back,Cesena,0.0,Summer,2006,2006/2007
Gianvito Plasmati,23,Centre-Forward,FC Crotone,0.0,Summer,2006,2006/2007
Giovanni Marchese,21,Left-Back,Chievo Verona,0.0,Summer,2006,2006/2007
Stefano Dall'Acqua,24,Centre-Forward,Treviso,0.0,Summer,2006,2006/2007
Raffaele Ioime,19,Goalkeeper,Cosenza,0.0,Winter,2006,2006/2007
Marco Biagianti,22,Defensive Midfield,Pro Vasto,0.0,Winter,2006,2006/2007
Maurizio Anastasi,29,Defensive Midfield,Cesena,0.0,Winter,2006,2006/2007
Renato Olive,35,Central Midfield,Bologna,0.0,Winter,2006,2006/2007
Umberto Del Core,27,Centre-Forward,Cesena,0.0,Winter,2006,2006/2007
Wálter García,22,Centre-Back,Quilmes,0.0,Winter,2006,2006/2007
Riccardo Nardini,23,Central Midfield,Reggina,0.0,Winter,2006,2006/2007
Ciro Polito,27,Goalkeeper,Pescara,0.0,Winter,2006,2006/2007
Jorge Martínez,24,Right Winger,Nacional,2000000.0,Summer,2007,2007/2008
Cristian Llama,21,Attacking Midfield,Arsenal Sarandí,1800000.0,Summer,2007,2007/2008
Mirco Antenucci,22,Centre-Forward,Giulianova,0.0,Summer,2007,2007/2008
Albano Bizzarri,29,Goalkeeper,Gimnàstic,0.0,Summer,2007,2007/2008
Takayuki Morimoto,19,Centre-Forward,Tokyo Verdy,0.0,Summer,2007,2007/2008
Marcello Gazzola,22,Right-Back,Torres,0.0,Summer,2007,2007/2008
Babù,26,Right Winger,Lecce,0.0,Summer,2007,2007/2008
Christian Terlizzi,27,Centre-Back,Sampdoria,0.0,Summer,2007,2007/2008
Giacomo Tedesco,31,Central Midfield,Reggina,0.0,Summer,2007,2007/2008
Antonino Profeta,19,Central Midfield,Catania,0.0,Summer,2007,2007/2008
Fabio Caserta,28,Central Midfield,US Palermo,-3600000.0,Summer,2007,2007/2008
Paolo Bianco,29,Centre-Back,Cagliari Calcio,-1300000.0,Summer,2007,2007/2008
Giorgio Lucenti,31,Right-Back,Mantova,-200000.0,Summer,2007,2007/2008
Fausto Rossini,30,Centre-Forward,AS Livorno,0.0,Summer,2007,2007/2008
Giorgio Corona,33,Centre-Forward,Mantova,0.0,Summer,2007,2007/2008
