player_name,age,position,club_involved,fee,transfer_period,year,season
Simone Perrotta,23,Attacking Midfield,Bari,1500000.0,Summer,2001,2001/2002
Cristiano Lupatelli,23,Goalkeeper,AS Roma,1450000.0,Summer,2001,2001/2002
Diomansy Kamara,20,Right Winger,Catanzaro,516000.0,Summer,2001,2001/2002
Marco Ambrosio,28,Goalkeeper,Lucchese,0.0,Summer,2001,2001/2002
Cleiton Da Silva Lima,18,midfield,Fiorentina U19,0.0,Summer,2001,2001/2002
Gioacchino Cavaliere,20,Goalkeeper,Ascoli,0.0,Summer,2001,2001/2002
Francesco Quintavalla,19,Right-Back,Bologna,0.0,Summer,2001,2001/2002
Fabio Firmani,23,Central Midfield,Vicenza,0.0,Summer,2001,2001/2002
Stefano Lorenzi,24,Centre-Back,Atalanta BC,0.0,Summer,2001,2001/2002
Paolo Foglio,25,Right-Back,AC Venezia 1907,0.0,Summer,2001,2001/2002
Jonatan Binotto,26,Right Winger,Inter,0.0,Summer,2001,2001/2002
Daniel Ola,18,Centre-Back,Lazio,0.0,Summer,2001,2001/2002
Jason Mayélé,NA,attack,Without Club,0.0,Summer,2001,2001/2002
Davide Caurla,19,defence,AC Montichiari,0.0,Summer,2001,2001/2002
Maurizio De Pascale,23,defence,AS Gubbio,0.0,Summer,2001,2001/2002
Michele Baldi,29,midfield,Pescara,0.0,Summer,2001,2001/2002
Mauro Zironelli,31,midfield,Modena,0.0,Summer,2001,2001/2002
Salvatore Bruno,21,Centre-Forward,Ascoli,0.0,Summer,2001,2001/2002
Fabio Ferraresi,22,Central Midfield,Castel di Sangro,0.0,Summer,2001,2001/2002
Luca Corradi,20,attack,Poggese Calcio,0.0,Summer,2001,2001/2002
Sergio Marcon,30,Goalkeeper,Ternana,0.0,Summer,2001,2001/2002
Giorgio Frezzolini,25,Goalkeeper,Lecce,0.0,Summer,2001,2001/2002
Enrico Fantini,25,Centre-Forward,Modena,0.0,Summer,2001,2001/2002
Luigi Martinelli,30,Right-Back,Siena,0.0,Summer,2001,2001/2002
Andrea Guerra,28,Defensive Midfield,US Palermo,0.0,Summer,2001,2001/2002
Paolo Codognola,20,Goalkeeper,Poggese Calcio,0.0,Summer,2001,2001/2002
Andrea Zanchetta,26,Central Midfield,Vicenza,0.0,Summer,2001,2001/2002
Stefano Garzon,19,Defensive Midfield,Pavia,0.0,Summer,2001,2001/2002
