player_name,age,position,club_involved,fee,transfer_period,year,season
Ottavio Palladini,20,Central Midfield,Sambenedettese,0.0,Summer,1992,1992/1993
Roberto Gnoli,21,Goalkeeper,Virtus Lanciano,0.0,Summer,1992,1992/1993
Vincenzo Aureli,19,attack,Fucense,0.0,Summer,1992,1992/1993
Vittorio Pinciarelli,20,midfield,Giulianova,0.0,Summer,1992,1992/1993
Giuseppe Compagno,24,Right Winger,Cosenza,0.0,Summer,1992,1992/1993
Blaz Sliskovic,33,Central Midfield,Stade Rennais,0.0,Summer,1992,1992/1993
Mauro Zironelli,22,midfield,Vicenza,0.0,Summer,1992,1992/1993
Stefano Borgonovo,28,Centre-Forward,Fiorentina,0.0,Summer,1992,1992/1993
Roger Mendy,32,Sweeper,Monaco,0.0,Summer,1992,1992/1993
John Sivebaek,30,Right-Back,Monaco,0.0,Summer,1992,1992/1993
Dunga,28,Defensive Midfield,Fiorentina,0.0,Summer,1992,1992/1993
Paolo Monelli,29,Centre-Forward,Vicenza,0.0,Summer,1992,1992/1993
Stefano Impallomeni,24,midfield,Casertana,0.0,Summer,1992,1992/1993
Massimo Nunziato,18,midfield,Pro Sulmona,0.0,Summer,1992,1992/1993
Nicolino Rosati,29,midfield,Sambenedettese,0.0,Summer,1992,1992/1993
Fabrizio Fioretti,26,Defensive Midfield,Piacenza,0.0,Summer,1992,1992/1993
Orazio Sorbello,32,Right Winger,Acireale,0.0,Summer,1992,1992/1993
Alberto Torresin,32,Goalkeeper,Andria,0.0,Summer,1992,1992/1993
Andrea Camplone,25,defence,Perugia,0.0,Summer,1992,1992/1993
Rocco Pagano,28,Right Midfield,Perugia,0.0,Summer,1992,1992/1993
Michele Gelsi,23,Central Midfield,Perugia,0.0,Summer,1992,1992/1993
Augusto Mantini,19,midfield,Retired,0.0,Summer,1992,1992/1993
Fausto Chiacchiaretta,19,defence,Retired,0.0,Summer,1992,1992/1993
Jonathas,23,Centre-Forward,Brescia,3700000.0,Summer,2012,2012/2013
Ante Vukusic,21,Centre-Forward,Hajduk Split,3700000.0,Summer,2012,2012/2013
Vladimir Weiss,22,Left Winger,Man City,1800000.0,Summer,2012,2012/2013
Antonino Ragusa,22,Left Winger,Genoa,1500000.0,Summer,2012,2012/2013
Gianluca Caprari,18,Second Striker,AS Roma,1200000.0,Summer,2012,2012/2013
Elvis Abbruscato,31,Centre-Forward,Vicenza,1200000.0,Summer,2012,2012/2013
Giuseppe Colucci,31,Central Midfield,Cesena,1000000.0,Summer,2012,2012/2013
Mervan Celik,22,Left Winger,GAIS,900000.0,Summer,2012,2012/2013
Uros Cosic,19,Centre-Back,CSKA Moscow II,300000.0,Summer,2012,2012/2013
Birkir Bjarnason,24,Attacking Midfield,Standard Liège,300000.0,Summer,2012,2012/2013
Christian Terlizzi,32,Centre-Back,Varese,250000.0,Summer,2012,2012/2013
Alessandro Crescenzi,20,Left-Back,AS Roma,200000.0,Summer,2012,2012/2013
Mattia Perin,19,Goalkeeper,Genoa,200000.0,Summer,2012,2012/2013
Lucas Chiaretti,24,Attacking Midfield,Taranto,0.0,Summer,2012,2012/2013
Ivan Pelizzoli,31,Goalkeeper,Padova,0.0,Summer,2012,2012/2013
