player_name,age,position,club_involved,fee,transfer_period,year,season
Vincenzo Langone,18,midfield,Rondinella,0.0,Summer,1997,1997/1998
Vittorio Pusceddu,33,Left-Back,Fiorentina,0.0,Summer,1997,1997/1998
Antonio Arcadio,24,Right Winger,Siena,0.0,Summer,1997,1997/1998
Luca Bonfanti,20,midfield,Massese,0.0,Summer,1997,1997/1998
Fabio Eduardo Cribari,22,Right-Back,Londrina-PR,0.0,Summer,1997,1997/1998
Pietro Fusco,25,Right-Back,Castel di Sangro,0.0,Summer,1997,1997/1998
Emanuele Masini,23,defence,Arezzo,0.0,Summer,1997,1997/1998
Andrea Mussi,19,Centre-Forward,Fiorentina U19,0.0,Summer,1997,1997/1998
Marco Roccati,22,Goalkeeper,Ravenna,0.0,Summer,1997,1997/1998
Giacomo Mazzi,18,Goalkeeper,Siena,0.0,Summer,1997,1997/1998
Fabio Artico,23,Centre-Forward,Pro Vercelli,0.0,Summer,1997,1997/1998
Pierpaolo Bisoli,30,Right Midfield,Cagliari Calcio,0.0,Summer,1997,1997/1998
Max Tonetto,22,Left-Back,Reggiana,0.0,Summer,1997,1997/1998
Marco Pecorari,19,Centre-Back,Fiorenzuola,0.0,Summer,1997,1997/1998
Francesco D'Aniello,17,Central Midfield,Albanova,0.0,Summer,1997,1997/1998
Matjaz Florjancic,29,midfield,Torino,0.0,Summer,1997,1997/1998
Angelo Pagotto,23,Goalkeeper,Milan,0.0,Summer,1997,1997/1998
Miodrag Vukotić,23,Centre-Back,Milan,0.0,Summer,1997,1997/1998
Raffaele Ametrano,24,Right-Back,Juventus,0.0,Summer,1997,1997/1998
Salvatore Mastronunzio,17,Centre-Forward,Empoli U19,0.0,Summer,1997,1997/1998
Alessandro Birindelli,22,Right-Back,Juventus,-2800000.0,Summer,1997,1997/1998
Fabio Tricarico,27,midfield,Torino,0.0,Summer,1997,1997/1998
Antonio Arcadio,24,Right Winger,Ternana,0.0,Summer,1997,1997/1998
Luca Bonfanti,20,midfield,Frosinone,0.0,Summer,1997,1997/1998
Filippo Dal Moro,26,Left-Back,AS Roma,0.0,Summer,1997,1997/1998
Rosario Guarino,25,defence,Foggia,0.0,Summer,1997,1997/1998
Mauro Musco,19,defence,Tolentino,0.0,Summer,1997,1997/1998
Gianfranco Ciccone,21,Centre-Back,Iperzola,0.0,Summer,1997,1997/1998
Stefano Cognata,19,Central Midfield,Carrarese,0.0,Summer,1997,1997/1998
Paolo Cozzi,23,Right-Back,Foggia,0.0,Summer,1997,1997/1998
Luca Toni,20,Centre-Forward,Fiorenzuola,0.0,Summer,1997,1997/1998
Daniele Balli,29,Goalkeeper,Salernitana,0.0,Summer,1997,1997/1998
Antonio Di Natale,19,Centre-Forward,Iperzola,0.0,Summer,1997,1997/1998
Massimo Gazzoli,21,Goalkeeper,Biellese,0.0,Summer,1997,1997/1998
Flavio Giampieretti,23,Defensive Midfield,Cisco Lodigiani,0.0,Summer,1997,1997/1998
Fabio Artico,23,Centre-Forward,Giulianova,0.0,Summer,1997,1997/1998
Leonardo Lombardi,19,Goalkeeper,Retired,0.0,Summer,1997,1997/1998
Olaf Peruzzi,20,midfield,Retired,0.0,Summer,1997,1997/1998
