player_name,age,position,club_involved,fee,transfer_period,year,season
Ante Budimir,24,Centre-Forward,FC St. Pauli,1000000.0,Summer,2016,2016/2017
Noë Dussenne,24,Centre-Back,Mouscron,950000.0,Summer,2016,2016/2017
Federico Ceccherini,24,Centre-Back,AS Livorno,900000.0,Summer,2016,2016/2017
Simy,24,Centre-Forward,Portimonense,850000.0,Summer,2016,2016/2017
Leonardo Capezzi,21,Central Midfield,Fiorentina,700000.0,Summer,2016,2016/2017
Marcus Rohdén,25,Central Midfield,Elfsborg,500000.0,Summer,2016,2016/2017
Valentin Cojocaru,20,Goalkeeper,Steaua Bucharest,250000.0,Summer,2016,2016/2017
Nicolò Fazzi,21,Right Midfield,Fiorentina,200000.0,Summer,2016,2016/2017
Cazim Suljic,19,Central Midfield,Saint-Étienne B,0.0,Summer,2016,2016/2017
Andrea Nalini,26,Second Striker,Salernitana,0.0,Summer,2016,2016/2017
Aleksandar Tonev,26,Left Winger,Frosinone,0.0,Summer,2016,2016/2017
Andrea Scicchitano,24,Central Midfield,Racing Roma,0.0,Summer,2016,2016/2017
Andrea Mazzarani,26,Attacking Midfield,Modena,0.0,Summer,2016,2016/2017
Mario Sampirisi,23,Centre-Back,Vicenza,0.0,Summer,2016,2016/2017
Djamel Mesbah,31,Left-Back,Sampdoria,0.0,Summer,2016,2016/2017
Marcello Trotta,23,Centre-Forward,Sassuolo,0.0,Summer,2016,2016/2017
Eddy Gnahoré,22,Central Midfield,SSC Napoli,0.0,Summer,2016,2016/2017
Lorenzo Crisetig,23,Defensive Midfield,Bologna,0.0,Summer,2016,2016/2017
Diego Falcinelli,25,Centre-Forward,Sassuolo,0.0,Summer,2016,2016/2017
Leonardo Capezzi,21,Central Midfield,Sampdoria,0.0,Summer,2016,2016/2017
Gian Marco Ferrari,24,Centre-Back,Sassuolo,0.0,Summer,2016,2016/2017
Aleandro Rosi,29,Right-Back,Genoa,0.0,Summer,2016,2016/2017
Giuseppe Cuomo,18,Centre-Back,Crotone U19,0.0,Summer,2016,2016/2017
Gian Marco Ferrari,24,Centre-Back,Sassuolo,-4000000.0,Summer,2016,2016/2017
Ante Budimir,24,Centre-Forward,Sampdoria,-1800000.0,Summer,2016,2016/2017
Leonardo Capezzi,21,Central Midfield,Sampdoria,-1000000.0,Summer,2016,2016/2017
Tomislav Saric,26,Central Midfield,RNK Split,0.0,Summer,2016,2016/2017
Giuseppe Torromino,28,Second Striker,Lecce,0.0,Summer,2016,2016/2017
Davide Leto,21,Central Midfield,Avezzano,0.0,Summer,2016,2016/2017
Michele Cremonesi,28,Centre-Back,SPAL,0.0,Summer,2016,2016/2017
Mirko Esposito,20,Right-Back,Catanzaro,0.0,Summer,2016,2016/2017
Marco Firenze,23,Central Midfield,Siena,0.0,Summer,2016,2016/2017
Iacopo Galli,22,Right-Back,Spezia Calcio,0.0,Summer,2016,2016/2017
Luca Bruno,20,Centre-Back,ACR Messina,0.0,Summer,2016,2016/2017
Davide Voltan,21,Attacking Midfield,Genoa,0.0,Summer,2016,2016/2017
Nunzio Di Roberto,30,Right Winger,Cesena,0.0,Summer,2016,2016/2017
Andrea Scicchitano,24,Central Midfield,Lupa Roma,0.0,Summer,2016,2016/2017
Giovanni Foresta,20,Central Midfield,ACR Messina,0.0,Summer,2016,2016/2017
Luca Maniero,21,Goalkeeper,Mantova,0.0,Summer,2016,2016/2017
Matteo Paro,33,Central Midfield,Retired,0.0,Summer,2016,2016/2017
Francesco Modesto,34,Left-Back,Without Club,0.0,Summer,2016,2016/2017
Juan Delgado,21,Centre-Forward,Without Club,0.0,Summer,2016,2016/2017
Andrea Mazzarani,26,Attacking Midfield,Without Club,0.0,Summer,2016,2016/2017
Giuseppe Zampano,22,Right Midfield,Without Club,0.0,Summer,2016,2016/2017
Federico Ricci,22,Right Winger,AS Roma,0.0,Summer,2016,2016/2017
Eloge Yao,20,Centre-Back,Inter,0.0,Summer,2016,2016/2017
Pol García,21,Centre-Back,Juventus,0.0,Summer,2016,2016/2017
Nicolò Fazzi,21,Right Midfield,Fiorentina,0.0,Summer,2016,2016/2017
Ante Budimir,24,Centre-Forward,FC St. Pauli,0.0,Summer,2016,2016/2017
Alessio Sabbione,24,Centre-Back,Carpi,0.0,Summer,2016,2016/2017
Leonardo Capezzi,21,Central Midfield,Fiorentina,0.0,Summer,2016,2016/2017
Mihai Balasa,21,Centre-Back,AS Roma,0.0,Summer,2016,2016/2017
Maxwell Acosty,25,Right Winger,Latina Calcio,600000.0,Winter,2016,2016/2017
Andrej Kotnik,21,Attacking Midfield,ND Gorica,0.0,Winter,2016,2016/2017
Aniello Viscovo,17,Goalkeeper,Crotone U19,0.0,Winter,2016,2016/2017
Nicolò Fazzi,21,Right Midfield,Perugia,-700000.0,Winter,2016,2016/2017
Raffaele Palladino,32,Left Winger,Genoa,-250000.0,Winter,2016,2016/2017
Aniello Salzano,25,Central Midfield,Bari,0.0,Winter,2016,2016/2017
Valentin Cojocaru,21,Goalkeeper,Frosinone,0.0,Winter,2016,2016/2017
Marco Firenze,23,Central Midfield,Paganese,0.0,Winter,2016,2016/2017
Massimo Assisi,19,Right-Back,Avezzano,0.0,Winter,2016,2016/2017
Pietro De Giorgio,33,Left Winger,Latina Calcio,0.0,Winter,2016,2016/2017
Iacopo Galli,23,Right-Back,AS Livorno,0.0,Winter,2016,2016/2017
Cristian Barillari,21,Attacking Midfield,Crotone U19,0.0,Winter,2016,2016/2017
Eddy Gnahoré,23,Central Midfield,SSC Napoli,0.0,Winter,2016,2016/2017
Aristóteles Romero,21,Defensive Midfield,Mineros,1500000.0,Summer,2017,2017/2018
Oliver Kragl,27,Left Midfield,Frosinone,400000.0,Summer,2017,2017/2018
Giovanni Crociata,19,Central Midfield,AC Milan,300000.0,Summer,2017,2017/2018
Ante Budimir,25,Centre-Forward,Sampdoria,300000.0,Summer,2017,2017/2018
Daniel Pavlovic,29,Left-Back,Sampdoria,200000.0,Summer,2017,2017/2018
Mariano Izco,34,Central Midfield,Chievo Verona,0.0,Summer,2017,2017/2018
Leandro Cabrera,26,Centre-Back,Real Zaragoza,0.0,Summer,2017,2017/2018
Davide Faraoni,25,Right-Back,Udinese Calcio,0.0,Summer,2017,2017/2018
Marco Tumminello,18,Centre-Forward,Roma U19,0.0,Summer,2017,2017/2018
Rolando Mandragora,20,Defensive Midfield,Juventus,0.0,Summer,2017,2017/2018
Stefan Simic,22,Centre-Back,AC Milan,0.0,Summer,2017,2017/2018
Arlind Ajeti,23,Centre-Back,Torino,0.0,Summer,2017,2017/2018
Pietro De Giorgio,34,Left Winger,Vicenza,0.0,Summer,2017,2017/2018
Nunzio Di Roberto,31,Right Winger,Salernitana,0.0,Summer,2017,2017/2018
Giovanni Foresta,21,Central Midfield,Carrarese,0.0,Summer,2017,2017/2018
Claiton,32,Centre-Back,Cremonese,0.0,Summer,2017,2017/2018
Giuseppe Faiello,20,Right Midfield,Roccella,0.0,Summer,2017,2017/2018
Djamel Mesbah,32,Left-Back,Lausanne-Sport,0.0,Summer,2017,2017/2018
Iacopo Galli,23,Right-Back,Casertana,0.0,Summer,2017,2017/2018
Marco Firenze,24,Central Midfield,Pro Vercelli,0.0,Summer,2017,2017/2018
Cristian Riggio,21,Centre-Back,Catanzaro,0.0,Summer,2017,2017/2018
Luca Bruno,20,Centre-Back,Pro Vercelli,0.0,Summer,2017,2017/2018
Andrea Scicchitano,25,Central Midfield,Trastevere,0.0,Summer,2017,2017/2018
Armando Cistaro,17,Defensive Midfield,Savona,0.0,Summer,2017,2017/2018
Luca Maniero,22,Goalkeeper,US Palermo,0.0,Summer,2017,2017/2018
Mirko Esposito,21,Right-Back,Catania,0.0,Summer,2017,2017/2018
Manuel Nicoletti,18,Left-Back,Catanzaro,0.0,Summer,2017,2017/2018
Noë Dussenne,25,Centre-Back,KAA Gent,0.0,Summer,2017,2017/2018
Maxwell Acosty,25,Right Winger,HNK Rijeka,0.0,Summer,2017,2017/2018
Andrea Tripicchio,21,Right Winger,Casertana,0.0,Summer,2017,2017/2018
Ravy Tsouka,22,Right-Back,Without Club,0.0,Summer,2017,2017/2018
Lorenzo Crisetig,24,Defensive Midfield,Bologna,0.0,Summer,2017,2017/2018
Gian Marco Ferrari,25,Centre-Back,Sassuolo,0.0,Summer,2017,2017/2018
Diego Falcinelli,26,Centre-Forward,Sassuolo,0.0,Summer,2017,2017/2018
Valentin Cojocaru,21,Goalkeeper,FCSB,0.0,Summer,2017,2017/2018
Leonardo Capezzi,22,Central Midfield,Sampdoria,0.0,Summer,2017,2017/2018
Aleandro Rosi,30,Right-Back,Genoa,0.0,Summer,2017,2017/2018
Ahmad Benali,25,Central Midfield,Pescara,300000.0,Winter,2017,2017/2018
Luka Markovic,18,Centre-Forward,Cukaricki U19,0.0,Winter,2017,2017/2018
Marco Capuano,26,Centre-Back,Cagliari Calcio,0.0,Winter,2017,2017/2018
Federico Ricci,23,Right Winger,Sassuolo,0.0,Winter,2017,2017/2018
Niccolò Zanellato,19,Central Midfield,AC Milan,0.0,Winter,2017,2017/2018
Moussa Diaby,18,Left Winger,Paris SG B,0.0,Winter,2017,2017/2018
Aleksandar Tonev,29,Left Winger,Botev Plovdiv,0.0,Winter,2017,2017/2018
Oliver Kragl,27,Left Midfield,Foggia,0.0,Winter,2017,2017/2018
Luca Bruno,21,Centre-Back,Siracusa,0.0,Winter,2017,2017/2018
Cazim Suljic,21,Central Midfield,NK Ankaran,0.0,Winter,2017,2017/2018
Marco Firenze,24,Central Midfield,Venezia,0.0,Winter,2017,2017/2018
Leandro Cabrera,26,Centre-Back,Getafe,0.0,Winter,2017,2017/2018
Giuseppe Cuomo,19,Centre-Back,Rende,0.0,Winter,2017,2017/2018
Aristóteles Romero,22,Defensive Midfield,NK Ankaran,0.0,Winter,2017,2017/2018
Andrej Kotnik,22,Attacking Midfield,ND Gorica,0.0,Winter,2017,2017/2018
Luis Rojas,18,Attacking Midfield,U. de Chile,1590000.0,Summer,2020,2020/2021
Jacopo Petriccione,25,Defensive Midfield,Lecce,1500000.0,Summer,2020,2020/2021
Luca Marrone,30,Centre-Back,Hellas Verona,1000000.0,Summer,2020,2020/2021
Milos Vulic,24,Central Midfield,Red Star,800000.0,Summer,2020,2020/2021
Sebastiano Luperto,24,Centre-Back,SSC Napoli,500000.0,Summer,2020,2020/2021
Arkadiusz Reca,25,Left-Back,Atalanta BC,100000.0,Summer,2020,2020/2021
Emmanuel Rivière,30,Centre-Forward,Cosenza,0.0,Summer,2020,2020/2021
Luca Cigarini,34,Defensive Midfield,Cagliari Calcio,0.0,Summer,2020,2020/2021
Andrea Rispoli,31,Right-Back,Lecce,0.0,Summer,2020,2020/2021
Giovanni Bruzzaniti,20,Left Winger,Pro Vercelli,0.0,Summer,2020,2020/2021
Pedro Pereira,22,Right Midfield,Benfica,0.0,Summer,2020,2020/2021
Koffi Djidji,27,Centre-Back,Torino,0.0,Summer,2020,2020/2021
Luca Siligardi,32,Right Winger,Parma,0.0,Summer,2020,2020/2021
Denis Dragus,21,Centre-Forward,Standard Liège,0.0,Summer,2020,2020/2021
Eduardo Henrique,25,Defensive Midfield,Sporting CP,0.0,Summer,2020,2020/2021
Lisandro Magallán,26,Centre-Back,Ajax,0.0,Summer,2020,2020/2021
Francesco D'Alterio,18,Goalkeeper,Crotone U19,0.0,Summer,2020,2020/2021
Giacomo Figliuzzi,19,Goalkeeper,Gozzano,0.0,Summer,2020,2020/2021
Mateo Itrak,20,Central Midfield,ND Gorica,0.0,Summer,2020,2020/2021
Alessandro Garattoni,22,Right-Back,Juve Stabia,0.0,Summer,2020,2020/2021
Luka Markovic,20,Centre-Forward,Red Star,0.0,Summer,2020,2020/2021
Maxi López,36,Centre-Forward,Sambenedettese,0.0,Summer,2020,2020/2021
Andrea Barberis,26,Defensive Midfield,Monza,0.0,Summer,2020,2020/2021
Nicola Nanni,20,Centre-Forward,Cesena,0.0,Summer,2020,2020/2021
Giuseppe Borello,21,Right Winger,Pro Vercelli,0.0,Summer,2020,2020/2021
Francesco Rodio,19,Left-Back,Pro Vercelli,0.0,Summer,2020,2020/2021
Guillaume Gigliotti,30,Centre-Back,Chievo Verona,0.0,Summer,2020,2020/2021
Giovanni Bruzzaniti,20,Left Winger,Pro Vercelli,0.0,Summer,2020,2020/2021
Jean Lambert Evan's,21,Left-Back,Catanzaro,0.0,Summer,2020,2020/2021
Augustus Kargbo,21,Second Striker,Reggiana,0.0,Summer,2020,2020/2021
Jeremy Petris,22,Right-Back,Pro Vercelli,0.0,Summer,2020,2020/2021
Zak Ruggiero,19,Second Striker,Pro Vercelli,0.0,Summer,2020,2020/2021
