player_name,age,position,club_involved,fee,transfer_period,year,season
Lorenzo Tonelli,31,Centre-Back,Sampdoria,2400000.0,Summer,2021,2021/2022
Nicolas Haas,25,Central Midfield,Atalanta BC,2000000.0,Summer,2021,2021/2022
Ardian Ismajli,24,Centre-Back,Spezia Calcio,2000000.0,Summer,2021,2021/2022
Liam Henderson,25,Central Midfield,Lecce,1500000.0,Summer,2021,2021/2022
Giovanni Crociata,23,Central Midfield,Crotone,1000000.0,Summer,2021,2021/2022
Riccardo Fiamozzi,28,Right-Back,Lecce,500000.0,Summer,2021,2021/2022
Sebastiano Luperto,24,Centre-Back,SSC Napoli,500000.0,Summer,2021,2021/2022
Petar Stojanovic,25,Right-Back,Dinamo Zagreb,300000.0,Summer,2021,2021/2022
Niccolò Chiorra,20,Goalkeeper,Grosseto,0.0,Summer,2021,2021/2022
Samir Ujkani,33,Goalkeeper,Torino,0.0,Summer,2021,2021/2022
Riccardo Marchizza,23,Left-Back,Sassuolo,0.0,Summer,2021,2021/2022
Simone Canestrelli,20,Centre-Back,UC AlbinoLeffe,0.0,Summer,2021,2021/2022
Andrea Pinamonti,22,Centre-Forward,Inter,0.0,Summer,2021,2021/2022
Patrick Cutrone,23,Centre-Forward,Wolves,0.0,Summer,2021,2021/2022
Guglielmo Vicario,24,Goalkeeper,Cagliari Calcio,0.0,Summer,2021,2021/2022
Federico Di Francesco,27,Left Winger,SPAL,0.0,Summer,2021,2021/2022
Emmanuel Ekong,19,Centre-Forward,Empoli U19,0.0,Summer,2021,2021/2022
Tommaso Baldanzi,18,Attacking Midfield,Empoli U19,0.0,Summer,2021,2021/2022
Kristjan Asllani,19,Defensive Midfield,Empoli U19,0.0,Summer,2021,2021/2022
Hamed Junior Traorè,21,Attacking Midfield,Sassuolo,-16000000.0,Summer,2021,2021/2022
Antonino La Gumina,25,Centre-Forward,Sampdoria,-5500000.0,Summer,2021,2021/2022
Dimitrios Nikolaou,22,Centre-Back,Spezia Calcio,-3000000.0,Summer,2021,2021/2022
Samuel Mraz,24,Centre-Forward,Spezia Calcio,-1600000.0,Summer,2021,2021/2022
Kevin Cannavò,21,Centre-Forward,Vis Pesaro,-400000.0,Summer,2021,2021/2022
Stefano Sabelli,28,Right-Back,Genoa,0.0,Summer,2021,2021/2022
Andrea Ruscetta,20,Right-Back,Anagni,0.0,Summer,2021,2021/2022
Alberto Brignoli,30,Goalkeeper,Panathinaikos,0.0,Summer,2021,2021/2022
Marco Imperiale,22,Left-Back,Carrarese,0.0,Summer,2021,2021/2022
Alex Sposito,20,Goalkeeper,Pontedera,0.0,Summer,2021,2021/2022
Leandro Pratelli,18,Goalkeeper,Piacenza,0.0,Summer,2021,2021/2022
Giuseppe Montaperto,21,Left Winger,Teramo,0.0,Summer,2021,2021/2022
Tommaso Fantacci,24,Right Winger,AS Gubbio,0.0,Summer,2021,2021/2022
Gabriel Meli,22,Goalkeeper,Südtirol,0.0,Summer,2021,2021/2022
Niccolò Chiorra,20,Goalkeeper,Taranto,0.0,Summer,2021,2021/2022
Davide Merola,21,Right Winger,Foggia,0.0,Summer,2021,2021/2022
Andrea Adamoli,20,Left-Back,Cesena,0.0,Summer,2021,2021/2022
Davide Zappella,23,Right-Back,Pescara,0.0,Summer,2021,2021/2022
Stefano Moreo,28,Centre-Forward,Brescia,0.0,Summer,2021,2021/2022
Simone Canestrelli,20,Centre-Back,Crotone,0.0,Summer,2021,2021/2022
Roberto Pirrello,25,Centre-Back,Cosenza,0.0,Summer,2021,2021/2022
Kevin Piscopo,23,Second Striker,SPAL,0.0,Summer,2021,2021/2022
Giovanni Crociata,24,Central Midfield,SPAL,0.0,Summer,2021,2021/2022
Nicolò Casale,23,Centre-Back,Hellas Verona,0.0,Summer,2021,2021/2022
Mouhamadou Sakho,21,Central Midfield,Without Club,0.0,Summer,2021,2021/2022
Ryder Matos,28,Second Striker,Udinese Calcio,0.0,Summer,2021,2021/2022
Giovanni Crociata,23,Central Midfield,Crotone,0.0,Summer,2021,2021/2022
Andrea Cambiaso,21,Left-Back,Genoa,0.0,Summer,2021,2021/2022
Marco Olivieri,22,Left Winger,Juventus U23,0.0,Summer,2021,2021/2022
Aleksa Terzić,21,Left-Back,Fiorentina,0.0,Summer,2021,2021/2022
Riccardo Fiamozzi,28,Right-Back,Lecce,0.0,Summer,2021,2021/2022
Nicolas Haas,25,Central Midfield,Atalanta BC,0.0,Summer,2021,2021/2022
Marco Benassi,27,Central Midfield,Fiorentina,0.0,Winter,2021,2021/2022
Valerio Verre,28,Attacking Midfield,Sampdoria,0.0,Winter,2021,2021/2022
Liberato Cacace,21,Left-Back,Sint-Truiden,0.0,Winter,2021,2021/2022
Matteo Martini,19,Left-Back,Pistoiese,0.0,Winter,2021,2021/2022
Samuele Ricci,20,Defensive Midfield,Torino,-1000000.0,Winter,2021,2021/2022
Matteo Martini,19,Left-Back,Pontedera,0.0,Winter,2021,2021/2022
Kevin Piscopo,23,Second Striker,Renate,0.0,Winter,2021,2021/2022
Leonardo Mancuso,29,Centre-Forward,Monza,0.0,Winter,2021,2021/2022
Samuele Damiani,23,Defensive Midfield,Palermo,0.0,Winter,2021,2021/2022
Andrea Adamoli,20,Left-Back,Pro Sesto,0.0,Winter,2021,2021/2022
Guglielmo Vicario,25,Goalkeeper,Cagliari Calcio,8500000.0,Summer,2022,2022/2023
Liberato Cacace,21,Left-Back,Sint-Truiden,3000000.0,Summer,2022,2022/2023
Petar Stojanovic,26,Right-Back,Dinamo Zagreb,1200000.0,Summer,2022,2022/2023
Razvan Marin,26,Central Midfield,Cagliari Calcio,1000000.0,Summer,2022,2022/2023
