player_name,age,position,club_involved,fee,transfer_period,year,season
Darko Pancev,26,Centre-Forward,Red Star,12000000.0,Summer,1992,1992/1993
Igor Shalimov,23,Attacking Midfield,Foggia,6750000.0,Summer,1992,1992/1993
Rubén Sosa,26,Centre-Forward,Lazio,6000000.0,Summer,1992,1992/1993
Matthias Sammer,24,Sweeper,VfB Stuttgart,6000000.0,Summer,1992,1992/1993
Salvatore Schillaci,27,Centre-Forward,Juventus,1100000.0,Summer,1992,1992/1993
Antonio Manicone,25,Defensive Midfield,Udinese,0.0,Summer,1992,1992/1993
Paolo Tramezzani,21,Left-Back,Lucchese,0.0,Summer,1992,1992/1993
Stefano Vecchi,20,midfield,Spezia,0.0,Summer,1992,1992/1993
Giuseppe Marino,23,midfield,Taranto,0.0,Summer,1992,1992/1993
Luigi De Agostini,31,Left-Back,Juventus,0.0,Summer,1992,1992/1993
Stefano Rossini,21,Left-Back,Udinese,0.0,Summer,1992,1992/1993
Simone Veronese,17,Right-Back,Inter U19,0.0,Summer,1992,1992/1993
Renzo Tasso,19,Defensive Midfield,Inter U19,0.0,Summer,1992,1992/1993
Jürgen Klinsmann,27,Centre-Forward,Monaco,-7000000.0,Summer,1992,1992/1993
Lothar Matthäus,31,Defensive Midfield,Bayern Munich,-2000000.0,Summer,1992,1992/1993
Luca Mondini,22,Goalkeeper,Como,0.0,Summer,1992,1992/1993
Marco Grossi,19,midfield,Ascoli,0.0,Summer,1992,1992/1993
Davide Belotti,20,Centre-Back,Nola,0.0,Summer,1992,1992/1993
Fausto Pizzi,24,Attacking Midfield,AC Parma,0.0,Summer,1992,1992/1993
Raffaele Nuzzo,19,Goalkeeper,Pergocrema,0.0,Summer,1992,1992/1993
Stefano Desideri,27,Right Midfield,Udinese,0.0,Summer,1992,1992/1993
Massimiliano Caniato,24,Goalkeeper,AC Venezia 1907,0.0,Summer,1992,1992/1993
Massimo Ciocci,24,Centre-Forward,SPAL,0.0,Summer,1992,1992/1993
Giuseppe Baresi,34,Defensive Midfield,Modena,0.0,Summer,1992,1992/1993
Andreas Brehme,31,Left-Back,Real Zaragoza,0.0,Summer,1992,1992/1993
Paolo Orlandoni,19,Goalkeeper,SC Leffe,0.0,Summer,1992,1992/1993
Marco Delvecchio,19,Centre-Forward,AC Venezia 1907,0.0,Summer,1992,1992/1993
Mirko Taccola,22,Centre-Back,AC Pisa,0.0,Winter,1992,1992/1993
Matthias Sammer,25,Sweeper,Bor. Dortmund,-4250000.0,Winter,1992,1992/1993
Marcello Montanari,27,Sweeper,Bari,0.0,Winter,1992,1992/1993
Giuseppe Marino,23,midfield,Taranto,0.0,Winter,1992,1992/1993
Marco Barollo,20,midfield,Ternana,0.0,Winter,1992,1992/1993
Dennis Bergkamp,24,Second Striker,Ajax,9770000.0,Summer,1993,1993/1994
Wim Jonk,26,Defensive Midfield,Ajax,5680000.0,Summer,1993,1993/1994
Francesco Dell'Anno,26,midfield,Udinese,0.0,Summer,1993,1993/1994
Marco Grossi,20,midfield,Ascoli,0.0,Summer,1993,1993/1994
Gianluca Festa,24,Right-Back,Cagliari Calcio,0.0,Summer,1993,1993/1994
Massimo Paganin,22,Centre-Back,Brescia,0.0,Summer,1993,1993/1994
Alessandro Rossi,18,defence,Arezzo,0.0,Summer,1993,1993/1994
Massimo Marazzina,18,Centre-Forward,Inter U19,0.0,Summer,1993,1993/1994
Marco Delvecchio,20,Centre-Forward,Udinese,-150000.0,Summer,1993,1993/1994
Stefano Ricci,18,defence,Casarano,0.0,Summer,1993,1993/1994
Davide Cecotti,20,Goalkeeper,Legnano,0.0,Summer,1993,1993/1994
Stefano Vecchi,21,midfield,Fiorenzuola,0.0,Summer,1993,1993/1994
Renzo Tasso,20,Defensive Midfield,Gualdo,0.0,Summer,1993,1993/1994
Mirko Taccola,22,Centre-Back,Lucchese,0.0,Summer,1993,1993/1994
Simone Veronese,18,Right-Back,Cagliari Calcio,0.0,Summer,1993,1993/1994
Luigi De Agostini,32,Left-Back,Reggiana,0.0,Summer,1993,1993/1994
Stefano Rossini,22,Left-Back,Udinese,0.0,Summer,1993,1993/1994
Marco Barollo,20,midfield,Lecce,0.0,Summer,1993,1993/1994
Paolo Orlandoni,20,Goalkeeper,Casarano,0.0,Summer,1993,1993/1994
Dino Baggio,20,Defensive Midfield,Juventus,0.0,Summer,1993,1993/1994
Darko Pancev,28,Centre-Forward,VfB Leipzig,0.0,Winter,1993,1993/1994
Marco Grossi,20,midfield,Maceratese,0.0,Winter,1993,1993/1994
Gianluca Festa,24,Right-Back,AS Roma,0.0,Winter,1993,1993/1994
Gianluca Pagliuca,27,Goalkeeper,Sampdoria,0.0,Summer,1994,1994/1995
