player_name,age,position,club_involved,fee,transfer_period,year,season
Antonio Paganin,30,Right-Back,Atalanta BC,0.0,Summer,1996,1996/1997
Attilio Gregori,30,Goalkeeper,Udinese,0.0,Summer,1996,1996/1997
Andrea Da Rold,23,defence,Fiorenzuola,0.0,Summer,1996,1996/1997
Jonatan Binotto,21,Right Winger,Cesena,0.0,Summer,1996,1996/1997
Reinaldo,20,Centre-Forward,Palmeiras,0.0,Summer,1996,1996/1997
Salvatore Giunta,29,Central Midfield,Brescia,0.0,Summer,1996,1996/1997
Pierluigi Orlandini,23,Right Midfield,Inter,0.0,Summer,1996,1996/1997
Marco Baroni,32,Centre-Back,Ancona,0.0,Summer,1996,1996/1997
Filippo Maniero,23,Centre-Forward,Sampdoria,0.0,Summer,1996,1996/1997
Sebastiano Siviglia,23,Centre-Back,ASG Nocerina,0.0,Summer,1996,1996/1997
Leonardo Colucci,23,Central Midfield,Reggiana,0.0,Summer,1996,1996/1997
Vincenzo Italiano,18,Central Midfield,Trapani,0.0,Summer,1996,1996/1997
Eugenio Corini,25,Defensive Midfield,Piacenza,0.0,Summer,1996,1996/1997
Roberto Bacci,29,Centre-Back,Torino,0.0,Summer,1996,1996/1997
Nicola Zanini,22,Attacking Midfield,Sampdoria,0.0,Summer,1996,1996/1997
Attilio Gregori,30,Goalkeeper,AC Venezia 1907,0.0,Summer,1996,1996/1997
Mauro Salvagno,19,Central Midfield,Ascoli,0.0,Summer,1996,1996/1997
Sirio Andrea Manganotti,19,attack,Unknown,0.0,Summer,1996,1996/1997
Aladino Valoti,30,Central Midfield,Piacenza,0.0,Summer,1996,1996/1997
Gianluca De Angelis,28,midfield,Foggia,0.0,Summer,1996,1996/1997
Nicola Marangon,25,Right-Back,AC Venezia 1907,0.0,Summer,1996,1996/1997
Onofrio Barone,31,Central Midfield,Lucchese,0.0,Summer,1996,1996/1997
Damiano Tommasi,22,Defensive Midfield,AS Roma,0.0,Summer,1996,1996/1997
Fabrizio Cammarata,21,Centre-Forward,Torino,0.0,Summer,1996,1996/1997
Nicola Zanini,22,Attacking Midfield,Sampdoria,0.0,Summer,1996,1996/1997
Fabrizio Casazza,25,Goalkeeper,Torino,0.0,Summer,1996,1996/1997
Andrea Da Rold,24,defence,Lucchese,0.0,Summer,1996,1996/1997
Raffaele Ametrano,24,Right-Back,Juventus,0.0,Summer,1996,1996/1997
Marco Di Vaio,19,Centre-Forward,Lazio,0.0,Summer,1996,1996/1997
Marco Landucci,32,Goalkeeper,AC Venezia 1907,0.0,Winter,1996,1996/1997
Raffaele Ametrano,23,Right-Back,Juventus,0.0,Winter,1996,1996/1997
Reinaldo,20,Centre-Forward,Cruzeiro,0.0,Winter,1996,1996/1997
Anthony Seric,20,Left-Back,Hajduk Split,2200000.0,Summer,1999,1999/2000
Adaílton,22,Second Striker,Paris SG,0.0,Summer,1999,1999/2000
Sébastien Frey,19,Goalkeeper,Inter,0.0,Summer,1999,1999/2000
Alessandro Pagano,27,midfield,Castel di Sangro,0.0,Summer,1999,1999/2000
Giuseppe Anastasi,25,defence,Foggia,0.0,Summer,1999,1999/2000
Marco Franceschetti,32,midfield,Sampdoria,0.0,Summer,1999,1999/2000
Luigi Apolloni,32,Centre-Back,AC Parma,0.0,Summer,1999,1999/2000
Luca Mezzano,21,Centre-Back,Perugia,0.0,Summer,1999,1999/2000
