player_name,age,position,club_involved,fee,transfer_period,year,season
Gary Medel,27,Centre-Back,Cardiff,8000000.0,Summer,2014,2014/2015
Andrea Bandini,20,Right-Back,Bologna,1250000.0,Summer,2014,2014/2015
Rene Krhin,24,Defensive Midfield,Bologna,1200000.0,Summer,2014,2014/2015
Dodô,22,Left-Back,AS Roma,1200000.0,Summer,2014,2014/2015
Yann M'Vila,24,Defensive Midfield,Rubin Kazan,1000000.0,Summer,2014,2014/2015
Cristiano Biraghi,21,Left-Back,Cittadella,700000.0,Summer,2014,2014/2015
Adama Fofana,24,Centre-Forward,Brescia,0.0,Summer,2014,2014/2015
Tommaso Berni,31,Goalkeeper,Torino,0.0,Summer,2014,2014/2015
Nemanja Vidic‎,32,Centre-Back,Man Utd,0.0,Summer,2014,2014/2015
Daniel Osvaldo,28,Centre-Forward,Southampton,0.0,Summer,2014,2014/2015
Niccolò Belloni,19,Right Winger,Modena,0.0,Summer,2014,2014/2015
Marco Ferrara,20,Left-Back,AS Pizzighettone,0.0,Summer,2014,2014/2015
Andrea Romanò,20,Central Midfield,Bologna,0.0,Summer,2014,2014/2015
Federico Bonazzoli,17,Centre-Forward,Inter U19,0.0,Summer,2014,2014/2015
Morten Knudsen,19,Defensive Midfield,Inter U19,0.0,Summer,2014,2014/2015
Isaac Donkor,18,Centre-Back,Inter U19,0.0,Summer,2014,2014/2015
Ishak Belfodil,22,Centre-Forward,Parma,-5750000.0,Summer,2014,2014/2015
Marco Benassi,19,Central Midfield,Torino,-4800000.0,Summer,2014,2014/2015
Ricardo Álvarez,26,Central Midfield,Sunderland,-1500000.0,Summer,2014,2014/2015
Simone Benedetti,22,Centre-Back,Cagliari Calcio,-1000000.0,Summer,2014,2014/2015
Saphir Taïder,22,Central Midfield,Sassuolo,-1000000.0,Summer,2014,2014/2015
Rubén Botta,24,Attacking Midfield,Chievo Verona,-1000000.0,Summer,2014,2014/2015
Alfred Duncan,21,Central Midfield,Sampdoria,-800000.0,Summer,2014,2014/2015
Lorenzo Crisetig,21,Defensive Midfield,Cagliari Calcio,-400000.0,Summer,2014,2014/2015
Cristiano Biraghi,21,Left-Back,Chievo Verona,-250000.0,Summer,2014,2014/2015
Wálter Samuel,36,Centre-Back,FC Basel,0.0,Summer,2014,2014/2015
Esteban Cambiasso,34,Defensive Midfield,Leicester,0.0,Summer,2014,2014/2015
Diego Milito,35,Centre-Forward,Racing Club,0.0,Summer,2014,2014/2015
Antonio Cassano,31,Second Striker,Parma,0.0,Summer,2014,2014/2015
Luca Castellazzi,39,Goalkeeper,Torino,0.0,Summer,2014,2014/2015
Simone Pasa,20,Defensive Midfield,Prato,0.0,Summer,2014,2014/2015
Raffaele Di Gennaro,20,Goalkeeper,Latina Calcio,0.0,Summer,2014,2014/2015
Niccolò Belloni,20,Right Winger,Pro Vercelli,0.0,Summer,2014,2014/2015
Matteo Colombi,20,Centre-Forward,Savona,0.0,Summer,2014,2014/2015
Saphir Taïder,22,Central Midfield,Southampton,0.0,Summer,2014,2014/2015
Matías Silvestre,29,Centre-Back,Sampdoria,0.0,Summer,2014,2014/2015
Andrea Romanò,20,Central Midfield,Prato,0.0,Summer,2014,2014/2015
Adama Fofana,24,Centre-Forward,Prato,0.0,Summer,2014,2014/2015
Roberto Ogunseye,19,Centre-Forward,Prato,0.0,Summer,2014,2014/2015
Lukas Spendlhofer,21,Centre-Back,Sturm Graz,0.0,Summer,2014,2014/2015
Diego Mella,21,Attacking Midfield,Pro Piacenza,0.0,Summer,2014,2014/2015
Jacopo Galimberti,21,Centre-Back,Savona,0.0,Summer,2014,2014/2015
Morten Knudsen,19,Defensive Midfield,Prato,0.0,Summer,2014,2014/2015
Daniel Bessa,21,Central Midfield,Bologna,0.0,Summer,2014,2014/2015
Francesco Bardi,22,Goalkeeper,Chievo Verona,0.0,Summer,2014,2014/2015
Diego Laxalt,21,Left-Back,Empoli,0.0,Summer,2014,2014/2015
Riccardo Bocalon,25,Centre-Forward,Prato,0.0,Summer,2014,2014/2015
Samuele Longo,22,Centre-Forward,Cagliari Calcio,0.0,Summer,2014,2014/2015
Ezequiel Schelotto,25,Right-Back,Chievo Verona,0.0,Summer,2014,2014/2015
Bocar Djumo,20,Centre-Forward,Sliema Wander.,0.0,Summer,2014,2014/2015
Andrea Bandini,20,Right-Back,Prato,0.0,Summer,2014,2014/2015
Vid Belec,24,Goalkeeper,Konyaspor,0.0,Summer,2014,2014/2015
Gaby Mudingayi,32,Defensive Midfield,Without Club,0.0,Summer,2014,2014/2015
Marco Ferrara,20,Left-Back,Without Club,0.0,Summer,2014,2014/2015
McDonald Mariga,27,Defensive Midfield,Without Club,0.0,Summer,2014,2014/2015
Javier Zanetti,40,Right-Back,Retired,0.0,Summer,2014,2014/2015
Wallace Oliveira,20,Right-Back,Chelsea,0.0,Summer,2014,2014/2015
Rolando,28,Centre-Back,FC Porto,0.0,Summer,2014,2014/2015
Marcelo Brozovic,22,Defensive Midfield,Dinamo Zagreb,3000000.0,Winter,2014,2014/2015
Lukas Podolski,29,Attacking Midfield,Arsenal,600000.0,Winter,2014,2014/2015
Ítalo,19,Centre-Back,Vasco U17,0.0,Winter,2014,2014/2015
Xherdan Shaqiri,23,Right Winger,Bayern Munich,0.0,Winter,2014,2014/2015
Davide Santon,24,Right-Back,Newcastle,0.0,Winter,2014,2014/2015
Federico Bonazzoli,17,Centre-Forward,Sampdoria,0.0,Winter,2014,2014/2015
Felipe,30,Centre-Back,Without Club,0.0,Winter,2014,2014/2015
Alassane Traoré,18,Central Midfield,Inter U19,0.0,Winter,2014,2014/2015
George Puscas,18,Centre-Forward,Inter U19,0.0,Winter,2014,2014/2015
Federico Bonazzoli,17,Centre-Forward,Sampdoria,-4500000.0,Winter,2014,2014/2015
Álvaro Pereira,29,Left-Back,Estudiantes,-1000000.0,Winter,2014,2014/2015
Ibrahima Mbaye,20,Right-Back,Bologna,-500000.0,Winter,2014,2014/2015
Rene Krhin,24,Defensive Midfield,Córdoba CF,-500000.0,Winter,2014,2014/2015
Diego Laxalt,21,Left-Back,Genoa,-500000.0,Winter,2014,2014/2015
Matteo Colombi,20,Centre-Forward,Torres,0.0,Winter,2014,2014/2015
Tidjane Baldé,18,Left Winger,Cardiff U23,0.0,Winter,2014,2014/2015
Fabio Eguelfi,20,Left-Back,Savona,0.0,Winter,2014,2014/2015
