player_name,age,position,club_involved,fee,transfer_period,year,season
Gianluca Vialli,27,Centre-Forward,Sampdoria,16500000.0,Summer,1992,1992/1993
David Platt,26,Attacking Midfield,Bari,9750000.0,Summer,1992,1992/1993
Fabrizio Ravanelli,23,Centre-Forward,Reggiana,1500000.0,Summer,1992,1992/1993
Andreas Möller,24,Attacking Midfield,E. Frankfurt,0.0,Summer,1992,1992/1993
Moreno Torricelli,22,Right-Back,Caratese,25000.0,Summer,1992,1992/1993
Daniel Terrera,18,defence,Sammargheritese,0.0,Summer,1992,1992/1993
Lorenzo Squizzi,18,Goalkeeper,Juventus U19,0.0,Summer,1992,1992/1993
Massimiliano Giacobbo,17,Central Midfield,Juventus U19,0.0,Summer,1992,1992/1993
Luigi Sartor,17,Right-Back,Juventus U19,0.0,Summer,1992,1992/1993
Stefan Reuter,25,Right Midfield,Bor. Dortmund,-2100000.0,Summer,1992,1992/1993
Salvatore Schillaci,27,Centre-Forward,Inter,-1100000.0,Summer,1992,1992/1993
Gianni Alberto,15,midfield,Retired,0.0,Summer,1992,1992/1993
Rubens Pasino,20,Attacking Midfield,Città di Lecco,0.0,Summer,1992,1992/1993
Roberto Ricca,19,defence,Pro Vercelli,0.0,Summer,1992,1992/1993
Angelo Alessio,27,Right Winger,Bari,0.0,Summer,1992,1992/1993
Gianluca Luppi,25,Centre-Back,Fiorentina,0.0,Summer,1992,1992/1993
Stefano Tacconi,35,Goalkeeper,Genoa,0.0,Summer,1992,1992/1993
Luigi De Agostini,31,Left-Back,Inter,0.0,Summer,1992,1992/1993
Nicola Zanini,18,Attacking Midfield,Sampdoria,0.0,Summer,1992,1992/1993
Eugenio Corini,21,Defensive Midfield,Sampdoria,0.0,Summer,1992,1992/1993
Angelo Di Livio,26,Right Midfield,Padova,12900000.0,Summer,1993,1993/1994
Alessandro Del Piero,18,Second Striker,Padova,2580000.0,Summer,1993,1993/1994
Zoran Ban,20,Centre-Forward,HNK Rijeka,450000.0,Summer,1993,1993/1994
Marco Moro,23,midfield,Ravenna,0.0,Summer,1993,1993/1994
Massimiliano Notari,21,defence,Saronno,0.0,Summer,1993,1993/1994
Francesco Baldini,19,Centre-Back,Lucchese,0.0,Summer,1993,1993/1994
Andrea Fortunato,21,Left-Back,Genoa,0.0,Summer,1993,1993/1994
Gianluca Francesconi,21,Centre-Back,Reggiana,0.0,Summer,1993,1993/1994
Federico Giampaolo,23,Attacking Midfield,Verona,0.0,Summer,1993,1993/1994
Sergio Porrini,24,Right-Back,Atalanta,0.0,Summer,1993,1993/1994
Alessandro Dal Canto,18,Left-Back,Juventus U19,0.0,Summer,1993,1993/1994
Christian Manfredini,18,Left Winger,Juventus U19,0.0,Summer,1993,1993/1994
Omar Milanetto,17,Defensive Midfield,Juventus U19,0.0,Summer,1993,1993/1994
David Platt,27,Attacking Midfield,Sampdoria,-7800000.0,Summer,1993,1993/1994
Pierluigi Casiraghi,24,Centre-Forward,Lazio,-775000.0,Summer,1993,1993/1994
Paolo Di Canio,24,Centre-Forward,Napoli,0.0,Summer,1993,1993/1994
Nicola Ragagnin,21,midfield,Ancona,0.0,Summer,1993,1993/1994
Christian Trombini,20,Goalkeeper,Massese,0.0,Summer,1993,1993/1994
Marco De Marchi,26,Centre-Back,Bologna,0.0,Summer,1993,1993/1994
Federico Giampaolo,23,Attacking Midfield,Palermo,0.0,Summer,1993,1993/1994
Luigi Sartor,18,Right-Back,Reggina,0.0,Summer,1993,1993/1994
Massimiliano Giacobbo,19,Central Midfield,Foggia,0.0,Winter,1993,1993/1994
Didier Deschamps,25,Defensive Midfield,Marseille,5500000.0,Summer,1994,1994/1995
Ciro Ferrara,27,Centre-Back,Napoli,5170000.0,Summer,1994,1994/1995
Paulo Sousa,23,Central Midfield,Sporting CP,4000000.0,Summer,1994,1994/1995
