player_name,age,position,club_involved,fee,transfer_period,year,season
Roberto Inglese,26,Centre-Forward,SSC Napoli,3000000.0,Summer,2018,2018/2019
Fabio Ceravolo,31,Centre-Forward,Benevento,1900000.0,Summer,2018,2018/2019
Leo Stulac,23,Defensive Midfield,Venezia,1550000.0,Summer,2018,2018/2019
Jonathan Biabiany,30,Right Winger,Inter,1500000.0,Summer,2018,2018/2019
Jacopo Dezi,26,Central Midfield,SSC Napoli,1300000.0,Summer,2018,2018/2019
Riccardo Gagliolo,28,Centre-Back,Carpi,1150000.0,Summer,2018,2018/2019
Gervinho,31,Left Winger,HB CFFC,0.0,Summer,2018,2018/2019
Stefano Scognamillo,24,Centre-Back,Matera,0.0,Summer,2018,2018/2019
Cristian Galano,27,Right Winger,Bari,0.0,Summer,2018,2018/2019
Massimo Gobbi,37,Left-Back,Chievo Verona,0.0,Summer,2018,2018/2019
Bruno Alves,36,Centre-Back,Rangers,0.0,Summer,2018,2018/2019
Emmanuele Matino,19,Centre-Back,Nocerina,0.0,Summer,2018,2018/2019
Matteo Luigi Brunori,23,Centre-Forward,Villabiagio,0.0,Summer,2018,2018/2019
Cristian Cauz,21,Left-Back,Real Forte,0.0,Summer,2018,2018/2019
Luca Rigoni,33,Central Midfield,Genoa,0.0,Summer,2018,2018/2019
Francesco Golfo,23,Left Winger,Pianese,0.0,Summer,2018,2018/2019
Fabrizio Bagheria,17,Goalkeeper,Inter U17,0.0,Summer,2018,2018/2019
Yves Kouadio,18,Right-Back,Lanusei,0.0,Summer,2018,2018/2019
Alessandro Bastoni,19,Centre-Back,Inter,0.0,Summer,2018,2018/2019
Alberto Grassi,23,Central Midfield,SSC Napoli,0.0,Summer,2018,2018/2019
Mattia Sprocati,25,Right Winger,Lazio,0.0,Summer,2018,2018/2019
Alessandro Deiola,23,Central Midfield,Cagliari Calcio,0.0,Summer,2018,2018/2019
Federico Dimarco,20,Centre-Back,Inter,0.0,Summer,2018,2018/2019
Amato Ciciretti,24,Right Winger,SSC Napoli,0.0,Summer,2018,2018/2019
Luigi Sepe,27,Goalkeeper,SSC Napoli,0.0,Summer,2018,2018/2019
Pasquale Mazzocchi,22,Right-Back,Perugia,-280000.0,Summer,2018,2018/2019
Valerio Di Cesare,35,Centre-Back,Bari,0.0,Summer,2018,2018/2019
Yan Koliatko,19,Left-Back,Delta PT,0.0,Summer,2018,2018/2019
Francesco Galuppini,24,Centre-Forward,Ravenna,0.0,Summer,2018,2018/2019
Andrea Dini,22,Goalkeeper,Trapani,0.0,Summer,2018,2018/2019
