player_name,age,position,club_involved,fee,transfer_period,year,season
Massimo Maccarone,24,Centre-Forward,Middlesbrough,1000000.0,Summer,2004,2004/2005
Matteo Contini,24,Centre-Back,Avellino,580000.0,Summer,2004,2004/2005
Alessandro Budel,23,Defensive Midfield,AC Milan,400000.0,Summer,2004,2004/2005
Cesare Bovo,21,Centre-Back,AS Roma,100000.0,Summer,2004,2004/2005
Gianluca Berti,37,Goalkeeper,US Palermo,0.0,Summer,2004,2004/2005
Fábio Simplício,24,Central Midfield,São Paulo,0.0,Summer,2004,2004/2005
Andrea Pisanu,22,Right Midfield,Hellas Verona,0.0,Summer,2004,2004/2005
Damiano Ferronetti,19,Centre-Back,AS Roma,0.0,Summer,2004,2004/2005
Vince Grella,24,Central Midfield,Empoli,0.0,Summer,2004,2004/2005
Mario Rebecchi,20,Central Midfield,Inter,0.0,Summer,2004,2004/2005
Alberto Galuppo,18,Centre-Back,Parma U19,0.0,Summer,2004,2004/2005
Daniele Dessena,17,Central Midfield,Parma U19,0.0,Summer,2004,2004/2005
Davide Furlan,18,Defensive Midfield,Parma U19,0.0,Summer,2004,2004/2005
Matteo Brighi,23,Central Midfield,Juventus,-11500000.0,Summer,2004,2004/2005
Matteo Ferrari,24,Centre-Back,AS Roma,-7000000.0,Summer,2004,2004/2005
Simone Barone,26,Central Midfield,US Palermo,-5000000.0,Summer,2004,2004/2005
Marcello Castellini,31,Centre-Back,Sampdoria,-1200000.0,Summer,2004,2004/2005
Hidetoshi Nakata,27,Attacking Midfield,Fiorentina,0.0,Summer,2004,2004/2005
Savo Milosevic,30,Centre-Forward,CA Osasuna,0.0,Summer,2004,2004/2005
Emiliano Moretti,23,Centre-Back,Valencia,0.0,Summer,2004,2004/2005
Júnior,31,Left-Back,São Paulo,0.0,Summer,2004,2004/2005
Ianis Zicu,20,Attacking Midfield,Inter,0.0,Summer,2004,2004/2005
Andrea Staffolani,21,Centre-Forward,Fermana,0.0,Summer,2004,2004/2005
Paolo Ruffini,20,Central Midfield,Pro Sesto,0.0,Summer,2004,2004/2005
Sebastiano Siviglia,31,Centre-Back,Lazio,0.0,Summer,2004,2004/2005
Benny Carbone,32,Second Striker,Catanzaro,0.0,Summer,2004,2004/2005
Gabriel Oyola,21,Centre-Back,Huracan TA,0.0,Summer,2004,2004/2005
Mirko Stefani,20,Centre-Back,Bellaria IM,0.0,Summer,2004,2004/2005
Zlatko Dedic,19,Centre-Forward,Empoli,0.0,Summer,2004,2004/2005
Antonio Benarrivo,35,Left-Back,Retired,0.0,Summer,2004,2004/2005
Marco Donadel,21,Defensive Midfield,AC Milan,0.0,Summer,2004,2004/2005
Anthony Seric,25,Left-Back,Hellas Verona,0.0,Summer,2004,2004/2005
Marco Amelia,22,Goalkeeper,AS Livorno,0.0,Summer,2004,2004/2005
Manuele Blasi,23,Central Midfield,Juventus,0.0,Summer,2004,2004/2005
Fabrizio Cammarata,28,Centre-Forward,Cagliari Calcio,0.0,Summer,2004,2004/2005
Stefano Bettarini,32,Left-Back,Sampdoria,0.0,Winter,2004,2004/2005
Luca Bucci,35,Goalkeeper,Without Club,0.0,Winter,2004,2004/2005
Daniele Degano,22,Second Striker,Ancona,0.0,Winter,2004,2004/2005
Federico Ranieri,18,midfield,Forlì,0.0,Winter,2004,2004/2005
Fabio Vignaroli,28,Centre-Forward,Modena,0.0,Winter,2004,2004/2005
Renato Olive,33,Central Midfield,Without Club,0.0,Winter,2004,2004/2005
Gianluca Berti,37,Goalkeeper,Torino,0.0,Winter,2004,2004/2005
Martin Djetou,30,Centre-Back,OGC Nice,0.0,Winter,2004,2004/2005
Alessandro Rosina,20,Right Winger,Hellas Verona,0.0,Winter,2004,2004/2005
Mario Rebecchi,21,Central Midfield,Inter,0.0,Winter,2004,2004/2005
Gaetano Grieco,22,Centre-Forward,Foggia,0.0,Winter,2004,2004/2005
