player_name,age,position,club_involved,fee,transfer_period,year,season
Gustavo Reggi,26,Centre-Forward,Gimnasia,0.0,Summer,1999,1999/2000
Riccardo Marroccolo,20,attack,Frosinone,0.0,Summer,1999,1999/2000
Nenad Pralija,28,Defensive Midfield,Hajduk Split,0.0,Summer,1999,1999/2000
Salvatore Vicari,18,Right Midfield,US Palermo,0.0,Summer,1999,1999/2000
Vladimiro Sbaglia,20,midfield,Frosinone,0.0,Summer,1999,1999/2000
Helmut Rahner,28,Centre-Back,1.FC Nuremberg,0.0,Summer,1999,1999/2000
Lorenzo Stovini,22,Centre-Back,Vicenza,0.0,Summer,1999,1999/2000
Mohamed Kallon,19,Centre-Forward,Cagliari Calcio,0.0,Summer,1999,1999/2000
Jorge Vargas,23,Centre-Back,U. Católica,0.0,Summer,1999,1999/2000
Giovanni Morabito,20,Left-Back,Vicenza,0.0,Summer,1999,1999/2000
Joseph Dayo Oshadogan,23,Centre-Back,AS Roma,0.0,Summer,1999,1999/2000
Ezio Brevi,29,Defensive Midfield,Ternana,0.0,Summer,1999,1999/2000
Andrea Bernini,26,Right Midfield,Montevarchi,0.0,Summer,1999,1999/2000
Paolo Foglio,23,Right-Back,Hellas Verona,0.0,Summer,1999,1999/2000
Andrea Pirlo,20,Defensive Midfield,Inter,0.0,Summer,1999,1999/2000
Roberto Baronio,21,Defensive Midfield,Lazio,0.0,Summer,1999,1999/2000
Giandomenico Mesto,17,Right-Back,Reggina Primaver,0.0,Summer,1999,1999/2000
Stefano Dall'Acqua,17,Centre-Forward,Reggina Primaver,0.0,Summer,1999,1999/2000
Mauro Briano,24,Defensive Midfield,Savoia,0.0,Summer,1999,1999/2000
Emanuele Aloe,17,defence,Unknown,0.0,Summer,1999,1999/2000
Vittorio Pinciarelli,27,midfield,Empoli,0.0,Summer,1999,1999/2000
Tonino Martino,30,attack,Savoia,0.0,Summer,1999,1999/2000
Paolo Ziliani,28,Sweeper,Treviso,0.0,Summer,1999,1999/2000
Ugo Napolitano,34,Centre-Back,Catanzaro,0.0,Summer,1999,1999/2000
Fabio Di Sole,25,Centre-Back,Cosenza,0.0,Summer,1999,1999/2000
Roberto Cevoli,30,Centre-Back,Cesena,0.0,Summer,1999,1999/2000
Goran Tomic,22,Centre-Forward,Vicenza,0.0,Summer,1999,1999/2000
Stefano Dall'Acqua,17,Centre-Forward,Derthona,0.0,Summer,1999,1999/2000
Paulo Pereira,33,Right-Back,Retired,0.0,Summer,1999,1999/2000
Fabio Firmani,21,Central Midfield,Vicenza,0.0,Summer,1999,1999/2000
Andrea Sussi,25,Left-Back,Perugia,0.0,Summer,1999,1999/2000
Fabio Artico,25,Centre-Forward,Empoli,0.0,Summer,1999,1999/2000
Erjon Bogdani,22,Centre-Forward,NK Zagreb,0.0,Winter,1999,1999/2000
Helmut Rahner,28,Centre-Back,Preußen Münster,0.0,Winter,1999,1999/2000
Maurizio Poli,35,defence,Savoia,0.0,Winter,1999,1999/2000
Massimo Campo,24,Right Winger,Castel di Sangro,0.0,Winter,1999,1999/2000
Paolo Orlandoni,27,Goalkeeper,Bologna,0.0,Winter,1999,1999/2000
Mozart,20,Defensive Midfield,Flamengo,1500000.0,Summer,2000,2000/2001
Martin Jiranek,21,Centre-Back,Slovan Liberec,1250000.0,Summer,2000,2000/2001
Marco Caneira,21,Centre-Back,Sporting CP,0.0,Summer,2000,2000/2001
Mamede,26,Central Midfield,Vitória Setúbal,0.0,Summer,2000,2000/2001
Alessandro Zoppetti,21,Centre-Back,Cremonese,0.0,Summer,2000,2000/2001
Ivan Franceschini,23,Centre-Back,Genoa,0.0,Summer,2000,2000/2001
Ricardo Verón,19,Central Midfield,San Lorenzo,0.0,Summer,2000,2000/2001
Luca Mezzano,23,Centre-Back,Inter,0.0,Summer,2000,2000/2001
Andrea Zanchetta,25,Central Midfield,Chievo Verona,0.0,Summer,2000,2000/2001
Massimo Marazzina,25,Centre-Forward,Chievo Verona,0.0,Summer,2000,2000/2001
Antonio Castelli,19,Goalkeeper,Reggina Primaver,0.0,Summer,2000,2000/2001
Bruno Cirillo,23,Centre-Back,Inter,-7500000.0,Summer,2000,2000/2001
Riccardo Marroccolo,21,attack,Foggia,0.0,Summer,2000,2000/2001
Nenad Pralija,29,Defensive Midfield,Maccabi Haifa,0.0,Summer,2000,2000/2001
Francesco Cester,19,attack,Castel San P.,0.0,Summer,2000,2000/2001
Vladimiro Sbaglia,21,midfield,Viterbese,0.0,Summer,2000,2000/2001
Mohamed Kallon,20,Centre-Forward,Vicenza,0.0,Summer,2000,2000/2001
Paolo Foglio,24,Right-Back,AC Venezia 1907,0.0,Summer,2000,2000/2001
Simone Giacchetta,30,Centre-Back,Genoa,0.0,Summer,2000,2000/2001
Paolo Orlandoni,28,Goalkeeper,Lazio,0.0,Summer,2000,2000/2001
Nicola Carlo Pagani,22,Centre-Back,Pistoiese,0.0,Summer,2000,2000/2001
Giandomenico Mesto,18,Right-Back,Cremonese,0.0,Summer,2000,2000/2001
Stefano Dall'Acqua,18,Centre-Forward,Arezzo,0.0,Summer,2000,2000/2001
Stefano Dall'Acqua,19,Centre-Forward,Città di Lecco,0.0,Summer,2000,2000/2001
Massimo Marazzina,26,Centre-Forward,Chievo Verona,0.0,Summer,2000,2000/2001
Roberto Baronio,22,Defensive Midfield,Lazio,0.0,Summer,2000,2000/2001
Andrea Pirlo,21,Defensive Midfield,Inter,0.0,Summer,2000,2000/2001
Massimo Taibi,30,Goalkeeper,Man Utd,0.0,Winter,2000,2000/2001
Paulo Costa,21,Attacking Midfield,Inter,0.0,Winter,2000,2000/2001
Maurizio Nassi,23,Centre-Forward,Gela,0.0,Winter,2000,2000/2001
Davide Dionigi,26,Centre-Forward,Sampdoria,0.0,Winter,2000,2000/2001
Vladimiro Sbaglia,22,midfield,Viterbese,0.0,Winter,2000,2000/2001
Gustavo Reggi,27,Centre-Forward,FC Crotone,0.0,Winter,2000,2000/2001
Davide Possanzini,24,Centre-Forward,Sampdoria,0.0,Winter,2000,2000/2001
Ivan Franceschini,24,Centre-Back,Chievo Verona,0.0,Winter,2000,2000/2001
Stefano Dall'Acqua,19,Centre-Forward,Gela,0.0,Winter,2000,2000/2001
Carlos Paredes,25,Defensive Midfield,FC Porto,4800000.0,Summer,2002,2002/2003
Shunsuke Nakamura,24,Attacking Midfield,Yokohama F. M.,2000000.0,Summer,2002,2002/2003
Alessandro Pierini,29,Centre-Back,Florentia,0.0,Summer,2002,2002/2003
Nassim Mendil,23,Centre-Forward,Cosenza,0.0,Summer,2002,2002/2003
Roberto Mafucci,17,attack,Unknown,0.0,Summer,2002,2002/2003
Riccardo Alderuccio,18,Centre-Back,Unknown,0.0,Summer,2002,2002/2003
Massimo Rastelli,33,Right Winger,Napoli,0.0,Summer,2002,2002/2003
Roberto Cardinale,21,Centre-Back,Salernitana,0.0,Summer,2002,2002/2003
Luca Castellazzi,27,Goalkeeper,Brescia,0.0,Summer,2002,2002/2003
David Di Michele,26,Centre-Forward,Udinese,0.0,Summer,2002,2002/2003
Gianluca Falsini,26,Left-Back,AC Parma,0.0,Summer,2002,2002/2003
Davide Dionigi,28,Centre-Forward,Napoli,-2000000.0,Summer,2002,2002/2003
Mario La Canna,24,Right Winger,SPAL,0.0,Summer,2002,2002/2003
Graziano Ursino,19,defence,Ragusa,0.0,Summer,2002,2002/2003
Arnauld Mercier,30,Centre-Back,Valenciennes FC,0.0,Summer,2002,2002/2003
Stefano Casale,31,Right Midfield,Cosenza,0.0,Summer,2002,2002/2003
Salvatore Ricca,18,Centre-Back,Fermana,0.0,Summer,2002,2002/2003
Alessandro Zoppetti,23,Centre-Back,Lecce,0.0,Summer,2002,2002/2003
Antonio Giosa,18,Centre-Back,Cittadella,0.0,Summer,2002,2002/2003
Nicola Carlo Pagani,24,Centre-Back,Cosenza,0.0,Summer,2002,2002/2003
Stefano Dall'Acqua,20,Centre-Forward,Cittadella,0.0,Summer,2002,2002/2003
Nassim Mendil,23,Centre-Forward,Catania,0.0,Summer,2002,2002/2003
Salvatore Vicari,21,Right Midfield,Messina Peloro,0.0,Summer,2002,2002/2003
Maurizio Franzone,33,Goalkeeper,Without Club,0.0,Summer,2002,2002/2003
Francesco Cester,21,attack,Unknown,0.0,Summer,2002,2002/2003
Damián Álvarez,24,Left Winger,River Plate,0.0,Summer,2002,2002/2003
Francesco Baldini,28,Centre-Back,Napoli,0.0,Summer,2002,2002/2003
Bruno Cirillo,25,Centre-Back,Lecce,0.0,Winter,2002,2002/2003
Aimo Diana,25,Right Midfield,AC Parma,0.0,Winter,2002,2002/2003
Stefano Torrisi,31,Centre-Back,AC Parma,0.0,Winter,2002,2002/2003
Emiliano Bonazzoli,24,Centre-Forward,AC Parma,0.0,Winter,2002,2002/2003
Alessandro Pierini,29,Centre-Back,AC Parma,0.0,Winter,2002,2002/2003
Nicola Carlo Pagani,25,Centre-Back,SPAL,0.0,Winter,2002,2002/2003
Nassim Mendil,23,Centre-Forward,Ascoli,0.0,Winter,2002,2002/2003
Luca Castellazzi,27,Goalkeeper,Brescia,0.0,Winter,2002,2002/2003
Emiliano Bonazzoli,24,Centre-Forward,AC Parma,4500000.0,Summer,2003,2003/2004
Davide Baiocco,28,Defensive Midfield,Juventus,250000.0,Summer,2003,2003/2004
Giacomo Tedesco,27,Central Midfield,Cosenza,0.0,Summer,2003,2003/2004
Gonzalo Martínez,27,Right-Back,Udinese,0.0,Summer,2003,2003/2004
Gianluca Falsini,27,Left-Back,AC Parma,0.0,Summer,2003,2003/2004
Stefano Torrisi,32,Centre-Back,AC Parma,0.0,Summer,2003,2003/2004
