player_name,age,position,club_involved,fee,transfer_period,year,season
Jasmin Kurtic,29,Central Midfield,Atalanta BC,5300000.0,Summer,2018,2018/2019
Alberto Paloschi,28,Centre-Forward,Atalanta BC,4000000.0,Summer,2018,2018/2019
Federico Viviani,26,Defensive Midfield,Hellas Verona,3300000.0,Summer,2018,2018/2019
Andrea Petagna,23,Centre-Forward,Atalanta BC,3000000.0,Summer,2018,2018/2019
Bartosz Salamon,27,Centre-Back,Cagliari Calcio,2000000.0,Summer,2018,2018/2019
Alfred Gomis,24,Goalkeeper,Torino,1500000.0,Summer,2018,2018/2019
Mirko Valdifiori,32,Defensive Midfield,Torino,1000000.0,Summer,2018,2018/2019
Gabriele Moncini,22,Centre-Forward,RC Cesena,0.0,Summer,2018,2018/2019
Johan Djourou,31,Centre-Back,Antalyaspor,0.0,Summer,2018,2018/2019
Simone Missiroli,32,Central Midfield,Sassuolo,0.0,Summer,2018,2018/2019
Maurice Gomis,20,Goalkeeper,Nocerina,0.0,Summer,2018,2018/2019
Vanja Milinković-Savić,21,Goalkeeper,Torino,0.0,Summer,2018,2018/2019
Mattia Valoti,24,Central Midfield,Hellas Verona,0.0,Summer,2018,2018/2019
Lorenzo Dickmann,21,Right-Back,Novara,0.0,Summer,2018,2018/2019
Mohamed Fares,22,Left Midfield,Hellas Verona,0.0,Summer,2018,2018/2019
Kevin Bonifazi,22,Centre-Back,Torino,0.0,Summer,2018,2018/2019
Riccardo Spaltro,18,Right-Back,SPAL U19,0.0,Summer,2018,2018/2019
Michele Castagnetti,28,Defensive Midfield,Cremonese,-1000000.0,Summer,2018,2018/2019
Alberto Grassi,23,Central Midfield,SSC Napoli,0.0,Summer,2018,2018/2019
Andrea Gemignani,22,Right-Back,Sambenedettese,-50000.0,Summer,2018,2018/2019
Francesco Posocco,22,Right Midfield,Catanzaro,0.0,Summer,2018,2018/2019
Gabriele Marchegiani,22,Goalkeeper,AS Gubbio,0.0,Summer,2018,2018/2019
Eros Schiavon,35,Central Midfield,Pro Vercelli,0.0,Summer,2018,2018/2019
Marco Borriello,36,Centre-Forward,UD Ibiza,0.0,Summer,2018,2018/2019
Fabio Della Giovanna,21,Centre-Back,Südtirol,0.0,Summer,2018,2018/2019
Shaka Mawuli Eklu,20,Central Midfield,Catanzaro,0.0,Summer,2018,2018/2019
Michele Cremonesi,30,Centre-Back,Perugia,0.0,Summer,2018,2018/2019
Mattia Finotto,25,Centre-Forward,Cittadella,0.0,Summer,2018,2018/2019
Maurice Gomis,20,Goalkeeper,Siracusa,0.0,Summer,2018,2018/2019
Alessandro Bellemo,22,Central Midfield,Pro Vercelli,0.0,Summer,2018,2018/2019
Riccardo Mastrilli,21,Left-Back,Teramo,0.0,Summer,2018,2018/2019
Riccardo Spaltro,18,Right-Back,Arzignano,0.0,Summer,2018,2018/2019
Gabriel Strefezza,21,Right Winger,Cremonese,0.0,Summer,2018,2018/2019
Pa Konate,24,Left-Back,Cincinnati,0.0,Summer,2018,2018/2019
Bartosz Salamon,27,Centre-Back,Frosinone,0.0,Summer,2018,2018/2019
Sauli Väisänen,24,Centre-Back,Crotone,0.0,Summer,2018,2018/2019
Boukary Dramé,32,Left-Back,Without Club,0.0,Summer,2018,2018/2019
Federico Mattiello,22,Right-Back,Atalanta BC,0.0,Summer,2018,2018/2019
Jasmin Kurtic,29,Central Midfield,Atalanta BC,0.0,Summer,2018,2018/2019
Federico Bonazzoli,21,Centre-Forward,Sampdoria,0.0,Summer,2018,2018/2019
Bartosz Salamon,27,Centre-Back,Cagliari Calcio,0.0,Summer,2018,2018/2019
Alfred Gomis,24,Goalkeeper,Torino,0.0,Summer,2018,2018/2019
Alberto Paloschi,28,Centre-Forward,Atalanta BC,0.0,Summer,2018,2018/2019
Federico Viviani,26,Defensive Midfield,Hellas Verona,0.0,Summer,2018,2018/2019
Alex Meret,21,Goalkeeper,Udinese Calcio,0.0,Summer,2018,2018/2019
Marko Jankovic,23,Attacking Midfield,Partizan,1800000.0,Winter,2018,2018/2019
Emiliano Viviano,33,Goalkeeper,Sporting CP,0.0,Winter,2018,2018/2019
Vasco Regini,28,Left-Back,Sampdoria,0.0,Winter,2018,2018/2019
Andrea Fulignati,24,Goalkeeper,Ascoli,0.0,Winter,2018,2018/2019
Alessandro Murgia,22,Central Midfield,Lazio,0.0,Winter,2018,2018/2019
Salvatore Esposito,18,Defensive Midfield,SPAL U19,0.0,Winter,2018,2018/2019
Federico Viviani,26,Defensive Midfield,Frosinone,-300000.0,Winter,2018,2018/2019
Pa Konate,24,Left-Back,GIF Sundsvall,0.0,Winter,2018,2018/2019
Tommaso Costantini,22,Right Winger,Massese,0.0,Winter,2018,2018/2019
Maurice Gomis,21,Goalkeeper,FK Kukësi,0.0,Winter,2018,2018/2019
Gabriele Moncini,22,Centre-Forward,Cittadella,0.0,Winter,2018,2018/2019
Riccardo Mastrilli,21,Left-Back,Bisceglie,0.0,Winter,2018,2018/2019
Mattia Vitale,21,Central Midfield,Carpi,0.0,Winter,2018,2018/2019
Salvatore Esposito,18,Defensive Midfield,Ravenna,0.0,Winter,2018,2018/2019
Demba Thiam,20,Goalkeeper,Viterbese,0.0,Winter,2018,2018/2019
Everton Luiz,30,Defensive Midfield,Salt Lake,0.0,Winter,2018,2018/2019
Jacopo Murano,28,Centre-Forward,Without Club,0.0,Winter,2018,2018/2019
Johan Djourou,31,Centre-Back,Without Club,0.0,Winter,2018,2018/2019
Vanja Milinković-Savić,21,Goalkeeper,Torino,0.0,Winter,2018,2018/2019
Andrea Petagna,24,Centre-Forward,Atalanta BC,12000000.0,Summer,2019,2019/2020
Alessandro Murgia,22,Central Midfield,Lazio,4000000.0,Summer,2019,2019/2020
Mohamed Fares,23,Left Midfield,Hellas Verona,3500000.0,Summer,2019,2019/2020
Mattia Valoti,25,Central Midfield,Hellas Verona,3000000.0,Summer,2019,2019/2020
Igor,21,Centre-Back,RB Salzburg,3000000.0,Summer,2019,2019/2020
Arkadiusz Reca,24,Left-Back,Atalanta BC,400000.0,Summer,2019,2019/2020
Lorenzo Dickmann,22,Right-Back,Novara,250000.0,Summer,2019,2019/2020
Davide Mazzocco,23,Central Midfield,Padova,0.0,Summer,2019,2019/2020
Jacopo Sala,27,Central Midfield,Sampdoria,0.0,Summer,2019,2019/2020
Marco D'Alessandro,28,Right Winger,Atalanta BC,0.0,Summer,2019,2019/2020
Etrit Berisha,30,Goalkeeper,Atalanta BC,0.0,Summer,2019,2019/2020
Karlo Letica,22,Goalkeeper,Club Brugge,0.0,Summer,2019,2019/2020
Federico Di Francesco,25,Left Winger,Sassuolo,0.0,Summer,2019,2019/2020
Nenad Tomović,31,Centre-Back,Chievo Verona,0.0,Summer,2019,2019/2020
Paolo Cannistrà,18,Centre-Back,SPAL U19,0.0,Summer,2019,2019/2020
Manuel Lazzari,25,Right-Back,Lazio,-15000000.0,Summer,2019,2019/2020
Filippo Costa,24,Left-Back,SSC Napoli,-1450000.0,Summer,2019,2019/2020
Alfred Gomis,25,Goalkeeper,Dijon,-1000000.0,Summer,2019,2019/2020
Kevin Bonifazi,23,Centre-Back,Torino,0.0,Summer,2019,2019/2020
Michele Cremonesi,31,Centre-Back,Venezia,0.0,Summer,2019,2019/2020
Mattia Finotto,26,Centre-Forward,Monza,0.0,Summer,2019,2019/2020
Pasquale Schiattarella,32,Defensive Midfield,Benevento,0.0,Summer,2019,2019/2020
Mirco Antenucci,34,Centre-Forward,Bari,0.0,Summer,2019,2019/2020
Shaka Mawuli Eklu,21,Central Midfield,Zlate Moravce,0.0,Summer,2019,2019/2020
Sauli Väisänen,25,Centre-Back,Chievo Verona,0.0,Summer,2019,2019/2020
Alessandro Bellemo,23,Central Midfield,Como,0.0,Summer,2019,2019/2020
Fabio Della Giovanna,22,Centre-Back,Imolese,0.0,Summer,2019,2019/2020
Lorenzo Dickmann,22,Right-Back,Chievo Verona,0.0,Summer,2019,2019/2020
Federico Viviani,27,Defensive Midfield,AS Livorno,0.0,Summer,2019,2019/2020
Salvatore Esposito,18,Defensive Midfield,Chievo Verona,0.0,Summer,2019,2019/2020
Mattia Vitale,21,Central Midfield,Frosinone,0.0,Summer,2019,2019/2020
Davide Mazzocco,23,Central Midfield,Pordenone,0.0,Summer,2019,2019/2020
Giacomo Poluzzi,31,Goalkeeper,Without Club,0.0,Summer,2019,2019/2020
Lorenco Simic,22,Centre-Back,Sampdoria,0.0,Summer,2019,2019/2020
Vasco Regini,28,Left-Back,Sampdoria,0.0,Summer,2019,2019/2020
Andrea Fulignati,24,Goalkeeper,Ascoli,0.0,Summer,2019,2019/2020
Alessandro Murgia,22,Central Midfield,Lazio,0.0,Summer,2019,2019/2020
Emiliano Viviano,33,Goalkeeper,Sporting CP,0.0,Summer,2019,2019/2020
Andrea Petagna,24,Centre-Forward,Atalanta BC,0.0,Summer,2019,2019/2020
Mattia Valoti,25,Central Midfield,Hellas Verona,0.0,Summer,2019,2019/2020
Lorenzo Dickmann,22,Right-Back,Novara,0.0,Summer,2019,2019/2020
Mohamed Fares,23,Left Midfield,Hellas Verona,0.0,Summer,2019,2019/2020
Ervin Zukanovic,32,Centre-Back,Al-Ahli SFC,0.0,Winter,2019,2019/2020
Kevin Bonifazi,23,Centre-Back,Torino,0.0,Winter,2019,2019/2020
Lucas Castro,30,Attacking Midfield,Cagliari Calcio,0.0,Winter,2019,2019/2020
Andrea Petagna,24,Centre-Forward,SSC Napoli,0.0,Winter,2019,2019/2020
Alberto Cerri,23,Centre-Forward,Cagliari Calcio,0.0,Winter,2019,2019/2020
Bryan Dabo,27,Central Midfield,Fiorentina,0.0,Winter,2019,2019/2020
Georgi Tunjov,18,Central Midfield,SPAL U19,0.0,Winter,2019,2019/2020
Andrea Petagna,24,Centre-Forward,SSC Napoli,-16600000.000000002,Winter,2019,2019/2020
Gabriele Moncini,23,Centre-Forward,Benevento,-2500000.0,Winter,2019,2019/2020
Igor,21,Centre-Back,Fiorentina,-1400000.0,Winter,2019,2019/2020
Jasmin Kurtic,31,Central Midfield,Parma,-500000.0,Winter,2019,2019/2020
Shaka Mawuli Eklu,21,Central Midfield,Ravenna,0.0,Winter,2019,2019/2020
Alberto Paloschi,30,Centre-Forward,Cagliari Calcio,0.0,Winter,2019,2019/2020
Everton Luiz,31,Defensive Midfield,Salt Lake,0.0,Winter,2019,2019/2020
Mattia Vitale,22,Central Midfield,Frosinone,0.0,Winter,2019,2019/2020
Marko Jankovic,24,Attacking Midfield,Crotone,0.0,Winter,2019,2019/2020
Jasmin Kurtic,29,Central Midfield,Atalanta BC,5300000.0,in,Summer,2018,2018/2019
Alberto Paloschi,28,Centre-Forward,Atalanta BC,4000000.0,in,Summer,2018,2018/2019
Federico Viviani,26,Defensive Midfield,Hellas Verona,3300000.0,in,Summer,2018,2018/2019
Andrea Petagna,23,Centre-Forward,Atalanta BC,3000000.0,in,Summer,2018,2018/2019
Bartosz Salamon,27,Centre-Back,Cagliari Calcio,2000000.0,in,Summer,2018,2018/2019
Alfred Gomis,24,Goalkeeper,Torino,1500000.0,in,Summer,2018,2018/2019
Mirko Valdifiori,32,Defensive Midfield,Torino,1000000.0,in,Summer,2018,2018/2019
Gabriele Moncini,22,Centre-Forward,RC Cesena,0.0,in,Summer,2018,2018/2019
Johan Djourou,31,Centre-Back,Antalyaspor,0.0,in,Summer,2018,2018/2019
Simone Missiroli,32,Central Midfield,Sassuolo,0.0,in,Summer,2018,2018/2019
Maurice Gomis,20,Goalkeeper,Nocerina,0.0,in,Summer,2018,2018/2019
Vanja Milinković-Savić,21,Goalkeeper,Torino,0.0,in,Summer,2018,2018/2019
Mattia Valoti,24,Central Midfield,Hellas Verona,0.0,in,Summer,2018,2018/2019
Lorenzo Dickmann,21,Right-Back,Novara,0.0,in,Summer,2018,2018/2019
