player_name,age,position,club_involved,fee,transfer_period,year,season
Paul Gascoigne,25,Attacking Midfield,Spurs,7400000.0,Summer,1992,1992/1993
Giuseppe Favalli,20,Left-Back,Cremonese,2580000.0,Summer,1992,1992/1993
Diego Fuser,23,Right Midfield,Milan,2000000.0,Summer,1992,1992/1993
Aron Winter,25,Defensive Midfield,Ajax,1300000.0,Summer,1992,1992/1993
Giacomo Galli,20,attack,Palermo,0.0,Summer,1992,1992/1993
Luca Luzardi,22,Centre-Back,Brescia,0.0,Summer,1992,1992/1993
Mauro Bonomi,19,Centre-Back,Cremonese,0.0,Summer,1992,1992/1993
Paolo Di Sarno,24,Goalkeeper,Ternana,0.0,Summer,1992,1992/1993
Dario Marcolin,20,Defensive Midfield,Cremonese,0.0,Summer,1992,1992/1993
Giuseppe Signori,24,Centre-Forward,Foggia,0.0,Summer,1992,1992/1993
Roberto Cravero,28,Sweeper,Torino,0.0,Summer,1992,1992/1993
Rubén Sosa,26,Centre-Forward,Inter,-6000000.0,Summer,1992,1992/1993
Alessandro Manetti,20,midfield,Acireale,0.0,Summer,1992,1992/1993
Stefano Melchiori,26,midfield,Lecce,0.0,Summer,1992,1992/1993
Raffaele Sergio,25,Left-Back,Torino,0.0,Summer,1992,1992/1993
Paolo Di Sarno,24,Goalkeeper,Udinese,0.0,Summer,1992,1992/1993
Claudio Vertova,32,defence,Città di Lecco,0.0,Summer,1992,1992/1993
Roberto Soldà,33,midfield,Calcio Monza,0.0,Summer,1992,1992/1993
Gabriele Pin,30,Central Midfield,AC Parma,0.0,Summer,1992,1992/1993
Berardino Capocchiano,26,Centre-Forward,Bari,0.0,Summer,1992,1992/1993
Giacomo Galli,21,attack,Formia Calcio,0.0,Winter,1992,1992/1993
Luca Marchegiani,27,Goalkeeper,Torino,7000000.0,Summer,1993,1993/1994
Roberto Di Matteo,23,Central Midfield,FC Aarau,1700000.0,Summer,1993,1993/1994
Pierluigi Casiraghi,24,Centre-Forward,Juventus,775000.0,Summer,1993,1993/1994
Giampaolo Saurini,24,Centre-Forward,Brescia,0.0,Summer,1993,1993/1994
