player_name,age,position,club_involved,fee,transfer_period,year,season
Paolo Ziliani,21,Sweeper,Brescia,0.0,Summer,1992,1992/1993
Roberto Policano,28,Left-Back,Torino,0.0,Summer,1992,1992/1993
Carlo Cornacchia,27,Right-Back,Atalanta,0.0,Summer,1992,1992/1993
Giorgio Bresciani,23,Centre-Forward,Cagliari Calcio,0.0,Summer,1992,1992/1993
Luca Altomare,20,Central Midfield,Reggiana,0.0,Summer,1992,1992/1993
Fausto Pari,29,Defensive Midfield,Sampdoria,0.0,Summer,1992,1992/1993
Daniel Fonseca,22,Centre-Forward,Cagliari Calcio,0.0,Summer,1992,1992/1993
Jonas Thern,25,Central Midfield,Benfica,0.0,Summer,1992,1992/1993
Angelo Carbone,24,Right Midfield,Milan,0.0,Summer,1992,1992/1993
Fabio Cannavaro,18,Centre-Back,Napoli U19,0.0,Summer,1992,1992/1993
Laurent Blanc,26,Centre-Back,Nîmes Olympique,0.0,Summer,1992,1992/1993
Ernesto Gallo,19,midfield,Retired,0.0,Summer,1992,1992/1993
Marco Ferrante,21,Centre-Forward,AC Parma,0.0,Summer,1992,1992/1993
Gianfranco Germoni,19,defence,Barletta CS,0.0,Summer,1992,1992/1993
Stefano De Agostini,27,Defensive Midfield,Atalanta,0.0,Summer,1992,1992/1993
Vittorio Pusceddu,28,Left-Back,Cagliari Calcio,0.0,Summer,1992,1992/1993
Claudio Bonomi,19,Left Midfield,Castel di Sangro,0.0,Summer,1992,1992/1993
Andrea Silenzi,26,Centre-Forward,Torino,0.0,Summer,1992,1992/1993
Michele Padovano,25,Centre-Forward,Genoa,0.0,Summer,1992,1992/1993
Alemão,30,Defensive Midfield,Atalanta,0.0,Summer,1992,1992/1993
Fernando De Napoli,28,Central Midfield,Milan,0.0,Summer,1992,1992/1993
Giuseppe Taglialatela,23,Goalkeeper,Ternana,0.0,Summer,1992,1992/1993
Massimo Filardi,25,Left-Back,Unknown,0.0,Summer,1992,1992/1993
Sebastiano Nela,31,Left-Back,AS Roma,0.0,Winter,1992,1992/1993
Fabrizio Carli,17,attack,AS Roma,0.0,Winter,1992,1992/1993
Paolo Ziliani,21,Sweeper,Brescia,0.0,Winter,1992,1992/1993
Giuseppe Taglialatela,23,Goalkeeper,Bari,0.0,Winter,1992,1992/1993
Paolo Di Canio,24,Centre-Forward,Juventus,0.0,Summer,1993,1993/1994
Eugenio Corini,22,Defensive Midfield,Sampdoria,0.0,Summer,1993,1993/1994
Mario Massimo Caruso,23,Attacking Midfield,Modena,0.0,Summer,1993,1993/1994
Roberto Bordin,28,Defensive Midfield,Atalanta,0.0,Summer,1993,1993/1994
Raffaele Di Fusco,31,Goalkeeper,Torino,0.0,Summer,1993,1993/1994
Giovanni Bia,24,Centre-Back,Cosenza,0.0,Summer,1993,1993/1994
Renato Buso,23,Right Midfield,Sampdoria,0.0,Summer,1993,1993/1994
Fabio Pecchia,19,Right Midfield,Avellino,0.0,Summer,1993,1993/1994
Enzo Gambaro,27,Left-Back,Milan,0.0,Summer,1993,1993/1994
Angelo Pagotto,19,Goalkeeper,Napoli U19,0.0,Summer,1993,1993/1994
Ciro Caruso,19,Centre-Back,Napoli U19,0.0,Summer,1993,1993/1994
Gaetano De Rosa,20,Centre-Back,Palermo,0.0,Summer,1993,1993/1994
Fabrizio Carli,18,attack,Nola,0.0,Summer,1993,1993/1994
Marco Sansonetti,28,Goalkeeper,Potenza SC,0.0,Summer,1993,1993/1994
Cristian Baglieri,19,Centre-Forward,Cisco Lodigiani,0.0,Summer,1993,1993/1994
Luca Altomare,21,Central Midfield,Lucchese,0.0,Summer,1993,1993/1994
Giovanni Galli,35,Goalkeeper,Torino,0.0,Summer,1993,1993/1994
Gianfranco Zola,26,Second Striker,AC Parma,0.0,Summer,1993,1993/1994
Massimo Mauro,31,Right Midfield,Retired,0.0,Summer,1993,1993/1994
Angelo Carbone,25,Right Midfield,Milan,0.0,Summer,1993,1993/1994
Massimo Crippa,28,Central Midfield,AC Parma,0.0,Summer,1993,1993/1994
Carmelo Imbriani,17,midfield,Napoli U19,0.0,Winter,1993,1993/1994
Careca,33,Centre-Forward,Kashiwa Reysol,0.0,Winter,1993,1993/1994
André Cruz,25,Centre-Back,Standard Liège,0.0,Summer,1994,1994/1995
Massimo Agostini,30,Centre-Forward,Ancona,0.0,Summer,1994,1994/1995
Gaetano De Rosa,21,Centre-Back,US Palermo,0.0,Summer,1994,1994/1995
Roberto Vezzosi,20,Right-Back,Pontedera,0.0,Summer,1994,1994/1995
Luca Luzardi,24,Centre-Back,Lazio,0.0,Summer,1994,1994/1995
Gabriele Grossi,22,Left-Back,Bari,0.0,Summer,1994,1994/1995
Salvatore Matrecano,23,Centre-Back,AC Parma,0.0,Summer,1994,1994/1995
Luca Altomare,22,Central Midfield,Lucchese,0.0,Summer,1994,1994/1995
Alain Boghossian,23,Central Midfield,Marseille,0.0,Summer,1994,1994/1995
Franco Lerda,26,Centre-Forward,Brescia,0.0,Summer,1994,1994/1995
Freddy Rincón,27,Central Midfield,Palmeiras,0.0,Summer,1994,1994/1995
