player_name,age,position,club_involved,fee,transfer_period,year,season
Maurizio Ferrarese,25,Left-Back,Vicenza,0.0,Summer,1992,1992/1993
Raffaele Sergio,25,Left-Back,Lazio,0.0,Summer,1992,1992/1993
Antonio Aloisi,23,defence,Ascoli,0.0,Summer,1992,1992/1993
Marcelo Saralegui,21,Attacking Midfield,Nacional,0.0,Summer,1992,1992/1993
Mohammed Gargo,17,Centre-Back,Real Tamale,0.0,Summer,1992,1992/1993
Daniele Fortunato,29,Defensive Midfield,Bari,0.0,Summer,1992,1992/1993
Domenico Doardo,17,Goalkeeper,Vicenza,0.0,Summer,1992,1992/1993
Andrea Silenzi,26,Centre-Forward,Napoli,0.0,Summer,1992,1992/1993
Carlos Aguilera,27,Centre-Forward,Genoa,0.0,Summer,1992,1992/1993
Gianluigi Lentini,23,Right Winger,Milan,-9550000.0,Summer,1992,1992/1993
Rafael Martín Vázquez,26,Attacking Midfield,Marseille,-2160000.0,Summer,1992,1992/1993
Christian Vieri,18,Centre-Forward,AC Pisa,0.0,Summer,1992,1992/1993
Ivanoe Lanzara,19,Left-Back,SC Leffe,0.0,Summer,1992,1992/1993
Massimiliano Manni,20,Left-Back,Avezzano,0.0,Summer,1992,1992/1993
Massimiliano Ferina,20,defence,Pavia,0.0,Summer,1992,1992/1993
Roberto Policano,28,Left-Back,Napoli,0.0,Summer,1992,1992/1993
Giorgio Bresciani,23,Centre-Forward,Cagliari Calcio,0.0,Summer,1992,1992/1993
Carmelo Puglisi,20,midfield,Messina,0.0,Summer,1992,1992/1993
Marco Bertelli,20,attack,Massese,0.0,Summer,1992,1992/1993
Luca Pastine,21,Goalkeeper,Casertana,0.0,Summer,1992,1992/1993
Benny Carbone,20,Second Striker,Ascoli,0.0,Summer,1992,1992/1993
Roberto Cravero,28,Sweeper,Lazio,0.0,Summer,1992,1992/1993
Marco Sinigaglia,24,midfield,Calcio Monza,0.0,Winter,1992,1992/1993
Maurizio Ferrarese,25,Left-Back,Vicenza,0.0,Winter,1992,1992/1993
Marco Osio,27,Defensive Midfield,AC Parma,0.0,Summer,1993,1993/1994
Marco Sinigaglia,25,midfield,Calcio Monza,0.0,Summer,1993,1993/1994
Enzo Francescoli,31,Centre-Forward,Cagliari Calcio,0.0,Summer,1993,1993/1994
Marco Sesia,23,midfield,Nizzamillefonti,0.0,Summer,1993,1993/1994
Luca Pastine,22,Goalkeeper,Casertana,0.0,Summer,1993,1993/1994
Angelo Gregucci,29,Centre-Back,Lazio,0.0,Summer,1993,1993/1994
Giovanni Galli,35,Goalkeeper,Napoli,0.0,Summer,1993,1993/1994
Robert Jarni,24,Left-Back,Bari,0.0,Summer,1993,1993/1994
Gabriele Graziani,18,Centre-Forward,Torino U19,0.0,Summer,1993,1993/1994
Giulio Falcone,19,Centre-Back,Torino U19,0.0,Summer,1993,1993/1994
Michele Marcolini,17,Central Midfield,Torino U19,0.0,Summer,1993,1993/1994
Luca Marchegiani,27,Goalkeeper,Lazio,-7000000.0,Summer,1993,1993/1994
Pasquale Bruno,31,Right-Back,Fiorentina,-775000.0,Summer,1993,1993/1994
Mohammed Gargo,18,Centre-Back,B. Dortmund II,0.0,Summer,1993,1993/1994
Casagrande,30,Second Striker,Flamengo,0.0,Summer,1993,1993/1994
Antonio Aloisi,24,defence,Cagliari Calcio,0.0,Summer,1993,1993/1994
Alvise Zago,23,midfield,Bologna,0.0,Summer,1993,1993/1994
Antonino Di Maggio,19,Right Winger,CPR Ospitaletto,0.0,Summer,1993,1993/1994
Raffaele Di Fusco,31,Goalkeeper,Napoli,0.0,Summer,1993,1993/1994
Emmanuel Duah,16,Left Winger,Standard Liège,0.0,Summer,1993,1993/1994
