player_name,age,position,club_involved,fee,transfer_period,year,season
Simone Barone,28,Central Midfield,US Palermo,4099999.9999999995,Summer,2006,2006/2007
Ivan Franceschini,29,Centre-Back,Reggina,800000.0,Summer,2006,2006/2007
Nikola Lazetic,28,Right Midfield,AS Livorno,720000.0,Summer,2006,2006/2007
Marco Di Loreto,31,Centre-Back,Fiorentina,500000.0,Summer,2006,2006/2007
Christian Abbiati,29,Goalkeeper,AC Milan,300000.0,Summer,2006,2006/2007
Masashi Oguro,26,Centre-Forward,Grenoble,0.0,Summer,2006,2006/2007
Giuseppe Pancaro,34,Right-Back,Fiorentina,0.0,Summer,2006,2006/2007
Gabriele Cioffi,30,Centre-Back,Mantova,0.0,Summer,2006,2006/2007
Stefano Fiore,31,Attacking Midfield,Valencia,0.0,Summer,2006,2006/2007
Axel Konan,23,Left Winger,Lecce,0.0,Summer,2006,2006/2007
Davide Bottone,20,Central Midfield,Torino U19,0.0,Summer,2006,2006/2007
André Pinga,25,Attacking Midfield,Internacional,-900000.0,Summer,2006,2006/2007
Zisis Vryzas,32,Centre-Forward,Skoda Xanthi,0.0,Summer,2006,2006/2007
Fabio Piroli,21,attack,Taranto,0.0,Summer,2006,2006/2007
Martin Lejsal,23,Goalkeeper,1. FC Brno,0.0,Summer,2006,2006/2007
Claudio Ferrarese,27,Right Winger,Hellas Verona,0.0,Summer,2006,2006/2007
Angelo Pagotto,32,Goalkeeper,Grosseto,0.0,Summer,2006,2006/2007
Raffaele Longo,28,Central Midfield,Genoa,0.0,Summer,2006,2006/2007
Enrico Fantini,30,Centre-Forward,Bologna,0.0,Summer,2006,2006/2007
Luca Ungari,31,Centre-Back,Modena,0.0,Summer,2006,2006/2007
Davide Nicola,33,Right-Back,Spezia,0.0,Summer,2006,2006/2007
Mark Edusei,29,Defensive Midfield,Catania,0.0,Summer,2006,2006/2007
Tommaso Vailatti,20,Right Midfield,Vicenza,0.0,Summer,2006,2006/2007
Davide Bottone,20,Central Midfield,Biellese,0.0,Summer,2006,2006/2007
Vito Falconieri,20,Centre-Forward,Brindisi,0.0,Summer,2006,2006/2007
Andrea Gentile,26,Central Midfield,Messina Peloro,0.0,Summer,2006,2006/2007
Elvis Abbruscato,25,Centre-Forward,Arezzo,0.0,Summer,2006,2006/2007
Gianluca Comotto,27,Right-Back,AS Roma,2200000.0,Winter,2006,2006/2007
Francesco Coco,29,Left-Back,Inter,450000.0,Winter,2006,2006/2007
Cesare Bovo,23,Centre-Back,US Palermo,0.0,Winter,2006,2006/2007
Angelo Ogbonna,18,Centre-Back,Torino U19,0.0,Winter,2006,2006/2007
Giovanni Orfei,30,Centre-Back,Salernitana,0.0,Winter,2006,2006/2007
Matteo Melara,27,Right-Back,Ascoli,0.0,Winter,2006,2006/2007
Stefano Fiore,31,Attacking Midfield,Valencia,0.0,Winter,2006,2006/2007
David Di Michele,31,Centre-Forward,US Palermo,3800000.0,Summer,2007,2007/2008
Cesare Natali,28,Centre-Back,Udinese,3500000.0,Summer,2007,2007/2008
Paolo Zanetti,24,Defensive Midfield,Ascoli,1500000.0,Summer,2007,2007/2008
Sasa Bjelanovic,28,Centre-Forward,Ascoli,1060000.0,Summer,2007,2007/2008
Salvatore Lanna,30,Left-Back,Chievo Verona,1000000.0,Summer,2007,2007/2008
Matteo Rubin,19,Left-Back,Cittadella,550000.0,Summer,2007,2007/2008
Paolo Dellafiore,22,Centre-Back,US Palermo,100000.0,Summer,2007,2007/2008
Matteo Sereni,32,Goalkeeper,Lazio,0.0,Summer,2007,2007/2008
Nicola Ventola,29,Centre-Forward,Atalanta BC,0.0,Summer,2007,2007/2008
Vince Grella,27,Central Midfield,Parma,0.0,Summer,2007,2007/2008
Eugenio Corini,36,Defensive Midfield,US Palermo,0.0,Summer,2007,2007/2008
Dominique Malonga,18,Centre-Forward,Monaco U19,0.0,Summer,2007,2007/2008
Marco Motta,21,Right-Back,Udinese,0.0,Summer,2007,2007/2008
Álvaro Recoba,31,Second Striker,Inter,0.0,Summer,2007,2007/2008
