player_name,age,position,club_involved,fee,transfer_period,year,season
Des Walker,26,Centre-Back,Nottm Forest,1700000.0,Summer,1992,1992/1993
Enrico Chiesa,21,Centre-Forward,Chieti,0.0,Summer,1992,1992/1993
Michele Serena,22,Left-Back,Verona,0.0,Summer,1992,1992/1993
Mauro Bertarelli,21,attack,Ancona,0.0,Summer,1992,1992/1993
Stefano Sacchetti,19,Centre-Back,Modena,0.0,Summer,1992,1992/1993
Vladimir Jugovic,22,Left Midfield,Red Star,0.0,Summer,1992,1992/1993
Nicola Zanini,18,Attacking Midfield,Juventus,0.0,Summer,1992,1992/1993
Eugenio Corini,21,Defensive Midfield,Juventus,0.0,Summer,1992,1992/1993
Roberto Bucchioni,19,defence,Sampdoria U19,0.0,Summer,1992,1992/1993
Gianluca Vialli,27,Centre-Forward,Juventus,-16500000.0,Summer,1992,1992/1993
Giorgio Zanutta,18,defence,SPAL,0.0,Summer,1992,1992/1993
Fausto Pari,29,Defensive Midfield,Napoli,0.0,Summer,1992,1992/1993
Silas,26,Central Midfield,Internacional,0.0,Summer,1992,1992/1993
Alessandro Orlando,22,Left-Back,Udinese,0.0,Summer,1992,1992/1993
Dario Bonetti,30,Centre-Back,SPAL,0.0,Summer,1992,1992/1993
Giovanni Dall'Igna,19,Right-Back,SPAL,0.0,Summer,1992,1992/1993
Sergio Porcù,20,Goalkeeper,Retired,0.0,Summer,1992,1992/1993
Toninho Cerezo,37,Defensive Midfield,São Paulo,0.0,Winter,1992,1992/1993
David Platt,27,Attacking Midfield,Juventus,7800000.0,Summer,1993,1993/1994
Ruud Gullit,30,Second Striker,Milan,0.0,Summer,1993,1993/1994
Roberto Breda,23,Central Midfield,SPAL,0.0,Summer,1993,1993/1994
Fausto Salsano,33,Right Winger,AS Roma,0.0,Summer,1993,1993/1994
Marco Rossi,28,Sweeper,Brescia,0.0,Summer,1993,1993/1994
Alberico Evani,30,Left Midfield,Milan,0.0,Summer,1993,1993/1994
Matteo Sereni,18,Goalkeeper,Sampdoria U19,0.0,Summer,1993,1993/1994
Claudio Bellucci,18,Centre-Forward,Sampdoria U19,0.0,Summer,1993,1993/1994
Des Walker,27,Centre-Back,Sheff Wed,-3000000.0,Summer,1993,1993/1994
Enrico Chiesa,22,Centre-Forward,Modena,0.0,Summer,1993,1993/1994
Ivano Bonetti,28,Left Midfield,Bologna,0.0,Summer,1993,1993/1994
Roberto Breda,23,Central Midfield,Salernitana,0.0,Summer,1993,1993/1994
Alessandro Lamonica,20,Centre-Back,Prato,0.0,Summer,1993,1993/1994
Marco Lanna,24,Centre-Back,AS Roma,0.0,Summer,1993,1993/1994
Renato Buso,23,Right Midfield,Napoli,0.0,Summer,1993,1993/1994
Nicola Zanini,19,Attacking Midfield,Mantova,0.0,Summer,1993,1993/1994
