player_name,age,position,club_involved,fee,transfer_period,year,season
André Gumprecht,18,Central Midfield,Leverkusen II,0.0,Summer,1993,1993/1994
Gaúcho,29,attack,Flamengo,0.0,Summer,1993,1993/1994
Riccardo Napolitano,18,Goalkeeper,Sora,0.0,Summer,1993,1993/1994
Franco Marchegiani,28,Defensive Midfield,AC Pisa,0.0,Summer,1993,1993/1994
Valerio Gazzani,26,midfield,Ternana,0.0,Summer,1993,1993/1994
Rufo Emiliano Verga,23,Centre-Back,Milan,0.0,Summer,1993,1993/1994
Pasquale Padalino,20,Centre-Back,Bologna,0.0,Summer,1993,1993/1994
Kwame Ayew,19,Centre-Forward,Al-Ahli SC,0.0,Summer,1993,1993/1994
Gerson,26,Central Midfield,Bari,0.0,Summer,1993,1993/1994
Marco Barollo,20,midfield,Inter,0.0,Summer,1993,1993/1994
Giampiero Maini,21,Defensive Midfield,Ascoli,0.0,Summer,1993,1993/1994
Mauro Della Bona,18,defence,Fasano,0.0,Summer,1993,1993/1994
Gabriele Grossi,21,Left-Back,AS Roma,0.0,Summer,1993,1993/1994
Alessandro Morello,24,attack,Acireale,0.0,Summer,1993,1993/1994
Pierluigi Orlandini,20,Right Midfield,Atalanta,0.0,Summer,1993,1993/1994
Pedro Pasculli,33,Centre-Forward,Newell's,0.0,Summer,1993,1993/1994
Alessio Scarchilli,20,Attacking Midfield,AS Roma,0.0,Summer,1993,1993/1994
Antonio Rizzolo,24,attack,Palermo,0.0,Summer,1993,1993/1994
Giacomo Ferri,34,Centre-Back,Retired,0.0,Summer,1993,1993/1994
Paolo Benedetti,32,Central Midfield,Without Club,0.0,Summer,1993,1993/1994
Simone Erba,22,attack,UC AlbinoLeffe,0.0,Winter,1993,1993/1994
Claudio D'Onofrio,22,attack,Lumezzane,0.0,Winter,1993,1993/1994
Danny Dichio,22,Centre-Forward,Sampdoria,0.0,Summer,1997,1997/1998
Giuseppe Anastasi,23,defence,Atletico Catania,0.0,Summer,1997,1997/1998
Paolo Annoni,27,Left-Back,Bari,0.0,Summer,1997,1997/1998
Giovanni Pittalis,26,midfield,Casarano,0.0,Summer,1997,1997/1998
Francesco De Francesco,19,Second Striker,Milan,0.0,Summer,1997,1997/1998
Andrés Martínez,24,Central Midfield,Defensor,0.0,Summer,1997,1997/1998
Giuseppe Baronchelli,26,Centre-Back,Fiorenzuola,0.0,Summer,1997,1997/1998
Raffaele Costantino,21,attack,Stabia,0.0,Summer,1997,1997/1998
Riccardo Maspero,26,Attacking Midfield,Cremonese,0.0,Summer,1997,1997/1998
Maurizio Rossi,27,midfield,Vicenza,0.0,Summer,1997,1997/1998
Dejan Govedarica,27,Central Midfield,FC Volendam,0.0,Summer,1997,1997/1998
William Viali,22,Centre-Back,Ascoli,0.0,Summer,1997,1997/1998
Luigi Piangerelli,23,Defensive Midfield,Cesena,0.0,Summer,1997,1997/1998
Orazio Russo,23,Right Winger,Catania,0.0,Summer,1997,1997/1998
Michael Hatz,26,Centre-Back,Reggiana,0.0,Summer,1997,1997/1998
Alessandro Conticchio,23,Central Midfield,Gualdo,0.0,Summer,1997,1997/1998
Sergiy Atelkin,25,Centre-Forward,Shakhtar D.,0.0,Summer,1997,1997/1998
Francesco Cozza,23,Attacking Midfield,Milan,0.0,Summer,1997,1997/1998
Jean-Pierre Cyprien,28,Centre-Back,Xamax,0.0,Summer,1997,1997/1998
Alessandro Quarta,20,Goalkeeper,Lecce U19,0.0,Summer,1997,1997/1998
Gianni Cavezzi,27,Right Midfield,Cagliari Calcio,0.0,Summer,1997,1997/1998
Cristian Baglieri,23,Centre-Forward,Castel di Sangro,0.0,Summer,1997,1997/1998
Francesco Zanoncelli,29,Centre-Back,Cagliari Calcio,0.0,Summer,1997,1997/1998
Walter Dondoni,31,Sweeper,Ascoli,0.0,Summer,1997,1997/1998
Luca Evangelisti,31,midfield,Ischia,0.0,Summer,1997,1997/1998
Cosimo Francioso,30,Left Winger,Ravenna,0.0,Summer,1997,1997/1998
Simone Greco,19,midfield,Pistoiese,0.0,Summer,1997,1997/1998
Fabio Macellari,23,Left-Back,Cagliari Calcio,0.0,Summer,1997,1997/1998
Matteo Centurioni,23,Centre-Back,Cagliari Calcio,0.0,Summer,1997,1997/1998
Alessandro Cucciari,27,Defensive Midfield,Perugia,0.0,Summer,1997,1997/1998
Tiziano De Patre,28,Left Midfield,Cagliari Calcio,0.0,Summer,1997,1997/1998
Jonathan Bachini,22,Left Midfield,Udinese,0.0,Summer,1997,1997/1998
Cristian Servidei,24,Centre-Back,AS Roma,0.0,Summer,1997,1997/1998
Vincenzo Mazzeo,28,midfield,Padova,0.0,Summer,1997,1997/1998
Riccardo Maspero,26,Attacking Midfield,Vicenza,0.0,Summer,1997,1997/1998
Giuseppe Quaranta,20,midfield,Retired,0.0,Summer,1997,1997/1998
Massimiliano Marzano,20,midfield,Casarano,0.0,Summer,1997,1997/1998
Riccardo Maspero,26,Attacking Midfield,Cremonese,0.0,Summer,1997,1997/1998
Alessandro Iannuzzi,22,Centre-Forward,Vicenza,0.0,Winter,1997,1997/1998
Giuseppe Giannini,33,Attacking Midfield,Napoli,0.0,Winter,1997,1997/1998
Stefano Rossini,26,Left-Back,Atalanta BC,0.0,Winter,1997,1997/1998
Richard Vanigli,26,Right-Back,Castel di Sangro,0.0,Winter,1997,1997/1998
Michael Hatz,27,Centre-Back,Rapid Vienna,0.0,Winter,1997,1997/1998
Orazio Russo,24,Right Winger,SPAL,0.0,Winter,1997,1997/1998
Andrés Martínez,25,Central Midfield,Bologna,0.0,Winter,1997,1997/1998
Cosimo Nobile,19,Centre-Forward,Città di Lecco,0.0,Winter,1997,1997/1998
Danny Dichio,23,Centre-Forward,Sampdoria,0.0,Winter,1997,1997/1998
Francisco Lima,28,Defensive Midfield,FC Zürich,0.0,Summer,1999,1999/2000
Angelo Paradiso,22,midfield,Napoli,0.0,Summer,1999,1999/2000
Ivan Aiardi,28,Goalkeeper,Andria,0.0,Summer,1999,1999/2000
Claudio Bonomi,26,Left Midfield,Empoli,0.0,Summer,1999,1999/2000
Domenico Di Carlo,35,Central Midfield,Vicenza,0.0,Summer,1999,1999/2000
Jorge Casanova,22,Central Midfield,Bella Vista,0.0,Summer,1999,1999/2000
Alberto Savino,26,Centre-Back,Brescia,0.0,Summer,1999,1999/2000
David Balleri,30,Right-Back,Sampdoria,0.0,Summer,1999,1999/2000
Antonio Chimenti,29,Goalkeeper,AS Roma,0.0,Summer,1999,1999/2000
Cristiano Lucarelli,23,Centre-Forward,Valencia,0.0,Summer,1999,1999/2000
Emiliano Biliotti,24,Attacking Midfield,Ravenna,0.0,Summer,1999,1999/2000
Matteo Pivotto,24,Right-Back,Chievo Verona,0.0,Summer,1999,1999/2000
Gianluca Colonnello,26,Left-Back,Perugia,0.0,Summer,1999,1999/2000
Alessandro De Poli,29,Right Winger,Treviso,0.0,Summer,1999,1999/2000
Francesco Marino,28,Second Striker,Brescia,0.0,Summer,1999,1999/2000
Axel Konan,16,Left Winger,Lecce U19,0.0,Summer,1999,1999/2000
Sergiy Atelkin,27,Centre-Forward,Shakhtar D.,0.0,Summer,1999,1999/2000
Cosimo Nobile,20,Centre-Forward,Marsala 1912,0.0,Summer,1999,1999/2000
Giovanni Conversano,20,midfield,Castel di Sangro,0.0,Summer,1999,1999/2000
Christian Cimarelli,23,midfield,Chievo Verona,0.0,Summer,1999,1999/2000
Renato Greco,30,Centre-Forward,Savoia,0.0,Summer,1999,1999/2000
Francesco Bellucci,26,Centre-Back,Treviso,0.0,Summer,1999,1999/2000
Stefano Casale,28,Right Midfield,Sampdoria,0.0,Summer,1999,1999/2000
Fabrizio Lorieri,35,Goalkeeper,Salernitana,0.0,Summer,1999,1999/2000
Marcello Campolonghi,24,Second Striker,Cesena,0.0,Summer,1999,1999/2000
Jean-Pierre Cyprien,30,Centre-Back,Salernitana,0.0,Summer,1999,1999/2000
Roberto Stellone,21,Centre-Forward,Napoli,0.0,Summer,1999,1999/2000
Marco Zamboni,21,Centre-Back,Udinese,0.0,Summer,1999,1999/2000
Vincenzo Marruocco,20,Goalkeeper,Messina Peloro,0.0,Summer,1999,1999/2000
Giuseppe Giannini,34,Attacking Midfield,Retired,0.0,Summer,1999,1999/2000
Esquerdinha,19,attack,Retired,0.0,Summer,1999,1999/2000
Matteo Ferrari,19,Centre-Back,Inter,0.0,Summer,1999,1999/2000
Manuele Blasi,18,Central Midfield,AS Roma,0.0,Summer,1999,1999/2000
Juarez,26,Right-Back,Servette FC,0.0,Winter,1999,1999/2000
Mirco Sadotti,24,Centre-Back,Milan,0.0,Winter,1999,1999/2000
Giacomo Cipriani,19,Centre-Forward,Bologna,0.0,Winter,1999,1999/2000
Alessandro De Poli,30,Right Winger,Empoli,0.0,Winter,1999,1999/2000
Angelo Paradiso,22,midfield,Cesena,0.0,Winter,1999,1999/2000
Cristiano Pavone,27,Left-Back,Salernitana,0.0,Winter,1999,1999/2000
Giampiero Cazzella,23,attack,Castrovillari,0.0,Winter,1999,1999/2000
Martino Traversa,25,Right-Back,Siena,0.0,Winter,1999,1999/2000
Alessandro Doga,24,Left Midfield,Chievo Verona,0.0,Winter,1999,1999/2000
Pier Giovanni Rutzittu,23,midfield,Fermana,0.0,Winter,1999,1999/2000
Francesco Marino,29,Second Striker,Brescia,0.0,Winter,1999,1999/2000
Davor Vugrinec,25,Centre-Forward,Trabzonspor,171000.0,Summer,2000,2000/2001
Krasimir Chomakov,23,Defensive Midfield,CSKA Sofia,0.0,Summer,2000,2000/2001
Stéphane Coqu,18,Goalkeeper,LOSC Lille,0.0,Summer,2000,2000/2001
Aldo Osorio,26,Centre-Forward,Argentinos Jrs.,0.0,Summer,2000,2000/2001
Mirko Vucinic,16,Centre-Forward,Sutjeska Niksic,0.0,Summer,2000,2000/2001
Giampiero Cazzella,24,attack,Cavese,0.0,Summer,2000,2000/2001
Davide Olivares,28,midfield,Bari,0.0,Summer,2000,2000/2001
Dario Dainelli,21,Centre-Back,Andria,0.0,Summer,2000,2000/2001
Alessandro Pellicori,18,Centre-Forward,Cosenza,0.0,Summer,2000,2000/2001
Diego Mateo,21,Defensive Midfield,Newell's,0.0,Summer,2000,2000/2001
Alberto Malusci,28,Sweeper,Cosenza,0.0,Summer,2000,2000/2001
Max Tonetto,25,Left-Back,Milan,0.0,Summer,2000,2000/2001
Maurizio Bedin,21,Central Midfield,Udinese,0.0,Summer,2000,2000/2001
