player_name,age,position,club_involved,fee,transfer_period,year,season
Simone Barone,26,Central Midfield,Parma,5000000.0,Summer,2004,2004/2005
Mariano González,23,midfield,Racing Club,3500000.0,Summer,2004,2004/2005
Andrea Barzagli,23,Centre-Back,Chievo Verona,1500000.0,Summer,2004,2004/2005
Cristian Zaccardo,22,Centre-Back,Bologna,680000.0,Summer,2004,2004/2005
Daniele Fornaio,16,Central Midfield,AC Venezia 1907,0.0,Summer,2004,2004/2005
Francesco Milano,20,attack,Isernia,0.0,Summer,2004,2004/2005
Cristian Raimondi,23,Right Midfield,UC AlbinoLeffe,0.0,Summer,2004,2004/2005
Adriano,22,Right-Back,Grêmio,0.0,Summer,2004,2004/2005
Matteo Guardalben,30,Goalkeeper,Piacenza,0.0,Summer,2004,2004/2005
Gianluca Berti,37,Goalkeeper,Parma,0.0,Summer,2004,2004/2005
Olufemi,20,Centre-Forward,AC Venezia 1907,0.0,Summer,2004,2004/2005
Vincenzo Giannusa,23,Central Midfield,Carrarese,0.0,Summer,2004,2004/2005
Davide Matteini,22,Left Winger,Padova,0.0,Summer,2004,2004/2005
Evans Soligo,25,Central Midfield,Triestina,0.0,Summer,2004,2004/2005
Daniele Zito,18,defence,Gela,0.0,Summer,2004,2004/2005
Ighli Vannucchi,27,Attacking Midfield,Empoli,0.0,Summer,2004,2004/2005
Jeda,25,Second Striker,Piacenza,0.0,Summer,2004,2004/2005
Paolo Cotroneo,20,Centre-Back,Fermana,0.0,Summer,2004,2004/2005
Gaetano Vasari,33,Right Winger,Vittoria Calcio,0.0,Summer,2004,2004/2005
Michele Trionfante,22,midfield,Igea 1946,0.0,Summer,2004,2004/2005
Nicola Milano,21,midfield,Carrarese,0.0,Summer,2004,2004/2005
Filippo Maniero,31,Centre-Forward,Torino,0.0,Summer,2004,2004/2005
Giuseppe Mascara,24,Second Striker,Perugia,0.0,Summer,2004,2004/2005
Valentin Nastase,29,Centre-Back,Bologna,0.0,Summer,2004,2004/2005
Antonio Filippini,31,Right Midfield,Lazio,0.0,Summer,2004,2004/2005
Simone Pepe,20,Right Winger,Piacenza,0.0,Summer,2004,2004/2005
Salvatore Masiello,22,Left-Back,Piacenza,0.0,Summer,2004,2004/2005
Valentino Lai,20,Central Midfield,Triestina,0.0,Summer,2004,2004/2005
Franck Ongfiang,19,Left Midfield,Martina,0.0,Summer,2004,2004/2005
Emanuele Filippini,31,Central Midfield,Lazio,0.0,Summer,2004,2004/2005
Daniele Di Donato,27,Central Midfield,Siena,0.0,Summer,2004,2004/2005
Leandro Rinaudo,21,Centre-Back,Cesena,0.0,Summer,2004,2004/2005
Maurizio Ciaramitaro,22,Central Midfield,Cesena,0.0,Summer,2004,2004/2005
Antonino Asta,33,Right Midfield,Retired,0.0,Summer,2004,2004/2005
Gianluca Atzori,33,defence,Retired,0.0,Summer,2004,2004/2005
Davide Possanzini,28,Centre-Forward,UC AlbinoLeffe,1900000.0,Winter,2004,2004/2005
Davide Matteini,22,Left Winger,FC Crotone,0.0,Winter,2004,2004/2005
Adriano,22,Right-Back,Atalanta BC,0.0,Winter,2004,2004/2005
Ernesto Farías,24,Centre-Forward,River Plate,0.0,Winter,2004,2004/2005
Andrea Gasbarroni,23,Second Striker,Sampdoria,0.0,Winter,2004,2004/2005
Andrea Caracciolo,23,Centre-Forward,Brescia,9000000.0,Summer,2005,2005/2006
Stephen Makinwa,22,Centre-Forward,Atalanta BC,7500000.0,Summer,2005,2005/2006
Massimo Bonanni,23,Left Midfield,AS Roma,750000.0,Summer,2005,2005/2006
Andrea Bovo,19,Central Midfield,SSC Venezia,0.0,Summer,2005,2005/2006
Valerio Virga,19,Right-Back,AS Roma,0.0,Summer,2005,2005/2006
Paul Codrea,24,Central Midfield,Perugia,0.0,Summer,2005,2005/2006
Mariano Andújar,21,Goalkeeper,Huracán,0.0,Summer,2005,2005/2006
Luca Toni,28,Centre-Forward,Fiorentina,-10000000.0,Summer,2005,2005/2006
Antonino Di Franco,18,midfield,ASG Nocerina,0.0,Summer,2005,2005/2006
Valentino Lai,21,Central Midfield,Landskrona,0.0,Summer,2005,2005/2006
Lamberto Zauli,33,Attacking Midfield,Sampdoria,0.0,Summer,2005,2005/2006
Andrea Bovo,19,Central Midfield,Salernitana,0.0,Summer,2005,2005/2006
Valerio Virga,19,Right-Back,Ascoli,0.0,Summer,2005,2005/2006
Davide Matteini,23,Left Winger,Pescara,0.0,Summer,2005,2005/2006
Paolo Comi,21,Goalkeeper,UC AlbinoLeffe,0.0,Summer,2005,2005/2006
Emanuele Filippini,31,Central Midfield,Treviso,0.0,Summer,2005,2005/2006
Francesco Modesto,23,Left-Back,Reggina,0.0,Summer,2005,2005/2006
