player_name,age,position,club_involved,fee,transfer_period,year,season
Riccardo Gagliolo,31,Centre-Back,Parma,2000000.0,Summer,2021,2021/2022
Vincenzo Fiorillo,31,Goalkeeper,Pescara,600000.0,Summer,2021,2021/2022
Simy,29,Centre-Forward,Crotone,500000.0,Summer,2021,2021/2022
Reda Boultam,23,Attacking Midfield,Triestina,200000.0,Summer,2021,2021/2022
Lassana Coulibaly,25,Central Midfield,Angers SCO,0.0,Summer,2021,2021/2022
Wajdi Kechrida,25,Right Midfield,ES Sahel,0.0,Summer,2021,2021/2022
Joel Obi,30,Central Midfield,Chievo Verona,0.0,Summer,2021,2021/2022
Stefan Strandberg,30,Centre-Back,Ural,0.0,Summer,2021,2021/2022
Michele Cavion,26,Central Midfield,Ascoli,0.0,Summer,2021,2021/2022
Luka Bogdan,25,Centre-Back,Livorno,0.0,Summer,2021,2021/2022
Edoardo Vergani,20,Centre-Forward,Inter,0.0,Summer,2021,2021/2022
Grigoris Kastanos,23,Central Midfield,Juventus U23,0.0,Summer,2021,2021/2022
Clemente Crisci,19,Central Midfield,Sanfeliciana,0.0,Summer,2021,2021/2022
Kaleb Jimenez Castillo,18,Central Midfield,Seregno,0.0,Summer,2021,2021/2022
Tomasz Kupisz,31,Right Midfield,Bari,0.0,Summer,2021,2021/2022
Andrea Schiavone,28,Defensive Midfield,Bari,0.0,Summer,2021,2021/2022
Luca Ranieri,22,Left-Back,Fiorentina,0.0,Summer,2021,2021/2022
Filippo Delli Carri,22,Centre-Back,Juventus U23,0.0,Summer,2021,2021/2022
Federico Bonazzoli,24,Centre-Forward,Sampdoria,0.0,Summer,2021,2021/2022
Matteo Ruggeri,19,Left-Back,Atalanta BC,0.0,Summer,2021,2021/2022
Nadir Zortea,22,Right Midfield,Atalanta BC,0.0,Summer,2021,2021/2022
Pawel Jaroszynski,26,Left-Back,Genoa,0.0,Summer,2021,2021/2022
Cedric Gondo,24,Centre-Forward,Without Club,0.0,Summer,2021,2021/2022
Franck Ribéry,38,Left Winger,Without Club,0.0,Summer,2021,2021/2022
Maoudo Diallo,21,Right-Back,Unknown,0.0,Summer,2021,2021/2022
Iacopo Cernigoi,26,Centre-Forward,Seregno,0.0,Summer,2021,2021/2022
Emilio Volpicelli,28,Right Winger,Viterbese,0.0,Summer,2021,2021/2022
Giuseppe Barone,22,Left Winger,Ascoli,0.0,Summer,2021,2021/2022
Antonino Musso,21,Centre-Forward,Trapani,0.0,Summer,2021,2021/2022
Giuseppe Fella,27,Second Striker,Palermo,0.0,Summer,2021,2021/2022
Filippo D'Andrea,22,Centre-Forward,Seregno,0.0,Summer,2021,2021/2022
Edoardo Iannoni,20,Central Midfield,Ancona,0.0,Summer,2021,2021/2022
Tomasz Kupisz,31,Right Midfield,Pordenone,0.0,Summer,2021,2021/2022
Felipe Curcio,28,Left-Back,Padova,0.0,Summer,2021,2021/2022
Kaleb Jimenez Castillo,18,Central Midfield,Seregno,0.0,Summer,2021,2021/2022
Gaetano Vitale,20,Central Midfield,Seregno,0.0,Summer,2021,2021/2022
Clemente Crisci,19,Central Midfield,Bisceglie,0.0,Summer,2021,2021/2022
Valerio Mantovani,25,Centre-Back,Alessandria,0.0,Summer,2021,2021/2022
Gioacchino Galeotafiore,21,Centre-Back,Seregno,0.0,Summer,2021,2021/2022
Reda Boultam,23,Attacking Midfield,Cosenza,0.0,Summer,2021,2021/2022
Michele Cavion,26,Central Midfield,Brescia,0.0,Summer,2021,2021/2022
Julian Kristoffersen,24,Centre-Forward,Cosenza,0.0,Summer,2021,2021/2022
Sanasi Sy,22,Left-Back,Cosenza,0.0,Summer,2021,2021/2022
Francesco Orlando,24,Right Winger,Alessandria,0.0,Summer,2021,2021/2022
Alessandro Micai,27,Goalkeeper,Reggina,0.0,Summer,2021,2021/2022
Luka Bogdan,25,Centre-Back,Livorno,0.0,Summer,2021,2021/2022
Niccolò Giannetti,30,attack,Without Club,0.0,Summer,2021,2021/2022
Marco Firenze,28,Central Midfield,Without Club,0.0,Summer,2021,2021/2022
Cedric Gondo,24,Centre-Forward,Lazio,0.0,Summer,2021,2021/2022
Emanuele Cicerelli,26,Left Winger,Lazio,0.0,Summer,2021,2021/2022
Tomasz Kupisz,31,Right Midfield,Bari,0.0,Summer,2021,2021/2022
Tiago Casasola,25,Right-Back,Lazio,0.0,Summer,2021,2021/2022
Andrea Schiavone,28,Defensive Midfield,Bari,0.0,Summer,2021,2021/2022
Gennaro Tutino,24,Centre-Forward,SSC Napoli,0.0,Summer,2021,2021/2022
Patryk Dziczek,23,Defensive Midfield,Lazio,0.0,Summer,2021,2021/2022
Mirko Antonucci,22,Right Winger,AS Roma,0.0,Summer,2021,2021/2022
Marius Adamonis,24,Goalkeeper,Lazio,0.0,Summer,2021,2021/2022
André Anderson,21,Attacking Midfield,Lazio,0.0,Summer,2021,2021/2022
Joel Baraye,24,Left-Back,Padova,0.0,Summer,2021,2021/2022
Riza Durmisi,27,Left-Back,Lazio,0.0,Summer,2021,2021/2022
Sofian Kiyine,23,Central Midfield,Lazio,0.0,Summer,2021,2021/2022
Pawel Jaroszynski,26,Left-Back,Pescara,0.0,Summer,2021,2021/2022
Reda Boultam,23,Attacking Midfield,Triestina,0.0,Summer,2021,2021/2022
Cristiano Lombardi,25,Right Winger,Lazio,0.0,Summer,2021,2021/2022
Éderson,22,Central Midfield,Corinthians,6500000.0,Winter,2021,2021/2022
Simy,29,Centre-Forward,Crotone,3500000.0,Winter,2021,2021/2022
Mikael,22,Centre-Forward,Sport Recife,800000.0,Winter,2021,2021/2022
