player_name,age,position,club_involved,fee,transfer_period,year,season
Simone Zaza,22,Centre-Forward,Juventus,10000000.0,Summer,2013,2013/2014
Raman Chibsah,20,Central Midfield,Parma,5000000.0,Summer,2013,2013/2014
Luca Marrone,23,Centre-Back,Juventus,4500000.0,Summer,2013,2013/2014
Jasmin Kurtic,24,Central Midfield,US Palermo,4000000.0,Summer,2013,2013/2014
Francesco Acerbi,25,Centre-Back,Genoa,3200000.0,Summer,2013,2013/2014
Jonathan Rossini,24,Centre-Back,Sampdoria,1300000.0,Summer,2013,2013/2014
Diego Farias,23,Left Winger,Chievo Verona,550000.0,Summer,2013,2013/2014
Gianluca Pegolo,32,Goalkeeper,Siena,500000.0,Summer,2013,2013/2014
Marius Alexe,23,Centre-Forward,FC Dinamo,500000.0,Summer,2013,2013/2014
Aladje,19,Centre-Forward,Aprilia,0.0,Summer,2013,2013/2014
Domenico Berardi,19,Right Winger,Juventus,0.0,Summer,2013,2013/2014
Riccardo Barbuti,21,Centre-Forward,Barletta,500,Summer,2013,2013/2014
Raffaele D'Orsi,21,Centre-Back,Pavia,0.0,Summer,2013,2013/2014
Luca Antei,21,Centre-Back,AS Roma,0.0,Summer,2013,2013/2014
Raffaele Pucino,22,Right-Back,Varese,0.0,Summer,2013,2013/2014
Reto Ziegler,27,Centre-Back,Juventus,0.0,Summer,2013,2013/2014
Ezequiel Schelotto,24,Right-Back,Inter,0.0,Summer,2013,2013/2014
Antonio Rosati,30,Goalkeeper,SSC Napoli,0.0,Summer,2013,2013/2014
Antonio Floro Flores,30,Centre-Forward,Genoa,0.0,Summer,2013,2013/2014
Domenico Berardi,19,Right Winger,Juventus,-4500000.0,Summer,2013,2013/2014
Gennaro Troianiello,30,Right Winger,US Palermo,-500000.0,Summer,2013,2013/2014
Pellegrino Albanese,22,Centre-Back,Msida SJ,0.0,Summer,2013,2013/2014
Davide Luppi,23,Centre-Forward,Correggese,0.0,Summer,2013,2013/2014
Michele Troiano,28,Defensive Midfield,Virtus Entella,0.0,Summer,2013,2013/2014
Lorenzo Laverone,24,Right-Back,Varese,0.0,Summer,2013,2013/2014
Alessandro Noselli,32,Centre-Forward,NY Cosmos,0.0,Summer,2013,2013/2014
Vincenzo Ferrara,20,Right Winger,Aprilia,0.0,Summer,2013,2013/2014
Raffaele D'Orsi,21,Centre-Back,SPAL,0.0,Summer,2013,2013/2014
Diego Falcinelli,22,Centre-Forward,Virtus Lanciano,0.0,Summer,2013,2013/2014
Leonardo Pavoletti,24,Centre-Forward,Varese,0.0,Summer,2013,2013/2014
Tommaso Bianchi,24,Central Midfield,Modena,0.0,Summer,2013,2013/2014
Riccardo Barbuti,21,Centre-Forward,Aprilia,0.0,Summer,2013,2013/2014
Simone Finizza,19,Right-Back,Without Club,0.0,Summer,2013,2013/2014
Mirko Pigliacelli,20,Goalkeeper,Parma,0.0,Summer,2013,2013/2014
Raman Chibsah,20,Central Midfield,Parma,0.0,Summer,2013,2013/2014
Andrea Catellani,25,Centre-Forward,Catania,0.0,Summer,2013,2013/2014
Richmond Boakye,20,Centre-Forward,Juventus,0.0,Summer,2013,2013/2014
Luca Antei,21,Centre-Back,AS Roma,0.0,Summer,2013,2013/2014
Nicola Sansone,22,Left Winger,Parma,8250000.0,Winter,2013,2013/2014
Antonio Sanabria,17,Centre-Forward,Barcelona B,5700000.0,Winter,2013,2013/2014
Sergio Floccari,32,Centre-Forward,Lazio,2000000.0,Winter,2013,2013/2014
Lorenzo Ariaudo,24,Centre-Back,Cagliari Calcio,800000.0,Winter,2013,2013/2014
