player_name,age,position,club_involved,fee,transfer_period,year,season
Marek Koźmiński,21,Left-Back,Hutnik Krakow,0.0,Summer,1992,1992/1993
Paolo Di Sarno,24,Goalkeeper,Lazio,0.0,Summer,1992,1992/1993
Alessandro Testaferrata,18,Goalkeeper,Bozzano,0.0,Summer,1992,1992/1993
Stefano Pellegrini,24,Right-Back,AS Roma,0.0,Summer,1992,1992/1993
Stefano Desideri,27,Right Midfield,Inter,0.0,Summer,1992,1992/1993
Jonathan Bachini,17,Left Midfield,Alessandria Youth,0.0,Summer,1992,1992/1993
Piotr Czachowski,25,Centre-Back,Zaglebie Lubin,0.0,Summer,1992,1992/1993
Alessandro Orlando,22,Left-Back,Sampdoria,0.0,Summer,1992,1992/1993
Marco Branca,27,Centre-Forward,Fiorentina,0.0,Summer,1992,1992/1993
Massimo Mariotto,26,midfield,Reggina,0.0,Summer,1992,1992/1993
Antonino Gazzè,17,defence,Parma U19,0.0,Summer,1992,1992/1993
Rodolfo Vanoli,29,midfield,SPAL,0.0,Summer,1992,1992/1993
Massimo Susic,25,Centre-Back,AC Pisa,0.0,Summer,1992,1992/1993
Manuel Marcuz,20,Right-Back,Catania,0.0,Summer,1992,1992/1993
Antonio Manicone,25,Defensive Midfield,Inter,0.0,Summer,1992,1992/1993
Marco Nappi,26,Second Striker,SPAL,0.0,Summer,1992,1992/1993
Stefano Rossini,21,Left-Back,Inter,0.0,Summer,1992,1992/1993
Willi Pittana,20,midfield,Catania,0.0,Summer,1992,1992/1993
Simone Cadamuro,19,attack,Formia Calcio,0.0,Summer,1992,1992/1993
Massimiliano Buzzinelli,19,midfield,Avezzano,0.0,Summer,1992,1992/1993
Emiliano Bernardini,18,defence,AS Roma,0.0,Winter,1992,1992/1993
Michele Gelsi,25,Central Midfield,Perugia,0.0,Winter,1992,1992/1993
Piotr Czachowski,26,Centre-Back,Legia Warszawa,0.0,Winter,1992,1992/1993
Valerio Bertotto,20,Right-Back,Alessandria,1500000.0,Summer,1993,1993/1994
Marco Delvecchio,20,Centre-Forward,Inter,150000.0,Summer,1993,1993/1994
Thomas Helveg,22,Right-Back,Odense BK,0.0,Summer,1993,1993/1994
Vincenzo Montalbano,24,Centre-Back,Modena,0.0,Summer,1993,1993/1994
Alessandro Manni,19,Attacking Midfield,Ternana,0.0,Summer,1993,1993/1994
Oberdan Biagioni,23,Attacking Midfield,Foggia,0.0,Summer,1993,1993/1994
Manuel Marcuz,21,Right-Back,Catania,0.0,Summer,1993,1993/1994
Fausto Pizzi,25,Attacking Midfield,AC Parma,0.0,Summer,1993,1993/1994
Massimiliano Caniato,25,Goalkeeper,AC Venezia 1907,0.0,Summer,1993,1993/1994
Francesco Statuto,21,Central Midfield,Cosenza,0.0,Summer,1993,1993/1994
Andrea Carnevale,32,Centre-Forward,AS Roma,0.0,Summer,1993,1993/1994
Stefano Rossini,22,Left-Back,Inter,0.0,Summer,1993,1993/1994
Graziano Battistini,22,Goalkeeper,Alessandria,0.0,Summer,1993,1993/1994
Fabio Petruzzi,22,Centre-Back,AS Roma,0.0,Summer,1993,1993/1994
Emiliano Bernardini,18,defence,Roma U19,0.0,Summer,1993,1993/1994
Francesco Dell'Anno,26,midfield,Inter,0.0,Summer,1993,1993/1994
Paolo Di Sarno,25,Goalkeeper,Lucchese,0.0,Summer,1993,1993/1994
Luca Mattei,28,midfield,AC Pisa,0.0,Summer,1993,1993/1994
Lorenzo Marronaro,32,Right Winger,Empoli,0.0,Summer,1993,1993/1994
Alessandro Orlando,23,Left-Back,Milan,0.0,Summer,1993,1993/1994
Abel Balbo,27,Centre-Forward,AS Roma,0.0,Summer,1993,1993/1994
Renzo Contratto,33,Right-Back,Retired,0.0,Summer,1993,1993/1994
Andrea Mandorlini,32,Defensive Midfield,Retired,0.0,Summer,1993,1993/1994
Nicola Di Leo,33,Goalkeeper,Retired,0.0,Summer,1993,1993/1994
Giuliano Giuliani,34,Goalkeeper,Retired,0.0,Summer,1993,1993/1994
Nicola Trangoni,19,midfield,Unknown,0.0,Summer,1993,1993/1994
Michele Michelutti,20,Goalkeeper,Retired,0.0,Summer,1993,1993/1994
Andrea Tricca,20,defence,Retired,0.0,Summer,1993,1993/1994
Massimo Mariotto,27,midfield,Reggina,0.0,Summer,1993,1993/1994
Dariusz Adamczuk,24,Defensive Midfield,Dundee FC,0.0,Winter,1993,1993/1994
Stefano Borgonovo,29,Centre-Forward,Pescara,0.0,Winter,1993,1993/1994
Néstor Sensini,27,Centre-Back,AC Parma,-1500000.0,Winter,1993,1993/1994
Andrea Carnevale,32,Centre-Forward,Pescara,0.0,Winter,1993,1993/1994
Luca Compagnon,21,Right-Back,Carrarese,0.0,Winter,1993,1993/1994
Oliver Bierhoff,27,Centre-Forward,Ascoli,1150000.0,Summer,1995,1995/1996
Giuliano Giannichedda,20,Defensive Midfield,Sora,0.0,Summer,1995,1995/1996
Vincenzo Montalbano,26,Centre-Back,Hellas Verona,0.0,Summer,1995,1995/1996
Raffaele Sergio,28,Left-Back,Ancona,0.0,Summer,1995,1995/1996
David Stefani,20,Central Midfield,Siena,0.0,Summer,1995,1995/1996
Attilio Gregori,29,Goalkeeper,Hellas Verona,0.0,Summer,1995,1995/1996
Alessandro Testaferrata,21,Goalkeeper,Battipagliese,0.0,Summer,1995,1995/1996
Giovanni Stroppa,27,Attacking Midfield,Milan,0.0,Summer,1995,1995/1996
Giovanni Bia,26,Centre-Back,Inter,0.0,Summer,1995,1995/1996
Mohammed Gargo,20,Centre-Back,Stoke City,0.0,Summer,1995,1995/1996
Luca Compagnon,22,Right-Back,Savoia,0.0,Summer,1995,1995/1996
Alessio Scarchilli,22,Attacking Midfield,AS Roma,0.0,Summer,1995,1995/1996
Vito Lasalandra,20,Right Midfield,ASG Nocerina,0.0,Summer,1995,1995/1996
Fausto Pizzi,27,Attacking Midfield,Napoli,0.0,Summer,1995,1995/1996
Massimiliano Caniato,27,Goalkeeper,Torino,0.0,Summer,1995,1995/1996
Andrea Carnevale,34,Centre-Forward,Pescara,0.0,Summer,1995,1995/1996
Denis Godeas,19,Centre-Forward,Sora,0.0,Summer,1995,1995/1996
Alessandro Pierini,22,Centre-Back,Andria,0.0,Summer,1995,1995/1996
Alessandro Manni,21,Attacking Midfield,Without Club,0.0,Summer,1995,1995/1996
Sergio Marcon,24,Goalkeeper,Andria,0.0,Summer,1995,1995/1996
Giacomo Banchelli,22,Centre-Forward,Fiorentina,0.0,Summer,1995,1995/1996
Igor Shalimov,26,Attacking Midfield,FC Lugano,0.0,Winter,1995,1995/1996
Salvatore Matrecano,25,Centre-Back,Napoli,0.0,Winter,1995,1995/1996
Roberto Ripa,28,Centre-Back,Bari,-375000.0,Winter,1995,1995/1996
David Stefani,20,Central Midfield,Avellino,0.0,Winter,1995,1995/1996
Luigi Turci,26,Goalkeeper,Cremonese,0.0,Summer,1996,1996/1997
Luca Compagnon,23,Right-Back,Savoia,0.0,Summer,1996,1996/1997
Pier Luigi Nicoli,30,Right-Back,Foggia,0.0,Summer,1996,1996/1997
Claudio Clementi,27,Centre-Forward,Fiorenzuola,0.0,Summer,1996,1996/1997
Massimiliano Caniato,28,Goalkeeper,Torino,0.0,Summer,1996,1996/1997
Alessandro Orlando,26,Left-Back,Fiorentina,0.0,Summer,1996,1996/1997
Hazem Emam,21,Attacking Midfield,Zamalek,0.0,Summer,1996,1996/1997
Márcio Amoroso,21,Centre-Forward,Flamengo,0.0,Summer,1996,1996/1997
Tomas Locatelli,20,Attacking Midfield,Milan,0.0,Summer,1996,1996/1997
Igor Shalimov,27,Attacking Midfield,Bologna,-4000000.0,Summer,1996,1996/1997
Vincenzo Montalbano,27,Centre-Back,Reggina,0.0,Summer,1996,1996/1997
Tiziano Zampieri,19,attack,Marzotto,0.0,Summer,1996,1996/1997
Cristian Mauro,21,Left Midfield,Reggina,0.0,Summer,1996,1996/1997
Attilio Gregori,30,Goalkeeper,Hellas Verona,0.0,Summer,1996,1996/1997
Salvatore Matrecano,25,Centre-Back,Perugia,0.0,Summer,1996,1996/1997
Stefano Pellegrini,28,Right-Back,Carpi,0.0,Summer,1996,1996/1997
Raffaele Ametrano,23,Right-Back,Juventus,0.0,Summer,1996,1996/1997
Francesco Marino,25,Second Striker,Reggina,0.0,Summer,1996,1996/1997
Alessandro Testaferrata,22,Goalkeeper,Olbia,0.0,Summer,1996,1996/1997
Stefano Borgonovo,32,Centre-Forward,Retired,0.0,Summer,1996,1996/1997
Régis Genaux,23,Right-Back,Coventry,1150000.0,Winter,1996,1996/1997
Massimiliano Cappioli,28,Central Midfield,AS Roma,0.0,Winter,1996,1996/1997
David Stefani,21,Central Midfield,Savoia,0.0,Winter,1996,1996/1997
Johan Walem,25,Left Midfield,RSC Anderlecht,4500000.0,Summer,1997,1997/1998
Stephen Appiah,16,Defensive Midfield,Hearts of Oak,0.0,Summer,1997,1997/1998
Martin Jörgensen,21,Central Midfield,Aarhus GF,0.0,Summer,1997,1997/1998
Vito Lasalandra,22,Right Midfield,Acireale,0.0,Summer,1997,1997/1998
Ousmane Sanda Sanda,15,midfield,Cotonsport,0.0,Summer,1997,1997/1998
Joachim Fernandez,24,Defensive Midfield,SM Caen,0.0,Summer,1997,1997/1998
Francesco Statuto,26,Central Midfield,AS Roma,0.0,Summer,1997,1997/1998
Elijah Louhenapessy,20,Defensive Midfield,Ajax,0.0,Summer,1997,1997/1998
Maurizio Bedin,18,Central Midfield,Padova,0.0,Summer,1997,1997/1998
Jonathan Bachini,22,Left Midfield,Lecce,0.0,Summer,1997,1997/1998
Marco Zanchi,20,Centre-Back,Atalanta BC,0.0,Summer,1997,1997/1998
Adil Ramzi,19,Left Midfield,Kawkab Marrak.,0.0,Summer,1997,1997/1998
Andrea Chiopris Gori,19,Right Midfield,Udinese U19,0.0,Summer,1997,1997/1998
Gilberto D'Ignazio Pulpito,28,defence,Vicenza,0.0,Summer,1997,1997/1998
Claudio Clementi,28,Centre-Forward,Treviso,0.0,Summer,1997,1997/1998
Pier Luigi Nicoli,31,Right-Back,Padova,0.0,Summer,1997,1997/1998
Luca Compagnon,24,Right-Back,Cremonese,0.0,Summer,1997,1997/1998
Raffaele Sergio,30,Left-Back,Napoli,0.0,Summer,1997,1997/1998
Joachim Fernandez,24,Defensive Midfield,Calcio Monza,0.0,Summer,1997,1997/1998
Giovanni Stroppa,29,Attacking Midfield,Piacenza,0.0,Summer,1997,1997/1998
Graziano Battistini,26,Goalkeeper,Hellas Verona,0.0,Summer,1997,1997/1998
Fabio Rossitto,25,Right Midfield,Napoli,0.0,Summer,1997,1997/1998
Marek Koźmiński,26,Left-Back,Brescia,0.0,Summer,1997,1997/1998
David Stefani,22,Central Midfield,Acireale,0.0,Summer,1997,1997/1998
Andrea Chiopris Gori,19,Right Midfield,Prato,0.0,Summer,1997,1997/1998
Stefano Desideri,31,Right Midfield,Without Club,0.0,Summer,1997,1997/1998
Mauro Navas,23,Right Midfield,Racing Club,0.0,Winter,1997,1997/1998
Mauricio Pineda,22,Left-Back,Boca Juniors,0.0,Winter,1997,1997/1998
Giorgio Frezzolini,21,Goalkeeper,Andria,0.0,Winter,1997,1997/1998
Daniele Chiarini,18,Centre-Back,Arezzo,0.0,Winter,1997,1997/1998
Adil Ramzi,20,Left Midfield,Willem II,0.0,Winter,1997,1997/1998
Massimiliano Caniato,30,Goalkeeper,Chievo Verona,0.0,Winter,1997,1997/1998
Maurizio Bedin,18,Central Midfield,Eintracht Wels,0.0,Winter,1997,1997/1998
Elijah Louhenapessy,21,Defensive Midfield,Genoa,0.0,Winter,1997,1997/1998
Giovanni Bia,29,Centre-Back,Brescia,0.0,Winter,1997,1997/1998
Massimiliano Cappioli,29,Central Midfield,Atalanta BC,0.0,Winter,1997,1997/1998
Vito Lasalandra,22,Right Midfield,Andria,0.0,Winter,1997,1997/1998
Morten Bisgaard,24,Central Midfield,Odense BK,0.0,Summer,1998,1998/1999
Harald Wapenaar,28,Goalkeeper,FC Utrecht,0.0,Summer,1998,1998/1999
Roberto Sosa,23,Centre-Forward,Gimnasia,0.0,Summer,1998,1998/1999
Henry van der Vegt,26,midfield,Willem II,0.0,Summer,1998,1998/1999
Abdoulaye Camara,18,defence,FC Koper,0.0,Summer,1998,1998/1999
Massamasso Tchangai,19,Centre-Back,CA Bizertin,0.0,Summer,1998,1998/1999
Morris Molinari,23,Centre-Back,Saronno,0.0,Summer,1998,1998/1999
Oliver Bierhoff,30,Centre-Forward,Milan,-12500000.0,Summer,1998,1998/1999
Thomas Helveg,27,Right-Back,Milan,-8500000.0,Summer,1998,1998/1999
Giorgio Frezzolini,22,Goalkeeper,Cosenza,0.0,Summer,1998,1998/1999
Francesco Statuto,26,Central Midfield,Piacenza,0.0,Summer,1998,1998/1999
Giovanni Bia,29,Centre-Back,Bologna,0.0,Summer,1998,1998/1999
Alessandro Orlando,28,Left-Back,Treviso,0.0,Summer,1998,1998/1999
Massimiliano Cappioli,30,Central Midfield,Bologna,0.0,Summer,1998,1998/1999
Vito Lasalandra,23,Right Midfield,AS Livorno,0.0,Summer,1998,1998/1999
Mauricio Pineda,23,Left-Back,RCD Mallorca,0.0,Summer,1998,1998/1999
Gilberto D'Ignazio Pulpito,29,defence,Lucchese,0.0,Summer,1998,1998/1999
Patrik Fredholm,20,Central Midfield,AIK,0.0,Winter,1998,1998/1999
Jorginho Paulista,18,Left-Back,PSV Eindhoven,0.0,Winter,1998,1998/1999
Morris Molinari,23,Centre-Back,Cosenza,0.0,Winter,1998,1998/1999
Andrea Chiopris Gori,21,Right Midfield,Chievo Verona,0.0,Winter,1998,1998/1999
Hazem Emam,23,Attacking Midfield,De Graafschap,0.0,Winter,1998,1998/1999
Elijah Louhenapessy,22,Defensive Midfield,De Graafschap,0.0,Winter,1998,1998/1999
Massamasso Tchangai,20,Centre-Back,ND Gorica,0.0,Winter,1998,1998/1999
Vito Lasalandra,23,Right Midfield,Andria,0.0,Winter,1998,1998/1999
Roberto Muzzi,27,Centre-Forward,Cagliari Calcio,10000000.0,Summer,1999,1999/2000
Stefano Fiore,24,Attacking Midfield,AC Parma,9700000.0,Summer,1999,1999/2000
Warley,21,Centre-Forward,São Paulo,7000000.0,Summer,1999,1999/2000
David Pizarro,19,Central Midfield,Wanderers,1500000.0,Summer,1999,1999/2000
Jorginho Paulista,19,Left-Back,PSV Eindhoven,900000.0,Summer,1999,1999/2000
Antonio Orefice,20,Right-Back,Castrovillari,0.0,Summer,1999,1999/2000
Édson Di,19,attack,São Paulo,0.0,Summer,1999,1999/2000
Olivier Renard,20,Goalkeeper,RSC Charleroi,0.0,Summer,1999,1999/2000
Fabio Pittilino,22,defence,Brescia,0.0,Summer,1999,1999/2000
Delio Toledo,22,Left-Back,Cerro Porteño,0.0,Summer,1999,1999/2000
Morgan De Sanctis,22,Goalkeeper,Juventus,0.0,Summer,1999,1999/2000
Andrea Sottil,25,Centre-Back,Atalanta BC,0.0,Summer,1999,1999/2000
Alberto Valentim,24,Right Midfield,Atlético-PR,0.0,Summer,1999,1999/2000
Mauro Esposito,20,Right Winger,Pescara,0.0,Summer,1999,1999/2000
Massimo Margiotta,21,Second Striker,Reggiana,0.0,Summer,1999,1999/2000
Marco Zamboni,21,Centre-Back,Lecce,0.0,Summer,1999,1999/2000
Thomas Manfredini,19,Centre-Back,SPAL,0.0,Summer,1999,1999/2000
Francesco Pistolesi,18,Centre-Forward,Sora,0.0,Summer,1999,1999/2000
Dario Antonini,17,midfield,Udinese U19,0.0,Summer,1999,1999/2000
Alessandro Noselli,18,Centre-Forward,Udinese U19,0.0,Summer,1999,1999/2000
Márcio Amoroso,24,Centre-Forward,AC Parma,-28000000.0,Summer,1999,1999/2000
Stephen Appiah,18,Defensive Midfield,AC Parma,-700000.0,Summer,1999,1999/2000
Harald Wapenaar,29,Goalkeeper,FC Utrecht,-650000.0,Summer,1999,1999/2000
Johan Walem,27,Left Midfield,AC Parma,0.0,Summer,1999,1999/2000
David Stefani,24,Central Midfield,Castel di Sangro,0.0,Summer,1999,1999/2000
Patrik Fredholm,21,Central Midfield,De Graafschap,0.0,Summer,1999,1999/2000
Daniele Chiarini,20,Centre-Back,Montevarchi,0.0,Summer,1999,1999/2000
Alessandro Calori,32,Centre-Back,Perugia,0.0,Summer,1999,1999/2000
Massamasso Tchangai,20,Centre-Back,De Graafschap,0.0,Summer,1999,1999/2000
