player_name,age,position,club_involved,fee,transfer_period,year,season
Giampiero Maini,23,Defensive Midfield,AS Roma,0.0,Summer,1995,1995/1996
Luca Mondini,25,Goalkeeper,Inter,0.0,Summer,1995,1995/1996
Gabriele Grossi,23,Left-Back,Napoli,0.0,Summer,1995,1995/1996
Marcelo Otero,24,Centre-Forward,Peñarol,0.0,Summer,1995,1995/1996
Willi Pittana,23,midfield,AC Venezia 1907,0.0,Summer,1995,1995/1996
Joachim Björklund,24,Centre-Back,IFK Göteborg,0.0,Summer,1995,1995/1996
Gustavo Méndez,24,Right-Back,Nacional,0.0,Summer,1995,1995/1996
Daniele Amerini,20,Central Midfield,Fiorentina,0.0,Summer,1995,1995/1996
Davide Belotti,23,Centre-Back,Nola,0.0,Summer,1995,1995/1996
Alessandro Pistone,19,Left-Back,Inter,0.0,Summer,1995,1995/1996
Matteo Capecchi,20,midfield,Spezia,0.0,Summer,1995,1995/1996
Gaetano Perrella,21,midfield,Nola,0.0,Summer,1995,1995/1996
Antonino Praticò,29,defence,Pescara,0.0,Summer,1995,1995/1996
Diego Ficarra,26,midfield,Nissa FC,0.0,Summer,1995,1995/1996
Alberto Briaschi,31,Centre-Forward,Perugia,0.0,Summer,1995,1995/1996
Cristiano Masitto,23,Centre-Forward,Carpi,0.0,Summer,1995,1995/1996
Alessandro Dal Canto,20,Left-Back,Torino,0.0,Summer,1995,1995/1996
Giorgio Sterchele,25,Goalkeeper,AS Roma,0.0,Summer,1995,1995/1996
Francesco Cozza,21,Attacking Midfield,Milan,0.0,Summer,1995,1995/1996
Gabriele Grossi,23,Left-Back,AS Roma,0.0,Winter,1995,1995/1996
Ferdinando Gasparini,26,attack,Andria,0.0,Winter,1995,1995/1996
Pierre Womé,17,Left-Back,Canon Yaoundé,0.0,Summer,1996,1996/1997
Alessandro Dal Canto,21,Left-Back,Torino,0.0,Summer,1996,1996/1997
Fabio Firmani,18,Central Midfield,Cisco Lodigiani,0.0,Summer,1996,1996/1997
Mariano Sotgia,26,Right Winger,Cosenza,0.0,Summer,1996,1996/1997
Massimo Beghetto,27,Left-Back,Perugia,0.0,Summer,1996,1996/1997
Giovanni Cornacchini,30,Centre-Forward,Bologna,0.0,Summer,1996,1996/1997
Stefano Mazzocco,16,Defensive Midfield,Vicenza U19,0.0,Summer,1996,1996/1997
Joachim Björklund,25,Centre-Back,Rangers,0.0,Summer,1996,1996/1997
Willi Pittana,24,midfield,Carpi,0.0,Summer,1996,1996/1997
Massimo Lombardini,24,midfield,Torino,0.0,Summer,1996,1996/1997
Alessandro Zerman,21,Goalkeeper,Brescello,0.0,Summer,1996,1996/1997
Federico Balasso,19,defence,Retired,0.0,Summer,1996,1996/1997
Giuliano Gentilini,26,Central Midfield,Padova,0.0,Winter,1996,1996/1997
Alessandro Dal Canto,21,Left-Back,AC Venezia 1907,0.0,Winter,1996,1996/1997
Mariano Sotgia,27,Right Winger,Padova,0.0,Winter,1996,1996/1997
Ferdinando Gasparini,27,attack,Ravenna,0.0,Winter,1996,1996/1997
Francesco Coco,20,Left-Back,Milan,750000.0,Summer,1997,1997/1998
Marco Schenardi,29,Right Midfield,Bologna,0.0,Summer,1997,1997/1998
Pasquale Luiso,27,Centre-Forward,Piacenza,0.0,Summer,1997,1997/1998
Lamberto Zauli,25,Attacking Midfield,Ravenna,0.0,Summer,1997,1997/1998
Arturo Di Napoli,23,Centre-Forward,Inter,0.0,Summer,1997,1997/1998
Giacomo Dicara,27,Centre-Back,Perugia,0.0,Summer,1997,1997/1998
Lorenzo Stovini,20,Centre-Back,AS Roma,0.0,Summer,1997,1997/1998
Roberto Baronio,19,Defensive Midfield,Lazio,0.0,Summer,1997,1997/1998
Massimo Ambrosini,20,Central Midfield,Milan,0.0,Summer,1997,1997/1998
Riccardo Maspero,26,Attacking Midfield,Lecce,0.0,Summer,1997,1997/1998
Roberto Verdi,20,Goalkeeper,Vicenza U19,0.0,Summer,1997,1997/1998
Luigi Sartor,22,Right-Back,Inter,-2000000.0,Summer,1997,1997/1998
Giovanni Lopez,30,Centre-Back,Lazio,0.0,Summer,1997,1997/1998
Maurizio Rossi,27,midfield,Lecce,0.0,Summer,1997,1997/1998
Luca Mondini,27,Goalkeeper,Treviso,0.0,Summer,1997,1997/1998
Roberto Murgita,28,Centre-Forward,Piacenza,0.0,Summer,1997,1997/1998
Pierre Womé,18,Left-Back,Lucchese,0.0,Summer,1997,1997/1998
Giovanni Cornacchini,31,Centre-Forward,Padova,0.0,Summer,1997,1997/1998
Giuliano Gentilini,26,Central Midfield,Padova,0.0,Summer,1997,1997/1998
Daniele Amerini,22,Central Midfield,Hellas Verona,0.0,Summer,1997,1997/1998
Giampiero Maini,25,Defensive Midfield,Milan,0.0,Summer,1997,1997/1998
Gilberto D'Ignazio Pulpito,28,defence,Udinese,0.0,Summer,1997,1997/1998
Mirko Conte,23,Centre-Back,Napoli,0.0,Winter,1997,1997/1998
Davide Falcioni,22,Goalkeeper,Treviso,0.0,Winter,1997,1997/1998
Alessandro Iannuzzi,22,Centre-Forward,Lecce,0.0,Winter,1997,1997/1998
Ottavio Palladini,26,Central Midfield,Pescara,0.0,Summer,1998,1998/1999
Patrick Bettoni,22,Goalkeeper,FC Baden 1897,0.0,Summer,1998,1998/1999
Juri Tamburini,20,Left-Back,Cesena,0.0,Summer,1998,1998/1999
Nicola Diliso,23,Right-Back,Reggina,0.0,Summer,1998,1998/1999
Ivan Tisci,24,Central Midfield,Pescara,0.0,Summer,1998,1998/1999
Davide Mezzanotti,27,Right-Back,Pescara,0.0,Summer,1998,1998/1999
Giuliano Melosi,31,Central Midfield,Chievo Verona,0.0,Summer,1998,1998/1999
Riccardo Ongarato,19,Goalkeeper,Bassano,0.0,Summer,1998,1998/1999
Giovanni Morabito,19,Left-Back,Vicenza U19,0.0,Summer,1998,1998/1999
Paolo Pasqualin,19,defence,Giorgione,0.0,Summer,1998,1998/1999
Davide Falcioni,23,Goalkeeper,AS Livorno,0.0,Summer,1998,1998/1999
Fabio Firmani,20,Central Midfield,Reggina,0.0,Summer,1998,1998/1999
Roberto Verdi,21,Goalkeeper,Marsala,0.0,Summer,1998,1998/1999
Riccardo Maspero,27,Attacking Midfield,Lecce,0.0,Summer,1998,1998/1999
Roberto Baronio,20,Defensive Midfield,Lazio,0.0,Summer,1998,1998/1999
Massimo Ambrosini,21,Central Midfield,Milan,0.0,Summer,1998,1998/1999
Francesco Coco,21,Left-Back,Milan,0.0,Summer,1998,1998/1999
Ousmane Dabo,21,Defensive Midfield,Inter,0.0,Winter,1998,1998/1999
Giuseppe Cardone,24,Right-Back,Milan,0.0,Winter,1998,1998/1999
Almir Gegic,19,Centre-Forward,Novi Pazar,0.0,Winter,1998,1998/1999
Marco Aurelio,31,Centre-Back,Sporting CP,0.0,Winter,1998,1998/1999
Cristian Biancone,21,Centre-Forward,Lucchese,0.0,Winter,1998,1998/1999
Gennaro Scarlato,21,Centre-Back,Napoli,0.0,Winter,1998,1998/1999
Marco Negri,28,Centre-Forward,Rangers,0.0,Winter,1998,1998/1999
Pasquale Luiso,29,Centre-Forward,Pescara,0.0,Winter,1998,1998/1999
Arturo Di Napoli,24,Centre-Forward,Empoli,0.0,Winter,1998,1998/1999
Davide Mezzanotti,27,Right-Back,Napoli,0.0,Winter,1998,1998/1999
Giuliano Melosi,31,Central Midfield,Pescara,0.0,Winter,1998,1998/1999
Davide Belotti,26,Centre-Back,Treviso,0.0,Winter,1998,1998/1999
Stjepan Tomas,24,Centre-Back,Dinamo Zagreb,3000000.0,Summer,2000,2000/2001
André Leone,21,Centre-Back,Campinas-SP,0.0,Summer,2000,2000/2001
Jeda,21,Second Striker,União São João,0.0,Summer,2000,2000/2001
