player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Youssef El Akchaoui,22,Left-Back,Union Berlin,0.0,in,Summer,2003,2003/2004
Rik Platvoet,27,Centre-Forward,Heracles Almelo,0.0,in,Summer,2003,2003/2004
Kofi Mensah,25,Right-Back,NAC Breda,0.0,in,Summer,2003,2003/2004
Dorus de Vries,22,Goalkeeper,Stormv. Telstar,0.0,in,Summer,2003,2003/2004
Cedric van der Gun,24,Centre-Forward,Ajax,0.0,in,Summer,2003,2003/2004
Robert van Boxel,20,Centre-Back,PSV Eindhoven,0.0,in,Summer,2003,2003/2004
Tom van der Leegte,26,Defensive Midfield,RKC Waalwijk,0.0,in,Summer,2003,2003/2004
Wesley Zandstra,19,Right-Back,ADO U19,0.0,in,Summer,2003,2003/2004
Stefan Huisman,19,Attacking Midfield,ADO U19,0.0,in,Summer,2003,2003/2004
Geoffrey Knijnenburg,20,Right Winger,ADO U21,0.0,in,Summer,2003,2003/2004
Sandro Calabro,20,Centre-Forward,FC Utrecht,0.0,out,Summer,2003,2003/2004
Marco Meijer,31,midfield,Excelsior M,0.0,out,Summer,2003,2003/2004
Remco Heerkens,25,Defensive Midfield,RW Essen,0.0,out,Summer,2003,2003/2004
Dennis den Turk,34,Right Midfield,Quick Boys,0.0,out,Summer,2003,2003/2004
Ben Kinds,20,Goalkeeper,Unknown,0.0,out,Summer,2003,2003/2004
Santi Kolk,21,Right Winger,Heerenveen,0.0,out,Summer,2003,2003/2004
Alberto Saavedra,22,Centre-Back,CD Numancia,200000.0,in,Winter,2003,2003/2004
Kazuyuki Toda,26,Defensive Midfield,Shimizu S-Pulse,0.0,in,Winter,2003,2003/2004
Regillio Simons,30,Centre-Forward,Kyoto P. Sanga,0.0,in,Winter,2003,2003/2004
Tarik Oulida,29,Left Midfield,C'dole Sapporo,0.0,in,Winter,2003,2003/2004
Leonardo,27,Right-Back,Feyenoord,0.0,in,Winter,2003,2003/2004
Revy Rosalia,21,Defensive Midfield,Haarlem,0.0,out,Winter,2003,2003/2004
Maurice Verberne,32,Centre-Back,MVV Maastricht,0.0,out,Winter,2003,2003/2004
Wesley Zandstra,19,Right-Back,TOP Oss,0.0,out,Winter,2003,2003/2004
Gijs Cales,26,Centre-Forward,VVV-Venlo,0.0,out,Winter,2003,2003/2004
Arjan van der Laan,34,Attacking Midfield,FC Dordrecht,0.0,out,Winter,2003,2003/2004
Jimmy van Fessem,28,Goalkeeper,Vitesse,0.0,in,Summer,2004,2004/2005
Spira Grujic,32,Sweeper,Twente FC,0.0,in,Summer,2004,2004/2005
Sjaak Polak,28,Left-Back,Twente FC,0.0,in,Summer,2004,2004/2005
Jamie Smith,23,Right Winger,Celtic,0.0,in,Summer,2004,2004/2005
Jamie Coyne,23,Right-Back,Perth Glory,0.0,in,Summer,2004,2004/2005
Geert den Ouden,27,Centre-Forward,Djurgården,50000.0,in,Summer,2004,2004/2005
Arjan van der Kaay,21,Goalkeeper,SVVSMC,0.0,in,Summer,2004,2004/2005
Raymond Jansz,21,Goalkeeper,Unknown,0.0,in,Summer,2004,2004/2005
Gill Swerts,21,Right-Back,Feyenoord,0.0,in,Summer,2004,2004/2005
Wesley Zandstra,20,Right-Back,TOP Oss,0.0,in,Summer,2004,2004/2005
Maurice Verberne,33,Centre-Back,MVV Maastricht,0.0,in,Summer,2004,2004/2005
Marlon Kruis,23,defence,Voorschoten,0.0,out,Summer,2004,2004/2005
Maurice Verberne,33,Centre-Back,MVV Maastricht,0.0,out,Summer,2004,2004/2005
Eelco Tigchelaar,22,Centre-Back,VSV TONEGIDO,0.0,out,Summer,2004,2004/2005
Mario van Heiningen,28,defence,Voorschoten,0.0,out,Summer,2004,2004/2005
Robert van Boxel,21,Centre-Back,AGOVV,0.0,out,Summer,2004,2004/2005
Kofi Mensah,26,Right-Back,Anorthosis,0.0,out,Summer,2004,2004/2005
Roland Jansen,36,Goalkeeper,Kozakken Boys,0.0,out,Summer,2004,2004/2005
Jeffrey van As,32,Centre-Back,VVSB,0.0,out,Summer,2004,2004/2005
Michael Ros,22,Centre-Back,Haarlem,0.0,out,Summer,2004,2004/2005
Romeo Castelen,21,Right Winger,Feyenoord,0.0,out,Summer,2004,2004/2005
Mirano Carrilho,28,Left Midfield,De Graafschap,0.0,out,Summer,2004,2004/2005
Patrick de Groot,26,Goalkeeper,Haarlem,0.0,out,Summer,2004,2004/2005
Frank van der Geest,31,Goalkeeper,FC Volendam,0.0,out,Summer,2004,2004/2005
Regillio Simons,31,Centre-Forward,TOP Oss,0.0,out,Summer,2004,2004/2005
Peter Hofstede,37,Centre-Forward,Retired,0.0,out,Summer,2004,2004/2005
Tarik Oulida,30,Left Midfield,Retired,0.0,out,Summer,2004,2004/2005
Kazuyuki Toda,26,Defensive Midfield,Shimizu S-Pulse,0.0,out,Summer,2004,2004/2005
Leonardo,27,Right-Back,Feyenoord,0.0,out,Summer,2004,2004/2005
Gábor Torma,26,Centre-Forward,Roda JC U21,0.0,out,Summer,2004,2004/2005
Cees Paauwe,27,Goalkeeper,Twente FC,0.0,in,Winter,2004,2004/2005
John O'Brien,27,Defensive Midfield,Ajax,0.0,in,Winter,2004,2004/2005
Edson,21,Centre-Forward,Spurs,0.0,in,Winter,2004,2004/2005
Eljero Elia,17,Left Winger,ADO U19,0.0,in,Winter,2004,2004/2005
Wesley Verhoek,17,Right Winger,ADO U19,0.0,in,Winter,2004,2004/2005
Peter Jungschläger,20,Central Midfield,ADO U19,0.0,in,Winter,2004,2004/2005
Jamie Coyne,23,Right-Back,Parra. Power,0.0,out,Winter,2004,2004/2005
Francois Dubourdeau,24,Goalkeeper,Dundee FC,0.0,out,Winter,2004,2004/2005
Rik Platvoet,29,Centre-Forward,VVV-Venlo,0.0,out,Winter,2004,2004/2005
Jimmy van Fessem,29,Goalkeeper,De Graafschap,0.0,out,Winter,2004,2004/2005
Aleksandar Rankovic,26,Right-Back,Vitesse,350000.0,in,Summer,2005,2005/2006
Robert Zwinkels,22,Goalkeeper,Ajax U21,0.0,in,Summer,2005,2005/2006
Michael Mols,34,Centre-Forward,FC Utrecht,0.0,in,Summer,2005,2005/2006
Sean Doherty,20,Left Midfield,Fulham Res.,0.0,in,Summer,2005,2005/2006
Tomasz Rzasa,32,Left-Back,Heerenveen,0.0,in,Summer,2005,2005/2006
Raimund Riedewald,18,Centre-Back,ADO U19,0.0,in,Summer,2005,2005/2006
Levi Schwiebbe,18,Central Midfield,ADO U19,0.0,in,Summer,2005,2005/2006
Ismail Oruc,16,Goalkeeper,ADO U21,0.0,in,Summer,2005,2005/2006
Jimmy van Fessem,29,Goalkeeper,De Graafschap,0.0,in,Summer,2005,2005/2006
Wesley Zandstra,21,Right-Back,FC Zwolle,0.0,out,Summer,2005,2005/2006
Daniel Koegler,23,attack,VSV TONEGIDO,0.0,out,Summer,2005,2005/2006
Jimmy van Fessem,29,Goalkeeper,De Graafschap,0.0,out,Summer,2005,2005/2006
Cedric van der Gun,26,Centre-Forward,Bor. Dortmund,0.0,out,Summer,2005,2005/2006
Stefan Huisman,21,Attacking Midfield,FC Omniworld,0.0,out,Summer,2005,2005/2006
Raymond Jansz,22,Goalkeeper,Unknown,0.0,out,Summer,2005,2005/2006
Sjaak Polak,29,Left-Back,Sparta R.,0.0,out,Summer,2005,2005/2006
Jamie Smith,24,Right Winger,Aberdeen FC,0.0,out,Summer,2005,2005/2006
Geoffrey Knijnenburg,22,Right Winger,Go Ahead Eagles,0.0,out,Summer,2005,2005/2006
Edson,21,Centre-Forward,Spurs,0.0,out,Summer,2005,2005/2006
Gill Swerts,22,Right-Back,Feyenoord,0.0,out,Summer,2005,2005/2006
Angelo Martha,23,Centre-Back,MVV Maastricht,50000.0,in,Winter,2005,2005/2006
Joonas Kolkka,31,Right Winger,Crystal Palace,0.0,in,Winter,2005,2005/2006
Said Bakkati,23,Right-Back,Heerenveen,0.0,in,Winter,2005,2005/2006
Josh Wagenaar,21,Goalkeeper,Hartwick Hawks,0.0,in,Winter,2005,2005/2006
Cory Gibbs,25,Centre-Back,Feyenoord,0.0,in,Winter,2005,2005/2006
Jaroslav Drobny,26,Goalkeeper,Fulham,0.0,in,Winter,2005,2005/2006
Paulus Roiha,25,Centre-Forward,Cercle Brugge,0.0,in,Winter,2005,2005/2006
Edwin de Graaf,25,Central Midfield,Feyenoord,0.0,in,Winter,2005,2005/2006
Laurent Delorge,26,Right Winger,Without Club,0.0,in,Winter,2005,2005/2006
Christian Kum,20,Centre-Back,ADO U21,0.0,in,Winter,2005,2005/2006
Tom van der Leegte,28,Defensive Midfield,VfL Wolfsburg,500000.0,out,Winter,2005,2005/2006
Jan-Paul Saeijs,27,Centre-Back,Roda JC,350000.0,out,Winter,2005,2005/2006
Sean Doherty,20,Left Midfield,Port Vale,0.0,out,Winter,2005,2005/2006
John O'Brien,28,Defensive Midfield,Chivas USA,0.0,out,Winter,2005,2005/2006
Daniël Rijaard,29,Right-Back,Excelsior,0.0,out,Winter,2005,2005/2006
