player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Marc Overmars,19,Left Winger,Willem II,908000.0,in,Summer,1992,1992/1993
Jari Litmanen,21,Attacking Midfield,MYPA,14000.0,in,Summer,1992,1992/1993
Dries Boussatta,19,Right Winger,Telstar,0.0,in,Summer,1992,1992/1993
Clarence Seedorf,16,Central Midfield,Ajax U19,0.0,in,Summer,1992,1992/1993
Clyde Wijnhard,18,Centre-Forward,Ajax U19,0.0,in,Summer,1992,1992/1993
Aron Winter,25,Defensive Midfield,Lazio,1300000.0,out,Summer,1992,1992/1993
Michael Reiziger,19,Right-Back,FC Volendam,0.0,out,Summer,1992,1992/1993
Guus Uhlenbeek,21,Right-Back,Cambuur L.,0.0,out,Summer,1992,1992/1993
John van 't Schip,28,Right Winger,Genoa,0.0,out,Summer,1992,1992/1993
Ronald de Boer,22,Right Winger,Twente FC,1360000.0,in,Winter,1992,1992/1993
Dick Van Burik,19,Centre-Back,Ajax U19,0.0,in,Winter,1992,1992/1993
John van Loen,27,Centre-Forward,Feyenoord,682000.0,out,Winter,1992,1992/1993
Ron Willems,26,attack,Grasshoppers,295000.0,out,Winter,1992,1992/1993
Bryan Roy,22,Left Winger,Foggia,0.0,out,Winter,1992,1992/1993
Peter van Vossen,25,Left Winger,RSC Anderlecht,4550000.0,in,Summer,1993,1993/1994
John van den Brom,26,Attacking Midfield,Vitesse,1360000.0,in,Summer,1993,1993/1994
Frank Rijkaard,30,Defensive Midfield,Milan,636000.0,in,Summer,1993,1993/1994
Nwankwo Kanu,16,Centre-Forward,Iwuanyanwu Nat.,200000.0,in,Summer,1993,1993/1994
Finidi George,22,Right Winger,Sharks FC,4000.0,in,Summer,1993,1993/1994
Donny Huysen,19,attack,DWS,0.0,in,Summer,1993,1993/1994
Hans Erik Ramberg,16,Central Midfield,Fredrikstad,0.0,in,Summer,1993,1993/1994
Martijn Reuser,18,Attacking Midfield,Ajax U19,0.0,in,Summer,1993,1993/1994
Tarik Oulida,19,Left Midfield,Ajax U21,0.0,in,Summer,1993,1993/1994
André Ooijer,18,Centre-Back,Ajax U21,0.0,in,Summer,1993,1993/1994
Hans Werdekker,33,Centre-Back,Willem II,0.0,in,Summer,1993,1993/1994
Michael Reiziger,20,Right-Back,FC Volendam,0.0,in,Summer,1993,1993/1994
Clyde Wijnhard,20,Centre-Forward,FC Groningen,0.0,in,Summer,1993,1993/1994
Dennis Bergkamp,24,Second Striker,Inter,9770000.0,out,Summer,1993,1993/1994
Wim Jonk,26,Defensive Midfield,Inter,5680000.0,out,Summer,1993,1993/1994
Alfons Groenendijk,29,Defensive Midfield,Man City,341000.0,out,Summer,1993,1993/1994
Dick Van Burik,19,Centre-Back,NAC Breda,300000.0,out,Summer,1993,1993/1994
Michael Reiziger,20,Right-Back,FC Groningen,0.0,out,Summer,1993,1993/1994
Clyde Wijnhard,19,Centre-Forward,FC Groningen,0.0,out,Summer,1993,1993/1994
Hans Werdekker,33,Centre-Back,RKC Waalwijk,0.0,out,Summer,1993,1993/1994
Marciano Vink,22,Defensive Midfield,Genoa,0.0,out,Summer,1993,1993/1994
Dennis van de Poll,22,Goalkeeper,FC Den Bosch,0.0,out,Summer,1993,1993/1994
Johnny Hansen,27,Defensive Midfield,Odense BK,0.0,out,Winter,1993,1993/1994
Donny Huysen,20,attack,Go Ahead Eagles,0.0,out,Winter,1993,1993/1994
Winston Bogarde,23,Centre-Back,Sparta R.,1000000.0,in,Summer,1994,1994/1995
Fred Grim,28,Goalkeeper,Cambuur L.,341000.0,in,Summer,1994,1994/1995
Nordin Wooter,16,Right Winger,Ajax U19,0.0,in,Summer,1994,1994/1995
Patrick Kluivert,18,Centre-Forward,Ajax U19,0.0,in,Summer,1994,1994/1995
Mendel Witzenhausen,18,Centre-Back,Ajax U19,0.0,in,Summer,1994,1994/1995
Michael Reiziger,21,Right-Back,FC Groningen,0.0,in,Summer,1994,1994/1995
Donny Huysen,20,attack,Go Ahead Eagles,0.0,in,Summer,1994,1994/1995
Dennis van de Poll,23,Goalkeeper,FC Den Bosch,0.0,in,Summer,1994,1994/1995
André Ooijer,19,Centre-Back,FC Volendam,0.0,out,Summer,1994,1994/1995
Dries Boussatta,21,Right Winger,Haarlem,0.0,out,Summer,1994,1994/1995
Dan Petersen,22,Centre-Forward,Monaco,0.0,out,Summer,1994,1994/1995
Stanley Menzo,30,Goalkeeper,PSV Eindhoven,0.0,out,Summer,1994,1994/1995
Stefan Pettersson,31,Centre-Forward,IFK Göteborg,0.0,out,Summer,1994,1994/1995
Dennis van de Poll,23,Goalkeeper,Haarlem,0.0,out,Summer,1994,1994/1995
Donny Huysen,20,attack,Haarlem,0.0,out,Summer,1994,1994/1995
Kiki Musampa,17,Left Winger,Ajax U19,0.0,in,Winter,1994,1994/1995
Michel Kreek,23,Left-Back,Padova,909000.0,out,Winter,1994,1994/1995
Richard Witschge,25,Central Midfield,G. Bordeaux,1200000.0,in,Summer,1995,1995/1996
Hayden Foxe,18,Centre-Back,A.I.S.,0.0,in,Summer,1995,1995/1996
Arnold Scholten,32,Defensive Midfield,Feyenoord,0.0,in,Summer,1995,1995/1996
Márcio Santos,25,Centre-Back,Fiorentina,0.0,in,Summer,1995,1995/1996
Denny Landzaat,19,Central Midfield,Ajax U19,0.0,in,Summer,1995,1995/1996
Dave van den Bergh,19,Left Midfield,Ajax U19,0.0,in,Summer,1995,1995/1996
Dennis Schulp,17,Central Midfield,Ajax U19,0.0,in,Summer,1995,1995/1996
Donny Huysen,21,attack,Haarlem,0.0,in,Summer,1995,1995/1996
André Ooijer,20,Centre-Back,FC Volendam,0.0,in,Summer,1995,1995/1996
Clarence Seedorf,19,Central Midfield,Sampdoria,3620000.0,out,Summer,1995,1995/1996
Tarik Oulida,21,Left Midfield,Sevilla FC,1080000.0,out,Summer,1995,1995/1996
André Ooijer,20,Centre-Back,Roda JC,0.0,out,Summer,1995,1995/1996
Clyde Wijnhard,21,Centre-Forward,RKC Waalwijk,0.0,out,Summer,1995,1995/1996
Mendel Witzenhausen,19,Centre-Back,VVV-Venlo,0.0,out,Summer,1995,1995/1996
Donny Huysen,21,attack,AZ Alkmaar,0.0,out,Summer,1995,1995/1996
Hans Erik Ramberg,18,Central Midfield,Fredrikstad,0.0,out,Summer,1995,1995/1996
Rob Alflen,27,Defensive Midfield,Vitesse,0.0,out,Summer,1995,1995/1996
John van den Brom,28,Attacking Midfield,Istanbulspor,0.0,out,Summer,1995,1995/1996
Peter van Vossen,27,Left Winger,Istanbulspor,0.0,out,Summer,1995,1995/1996
Frank Rijkaard,32,Defensive Midfield,Retired,0.0,out,Summer,1995,1995/1996
Peter Hoekstra,22,Left Winger,PSV Eindhoven,2250000.0,in,Winter,1995,1995/1996
Chris Kanu,16,Right-Back,Eagle Cement,0.0,in,Winter,1995,1995/1996
Iván Gabrich,23,Centre-Forward,Newell's,4810000.0,in,Summer,1996,1996/1997
Tijani Babangida,22,Right Winger,Roda JC,0.0,in,Summer,1996,1996/1997
Mariano Juan,20,Centre-Back,River Plate,0.0,in,Summer,1996,1996/1997
John Veldman,28,Centre-Back,Sparta R.,0.0,in,Summer,1996,1996/1997
Dani,19,Attacking Midfield,Sporting CP,0.0,in,Summer,1996,1996/1997
Arno Splinter,18,Right-Back,Ajax U19,0.0,in,Summer,1996,1996/1997
Milan Berck Beelenkamp,18,Right-Back,Ajax U19,0.0,in,Summer,1996,1996/1997
Kofi Mensah,18,Right-Back,Ajax U19,0.0,in,Summer,1996,1996/1997
Elijah Louhenapessy,19,Defensive Midfield,Ajax U19,0.0,in,Summer,1996,1996/1997
Mario Melchiot,19,Right-Back,Ajax U21,0.0,in,Summer,1996,1996/1997
Menno Willems,19,Left-Back,Ajax U21,0.0,in,Summer,1996,1996/1997
Finidi George,25,Right Winger,Real Betis,10000000.0,out,Summer,1996,1996/1997
Nwankwo Kanu,20,Centre-Forward,Inter,3930000.0,out,Summer,1996,1996/1997
Michael Reiziger,23,Right-Back,Milan,0.0,out,Summer,1996,1996/1997
Edgar Davids,23,Central Midfield,Milan,0.0,out,Summer,1996,1996/1997
Denny Landzaat,20,Central Midfield,MVV Maastricht,0.0,out,Summer,1996,1996/1997
Hayden Foxe,19,Centre-Back,Arm. Bielefeld,0.0,out,Summer,1996,1996/1997
Sonny Silooy,32,Right-Back,Arm. Bielefeld,0.0,out,Summer,1996,1996/1997
Chris Kanu,16,Right-Back,FC Lugano,0.0,out,Summer,1996,1996/1997
Márcio Santos,27,Centre-Back,Atlético-MG,0.0,out,Winter,1996,1996/1997
Michael Laudrup,33,Attacking Midfield,Vissel Kobe,7500000.0,in,Summer,1997,1997/1998
Froylán Ledezma,19,Centre-Forward,LD Alajuelense,4500000.0,in,Summer,1997,1997/1998
Sunday Oliseh,22,Defensive Midfield,1. FC Köln,2300000.0,in,Summer,1997,1997/1998
Gerald Sibon,23,Centre-Forward,Roda JC,2250000.0,in,Summer,1997,1997/1998
Shota Arveladze,24,Centre-Forward,Trabzonspor,1600000.0,in,Summer,1997,1997/1998
Ole Tobiasen,21,Centre-Back,Heerenveen,1300000.0,in,Summer,1997,1997/1998
Andrzej Rudy,31,midfield,Lierse SK,1130000.0,in,Summer,1997,1997/1998
Dean Gorré,26,Right Winger,FC Groningen,0.0,in,Summer,1997,1997/1998
Tom Sier,27,Left-Back,Heerenveen,0.0,in,Summer,1997,1997/1998
Richard Knopper,19,Attacking Midfield,Feyenoord U19,0.0,in,Summer,1997,1997/1998
Tim de Cler,18,Left-Back,Ajax U19,0.0,in,Summer,1997,1997/1998
Andy van der Meyde,17,Right Winger,Ajax U19,0.0,in,Summer,1997,1997/1998
Chris Kanu,17,Right-Back,FC Lugano,0.0,in,Summer,1997,1997/1998
Márcio Santos,27,Centre-Back,Atlético-MG,0.0,in,Summer,1997,1997/1998
Marc Overmars,24,Left Winger,Arsenal,7500000.0,out,Summer,1997,1997/1998
Iván Gabrich,24,Centre-Forward,CP Mérida,3010000.0,out,Summer,1997,1997/1998
Patrick Kluivert,21,Centre-Forward,Milan,2000000.0,out,Summer,1997,1997/1998
Dennis Schulp,19,Central Midfield,FC Volendam,0.0,out,Summer,1997,1997/1998
John Veldman,29,Centre-Back,Vitesse,0.0,out,Summer,1997,1997/1998
Menno Willems,20,Left-Back,Vitesse,0.0,out,Summer,1997,1997/1998
Arnold Scholten,34,Defensive Midfield,JEF Utd Ichihara,0.0,out,Summer,1997,1997/1998
Elijah Louhenapessy,20,Defensive Midfield,Udinese,0.0,out,Summer,1997,1997/1998
Márcio Santos,28,Centre-Back,São Paulo,0.0,out,Summer,1997,1997/1998
Robert Gehring,21,midfield,Rayo Vallecano,0.0,out,Summer,1997,1997/1998
Kiki Musampa,19,Left Winger,G. Bordeaux,0.0,out,Summer,1997,1997/1998
Dave van den Bergh,21,Left Midfield,Rayo Vallecano,0.0,out,Summer,1997,1997/1998
Nordin Wooter,19,Right Winger,Real Zaragoza,0.0,out,Summer,1997,1997/1998
Winston Bogarde,26,Centre-Back,Milan,0.0,out,Summer,1997,1997/1998
Martijn Reuser,22,Attacking Midfield,Vitesse,0.0,out,Summer,1997,1997/1998
Milan Berck Beelenkamp,20,Right-Back,FC Volendam,0.0,out,Winter,1997,1997/1998
Giorgi Kinkladze,24,Attacking Midfield,Man City,8000000.0,in,Summer,1998,1998/1999
Wamberto,23,Right Winger,Standard Liège,0.0,in,Summer,1998,1998/1999
Jesper Grönkjaer,20,Left Winger,Aalborg BK,0.0,in,Summer,1998,1998/1999
Serge van den Ban,18,Goalkeeper,Ajax U19,0.0,in,Summer,1998,1998/1999
Kevin Bobson,17,Left Winger,Ajax U19,0.0,in,Summer,1998,1998/1999
Mariano Juan,22,Centre-Back,Racing Club,0.0,out,Summer,1998,1998/1999
Michael Laudrup,34,Attacking Midfield,Retired,0.0,out,Summer,1998,1998/1999
Froylán Ledezma,20,Centre-Forward,Ajax U21,0.0,out,Summer,1998,1998/1999
Ferdi Vierklau,25,Right-Back,CD Tenerife,3000000.0,in,Winter,1998,1998/1999
Ronald de Boer,28,Right Winger,Barcelona,7500000.0,out,Winter,1998,1998/1999
