player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Arslan Yildiz,17,midfield,Unknown,0.0,in,Summer,1992,1992/1993
Robin Schmidt,27,attack,Twente FC,0.0,in,Summer,1992,1992/1993
Steve Trittschuh,27,Centre-Back,TB Rowdies,0.0,in,Summer,1992,1992/1993
Michel Langerak,23,Attacking Midfield,VVV-Venlo,0.0,in,Summer,1992,1992/1993
Hans Kraay Jr.,32,Defensive Midfield,De Graafschap,0.0,in,Summer,1992,1992/1993
Dennis van der Gijp,28,attack,Excelsior,0.0,in,Summer,1992,1992/1993
Roël Liefden,25,Right-Back,Telstar,0.0,in,Summer,1992,1992/1993
Carlo L'Ami,26,Goalkeeper,Heracles,0.0,in,Summer,1992,1992/1993
Carlo L'Ami,26,Goalkeeper,Heracles,0.0,out,Summer,1992,1992/1993
Johan Molenaar,30,midfield,Middelburg,0.0,out,Summer,1992,1992/1993
Theo Speelmeijer,27,Goalkeeper,Kozakken Boys,0.0,out,Summer,1992,1992/1993
Ton Rietbroek,25,defence,Telstar,0.0,out,Summer,1992,1992/1993
Lloyd Kammeron,20,Centre-Forward,Feyenoord,0.0,out,Summer,1992,1992/1993
Wessel Weezenberg,23,midfield,Excelsior,0.0,out,Summer,1992,1992/1993
Erik Willaarts,30,Centre-Forward,Go Ahead Eagles,0.0,out,Summer,1992,1992/1993
Zier Tebbenhoff,21,attack,FC Den Haag,0.0,out,Summer,1992,1992/1993
Errol Refos,22,Centre-Back,Feyenoord,0.0,out,Summer,1992,1992/1993
Ton Rietbroek,25,defence,Telstar,0.0,in,Winter,1992,1992/1993
John de Bever,27,attack,Unknown,0.0,in,Winter,1992,1992/1993
Wil Boessen,28,Left-Back,De Graafschap,0.0,out,Winter,1992,1992/1993
Jan Mulder,31,midfield,Telstar,0.0,out,Winter,1992,1992/1993
Ronald Hoop,27,attack,Telstar,0.0,in,Summer,1994,1994/1995
Adri van Tiggelen,37,Left-Back,PSV Eindhoven,0.0,in,Summer,1994,1994/1995
Michel Valke,34,Left Midfield,Sparta R.,0.0,in,Summer,1994,1994/1995
Peter Heijstek,20,midfield,DFC,0.0,in,Summer,1994,1994/1995
Peter van der Kwaak,25,Goalkeeper,Unknown,0.0,in,Summer,1994,1994/1995
Benny Gall,23,Goalkeeper,Brönshöj BK,0.0,in,Summer,1994,1994/1995
Lars Brögger,24,Attacking Midfield,F. Düsseldorf,0.0,in,Summer,1994,1994/1995
Leo Koswal,18,Right Winger,Dordrecht U19,0.0,in,Summer,1994,1994/1995
Bobby Petta,19,Left Midfield,RKC Waalwijk,0.0,out,Summer,1994,1994/1995
Joop Hiele,35,Goalkeeper,Go Ahead Eagles,0.0,out,Summer,1994,1994/1995
Virgil Breetveld,26,Centre-Forward,De Graafschap,0.0,out,Summer,1994,1994/1995
Ries Fok,25,midfield,Kozakken Boys,0.0,out,Summer,1994,1994/1995
Robin Schmidt,29,attack,SuS Stadtlohn,0.0,out,Summer,1994,1994/1995
John van Gastel,20,midfield,Unknown,0.0,out,Summer,1994,1994/1995
Ricardo de Jongh,25,Goalkeeper,Retired,0.0,out,Summer,1994,1994/1995
Patrick Pothuizen,22,Centre-Back,Vitesse,0.0,out,Summer,1994,1994/1995
Olaf Schaap,23,midfield,NAC Breda,0.0,out,Winter,1994,1994/1995
