player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Shelton Martis,19,Centre-Back,Feyenoord U21,0.0,in,Summer,2002,2002/2003
Bart Latuheru,36,Right Winger,NEC Nijmegen,0.0,in,Summer,2002,2002/2003
Saïd Boutahar,19,Attacking Midfield,Feyenoord,0.0,in,Summer,2002,2002/2003
René van Dieren,21,Defensive Midfield,Fortuna Sittard,0.0,in,Summer,2002,2002/2003
Dick Tijdeman,18,midfield,Feyenoord U19,0.0,in,Summer,2002,2002/2003
Dries Boussatta,29,Right Winger,AZ Alkmaar,0.0,in,Summer,2002,2002/2003
Nam-il Kim,25,Defensive Midfield,Chunnam Dragons,0.0,in,Summer,2002,2002/2003
Michel Bastos,18,Left Midfield,Feyenoord,0.0,in,Summer,2002,2002/2003
Mounir El Hamdaoui,17,Centre-Forward,Excelsior U19,0.0,in,Summer,2002,2002/2003
Sam de Meester,20,midfield,Cercle Brugge,0.0,out,Summer,2002,2002/2003
Youssef El Akchaoui,21,Left-Back,Union Berlin,0.0,out,Summer,2002,2002/2003
Raphael Supusepa,23,Defensive Midfield,Haarlem,0.0,out,Summer,2002,2002/2003
Michel Kruijer,25,Centre-Back,Go Ahead Eagles,0.0,out,Summer,2002,2002/2003
Chima Onyeike,27,Centre-Forward,TOP Oss,0.0,out,Summer,2002,2002/2003
Dennis van der Pol,24,midfield,ASWH,0.0,out,Summer,2002,2002/2003
John Feskens,36,midfield,Retired,0.0,out,Summer,2002,2002/2003
Ronald Graafland,23,Goalkeeper,Feyenoord,0.0,out,Summer,2002,2002/2003
Thomas Buffel,21,Right Winger,Feyenoord,0.0,out,Summer,2002,2002/2003
Ferry de Haan,30,Centre-Back,Feyenoord,0.0,in,Winter,2002,2002/2003
Civard Sprockel,19,Centre-Back,Feyenoord,0.0,in,Winter,2002,2002/2003
Marc Nygaard,26,Centre-Forward,Roda JC,0.0,in,Winter,2002,2002/2003
Jan Frederiksen,20,Left-Back,Feyenoord,0.0,out,Winter,2002,2002/2003
