player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jordy van Deelen,21,Right-Back,Feyenoord,0.0,in,Summer,2014,2014/2015
Mart Lieder,24,Centre-Forward,RKC Waalwijk,0.0,in,Summer,2014,2014/2015
Filip Kurto,23,Goalkeeper,Roda JC,0.0,in,Summer,2014,2014/2015
Josimar Lima,25,Centre-Back,Al-Shaab,0.0,in,Summer,2014,2014/2015
Ricky van Haaren,23,Central Midfield,ADO Den Haag,0.0,in,Summer,2014,2014/2015
Giovanni Korte,20,Right Winger,ADO Den Haag,0.0,in,Summer,2014,2014/2015
Sem de Wit,19,Centre-Back,ADO Den Haag,0.0,in,Summer,2014,2014/2015
Joris van Overeem,20,Central Midfield,AZ Alkmaar,0.0,in,Summer,2014,2014/2015
Rick ten Voorde,23,Centre-Forward,SC Paderborn,0.0,in,Summer,2014,2014/2015
William Troost-Ekong,20,Centre-Back,FC Groningen,0.0,in,Summer,2014,2014/2015
Mohamed Hamdaoui,21,Left Winger,Vitesse U21,0.0,in,Summer,2014,2014/2015
Ryan Koolwijk,29,Central Midfield,Without Club,0.0,in,Summer,2014,2014/2015
Erixon Danso,25,Attacking Midfield,Without Club,0.0,in,Summer,2014,2014/2015
Ibrahima Touré,19,Attacking Midfield,Dordrecht U21,0.0,in,Summer,2014,2014/2015
Jeffrey Ket,21,Centre-Back,FC Oss,0.0,out,Summer,2014,2014/2015
Obi Onyeike,22,Centre-Back,Hereford Utd.,0.0,out,Summer,2014,2014/2015
Jair Balrak,20,Centre-Forward,VV Capelle,0.0,out,Summer,2014,2014/2015
Genaro Snijders,25,Right Winger,FC Oss,0.0,out,Summer,2014,2014/2015
Michael Potkamp,22,Attacking Midfield,Kozakken Boys,0.0,out,Summer,2014,2014/2015
Wilmer Kousemaker,29,Left Midfield,VV Capelle,0.0,out,Summer,2014,2014/2015
Giovano Gödeken,24,Central Midfield,SteDoCo,0.0,out,Summer,2014,2014/2015
Warner Hahn,22,Goalkeeper,Feyenoord,0.0,out,Summer,2014,2014/2015
Jessy Mayele,23,Centre-Forward,CR Al Hoceima,0.0,out,Summer,2014,2014/2015
Bryan Jongeneel,20,Centre-Back,Kozakken Boys,0.0,out,Summer,2014,2014/2015
Sem de Wit,19,Centre-Back,ADO Den Haag,0.0,out,Summer,2014,2014/2015
Erixon Danso,24,Attacking Midfield,Without Club,0.0,out,Summer,2014,2014/2015
William Troost-Ekong,20,Centre-Back,FC Groningen,0.0,out,Summer,2014,2014/2015
Felitciano Zschusschen,22,Centre-Forward,Twente FC,0.0,out,Summer,2014,2014/2015
Jordy van Deelen,21,Right-Back,Feyenoord,0.0,out,Summer,2014,2014/2015
Youri Loen,23,Central Midfield,NEC Nijmegen,0.0,out,Summer,2014,2014/2015
Matthew Steenvoorden,21,Centre-Back,Feyenoord,0.0,out,Summer,2014,2014/2015
Giovanni Korte,20,Right Winger,ADO Den Haag,0.0,out,Summer,2014,2014/2015
Paul Gladon,22,Centre-Forward,Sparta R.,0.0,out,Summer,2014,2014/2015
Matthew Steenvoorden,21,Centre-Back,Feyenoord,0.0,in,Winter,2014,2014/2015
Sean Klaiber,20,Right-Back,FC Utrecht,0.0,in,Winter,2014,2014/2015
Fernando Lewis,21,Right Winger,AZ Alkmaar,0.0,in,Winter,2014,2014/2015
Andwelé Slory,32,Right Winger,Without Club,0.0,in,Winter,2014,2014/2015
Anthony Biekman,20,Centre-Forward,Dordrecht U21,0.0,in,Winter,2014,2014/2015
Ryan Koolwijk,29,Central Midfield,AS Trencin,0.0,out,Winter,2014,2014/2015
Rihairo Meulens,26,Right Winger,Rapid Bucharest,0.0,out,Winter,2014,2014/2015
Erixon Danso,25,Attacking Midfield,Safa Beirut SC,0.0,out,Winter,2014,2014/2015
Javier Vet,21,Defensive Midfield,Almere City,0.0,out,Winter,2014,2014/2015
Nando Wormgoor,22,Centre-Back,RKC Waalwijk,0.0,out,Winter,2014,2014/2015
Mohamed Hamdaoui,21,Left Winger,Vitesse U21,0.0,out,Winter,2014,2014/2015
Sem de Wit,19,Centre-Back,ADO Den Haag,0.0,out,Winter,2014,2014/2015
