player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jafar Arias,23,Centre-Forward,FC Dordrecht,50000.0,in,Summer,2018,2018/2019
Nicklas Pedersen,30,Centre-Forward,KV Mechelen,0.0,in,Summer,2018,2018/2019
Stephen Warmolts,24,Centre-Back,Helmond Sport,0.0,in,Summer,2018,2018/2019
Wouter Marinus,23,Attacking Midfield,PEC Zwolle,0.0,in,Summer,2018,2018/2019
Jason Bourdouxhe,27,Left Midfield,Helmond Sport,0.0,in,Summer,2018,2018/2019
Caner Cavlan,26,Left-Back,Heerenveen,0.0,in,Summer,2018,2018/2019
Delano Grootenhuis,21,Attacking Midfield,FC Twente U21,0.0,in,Summer,2018,2018/2019
Daniel Camara Bos,19,Right-Back,Groningen U19,0.0,in,Summer,2018,2018/2019
Kasper Oldenburger,22,Right Winger,Groningen U21,0.0,in,Summer,2018,2018/2019
Robbert de Vos,22,Central Midfield,Groningen U21,0.0,in,Summer,2018,2018/2019
Reuven Niemeijer,23,Second Striker,Heracles Almelo,0.0,in,Summer,2018,2018/2019
Luciano Slagveer,24,Right Winger,KSC Lokeren,0.0,in,Summer,2018,2018/2019
Easah Suliman,20,Centre-Back,Aston Villa U21,0.0,in,Summer,2018,2018/2019
Rob Deiman,19,Central Midfield,Emmen U19,0.0,in,Summer,2018,2018/2019
Kjelt Engbers,18,Centre-Back,Emmen U19,0.0,in,Summer,2018,2018/2019
Nande Wielink,20,Centre-Back,Spelle-Venhaus,0.0,in,Summer,2018,2018/2019
Willem Huizing,23,Right-Back,Harkemase Boys,0.0,out,Summer,2018,2018/2019
Josimar Lima,28,Centre-Back,FC Lahti,0.0,out,Summer,2018,2018/2019
Jeroen Veldmate,29,Centre-Back,Go Ahead Eagles,0.0,out,Summer,2018,2018/2019
Omran Haydary,20,Right Winger,FC Dordrecht,0.0,out,Summer,2018,2018/2019
Youri Loen,27,Central Midfield,Almere City,0.0,out,Summer,2018,2018/2019
Mario Bilate,27,Centre-Forward,RKC Waalwijk,0.0,out,Summer,2018,2018/2019
Joris Voest,23,Left-Back,Harkemase Boys,0.0,out,Summer,2018,2018/2019
Nande Wielink,20,Centre-Back,ACV Assen,0.0,out,Summer,2018,2018/2019
Norair Aslanyan,27,Right Winger,Katwijk,0.0,out,Summer,2018,2018/2019
Cas Peters,25,Centre-Forward,FC Volendam,0.0,out,Summer,2018,2018/2019
Nicklas Pedersen,31,Centre-Forward,Retired,0.0,out,Summer,2018,2018/2019
Michael de Leeuw,32,Centre-Forward,Chicago,0.0,in,Winter,2018,2018/2019
Nico Neidhart,24,Right-Back,SF Lotte,0.0,in,Winter,2018,2018/2019
Sven Braken,25,Centre-Forward,NEC Nijmegen,0.0,in,Winter,2018,2018/2019
Andrej Lukic,24,Centre-Back,SC Braga,0.0,in,Winter,2018,2018/2019
Nick Kuipers,26,Centre-Back,ADO Den Haag,0.0,in,Winter,2018,2018/2019
Zakaria El Azzouzi,22,Centre-Forward,Without Club,0.0,in,Winter,2018,2018/2019
Kjelt Engbers,19,Centre-Back,VV Hoogeveen,0.0,out,Winter,2018,2018/2019
Easah Suliman,20,Centre-Back,Aston Villa U21,0.0,out,Winter,2018,2018/2019
Marko Kolar,24,Centre-Forward,Wisla Kraków,500000.0,in,Summer,2019,2019/2020
Miguel Araujo,24,Centre-Back,Without Club,0.0,in,Summer,2019,2019/2020
Luciano Slagveer,25,Right Winger,KSC Lokeren,0.0,in,Summer,2019,2019/2020
Michaël Heylen,25,Centre-Back,Zulte Waregem,0.0,in,Summer,2019,2019/2020
Sergio Peña,23,Central Midfield,Granada CF,0.0,in,Summer,2019,2019/2020
Tom Hiariej,30,Defensive Midfield,Central Coast,0.0,in,Summer,2019,2019/2020
Leon Sopic,18,Centre-Back,NK Rudes U19,0.0,in,Summer,2019,2019/2020
Lorenzo Burnet,28,Left-Back,Excelsior,0.0,in,Summer,2019,2019/2020
Ferhat Görgülü,27,Centre-Back,Giresunspor,0.0,in,Summer,2019,2019/2020
Matthias Hamrol,25,Goalkeeper,Korona Kielce,0.0,in,Summer,2019,2019/2020
Desevio Payne,23,Right-Back,Excelsior,0.0,in,Summer,2019,2019/2020
Nikolai Laursen,21,Right Winger,PSV U21,0.0,in,Summer,2019,2019/2020
Shani Tarashaj,24,Second Striker,Everton,0.0,in,Summer,2019,2019/2020
Jan-Niklas Beste,20,Right Winger,Werder Bremen,0.0,in,Summer,2019,2019/2020
Freddy Quispel,18,Centre-Forward,Emmen U19,0.0,in,Summer,2019,2019/2020
Stefan van der Lei,26,Goalkeeper,Without Club,0.0,in,Summer,2019,2019/2020
Ruben Roosken,19,Left-Back,Emmen U19,0.0,in,Summer,2019,2019/2020
Robin Jalving,19,Goalkeeper,Emmen U19,0.0,in,Summer,2019,2019/2020
Filip Ugrinic,20,Left Midfield,FC Luzern,0.0,in,Summer,2019,2019/2020
Kjell Scherpen,19,Goalkeeper,Ajax,1500000.0,out,Summer,2019,2019/2020
Hilal Ben Moussa,27,Central Midfield,Sepsi OSK,0.0,out,Summer,2019,2019/2020
Alexander Bannink,29,Attacking Midfield,Go Ahead Eagles,0.0,out,Summer,2019,2019/2020
Zakaria El Azzouzi,23,Centre-Forward,FC Volendam,0.0,out,Summer,2019,2019/2020
Caner Cavlan,27,Left-Back,Austria Vienna,0.0,out,Summer,2019,2019/2020
Stef Gronsveld,23,Right-Back,FC Dordrecht,0.0,out,Summer,2019,2019/2020
Rob Deiman,20,Central Midfield,SV Meppen II,0.0,out,Summer,2019,2019/2020
