player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Eric van Kessel,26,Left-Back,De Graafschap,341000.0,in,Summer,1992,1992/1993
Rick Slor,20,Right-Back,SC Veendam,0.0,in,Summer,1992,1992/1993
Lucian Ilie,24,Central Midfield,FC Wageningen,0.0,in,Summer,1992,1992/1993
Ronald Hamming,19,Centre-Forward,Achilles 1894,0.0,in,Summer,1992,1992/1993
Bas Roorda,19,Goalkeeper,Groningen U19,0.0,in,Summer,1992,1992/1993
Steven Gonesh,18,attack,Groningen U19,0.0,in,Summer,1992,1992/1993
Andrey Zygmantovich,29,Central Midfield,Dinamo Minsk,0.0,out,Summer,1992,1992/1993
Martin Drent,22,Centre-Forward,SC Veendam,0.0,out,Summer,1992,1992/1993
Marcel van Buuren,28,midfield,Unknown,0.0,out,Summer,1992,1992/1993
Richard Douwes,22,midfield,Achilles 1894,0.0,out,Summer,1992,1992/1993
Ronald Goosensen,21,midfield,Unknown,0.0,out,Summer,1992,1992/1993
Jan van Dijk,35,Right Midfield,VV Roden,0.0,out,Summer,1992,1992/1993
Arnold Reinders,21,midfield,Oosterparkers,0.0,out,Summer,1992,1992/1993
Milko Gjurovski,29,attack,Cambuur L.,0.0,out,Summer,1992,1992/1993
Theo Migchelsen,22,Goalkeeper,Heerenveen,0.0,out,Summer,1992,1992/1993
Arnold Bos,22,midfield,SC Veendam,0.0,out,Summer,1992,1992/1993
Jerry de Jong,28,Right-Back,PSV Eindhoven,0.0,in,Winter,1992,1992/1993
Hennie Meijer,31,Centre-Forward,Verdy Kawasaki,0.0,out,Winter,1992,1992/1993
Bert Zuurman,19,Centre-Forward,Heracles,0.0,out,Winter,1992,1992/1993
Arjan Ebbinge,18,Centre-Back,GVAV Rapiditas,0.0,in,Summer,1993,1993/1994
Clyde Wijnhard,19,Centre-Forward,Ajax,0.0,in,Summer,1993,1993/1994
Michael Reiziger,20,Right-Back,Ajax,0.0,in,Summer,1993,1993/1994
Berthil ter Avest,22,Left Midfield,Roda JC,0.0,in,Summer,1993,1993/1994
Marian Chlad,23,midfield,TJ Vitkovice,0.0,in,Summer,1993,1993/1994
Lucien Sahetapy,18,Right-Back,Groningen U19,0.0,in,Summer,1993,1993/1994
Milko Gjurovski,30,attack,Cambuur L.,0.0,in,Summer,1993,1993/1994
Bert Zuurman,20,Centre-Forward,Heracles,0.0,in,Summer,1993,1993/1994
Theo Migchelsen,23,Goalkeeper,Heerenveen,0.0,in,Summer,1993,1993/1994
