player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Raymond Graanoogst,17,attack,Unknown,0.0,in,Summer,1992,1992/1993
Edwin de Kruyff,22,Attacking Midfield,De Graafschap,0.0,out,Summer,1992,1992/1993
Marcel Lindenaar,24,midfield,Kozakken Boys,0.0,out,Summer,1992,1992/1993
Edwin de Kruyff,22,Attacking Midfield,De Graafschap,0.0,in,Winter,1992,1992/1993
Jan Oosterhuis,29,midfield,De Graafschap,0.0,out,Winter,1992,1992/1993
Willem van der Ark,29,Centre-Forward,FC Den Haag,0.0,out,Winter,1992,1992/1993
Jean-Paul de Jong,22,Central Midfield,VfL Osnabrück,0.0,in,Summer,1993,1993/1994
Ferdino Hernández,22,Left Winger,Unknown,0.0,in,Summer,1993,1993/1994
Willem van der Ark,29,Centre-Forward,FC Den Haag,0.0,in,Summer,1993,1993/1994
Herman Verrips,30,defence,FC Zwolle,0.0,out,Summer,1993,1993/1994
Patrick van Diemen,21,Defensive Midfield,AZ Alkmaar,0.0,out,Summer,1993,1993/1994
Marcel Liesdek,33,midfield,South China,0.0,out,Summer,1993,1993/1994
Jerry Cooke,30,attack,Retired,0.0,out,Summer,1993,1993/1994
Eric van Kessel,27,Left-Back,FC Groningen,0.0,in,Winter,1993,1993/1994
Bert Aipassa,23,defence,Haarlem,0.0,out,Winter,1993,1993/1994
Suvat Karadag,23,attack,Heracles,0.0,out,Winter,1993,1993/1994
Foeke Booy,32,Centre-Forward,KAA Gent,182000.0,in,Summer,1994,1994/1995
David Nascimento,28,Centre-Back,Roda JC,0.0,in,Summer,1994,1994/1995
René Ponk,22,Goalkeeper,DRC Amsterdam,0.0,in,Summer,1994,1994/1995
Peter Hofstede,27,Centre-Forward,Roda JC,0.0,in,Summer,1994,1994/1995
Carlos Hasselbaink,25,attack,VVV-Venlo,0.0,in,Summer,1994,1994/1995
Elroy Asmus,20,Right-Back,Kozakken Boys,0.0,in,Summer,1994,1994/1995
Edwin Gorter,30,Attacking Midfield,Lommel SK,0.0,in,Summer,1994,1994/1995
Niels Creutzburg,19,Defensive Midfield,Go Ahead Eagles,0.0,in,Summer,1994,1994/1995
Johan de Kock,29,Centre-Back,Roda JC,0.0,out,Summer,1994,1994/1995
Robert Roest,24,Centre-Back,KSK Beveren,0.0,out,Summer,1994,1994/1995
Pieter Bijl,29,Central Midfield,Heerenveen,0.0,out,Summer,1994,1994/1995
Willem van der Ark,30,Centre-Forward,Cambuur L.,0.0,out,Summer,1994,1994/1995
Etienne Kelders,27,attack,Unknown,0.0,out,Summer,1994,1994/1995
Erik Mykland,23,Central Midfield,IK Start,0.0,in,Winter,1994,1994/1995
Edwin de Kruyff,24,Attacking Midfield,Emmen,0.0,out,Winter,1994,1994/1995
Erik Mykland,23,Central Midfield,IK Start,0.0,out,Winter,1994,1994/1995
Dries Boussatta,22,Right Winger,Haarlem,0.0,in,Summer,1995,1995/1996
Hans Visser,28,attack,MVV Maastricht,0.0,in,Summer,1995,1995/1996
Erik ten Hag,25,Centre-Back,RKC Waalwijk,0.0,in,Summer,1995,1995/1996
Errol Refos,25,Centre-Back,Feyenoord,0.0,in,Summer,1995,1995/1996
Vincent Polfliet,19,defence,Unknown,0.0,in,Summer,1995,1995/1996
Marcus Philips,21,midfield,Unknown,0.0,in,Summer,1995,1995/1996
Jörg Smeets,24,Right Winger,FC Volendam,0.0,in,Summer,1995,1995/1996
Stefan Postma,18,Goalkeeper,FC Utrecht U19,0.0,in,Summer,1995,1995/1996
René Ponk,23,Goalkeeper,VVV-Venlo,0.0,out,Summer,1995,1995/1996
Carlos Hasselbaink,26,attack,Haarlem,0.0,out,Summer,1995,1995/1996
Edwin Gorter,31,Attacking Midfield,Vitesse,0.0,out,Summer,1995,1995/1996
Erik van der Meer,27,defence,Cambuur L.,0.0,out,Summer,1995,1995/1996
John van Loen,30,Centre-Forward,Feyenoord,0.0,in,Winter,1995,1995/1996
Dick Van Burik,22,Centre-Back,NAC Breda,500000.0,in,Summer,1996,1996/1997
Michael Mols,25,Centre-Forward,Twente FC,0.0,in,Summer,1996,1996/1997
Reinier Robbemond,24,Right Midfield,Dordrecht'90,0.0,in,Summer,1996,1996/1997
René Ponk,24,Goalkeeper,VVV-Venlo,0.0,in,Summer,1996,1996/1997
René van den Brink,30,attack,De Graafschap,0.0,in,Summer,1996,1996/1997
Leon van Nieuwkerk,21,attack,Scheveningen,0.0,in,Summer,1996,1996/1997
René van de Brink,30,Right Winger,De Graafschap,0.0,in,Summer,1996,1996/1997
Richard Beekink,24,midfield,Elinkwijk,0.0,in,Summer,1996,1996/1997
Srdjan Obradovic,26,Centre-Back,SC Braga,0.0,in,Summer,1996,1996/1997
Rob Witschge,29,Left Midfield,Feyenoord,0.0,in,Summer,1996,1996/1997
René Stam,31,Goalkeeper,ADO Den Haag,0.0,in,Summer,1996,1996/1997
Ab Plugboer,32,midfield,FC Volendam,0.0,out,Summer,1996,1996/1997
Niels Creutzburg,21,Defensive Midfield,Spakenburg,0.0,out,Summer,1996,1996/1997
Marcus Philips,22,midfield,Unknown,0.0,out,Summer,1996,1996/1997
