player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Michael Reiziger,19,Right-Back,Ajax,0.0,in,Summer,1992,1992/1993
Hans Bond,18,attack,Unknown,0.0,in,Summer,1992,1992/1993
André Wasiman,29,midfield,Eindhoven,0.0,in,Summer,1992,1992/1993
Pascal Jongsma,23,midfield,Unknown,0.0,in,Summer,1992,1992/1993
Robert Molenaar,23,Centre-Back,Volendam U19,0.0,in,Summer,1992,1992/1993
Jeffrey Kooistra,23,midfield,Haarlem,0.0,out,Summer,1992,1992/1993
Achmed Buchaar,22,attack,Unknown,0.0,out,Summer,1992,1992/1993
Elroy Kromheer,22,Sweeper,Motherwell FC,0.0,out,Summer,1992,1992/1993
Carlo de Leeuw,31,Left Winger,Eindhoven,0.0,out,Summer,1992,1992/1993
John Clayton,30,Centre-Forward,Burnley,0.0,out,Summer,1992,1992/1993
Maickel Ferrier,17,Centre-Back,Haarlem,0.0,in,Summer,1993,1993/1994
Ivica Vukov,23,attack,Vojvodina,0.0,in,Summer,1993,1993/1994
Ronald Bond,20,attack,Unknown,0.0,in,Summer,1993,1993/1994
Miroslav Stefanović,26,attack,Cukaricki,0.0,in,Summer,1993,1993/1994
Elroy Kromheer,23,Sweeper,Motherwell FC,0.0,in,Summer,1993,1993/1994
Patrick Leeflang,18,Centre-Back,Volendam U19,0.0,in,Summer,1993,1993/1994
Arie Obdam,20,attack,Volendam U21,0.0,in,Summer,1993,1993/1994
Edwin van Holten,22,Goalkeeper,Volendam U21,0.0,in,Summer,1993,1993/1994
Frank Berghuis,26,Left Winger,Lommel SK,0.0,out,Summer,1993,1993/1994
Winand van Loon,29,Right-Back,Excelsior,0.0,out,Summer,1993,1993/1994
Edward Burleson,25,attack,Excelsior,0.0,out,Summer,1993,1993/1994
John Binken,23,midfield,Unknown,0.0,out,Summer,1993,1993/1994
Michael Reiziger,20,Right-Back,Ajax,0.0,out,Summer,1993,1993/1994
Marco Daman,26,defence,Haarlem,0.0,out,Winter,1993,1993/1994
André Ooijer,19,Centre-Back,Ajax,0.0,in,Summer,1994,1994/1995
Ulrich Wilson,30,Left-Back,FC Groningen,0.0,in,Summer,1994,1994/1995
Rogier Hoogland,19,defence,Unknown,0.0,in,Summer,1994,1994/1995
Jacintho Mormon,19,attack,Unknown,0.0,in,Summer,1994,1994/1995
Edwin Hermans,20,Left-Back,PSV Eindhoven,0.0,in,Summer,1994,1994/1995
Mark de Vries,18,Centre-Forward,Volendam U19,0.0,in,Summer,1994,1994/1995
Tom Sier,24,Left-Back,Heerenveen,227000.0,out,Summer,1994,1994/1995
Fabian de Freitas,21,attack,Bolton,0.0,out,Summer,1994,1994/1995
Alex Pastoor,28,midfield,Heerenveen,0.0,out,Winter,1994,1994/1995
Radoslav Samardzic,25,Centre-Forward,Vojvodina,0.0,in,Summer,1995,1995/1996
Luc Nijholt,33,Centre-Back,Swindon Town,0.0,in,Summer,1995,1995/1996
Björn Lindenbergh,19,Right-Back,Unknown,0.0,in,Summer,1995,1995/1996
Akinori Nishizawa,19,Centre-Forward,Cerezo Osaka,0.0,in,Summer,1995,1995/1996
Ab Persijn,21,defence,Volendam U21,0.0,in,Summer,1995,1995/1996
André Wasiman,32,midfield,Dordrecht'90,0.0,out,Summer,1995,1995/1996
Jörg Smeets,24,Right Winger,FC Utrecht,0.0,out,Summer,1995,1995/1996
Edwin Hermans,21,Left-Back,PSV Eindhoven,0.0,out,Summer,1995,1995/1996
