player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
René Hofman,31,Right Winger,Roda JC,0.0,in,Summer,1992,1992/1993
Kenneth Nysaether,22,Centre-Forward,Lillestrøm,0.0,in,Summer,1992,1992/1993
Peter Schmitz,21,attack,Helmond Sport,0.0,in,Summer,1992,1992/1993
Arno van Zwam,22,Goalkeeper,Fortuna U19,0.0,in,Summer,1992,1992/1993
Marco Boogers,25,Centre-Forward,RKC Waalwijk,0.0,out,Summer,1992,1992/1993
Roger Reijners,28,Left Midfield,MVV Maastricht,0.0,out,Summer,1992,1992/1993
Jerry Taihuttu,22,Centre-Forward,Helmond Sport,0.0,out,Summer,1992,1992/1993
Henk Duut,28,defence,Retired,0.0,out,Summer,1992,1992/1993
Robert Kicken,23,defence,Haarlem,0.0,out,Winter,1992,1992/1993
Ronald Hamming,22,Centre-Forward,FC Groningen,0.0,in,Summer,1995,1995/1996
Hamza Samari,12,Centre-Forward,Unknown,0.0,in,Summer,1995,1995/1996
Robert Roest,25,Centre-Back,KSK Beveren,0.0,in,Summer,1995,1995/1996
Regillio Simons,22,Centre-Forward,Telstar,0.0,in,Summer,1995,1995/1996
Ruud Kool,28,midfield,Twente FC,0.0,in,Summer,1995,1995/1996
Jürgen Dirkx,19,Centre-Back,PSV Eindhoven,0.0,in,Summer,1995,1995/1996
Freek de Winter,18,midfield,Fortuna U19,0.0,in,Summer,1995,1995/1996
Bart Meulenberg,19,Defensive Midfield,Fortuna U19,0.0,in,Summer,1995,1995/1996
Maurice Rayer,22,Centre-Back,VVV-Venlo,0.0,out,Summer,1995,1995/1996
Fuat Usta,22,Central Midfield,Besiktas,0.0,out,Summer,1995,1995/1996
Roberto Lanckohr,26,Attacking Midfield,MVV Maastricht,0.0,in,Winter,1995,1995/1996
Michael Jeffrey,24,Centre-Forward,Rotherham,0.0,in,Winter,1995,1995/1996
Raphael Losada,24,midfield,MVV Maastricht,0.0,out,Winter,1995,1995/1996
Patrick Paauwe,20,Centre-Back,De Graafschap,0.0,in,Summer,1996,1996/1997
Robert-Jan Zoetmulder,23,Goalkeeper,Helmond Sport,0.0,in,Summer,1996,1996/1997
Fuat Usta,24,Central Midfield,Besiktas,0.0,in,Summer,1996,1996/1997
Raphael Losada,24,midfield,MVV Maastricht,0.0,in,Summer,1996,1996/1997
André van der Zander,20,midfield,Germ. Teveren,0.0,out,Summer,1996,1996/1997
Raphael Losada,24,midfield,Eindhoven,0.0,out,Summer,1996,1996/1997
Dominik Vergoossen,24,Centre-Back,Helmond Sport,0.0,out,Summer,1996,1996/1997
Roland Vroomans,27,Centre-Forward,Eindhoven,0.0,out,Summer,1996,1996/1997
Phil Gray,28,Centre-Forward,AS Nancy,0.0,in,Winter,1996,1996/1997
Edwin Hermans,23,Left-Back,MVV Maastricht,0.0,in,Summer,1997,1997/1998
François Gesthuizen,24,Right Midfield,NAC Breda,0.0,in,Summer,1997,1997/1998
Dorel Zegrean,27,Left-Back,FC National,0.0,in,Summer,1997,1997/1998
Alin Banceu,23,attack,U Cluj,0.0,in,Summer,1997,1997/1998
Cosmin Maris,22,Central Midfield,U Cluj,0.0,in,Summer,1997,1997/1998
Kevin Hofland,18,Centre-Back,Fortuna U19,0.0,in,Summer,1997,1997/1998
Phil Gray,28,Centre-Forward,Luton,900000.0,out,Summer,1997,1997/1998
Fernando Ricksen,20,Right-Back,AZ Alkmaar,0.0,out,Summer,1997,1997/1998
Robert Loontjens,24,defence,Cambuur L.,0.0,out,Summer,1997,1997/1998
Martin van Ophuizen,28,Sweeper,KSK Beveren,0.0,out,Summer,1997,1997/1998
Frank van Eijs,25,Centre-Back,KV Mechelen,0.0,out,Summer,1997,1997/1998
Wil Boessen,33,Left-Back,Helmond Sport,0.0,out,Summer,1997,1997/1998
Robert van der Weert,27,Centre-Forward,AZ Alkmaar,0.0,out,Summer,1997,1997/1998
Jaromír Paciorek,18,midfield,Excelsior,0.0,in,Summer,1998,1998/1999
Wilfred Bouma,20,Left-Back,PSV Eindhoven,0.0,in,Summer,1998,1998/1999
Georges Tychon,17,Centre-Forward,Fortuna U19,0.0,in,Summer,1998,1998/1999
Patrick Paauwe,22,Centre-Back,Feyenoord,0.0,out,Summer,1998,1998/1999
Roberto Lanckohr,28,Attacking Midfield,RKC Waalwijk,0.0,out,Summer,1998,1998/1999
Bart Meulenberg,22,Defensive Midfield,Alem. Aachen,0.0,out,Summer,1998,1998/1999
Fuat Usta,25,Central Midfield,Cambuur L.,0.0,out,Summer,1998,1998/1999
Wim Kiekens,30,Right-Back,Royal Antwerp,0.0,in,Winter,1998,1998/1999
Marco Heering,28,Right Winger,Willem II,0.0,in,Winter,1998,1998/1999
Jürgen Dirkx,23,Centre-Back,PSV Eindhoven,0.0,out,Winter,1998,1998/1999
Mark Burke,29,midfield,Omiya Ardija,0.0,out,Winter,1998,1998/1999
Ronald Dassen,23,defence,Helmond Sport,0.0,out,Winter,1998,1998/1999
Dennis Gerritsen,28,Centre-Forward,De Graafschap,0.0,in,Summer,1999,1999/2000
Brenny Evers,20,Right-Back,PSV U21,0.0,in,Summer,1999,1999/2000
Joost Volmer,25,Centre-Back,MVV Maastricht,0.0,in,Summer,1999,1999/2000
Dennis Krijgsman,26,Attacking Midfield,Sparta R.,0.0,in,Summer,1999,1999/2000
Samir Amari,19,midfield,VVV-Venlo,0.0,in,Summer,1999,1999/2000
Joos van Barneveld,17,midfield,Fortuna U19,0.0,in,Summer,1999,1999/2000
Rob Schulpen,18,midfield,Sittard U21,0.0,in,Summer,1999,1999/2000
Cliff Hamers,18,midfield,Fortuna U19,0.0,in,Summer,1999,1999/2000
Mark van Bommel,22,Defensive Midfield,PSV Eindhoven,2700000.0,out,Summer,1999,1999/2000
Arno van Zwam,29,Goalkeeper,Júbilo Iwata,0.0,out,Summer,1999,1999/2000
Ervin Lee,25,Right-Back,AZ Alkmaar,0.0,out,Summer,1999,1999/2000
Regillio Simons,26,Centre-Forward,NAC Breda,0.0,out,Summer,1999,1999/2000
Freek de Winter,22,midfield,Helmond Sport,0.0,out,Summer,1999,1999/2000
Michael Jeffrey,27,Centre-Forward,Kilmarnock FC,0.0,out,Summer,1999,1999/2000
Alin Banceu,25,attack,FC National,0.0,out,Summer,1999,1999/2000
Ivo Jongepier,20,midfield,Eindhoven,0.0,out,Summer,1999,1999/2000
Wilfred Bouma,21,Left-Back,PSV Eindhoven,0.0,out,Summer,1999,1999/2000
