player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jan Michels,21,Central Midfield,FC Zwolle,0.0,in,Summer,1992,1992/1993
Jason van Blerk,24,Left Midfield,St. George Saints,0.0,in,Summer,1992,1992/1993
Gijs Steinmann,31,defence,Heracles,0.0,in,Summer,1992,1992/1993
Erik Willaarts,30,Centre-Forward,Dordrecht'90,0.0,in,Summer,1992,1992/1993
Jacco Beerthuizen,23,Goalkeeper,Heracles,0.0,in,Summer,1992,1992/1993
Niels Gerestein,20,midfield,VVV-Venlo,0.0,in,Summer,1992,1992/1993
Dwight Lodeweges,34,Sweeper,Retired,0.0,out,Summer,1992,1992/1993
Alfred Knippenberg,23,Attacking Midfield,Telstar,0.0,out,Winter,1992,1992/1993
Harry Buisman,25,attack,Spakenburg,0.0,in,Summer,1993,1993/1994
Bas Martron,21,midfield,Quick '20,0.0,in,Summer,1993,1993/1994
Peter Rufai,29,Goalkeeper,KSK Beveren,0.0,in,Summer,1993,1993/1994
Niels Creutzburg,18,Defensive Midfield,Houten,0.0,in,Summer,1993,1993/1994
Lloyd Kammeron,21,Centre-Forward,Feyenoord,0.0,in,Summer,1993,1993/1994
Alfred Knippenberg,23,Attacking Midfield,Telstar,0.0,in,Summer,1993,1993/1994
Luuk Maes,21,Centre-Back,PSV Eindhoven,0.0,out,Summer,1993,1993/1994
Jesse ter Mate,20,Defensive Midfield,SV Helios,0.0,out,Summer,1993,1993/1994
Jacco Beerthuizen,24,Goalkeeper,Heracles,0.0,out,Summer,1993,1993/1994
Gerry van Guine,23,midfield,KBV Amsterdam,0.0,out,Summer,1993,1993/1994
Jeroen Boere,25,Centre-Forward,West Ham,0.0,out,Summer,1993,1993/1994
Niels Gerestein,21,midfield,South China,0.0,out,Summer,1993,1993/1994
Donny Huysen,20,attack,Ajax,0.0,in,Winter,1993,1993/1994
Erwin Looms,20,Centre-Forward,De Graafschap,0.0,out,Winter,1993,1993/1994
Lloyd Kammeron,22,Centre-Forward,Feyenoord,0.0,in,Summer,1994,1994/1995
Joop Hiele,35,Goalkeeper,Dordrecht'90,0.0,in,Summer,1994,1994/1995
Marcel Valk,27,Right Midfield,RKC Waalwijk,0.0,in,Summer,1994,1994/1995
Jack de Gier,25,Centre-Forward,Cambuur L.,0.0,in,Summer,1994,1994/1995
Bert Verhagen,27,Centre-Back,Willem II,0.0,in,Summer,1994,1994/1995
Frank van Twillert,18,Centre-Forward,Go Ahead U19,0.0,in,Summer,1994,1994/1995
Maringo Vlijter,18,defence,Go Ahead U19,0.0,in,Summer,1994,1994/1995
Maringo Vlijter,18,defence,Go Ahead U19,0.0,in,Summer,1994,1994/1995
Victor Sikora,16,Right Winger,Go Ahead U19,0.0,in,Summer,1994,1994/1995
Bas Leferink,18,defence,Go Ahead U19,0.0,in,Summer,1994,1994/1995
Erwin Looms,20,Centre-Forward,De Graafschap,0.0,in,Summer,1994,1994/1995
Jason van Blerk,26,Left Midfield,Millwall,334000.0,out,Summer,1994,1994/1995
Paul Bosvelt,24,Defensive Midfield,Twente FC,200000.0,out,Summer,1994,1994/1995
Erwin Looms,20,Centre-Forward,PH Almelo,0.0,out,Summer,1994,1994/1995
Peter Rufai,30,Goalkeeper,Farense,0.0,out,Summer,1994,1994/1995
Gijs Steinmann,33,defence,Unknown,0.0,out,Summer,1994,1994/1995
Niels Creutzburg,19,Defensive Midfield,FC Utrecht,0.0,out,Summer,1994,1994/1995
