player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Ragnar Klavan,19,Centre-Back,FC Flora,200000.0,in,Summer,2005,2005/2006
Sota Hirayama,20,Centre-Forward,Tsukuba Univ.,0.0,in,Summer,2005,2005/2006
Denis Calincov,19,Left Winger,RSC Anderlecht,0.0,in,Summer,2005,2005/2006
Bernard Hofstede,24,Central Midfield,VVV-Venlo,0.0,in,Summer,2005,2005/2006
Martin Pieckenhagen,33,Goalkeeper,Hamburger SV,0.0,in,Summer,2005,2005/2006
Jan Wuytens,20,Centre-Back,PSV U21,0.0,in,Summer,2005,2005/2006
Rob Maas,35,Defensive Midfield,MSV Duisburg,0.0,in,Summer,2005,2005/2006
Igor Gluscevic,31,Centre-Forward,Vitesse,0.0,in,Summer,2005,2005/2006
Chris Wijnterp,20,Goalkeeper,FC Twente U21,0.0,in,Summer,2005,2005/2006
Machiel van Keulen,21,midfield,SVZW Wierden,0.0,out,Summer,2005,2005/2006
Niels ten Hoeve,22,Second Striker,HSC '21,0.0,out,Summer,2005,2005/2006
Tim Gilissen,23,Defensive Midfield,Go Ahead Eagles,0.0,out,Summer,2005,2005/2006
Erwin Leurink,32,defence,Excelsior '31,0.0,out,Summer,2005,2005/2006
Roel Buikema,29,Left Midfield,Excelsior,0.0,out,Summer,2005,2005/2006
Sherjill MacDonald,20,Centre-Forward,RSC Anderlecht,0.0,out,Summer,2005,2005/2006
Jeffrey de Visscher,24,Right Winger,Twente FC,0.0,out,Summer,2005,2005/2006
Jonathan Constancia,19,Attacking Midfield,KAA Gent,0.0,out,Summer,2005,2005/2006
Barry Reijs,26,Goalkeeper,FC Emmen,0.0,out,Summer,2005,2005/2006
Mika Nurmela,34,Right Midfield,HJK Helsinki,0.0,in,Winter,2005,2005/2006
Stefaan Tanghe,33,Attacking Midfield,FC Utrecht,0.0,in,Winter,2005,2005/2006
Eddy Bosnar,26,Centre-Back,HNK Rijeka,300000.0,in,Summer,2006,2006/2007
Everton,23,Centre-Forward,Barueri,100000.0,in,Summer,2006,2006/2007
Kai Michalke,30,Left Winger,MSV Duisburg,0.0,in,Summer,2006,2006/2007
Karim Bridji,24,Attacking Midfield,Helmond Sport,0.0,in,Summer,2006,2006/2007
Remko Pasveer,22,Goalkeeper,Twente FC,0.0,in,Summer,2006,2006/2007
Björn Daelemans,28,Right-Back,RBC Roosendaal,0.0,in,Summer,2006,2006/2007
Emmanuel Boakye,21,Right-Back,Ajax,0.0,in,Summer,2006,2006/2007
Robbert Schilder,20,Centre-Back,Ajax,0.0,in,Summer,2006,2006/2007
Diego Biseswar,18,Attacking Midfield,Feyenoord,0.0,in,Summer,2006,2006/2007
Stijn Pol,19,Right-Back,Heracles U21,0.0,in,Summer,2006,2006/2007
Gertjan Tamerus,25,Centre-Forward,NAC Breda,0.0,out,Summer,2006,2006/2007
René Remie,20,Goalkeeper,Achilles '12,0.0,out,Summer,2006,2006/2007
Denis Calincov,20,Left Winger,Cambuur L.,0.0,out,Summer,2006,2006/2007
Thijs Sluijter,26,Left Winger,Litex Lovech,0.0,out,Summer,2006,2006/2007
Sota Hirayama,21,Centre-Forward,FC Tokyo,0.0,out,Summer,2006,2006/2007
Mika Nurmela,34,Right Midfield,HJK Helsinki,0.0,out,Summer,2006,2006/2007
Brian van Loo,31,Goalkeeper,FC Groningen,0.0,out,Summer,2006,2006/2007
Rudy Jansen,27,Centre-Back,Excelsior,0.0,out,Summer,2006,2006/2007
Nico-Jan Hoogma,37,Centre-Back,Retired,0.0,out,Summer,2006,2006/2007
Sergio Hellings,21,defence,RSC Anderlecht,0.0,out,Summer,2006,2006/2007
Chris Wijnterp,21,Goalkeeper,FC Twente U21,0.0,out,Summer,2006,2006/2007
Rob Friend,25,Centre-Forward,Heerenveen,200000.0,in,Winter,2006,2006/2007
Peter Reekers,25,Centre-Back,VVV-Venlo,0.0,out,Winter,2006,2006/2007
Bernard Hofstede,26,Central Midfield,FC Volendam,0.0,out,Winter,2006,2006/2007
Ricky van den Bergh,26,Attacking Midfield,RKC Waalwijk,800000.0,in,Summer,2007,2007/2008
Rahim Ouédraogo,26,defence,Skoda Xanthi,0.0,in,Summer,2007,2007/2008
Emmanuel Boakye,22,Right-Back,Ajax,0.0,in,Summer,2007,2007/2008
Srdjan Lakic,23,Centre-Forward,Hertha BSC,0.0,in,Summer,2007,2007/2008
Tim Breukers,19,Right-Back,Quick '20,0.0,in,Summer,2007,2007/2008
Bernard Hofstede,26,Central Midfield,FC Volendam,0.0,in,Summer,2007,2007/2008
Stefaan Tanghe,35,Attacking Midfield,KSV Roeselare,0.0,out,Summer,2007,2007/2008
Bernard Hofstede,26,Central Midfield,FC Volendam,0.0,out,Summer,2007,2007/2008
Stijn Pol,20,Right-Back,DETO,0.0,out,Summer,2007,2007/2008
Marc Höcher,22,Right Winger,Helmond Sport,0.0,out,Summer,2007,2007/2008
Diego Biseswar,19,Attacking Midfield,Feyenoord,0.0,out,Summer,2007,2007/2008
Emmanuel Boakye,22,Right-Back,Ajax,0.0,out,Summer,2007,2007/2008
