player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Jeffrey van As,20,Centre-Back,Ajax U21,0.0,in,Summer,1992,1992/1993
Roger Knarren,22,midfield,Unknown,0.0,in,Summer,1992,1992/1993
Erik Maes,20,midfield,Unknown,0.0,in,Summer,1992,1992/1993
Roger Reijners,28,Left Midfield,Fortuna Sittard,0.0,in,Summer,1992,1992/1993
Jan van Grinsven,32,Goalkeeper,FC Den Bosch,0.0,in,Summer,1992,1992/1993
Twan Scheepers,20,Centre-Forward,PSV Eindhoven,0.0,in,Summer,1992,1992/1993
Alloy Agu,24,Goalkeeper,RC Liège,227000.0,out,Summer,1992,1992/1993
Erik de Haan,28,Goalkeeper,K Patro Eisden,0.0,out,Summer,1992,1992/1993
Willy Roumans,22,attack,Helmond Sport,0.0,out,Summer,1992,1992/1993
Marc Quaden,21,attack,K Patro Eisden,0.0,out,Summer,1992,1992/1993
Coen Quaden,25,defence,Unknown,0.0,out,Summer,1992,1992/1993
Mark Verhoeven,22,Right-Back,FC Den Bosch,0.0,out,Summer,1992,1992/1993
Frane Bucan,26,midfield,KRC Genk,0.0,out,Summer,1992,1992/1993
Twan Scheepers,21,Centre-Forward,PSV Eindhoven,318000.0,in,Summer,1993,1993/1994
Raymond Beerens,21,midfield,PSV Eindhoven,0.0,in,Summer,1993,1993/1994
Mark Verhoeven,23,Right-Back,FC Den Bosch,0.0,in,Summer,1993,1993/1994
Erik Meijer,23,Centre-Forward,PSV Eindhoven,1550000.0,out,Summer,1993,1993/1994
Frank Dikstaal,23,midfield,Telstar,0.0,out,Summer,1993,1993/1994
Hans Spillmann,24,Goalkeeper,KSC Hasselt,0.0,out,Summer,1993,1993/1994
Twan Scheepers,21,Centre-Forward,PSV Eindhoven,0.0,out,Summer,1993,1993/1994
Dirk-Jan Derksen,21,Centre-Forward,Roda JC,0.0,in,Winter,1993,1993/1994
Rein van Duijnhoven,26,Goalkeeper,Helmond Sport,0.0,in,Summer,1994,1994/1995
Roberto Straal,27,Centre-Back,Vitesse,0.0,in,Summer,1994,1994/1995
Sjoerd Sanders,20,defence,PSV U21,0.0,in,Summer,1994,1994/1995
Sacha van Wissen,20,defence,MVV U21,0.0,in,Summer,1994,1994/1995
Raymond Beerens,22,midfield,FC Groningen,0.0,out,Summer,1994,1994/1995
Mark Verhoeven,24,Right-Back,NEC Nijmegen,0.0,out,Summer,1994,1994/1995
Hans Linders,31,defence,Retired,0.0,out,Summer,1994,1994/1995
Dirk-Jan Derksen,22,Centre-Forward,Roda JC,0.0,out,Summer,1994,1994/1995
Kenneth Pérez,22,Centre-Forward,FC Copenhagen,500000.0,in,Summer,1997,1997/1998
