player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Youness Mokhtar,20,Left Winger,PSV U21,75000.0,in,Summer,2012,2012/2013
Mike Koenders,20,Centre-Back,FC Emmen,0.0,in,Summer,2012,2012/2013
Danny Wintjens,28,Goalkeeper,Fortuna Sittard,0.0,in,Summer,2012,2012/2013
Norichio Nieveld,23,Centre-Back,Excelsior,0.0,in,Summer,2012,2012/2013
Joost Broerse,33,Centre-Back,Excelsior,0.0,in,Summer,2012,2012/2013
Sherwin Grot,21,Centre-Forward,FC Presikhaaf,0.0,in,Summer,2012,2012/2013
Mimoun Eloisghiri,22,Centre-Forward,FC Presikhaaf,0.0,in,Summer,2012,2012/2013
Ronnie Reniers,24,Right Winger,FC Den Bosch,0.0,in,Summer,2012,2012/2013
Denni Avdic,23,Centre-Forward,Werder Bremen,0.0,in,Summer,2012,2012/2013
Giovanni Gravenbeek,24,Central Midfield,Willem II,0.0,in,Summer,2012,2012/2013
Wiljan Pluim,23,Attacking Midfield,Roda JC,0.0,in,Summer,2012,2012/2013
Haico Epe,17,Right-Back,PEC Zwolle U19,0.0,in,Summer,2012,2012/2013
Ibrahim Ikililou,19,Right Winger,PEC Zwolle U19,0.0,in,Summer,2012,2012/2013
Djeremy Zandvliet,19,Right Winger,PEC Zwolle U19,0.0,in,Summer,2012,2012/2013
Ricardo Malaihollo,18,Right-Back,PEC Zwolle U19,0.0,in,Summer,2012,2012/2013
Ricardo Talu,18,Centre-Back,PEC Zwolle U19,0.0,in,Summer,2012,2012/2013
Fred Benson,28,Centre-Forward,Without Club,0.0,in,Summer,2012,2012/2013
Rúnar Már Sigurjónsson,22,Central Midfield,Valur,0.0,out,Summer,2012,2012/2013
Stanley Mailoa,20,attack,Sportlust '46,0.0,out,Summer,2012,2012/2013
Delano van Crooij,21,Goalkeeper,Quick Boys '31,0.0,out,Summer,2012,2012/2013
Nassir Maachi,26,Right Winger,AEK Larnaca,0.0,out,Summer,2012,2012/2013
Said Bakkati,30,Right-Back,FC Emmen,0.0,out,Summer,2012,2012/2013
Joran Pot,23,Defensive Midfield,Go Ahead Eagles,0.0,out,Summer,2012,2012/2013
Norair Aslanyan,21,Right Winger,FC Emmen,0.0,out,Summer,2012,2012/2013
Gieljan Tissingh,22,Centre-Back,AGOVV,0.0,out,Summer,2012,2012/2013
Joey van den Berg,26,Defensive Midfield,Heerenveen,0.0,out,Summer,2012,2012/2013
Jeroen Ketting,31,Centre-Forward,Without Club,0.0,out,Summer,2012,2012/2013
Alexander Bannink,22,Attacking Midfield,Twente FC,0.0,out,Summer,2012,2012/2013
Ruud ter Heide,29,Centre-Forward,FC Emmen,0.0,out,Summer,2012,2012/2013
Mateusz Klich,22,Central Midfield,VfL Wolfsburg,100000.0,in,Winter,2012,2012/2013
Maikel van der Werff,23,Centre-Back,FC Volendam,0.0,in,Winter,2012,2012/2013
Rúnar Már Sigurjónsson,22,Central Midfield,Valur,0.0,in,Winter,2012,2012/2013
Arsenio Valpoort,20,Left Winger,Heerenveen,0.0,in,Winter,2012,2012/2013
Giovanni Hiwat,19,Right Winger,SC Cambuur,0.0,out,Winter,2012,2012/2013
Mateusz Klich,23,Central Midfield,VfL Wolfsburg,200000.0,in,Summer,2013,2013/2014
Stef Nijland,24,Attacking Midfield,PSV U21,0.0,in,Summer,2013,2013/2014
Kevin Begois,31,Goalkeeper,FC Den Bosch,0.0,in,Summer,2013,2013/2014
Youssef Fennich,20,Defensive Midfield,Heerenveen U21,0.0,in,Summer,2013,2013/2014
Kamohelo Mokotjo,22,Defensive Midfield,Feyenoord,0.0,in,Summer,2013,2013/2014
Leroy Labylle,22,Left-Back,MVV Maastricht,0.0,in,Summer,2013,2013/2014
Guyon Fernandez,27,Centre-Forward,Feyenoord,0.0,in,Summer,2013,2013/2014
Boris Rasevic,18,Attacking Midfield,PEC Zwolle U19,0.0,in,Summer,2013,2013/2014
Ryan Thomas,18,Central Midfield,PEC Zwolle U21,0.0,in,Summer,2013,2013/2014
Giovanni Hiwat,19,Right Winger,SC Cambuur,0.0,in,Summer,2013,2013/2014
Norair Aslanyan,22,Right Winger,FC Emmen,0.0,in,Summer,2013,2013/2014
Youness Mokhtar,22,Left Winger,Twente FC,650000.0,out,Summer,2013,2013/2014
Simon IJzerman,20,Defensive Midfield,WKE Emmen,0.0,out,Summer,2013,2013/2014
Mike Koenders,21,Centre-Back,Genemuiden,0.0,out,Summer,2013,2013/2014
Djeremy Zandvliet,20,Right Winger,Rohda Raalte,0.0,out,Summer,2013,2013/2014
Frank Olijve,24,Central Midfield,FC Emmen,0.0,out,Summer,2013,2013/2014
Sherwin Grot,22,Centre-Forward,GVVV,0.0,out,Summer,2013,2013/2014
Danny Wintjens,29,Goalkeeper,VVV-Venlo,0.0,out,Summer,2013,2013/2014
Norair Aslanyan,22,Right Winger,Willem II,0.0,out,Summer,2013,2013/2014
Christiaan Cicek,24,Centre-Forward,SVZW Wierden,0.0,out,Summer,2013,2013/2014
Norichio Nieveld,24,Centre-Back,FC Eindhoven,0.0,out,Summer,2013,2013/2014
Ricardo Malaihollo,19,Right-Back,PEC Zwolle U21,0.0,out,Summer,2013,2013/2014
Ricardo Talu,19,Centre-Back,PEC Zwolle U21,0.0,out,Summer,2013,2013/2014
Ibrahim Ikililou,20,Right Winger,PEC Zwolle U21,0.0,out,Summer,2013,2013/2014
Gerard Aafjes,28,Centre-Back,Without Club,0.0,out,Summer,2013,2013/2014
Arne Slot,34,Attacking Midfield,Retired,0.0,out,Summer,2013,2013/2014
Mateusz Klich,23,Central Midfield,VfL Wolfsburg,0.0,out,Summer,2013,2013/2014
Arsenio Valpoort,20,Left Winger,Heerenveen,0.0,out,Summer,2013,2013/2014
Denni Avdic,24,Centre-Forward,Werder Bremen,0.0,out,Summer,2013,2013/2014
Wiljan Pluim,24,Attacking Midfield,Roda JC,0.0,out,Summer,2013,2013/2014
Athanasios Karagounis,22,Right Winger,Atromitos Athen,300000.0,in,Winter,2013,2013/2014
Trent Sainsbury,22,Centre-Back,Central Coast,135000.0,in,Winter,2013,2013/2014
Denis Mahmudov,24,Second Striker,Excelsior '31,0.0,in,Winter,2013,2013/2014
Theo Vogelsang,23,Attacking Midfield,Without Club,0.0,in,Winter,2013,2013/2014
Steven Pereira,19,Centre-Back,PEC Zwolle U21,0.0,in,Winter,2013,2013/2014
Rochdi Achenteh,25,Left-Back,Vitesse,0.0,out,Winter,2013,2013/2014
Ronnie Reniers,25,Right Winger,FC Eindhoven,0.0,out,Winter,2013,2013/2014
Mimoun Eloisghiri,24,Centre-Forward,Without Club,0.0,out,Winter,2013,2013/2014
Jody Lukoki,21,Right Winger,Ajax,500000.0,in,Summer,2014,2014/2015
Boy de Jong,20,Goalkeeper,Feyenoord U21,0.0,in,Summer,2014,2014/2015
Thomas Lam,20,Centre-Back,AZ Alkmaar U21,0.0,in,Summer,2014,2014/2015
Dimitrios Ferfelis,21,Centre-Forward,TuS Koblenz,0.0,in,Summer,2014,2014/2015
Rick Dekker,19,Defensive Midfield,Feyenoord U19,0.0,in,Summer,2014,2014/2015
Soufyan Moro,21,Attacking Midfield,Utrecht U21,0.0,in,Summer,2014,2014/2015
Ben Rienstra,24,Central Midfield,Heracles Almelo,0.0,in,Summer,2014,2014/2015
Wouter Marinus,19,Attacking Midfield,Heerenveen U19,0.0,in,Summer,2014,2014/2015
Nikolaos Ioannidis,20,Centre-Forward,Olympiacos,0.0,in,Summer,2014,2014/2015
Tomas Necid,24,Centre-Forward,CSKA Moscow,0.0,in,Summer,2014,2014/2015
Warner Hahn,22,Goalkeeper,Feyenoord,0.0,in,Summer,2014,2014/2015
Kingsley Ehizibue,19,Right-Back,PEC Zwolle U19,0.0,in,Summer,2014,2014/2015
Wout Brama,28,Defensive Midfield,Without Club,0.0,in,Summer,2014,2014/2015
Ronnie Reniers,26,Right Winger,FC Eindhoven,0.0,in,Summer,2014,2014/2015
Kamohelo Mokotjo,23,Defensive Midfield,Twente FC,1500000.0,out,Summer,2014,2014/2015
Diederik Boer,33,Goalkeeper,Ajax,1000000.0,out,Summer,2014,2014/2015
Mateusz Klich,24,Central Midfield,VfL Wolfsburg,750000.0,out,Summer,2014,2014/2015
Theo Vogelsang,24,Attacking Midfield,SV Meppen,0.0,out,Summer,2014,2014/2015
Furdjel Narsingh,26,Right Winger,SC Cambuur,0.0,out,Summer,2014,2014/2015
Giovanni Hiwat,20,Right Winger,Sparta R.,0.0,out,Summer,2014,2014/2015
Darryl Lachman,24,Centre-Back,Twente FC,0.0,out,Summer,2014,2014/2015
Giovanni Gravenbeek,26,Central Midfield,NEC Nijmegen,0.0,out,Summer,2014,2014/2015
Fred Benson,30,Centre-Forward,FC Sheriff,0.0,out,Summer,2014,2014/2015
Leon ter Wielen,25,Goalkeeper,Achilles '29,0.0,out,Summer,2014,2014/2015
Ronnie Reniers,26,Right Winger,Dessel Sport,0.0,out,Summer,2014,2014/2015
