player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Arthur Numan,22,Left-Back,Twente FC,1270000.0,in,Summer,1992,1992/1993
Thomas Thorninger,19,Centre-Forward,Vejle BK,0.0,in,Summer,1992,1992/1993
Ton Cornelissen,28,Centre-Forward,Eendracht Aalst,0.0,in,Summer,1992,1992/1993
Gregory Playfair,18,midfield,Neptunus,0.0,in,Summer,1992,1992/1993
Marco de Jong,20,defence,PSV U19,0.0,in,Summer,1992,1992/1993
René Klomp,17,Defensive Midfield,PSV U19,0.0,in,Summer,1992,1992/1993
Raymond Beerens,20,midfield,RKC Waalwijk,0.0,in,Summer,1992,1992/1993
Mitchell van der Gaag,20,Centre-Back,Sparta R.,0.0,in,Summer,1992,1992/1993
Ernest Faber,20,Centre-Back,Sparta R.,0.0,in,Summer,1992,1992/1993
Jozef Chovanec,32,Central Midfield,Sparta Prague,0.0,in,Summer,1992,1992/1993
Jozef Chovanec,32,Central Midfield,Sparta Prague,0.0,out,Summer,1992,1992/1993
Stan Valckx,28,Centre-Back,Sporting CP,0.0,out,Summer,1992,1992/1993
Twan Scheepers,20,Centre-Forward,MVV Maastricht,0.0,out,Summer,1992,1992/1993
François Gesthuizen,19,Right Midfield,NAC Breda,0.0,out,Summer,1992,1992/1993
Arno Doomernik,21,Defensive Midfield,Sparta R.,0.0,out,Summer,1992,1992/1993
Tom Van Mol,19,Left-Back,Sparta R.,0.0,out,Summer,1992,1992/1993
Eric Gerets,38,Right-Back,Retired,0.0,out,Summer,1992,1992/1993
Ton Cornelissen,29,Centre-Forward,Sparta R.,0.0,out,Winter,1992,1992/1993
Jerry de Jong,28,Right-Back,FC Groningen,0.0,out,Winter,1992,1992/1993
Erik Meijer,23,Centre-Forward,MVV Maastricht,1550000.0,in,Summer,1993,1993/1994
Luuk Maes,21,Centre-Back,Go Ahead Eagles,0.0,in,Summer,1993,1993/1994
Nii Lamptey,18,Attacking Midfield,RSC Anderlecht,0.0,in,Summer,1993,1993/1994
