player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Edward Sijahailatua,21,midfield,NAC Breda,0.0,in,Summer,1992,1992/1993
Jos van Herpen,30,Sweeper,KVK Tienen,0.0,in,Summer,1992,1992/1993
Marco Boogers,25,Centre-Forward,Fortuna Sittard,0.0,in,Summer,1992,1992/1993
Nico Jalink,28,Right Midfield,Port Vale,0.0,in,Summer,1992,1992/1993
Jurgen Streppel,23,Centre-Back,Helmond Sport,0.0,in,Summer,1992,1992/1993
David Nascimento,26,Centre-Back,Roda JC,0.0,out,Summer,1992,1992/1993
Marc van Hintum,25,Left-Back,Willem II,0.0,out,Summer,1992,1992/1993
Patrick Leytens,22,midfield,Kozakken Boys,0.0,out,Summer,1992,1992/1993
Anton Joore,37,Centre-Back,Retired,0.0,out,Summer,1992,1992/1993
Raymond Beerens,20,midfield,PSV Eindhoven,0.0,out,Summer,1992,1992/1993
Hans Vonk,23,Goalkeeper,FC Den Bosch,0.0,in,Summer,1993,1993/1994
Bobby Schoonens,18,defence,Unknown,0.0,in,Summer,1993,1993/1994
Dennis Purperhart,24,attack,TOP,0.0,in,Summer,1993,1993/1994
Paul Nortan,30,defence,Feyenoord,0.0,in,Summer,1993,1993/1994
Marcel Valk,26,Right Midfield,FC Den Haag,0.0,in,Summer,1993,1993/1994
Hans Werdekker,33,Centre-Back,Ajax,0.0,in,Summer,1993,1993/1994
Alfred Schreuder,20,Defensive Midfield,Feyenoord,0.0,in,Summer,1993,1993/1994
Ramon van Haaren,20,Left-Back,RKC U19,0.0,in,Summer,1993,1993/1994
Rob Maas,23,Defensive Midfield,Feyenoord,295000.0,out,Summer,1993,1993/1994
Edward Sijahailatua,22,midfield,Helmond Sport,0.0,out,Summer,1993,1993/1994
Edward Sijahillatua,21,midfield,Helmond Sport,0.0,out,Summer,1993,1993/1994
Nico Jalink,29,Right Midfield,Sparta R.,0.0,out,Summer,1993,1993/1994
Jos Luhukay,30,Central Midfield,SV Straelen,0.0,out,Summer,1993,1993/1994
Marco van Hoogdalem,21,Centre-Back,Roda JC,0.0,out,Summer,1993,1993/1994
Jurgen Streppel,24,Centre-Back,Telstar,0.0,out,Summer,1993,1993/1994
Stanley Brard,34,Left-Back,Retired,0.0,out,Summer,1993,1993/1994
Erik Gouda,26,defence,Retired,0.0,out,Summer,1993,1993/1994
Ray Richardson,33,defence,Retired,0.0,out,Summer,1993,1993/1994
Giovanni van Bronckhorst,18,Left-Back,Feyenoord,0.0,in,Winter,1993,1993/1994
Jurgen Streppel,24,Centre-Back,Telstar,0.0,in,Winter,1993,1993/1994
Bobby Petta,19,Left Midfield,Dordrecht'90,0.0,in,Summer,1994,1994/1995
Yuri Petrov,19,Centre-Forward,Loko Moscow,0.0,in,Summer,1994,1994/1995
Zeljko Petrovic,28,Right-Back,FC Den Bosch,0.0,in,Summer,1994,1994/1995
Erik ten Hag,24,Centre-Back,Twente FC,0.0,in,Summer,1994,1994/1995
Danny Muller,24,Attacking Midfield,Standard Liège,0.0,in,Summer,1994,1994/1995
Marcel Valk,27,Right Midfield,Go Ahead Eagles,0.0,out,Summer,1994,1994/1995
Paul Nortan,31,defence,TOP Oss,0.0,out,Summer,1994,1994/1995
Evert-Jan Eikenhout,23,Right-Back,VV Veere,0.0,out,Summer,1994,1994/1995
André Hoekstra,32,Right Midfield,Retired,0.0,out,Summer,1994,1994/1995
Jos van Herpen,32,Sweeper,Retired,0.0,out,Summer,1994,1994/1995
Herman Teeuwen,35,Goalkeeper,Retired,0.0,out,Summer,1994,1994/1995
Giovanni van Bronckhorst,19,Left-Back,Feyenoord,0.0,out,Summer,1994,1994/1995
Patrick Peelen,25,midfield,FC Den Bosch,0.0,out,Summer,1994,1994/1995
Patrick Vervoort,29,Left Midfield,Standard Liège,0.0,in,Winter,1994,1994/1995
Hans van Arum,28,Centre-Forward,Willem II,0.0,in,Winter,1994,1994/1995
Marco Boogers,27,Centre-Forward,Sparta R.,440000.0,out,Winter,1994,1994/1995
Harry Decheiver,24,Centre-Forward,Go Ahead Eagles,0.0,out,Winter,1994,1994/1995
Darije Kalezic,25,Centre-Back,FC Den Bosch,125000.0,in,Summer,1995,1995/1996
Clyde Wijnhard,21,Centre-Forward,Ajax,0.0,in,Summer,1995,1995/1996
Dick Schreuder,23,Defensive Midfield,FC Groningen,0.0,in,Summer,1995,1995/1996
Danny Muller,25,Attacking Midfield,Standard Liège,0.0,in,Summer,1995,1995/1996
Johan Garrelfs,29,Goalkeeper,Unknown,0.0,in,Summer,1995,1995/1996
Gregory Playfair,21,midfield,PSV Eindhoven,0.0,in,Summer,1995,1995/1996
Dennis van der Pennen,19,midfield,Unknown,0.0,in,Summer,1995,1995/1996
Bobby Petta,20,Left Midfield,Feyenoord,0.0,out,Summer,1995,1995/1996
Yuri Petrov,20,Centre-Forward,Twente FC,0.0,out,Summer,1995,1995/1996
Erik ten Hag,25,Centre-Back,FC Utrecht,0.0,out,Summer,1995,1995/1996
Danny Muller,25,Attacking Midfield,Standard Liège,0.0,out,Summer,1995,1995/1996
René van Rijswijk,24,Right Winger,Cambuur L.,0.0,out,Winter,1995,1995/1996
Patrick van Diemen,24,Defensive Midfield,NEC Nijmegen,0.0,in,Summer,1996,1996/1997
Delano Hill,21,Centre-Back,FC Den Bosch,0.0,in,Summer,1996,1996/1997
John Lammers,32,Centre-Forward,Willem II,0.0,in,Summer,1996,1996/1997
Adrie Bogers,31,Left-Back,Willem II,0.0,in,Summer,1996,1996/1997
Ad Leemans,20,Right-Back,Unknown,0.0,in,Summer,1996,1996/1997
Adilson Ben David Dos Santos,22,Centre-Forward,Excelsior,0.0,in,Summer,1996,1996/1997
Tom van der Leegte,19,Defensive Midfield,PSV Eindhoven,0.0,in,Summer,1996,1996/1997
Rob van Dijk,27,Goalkeeper,Feyenoord,0.0,in,Summer,1996,1996/1997
Regillio Vrede,23,Centre-Back,Roda JC,0.0,out,Summer,1996,1996/1997
Hans Vonk,26,Goalkeeper,Heerenveen,0.0,out,Summer,1996,1996/1997
Ramon van Haaren,23,Left-Back,Roda JC,0.0,out,Summer,1996,1996/1997
Patrick Vervoort,31,Left Midfield,Vit. Guimarães,0.0,out,Summer,1996,1996/1997
Bobby Schoonens,21,defence,Helmond Sport,0.0,out,Summer,1996,1996/1997
Hans Werdekker,36,Centre-Back,Unknown,0.0,out,Summer,1996,1996/1997
Zeljko Petrovic,30,Right-Back,PSV Eindhoven,0.0,out,Summer,1996,1996/1997
Gregory Playfair,22,midfield,Cambuur L.,0.0,out,Summer,1996,1996/1997
Chidi Nwanu,30,Centre-Back,RSC Anderlecht,0.0,in,Winter,1996,1996/1997
Marco Boogers,30,Centre-Forward,FC Groningen,0.0,in,Winter,1996,1996/1997
Phil Starbuck,27,Centre-Forward,Sheff Utd,0.0,in,Winter,1996,1996/1997
Phil Starbuck,28,Centre-Forward,Sheff Utd,0.0,out,Winter,1996,1996/1997
Augustus Dumbar,18,attack,Mighty Barrolle,0.0,in,Summer,1997,1997/1998
Martijn Kuiper,18,Centre-Back,Vitesse,0.0,in,Summer,1997,1997/1998
Carlos van Wanrooij,30,Left Midfield,Vitesse,0.0,in,Summer,1997,1997/1998
Miodrag Bozovic,29,defence,APOP Kinyras,0.0,in,Summer,1997,1997/1998
Charles Chiemezie,17,attack,Anderlecht Yth.,0.0,in,Summer,1997,1997/1998
Dennis Rommedahl,18,Right Winger,PSV Eindhoven,0.0,in,Summer,1997,1997/1998
Anders Nielsen,24,Centre-Forward,PSV Eindhoven,0.0,in,Summer,1997,1997/1998
Jose Maria Cela,27,attack,CD Numancia,0.0,in,Summer,1997,1997/1998
Clyde Wijnhard,23,Centre-Forward,Willem II,0.0,out,Summer,1997,1997/1998
Dick Schreuder,25,Defensive Midfield,Stoke City,0.0,out,Summer,1997,1997/1998
Alfred Schreuder,24,Defensive Midfield,NAC Breda,0.0,out,Summer,1997,1997/1998
Jurgen Streppel,28,Centre-Back,Helmond Sport,0.0,out,Summer,1997,1997/1998
Marcel Brands,35,Central Midfield,OJC Rosmalen,0.0,out,Summer,1997,1997/1998
Marco Boogers,30,Centre-Forward,FC Volendam,0.0,out,Summer,1997,1997/1998
Danny Muller,27,Attacking Midfield,Without Club,0.0,out,Summer,1997,1997/1998
Maarten Schops,21,Defensive Midfield,Roda JC,0.0,in,Winter,1997,1997/1998
Yuri Petrov,23,Centre-Forward,Twente FC,0.0,in,Winter,1997,1997/1998
Michel van Zundert,20,defence,NAC Breda,0.0,in,Summer,1998,1998/1999
Garry De Graef,23,Left-Back,TOP Oss,0.0,in,Summer,1998,1998/1999
Virgilio Teixeira,24,Centre-Back,ADO Den Haag,0.0,in,Summer,1998,1998/1999
Yuri Petrov,24,Centre-Forward,Twente FC,0.0,in,Summer,1998,1998/1999
Lee-Roy Echteld,30,Attacking Midfield,AZ Alkmaar,0.0,in,Summer,1998,1998/1999
Richard Beekink,26,midfield,FC Utrecht,0.0,in,Summer,1998,1998/1999
Roberto Lanckohr,28,Attacking Midfield,Fortuna Sittard,0.0,in,Summer,1998,1998/1999
Ruud van der Velden,21,defence,Unknown,0.0,in,Summer,1998,1998/1999
Leon van Nieuwkerk,23,attack,FC Utrecht,0.0,in,Summer,1998,1998/1999
Maarten Schops,22,Defensive Midfield,Roda JC,0.0,in,Summer,1998,1998/1999
Santinho Lopes Monteiro,19,Right Winger,Unknown,0.0,in,Summer,1998,1998/1999
Tim Cornelisse,20,Right-Back,RSC Anderlecht,0.0,in,Summer,1998,1998/1999
Ron Heesakkers,19,Centre-Forward,RKC U19,0.0,in,Summer,1998,1998/1999
Wout van Steenveldt,18,Attacking Midfield,Vit./AGOVV U19,0.0,in,Summer,1998,1998/1999
Delano Hill,23,Centre-Back,Willem II,450000.0,out,Summer,1998,1998/1999
Patrick van Diemen,26,Defensive Midfield,RSC Anderlecht,0.0,out,Summer,1998,1998/1999
John Lammers,34,Centre-Forward,RBC,0.0,out,Summer,1998,1998/1999
Miodrag Bozovic,30,defence,Avispa Fukuoka,0.0,out,Summer,1998,1998/1999
Chidi Nwanu,31,Centre-Back,Retired,0.0,out,Summer,1998,1998/1999
Leon Hutten,35,Right-Back,Retired,0.0,out,Summer,1998,1998/1999
Anders Nielsen,25,Centre-Forward,PSV Eindhoven,0.0,out,Summer,1998,1998/1999
Maarten Schops,22,Defensive Midfield,Roda JC,0.0,out,Summer,1998,1998/1999
Yuri Petrov,23,Centre-Forward,Twente FC,0.0,out,Summer,1998,1998/1999
Martijn Kuiper,19,Centre-Back,Vitesse,0.0,out,Summer,1998,1998/1999
Dennis Rommedahl,19,Right Winger,PSV Eindhoven,0.0,out,Summer,1998,1998/1999
Rick Hoogendorp,23,Centre-Forward,Dordrecht'90,455000.0,in,Winter,1998,1998/1999
Dejan Govedarica,29,Central Midfield,Lecce,0.0,in,Winter,1998,1998/1999
David Nascimento,32,Centre-Back,FC Utrecht,0.0,in,Winter,1998,1998/1999
Bas Dreef,19,midfield,Ajax U21,0.0,in,Winter,1998,1998/1999
Khalid Sinouh,23,Goalkeeper,Heerenveen,0.0,in,Winter,1998,1998/1999
Johan Garrelfs,33,Goalkeeper,Unknown,0.0,out,Winter,1998,1998/1999
Santinho Lopes Monteiro,19,Right Winger,RBC,0.0,out,Winter,1998,1998/1999
Richard Beekink,27,midfield,Cambuur L.,0.0,out,Winter,1998,1998/1999
Michel van Zundert,20,defence,RBC,0.0,out,Winter,1998,1998/1999
Yuri Cornelisse,24,Right Midfield,RSC Anderlecht,0.0,in,Summer,1999,1999/2000
Giovanni Franken,19,midfield,Dordrecht'90,0.0,in,Summer,1999,1999/2000
Tim Cornelisse,21,Right-Back,RSC Anderlecht,0.0,in,Summer,1999,1999/2000
Emmanuel Nwakire,21,Left-Back,FC Utrecht,0.0,in,Summer,1999,1999/2000
Richard Beekink,27,midfield,Cambuur L.,0.0,in,Summer,1999,1999/2000
Michel van Zundert,21,defence,RBC Roosendaal,0.0,in,Summer,1999,1999/2000
Santinho Lopes Monteiro,20,Right Winger,RBC Roosendaal,0.0,in,Summer,1999,1999/2000
Dennis van der Pennen,23,midfield,Dordrecht'90,0.0,out,Summer,1999,1999/2000
Jose Maria Cela,30,attack,Retired,0.0,out,Summer,1999,1999/2000
Hans van Arum,32,Centre-Forward,Go Ahead Eagles,0.0,out,Summer,1999,1999/2000
Romeo van Aerde,31,midfield,Dordrecht'90,0.0,out,Summer,1999,1999/2000
Leon van Nieuwkerk,24,attack,Helmond Sport,0.0,out,Summer,1999,1999/2000
Ruud van der Velden,22,defence,Unknown,0.0,out,Summer,1999,1999/2000
Lee-Roy Echteld,31,Attacking Midfield,A. Lustenau,0.0,out,Summer,1999,1999/2000
Adilson Ben David Dos Santos,25,Centre-Forward,NEC Nijmegen,0.0,out,Summer,1999,1999/2000
Adrie Bogers,34,Left-Back,KV Turnhout,0.0,out,Summer,1999,1999/2000
Tim Cornelisse,21,Right-Back,RSC Anderlecht,0.0,out,Summer,1999,1999/2000
Santinho Lopes Monteiro,20,Right Winger,Excelsior,0.0,out,Summer,1999,1999/2000
Rick Hoogendorp,24,Centre-Forward,Celta de Vigo,315000.0,out,Winter,1999,1999/2000
Michel van Zundert,21,defence,Eindhoven,0.0,out,Winter,1999,1999/2000
Joey Gudjónsson,20,Central Midfield,KRC Genk,375000.0,in,Summer,2000,2000/2001
Fabian Peppinck,22,Right-Back,OJC Rosmalen,0.0,in,Summer,2000,2000/2001
Iwan Redan,19,Centre-Forward,Vitesse U21,0.0,in,Summer,2000,2000/2001
John van Loenhout,23,Attacking Midfield,RBC Roosendaal,0.0,in,Summer,2000,2000/2001
Zeljko Petrovic,34,Right-Back,Urawa Reds,0.0,in,Summer,2000,2000/2001
Ivar van Dinteren,21,Attacking Midfield,FC Groningen,0.0,in,Summer,2000,2000/2001
Arjan Human,21,attack,VV Kloetinge,0.0,in,Summer,2000,2000/2001
Jeroen Verhoeven,20,Goalkeeper,RKC U21,0.0,in,Summer,2000,2000/2001
Rick Hoogendorp,25,Centre-Forward,Celta de Vigo,0.0,in,Summer,2000,2000/2001
Maarten Schops,25,Defensive Midfield,RBC Roosendaal,0.0,in,Summer,2000,2000/2001
