player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Carlo L'Ami,27,Goalkeeper,Sparta R.,0.0,in,Summer,1993,1993/1994
Arnold Oosterveer,30,Centre-Back,US Valenciennes,0.0,in,Summer,1993,1993/1994
Piet Keur,32,Centre-Forward,Haarlem,0.0,in,Summer,1993,1993/1994
Bert Zuurman,20,Centre-Forward,FC Groningen,0.0,in,Summer,1993,1993/1994
Jeffrey Kooistra,24,midfield,NEC Nijmegen,0.0,out,Summer,1993,1993/1994
Frans Alma,23,Centre-Forward,Drachtster Boys,0.0,out,Summer,1993,1993/1994
Antoon Kuil,23,midfield,SC Veendam,0.0,out,Summer,1993,1993/1994
Ioan Andone,33,Centre-Back,Retired,0.0,out,Summer,1993,1993/1994
Theo Migchelsen,23,Goalkeeper,FC Groningen,0.0,out,Summer,1993,1993/1994
Johan Hansma,24,Centre-Back,FC Zwolle,0.0,in,Winter,1993,1993/1994
Erik ten Voorde,25,midfield,FC Zwolle,0.0,out,Winter,1993,1993/1994
Tom Sier,24,Left-Back,FC Volendam,227000.0,in,Summer,1994,1994/1995
Melchior Schoenmakers,18,Centre-Back,SV Omhoog,0.0,in,Summer,1994,1994/1995
Jon Dahl Tomasson,17,Centre-Forward,Köge BK,0.0,in,Summer,1994,1994/1995
Prince Polley,25,Centre-Forward,Twente FC,0.0,in,Summer,1994,1994/1995
Pieter Bijl,29,Central Midfield,FC Utrecht,0.0,in,Summer,1994,1994/1995
Hennie Meijer,32,Centre-Forward,Cambuur L.,0.0,in,Summer,1994,1994/1995
André van Tuinen,20,Left Winger,H'veen/Emmen II,0.0,in,Summer,1994,1994/1995
Geert Jelle de Vries,19,defence,H'veen/Emmen II,0.0,in,Summer,1994,1994/1995
Jan Harm Schippers,19,attack,Heerenveen U19,0.0,in,Summer,1994,1994/1995
Ronnie Pander,17,midfield,Heerenveen U19,0.0,in,Summer,1994,1994/1995
Antoon Kuil,24,midfield,SC Veendam,0.0,in,Summer,1994,1994/1995
Erik ten Voorde,26,midfield,FC Zwolle,0.0,in,Summer,1994,1994/1995
Wilco Hellinga,23,midfield,Germinal Ekeren,0.0,out,Summer,1994,1994/1995
Gerrie Schaap,29,midfield,TOP Oss,0.0,out,Summer,1994,1994/1995
Erik ten Voorde,26,midfield,Heracles,0.0,out,Summer,1994,1994/1995
Edwin Huizinga,23,midfield,Emmen,0.0,out,Summer,1994,1994/1995
Bert Zuurman,21,Centre-Forward,SC Veendam,0.0,out,Summer,1994,1994/1995
Gertjan Verbeek,31,defence,Retired,0.0,out,Summer,1994,1994/1995
Antoon Kuil,24,midfield,Retired,0.0,out,Summer,1994,1994/1995
Alex Pastoor,28,midfield,FC Volendam,0.0,in,Winter,1994,1994/1995
Maarten de Jong,32,midfield,FC Groningen,0.0,out,Winter,1994,1994/1995
Roberto Straal,28,Centre-Back,MVV Maastricht,227000.0,in,Summer,1995,1995/1996
Igor Korneev,27,Right Winger,Barcelona,0.0,in,Summer,1995,1995/1996
Marc Nygaard,18,Centre-Forward,FC Copenhagen,0.0,in,Summer,1995,1995/1996
Jeffrey Talan,23,Right Winger,FC Den Haag,0.0,in,Summer,1995,1995/1996
Romeo Wouden,24,Left Winger,Dordrecht'90,0.0,in,Summer,1995,1995/1996
Johnny Jansen,20,midfield,H'veen/Emmen II,0.0,in,Summer,1995,1995/1996
Bert Zuurman,22,Centre-Forward,SC Veendam,0.0,in,Summer,1995,1995/1996
René Groen,27,Centre-Back,Steenwijk,0.0,out,Summer,1995,1995/1996
Michel Doesburg,26,Right-Back,AZ Alkmaar,0.0,out,Summer,1995,1995/1996
Piet Keur,34,Centre-Forward,AZ Alkmaar,0.0,out,Summer,1995,1995/1996
Prince Polley,26,Centre-Forward,Excelsior,0.0,out,Summer,1995,1995/1996
Jan Harm Schippers,20,attack,SC Veendam,0.0,out,Summer,1995,1995/1996
Ole Tobiasen,20,Centre-Back,FC Copenhagen,0.0,in,Winter,1995,1995/1996
Erik Regtop,27,Defensive Midfield,Bradford,0.0,out,Winter,1995,1995/1996
Bert Zuurman,22,Centre-Forward,SC Veendam,0.0,out,Winter,1995,1995/1996
Hennie Meijer,33,Centre-Forward,De Graafschap,0.0,out,Winter,1995,1995/1996
Pieter Bijl,31,Central Midfield,Go Ahead Eagles,0.0,out,Winter,1995,1995/1996
Erik Tammer,26,Centre-Forward,Go Ahead Eagles,0.0,out,Winter,1995,1995/1996
Carlo L'Ami,29,Goalkeeper,Cambuur L.,0.0,out,Winter,1995,1995/1996
André van Tuinen,21,Left Winger,SC Veendam,0.0,out,Winter,1995,1995/1996
Ali Elkhattabi,19,Centre-Forward,Sparta R.,360000.0,in,Summer,1996,1996/1997
Hans Vonk,26,Goalkeeper,RKC Waalwijk,0.0,in,Summer,1996,1996/1997
Tieme Klompe,20,Centre-Back,VV Roden,0.0,in,Summer,1996,1996/1997
Börre Meinseth,29,Right-Back,Viking FK,0.0,in,Summer,1996,1996/1997
Brian Tevreden,27,Right-Back,Telstar,0.0,in,Summer,1996,1996/1997
Simon Karkov,19,Right Midfield,Esbjerg fB,0.0,in,Summer,1996,1996/1997
Max Houttuin,18,Right Midfield,Heerenveen U19,0.0,in,Summer,1996,1996/1997
Erik Regtop,28,Defensive Midfield,Bradford,0.0,in,Summer,1996,1996/1997
Carlo L'Ami,30,Goalkeeper,Cambuur L.,0.0,in,Summer,1996,1996/1997
Geert Jelle de Vries,21,defence,Cambuur L.,0.0,out,Summer,1996,1996/1997
Melchior Schoenmakers,20,Centre-Back,FC Groningen,0.0,out,Summer,1996,1996/1997
Erik Regtop,28,Defensive Midfield,FC St. Gallen,0.0,out,Summer,1996,1996/1997
Marco Roelofsen,27,Central Midfield,FC Zwolle,0.0,out,Summer,1996,1996/1997
Arnold Oosterveer,33,Centre-Back,Unknown,0.0,out,Summer,1996,1996/1997
Aldo Swager,30,Goalkeeper,Twente FC,0.0,out,Summer,1996,1996/1997
Carlo L'Ami,30,Goalkeeper,Without Club,0.0,out,Summer,1996,1996/1997
Boudewijn Pahlplatz,25,attack,PSV Eindhoven,0.0,in,Winter,1996,1996/1997
Ronny Venema,22,Right-Back,SC Veendam,0.0,out,Winter,1996,1996/1997
Ruud van Nistelrooy,21,Centre-Forward,FC Den Bosch,1580000.0,in,Summer,1997,1997/1998
Arkadiusz Radomski,20,Defensive Midfield,SC Veendam,0.0,in,Summer,1997,1997/1998
Raphael Bove,20,midfield,Sydney Olympic,0.0,in,Summer,1997,1997/1998
Thomas Holm,16,Central Midfield,Vålerenga U19,0.0,in,Summer,1997,1997/1998
Florin Constantinovici,29,Centre-Back,Rapid Bucharest,0.0,in,Summer,1997,1997/1998
Dumitru Mitrita,26,Left-Back,U. Craiova,0.0,in,Summer,1997,1997/1998
Meindert Postma,19,midfield,Unknown,0.0,in,Summer,1997,1997/1998
Ardon de Waard,20,midfield,Unknown,0.0,in,Summer,1997,1997/1998
Emmanuel Ebiede,21,midfield,Eendracht Aalst,0.0,in,Summer,1997,1997/1998
David Damman,20,defence,KSK Beveren,0.0,in,Summer,1997,1997/1998
Ties Heldens,18,midfield,Unknown,0.0,in,Summer,1997,1997/1998
Radu Gusatu,27,Attacking Midfield,Poli AEK,0.0,in,Summer,1997,1997/1998
Khalid Sinouh,22,Goalkeeper,Haarlem,0.0,in,Summer,1997,1997/1998
Radoslav Samardzic,27,Centre-Forward,FC Volendam,0.0,in,Summer,1997,1997/1998
Ivan Tsvetkov,17,Centre-Forward,Pirin,0.0,in,Summer,1997,1997/1998
Jon Dahl Tomasson,20,Centre-Forward,Newcastle,3900000.0,out,Summer,1997,1997/1998
Ole Tobiasen,21,Centre-Back,Ajax,1300000.0,out,Summer,1997,1997/1998
Igor Korneev,29,Right Winger,Feyenoord,0.0,out,Summer,1997,1997/1998
Sierk Kooistra,22,Goalkeeper,SC Veendam,0.0,out,Summer,1997,1997/1998
Tony Alberda,23,attack,Emmen,0.0,out,Summer,1997,1997/1998
Romeo Wouden,26,Left Winger,Boavista,0.0,out,Summer,1997,1997/1998
Brian Tevreden,28,Right-Back,Cambuur L.,0.0,out,Summer,1997,1997/1998
Tom Sier,27,Left-Back,Ajax,0.0,out,Summer,1997,1997/1998
Lee-Roy Echteld,29,Attacking Midfield,Cannes,0.0,out,Summer,1997,1997/1998
Marc Nygaard,20,Centre-Forward,MVV Maastricht,0.0,out,Summer,1997,1997/1998
Brian Tevreden,28,Right-Back,Cambuur L.,0.0,in,Winter,1997,1997/1998
Alex Pastoor,31,midfield,KRC Harelbeke,0.0,out,Winter,1997,1997/1998
Simon Karkov,21,Right Midfield,Esbjerg fB,0.0,out,Winter,1997,1997/1998
Dennis de Nooijer,29,Centre-Forward,Sparta R.,1070000.0,in,Summer,1998,1998/1999
Gérard de Nooijer,29,Centre-Back,Sparta R.,1070000.0,in,Summer,1998,1998/1999
Daniel Jensen,19,Central Midfield,B.93,0.0,in,Summer,1998,1998/1999
Mile Krstev,19,Central Midfield,Athinaikos,0.0,in,Summer,1998,1998/1999
