player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Winston Bogarde,21,Centre-Back,Excelsior,6000.0,in,Summer,1992,1992/1993
Arjan van der Laan,22,Attacking Midfield,sv ARC,0.0,in,Summer,1992,1992/1993
Dennis de Bruin,20,defence,Unknown,0.0,in,Summer,1992,1992/1993
Tom Van Mol,19,Left-Back,PSV Eindhoven,0.0,in,Summer,1992,1992/1993
Arno Doomernik,21,Defensive Midfield,PSV Eindhoven,0.0,in,Summer,1992,1992/1993
Carlos Fortes,18,Left Winger,Sparta U19,0.0,in,Summer,1992,1992/1993
Adilson Ben David Dos Santos,18,Centre-Forward,Sparta U19,0.0,in,Summer,1992,1992/1993
Wim Bubberman,21,Centre-Back,Excelsior,0.0,out,Summer,1992,1992/1993
Ernest Faber,20,Centre-Back,PSV Eindhoven,0.0,out,Summer,1992,1992/1993
Mitchell van der Gaag,20,Centre-Back,PSV Eindhoven,0.0,out,Summer,1992,1992/1993
Carlo L'Ami,26,Goalkeeper,Without Club,0.0,in,Winter,1992,1992/1993
Marcel Peeper,27,Left Midfield,Twente FC,0.0,in,Winter,1992,1992/1993
Ton Cornelissen,29,Centre-Forward,PSV Eindhoven,0.0,in,Winter,1992,1992/1993
Ton Pronk,27,defence,Excelsior,0.0,in,Winter,1992,1992/1993
Edwin Vurens,24,Centre-Forward,Twente FC,450000.0,out,Winter,1992,1992/1993
Dick Schreuder,21,Defensive Midfield,PSV Eindhoven,0.0,in,Summer,1993,1993/1994
Frank Kooiman,23,Goalkeeper,Unknown,0.0,in,Summer,1993,1993/1994
Milco Pieren,22,Left Midfield,Unknown,0.0,in,Summer,1993,1993/1994
Nico Jalink,29,Right Midfield,RKC Waalwijk,0.0,in,Summer,1993,1993/1994
Dennis Krijgsman,20,Attacking Midfield,Vitesse,0.0,in,Summer,1993,1993/1994
René Klomp,18,Defensive Midfield,PSV Eindhoven,0.0,in,Summer,1993,1993/1994
Wim Bubberman,22,Centre-Back,Excelsior,0.0,in,Summer,1993,1993/1994
Glenn Helder,24,Left Winger,Vitesse,240000.0,out,Summer,1993,1993/1994
Ton Cornelissen,29,Centre-Forward,Poederlee,0.0,out,Summer,1993,1993/1994
Zé Rodrigues,26,midfield,Unknown,0.0,out,Summer,1993,1993/1994
John Schuurhuizen,26,Right-Back,Excelsior,0.0,out,Summer,1993,1993/1994
Oni Louhenapessy,24,defence,Excelsior,0.0,out,Summer,1993,1993/1994
Marcel Peeper,27,Left Midfield,KSC Lokeren,0.0,out,Summer,1993,1993/1994
Carlo L'Ami,27,Goalkeeper,Heerenveen,0.0,out,Summer,1993,1993/1994
Mike Snoei,29,Left-Back,Retired,0.0,out,Summer,1993,1993/1994
Tom Van Mol,20,Left-Back,PSV Eindhoven,0.0,out,Summer,1993,1993/1994
Arno Doomernik,22,Defensive Midfield,PSV Eindhoven,0.0,out,Summer,1993,1993/1994
Ton Pronk,28,defence,Excelsior,0.0,out,Summer,1993,1993/1994
Elden de Getrouwe,21,midfield,Dundalk FC,0.0,out,Winter,1993,1993/1994
Maikel Renfurm,17,Right Winger,Unknown,0.0,in,Summer,1994,1994/1995
Alfons Groenendijk,30,Defensive Midfield,Man City,0.0,in,Summer,1994,1994/1995
Ricardo Darsan,18,defence,Unknown,0.0,in,Summer,1994,1994/1995
Gilbert Taument,25,midfield,Excelsior,0.0,in,Summer,1994,1994/1995
Edgar van de Roer,22,Centre-Forward,Unknown,0.0,in,Summer,1994,1994/1995
Mark Noorlander,23,Centre-Back,Sparta U21,0.0,in,Summer,1994,1994/1995
Winston Bogarde,23,Centre-Back,Ajax,1000000.0,out,Summer,1994,1994/1995
Dick Schreuder,22,Defensive Midfield,FC Groningen,0.0,out,Summer,1994,1994/1995
Michel Valke,34,Left Midfield,Dordrecht'90,0.0,out,Summer,1994,1994/1995
Patrick van Leeuwen,24,midfield,Helmond Sport,0.0,out,Summer,1994,1994/1995
Adilson Ben David Dos Santos,20,Centre-Forward,Eindhoven,0.0,out,Summer,1994,1994/1995
René Klomp,19,Defensive Midfield,PSV Eindhoven,0.0,out,Summer,1994,1994/1995
Marco Boogers,27,Centre-Forward,RKC Waalwijk,440000.0,in,Winter,1994,1994/1995
Adilson Ben David Dos Santos,20,Centre-Forward,Eindhoven,0.0,in,Winter,1994,1994/1995
Frank van der Geest,22,Goalkeeper,AZ Alkmaar,0.0,in,Summer,1995,1995/1996
Ali Elkhattabi,18,Centre-Forward,SVV,0.0,in,Summer,1995,1995/1996
Jerry Smith,22,defence,Unknown,0.0,in,Summer,1995,1995/1996
Roel Buikema,19,Left Midfield,Unknown,0.0,in,Summer,1995,1995/1996
Chris van den Dungen,35,Left Winger,Kozakken Boys,0.0,in,Summer,1995,1995/1996
John den Dunnen,22,Left Winger,Drechtstreek,0.0,in,Summer,1995,1995/1996
Dave van der Meer,22,Left-Back,Sparta U19,0.0,in,Summer,1995,1995/1996
Marco Boogers,28,Centre-Forward,West Ham,725000.0,out,Summer,1995,1995/1996
Adilson Ben David Dos Santos,21,Centre-Forward,Excelsior,0.0,out,Summer,1995,1995/1996
Ricardo Darsan,19,defence,Unknown,0.0,out,Summer,1995,1995/1996
Ron van den Berg,34,attack,Excelsior,0.0,out,Summer,1995,1995/1996
Gerald Sandel,31,midfield,FC Den Haag,0.0,out,Summer,1995,1995/1996
Milco Pieren,24,Left Midfield,Cambuur L.,0.0,out,Winter,1995,1995/1996
Gregg Berhalter,22,Centre-Back,FC Zwolle,0.0,in,Summer,1996,1996/1997
John Powell,20,defence,Unknown,0.0,in,Summer,1996,1996/1997
Rui Almeida Monteiro,19,midfield,Neptunus,0.0,in,Summer,1996,1996/1997
Fabian Gelderblom,22,attack,sv ARC,0.0,in,Summer,1996,1996/1997
Barry Dubbeldeman,20,defence,Feyenoord U21,0.0,in,Summer,1996,1996/1997
Marilia,20,Centre-Back,15 de Novembro,0.0,in,Summer,1996,1996/1997
Rody Hoegee,19,Goalkeeper,Unknown,0.0,in,Summer,1996,1996/1997
Rob Alflen,28,Defensive Midfield,Vitesse,0.0,in,Summer,1996,1996/1997
Joseph Addo,24,Centre-Back,VfB Stuttgart,0.0,in,Summer,1996,1996/1997
Nixon Dias,16,attack,Sparta U19,0.0,in,Summer,1996,1996/1997
John Nieuwenburg,17,Defensive Midfield,Sparta U19,0.0,in,Summer,1996,1996/1997
Jochem van der Hoeven,20,Centre-Back,Vitesse,900000.0,out,Summer,1996,1996/1997
Ali Elkhattabi,19,Centre-Forward,Heerenveen,360000.0,out,Summer,1996,1996/1997
Roel Buikema,20,Left Midfield,MVV Maastricht,0.0,out,Summer,1996,1996/1997
Edgar van de Roer,24,Centre-Forward,VVV-Venlo,0.0,out,Summer,1996,1996/1997
Dennis de Bruin,24,defence,Telstar,0.0,out,Summer,1996,1996/1997
Nico Jalink,32,Right Midfield,NAC Breda,0.0,out,Summer,1996,1996/1997
John Veldman,28,Centre-Back,Ajax,0.0,out,Summer,1996,1996/1997
Frank Kooiman,26,Goalkeeper,VVV-Venlo,0.0,out,Summer,1996,1996/1997
Arjan Bosschaart,24,Right Winger,FC Zwolle,0.0,out,Summer,1996,1996/1997
Chris van den Dungen,36,Left Winger,Retired,0.0,out,Summer,1996,1996/1997
Kew Jaliens,18,Centre-Back,Sparta U19,0.0,in,Winter,1996,1996/1997
Wim Bubberman,26,Centre-Back,Admira/Wacker,0.0,out,Winter,1996,1996/1997
Joseph Addo,25,Centre-Back,FSV Frankfurt,0.0,out,Winter,1996,1996/1997
Roland Jansen,29,Goalkeeper,Willem II,0.0,in,Summer,1997,1997/1998
Johan van der Werff,22,Goalkeeper,Kozakken Boys,0.0,in,Summer,1997,1997/1998
Nico Jalink,33,Right Midfield,NAC Breda,0.0,in,Summer,1997,1997/1998
Gert Aandewiel,27,Defensive Midfield,FC Volendam,0.0,in,Summer,1997,1997/1998
Jimmy Simons,27,Centre-Forward,FC Lisse,0.0,in,Summer,1997,1997/1998
Antoine van der Linden,21,Centre-Back,Sparta U21,0.0,in,Summer,1997,1997/1998
Rob Alflen,29,Defensive Midfield,Heracles,0.0,out,Summer,1997,1997/1998
Frank van der Geest,24,Goalkeeper,Heracles,0.0,out,Summer,1997,1997/1998
Rody Hoegee,20,Goalkeeper,Unknown,0.0,out,Summer,1997,1997/1998
John Powell,21,defence,Shelbourne,0.0,out,Summer,1997,1997/1998
Edward Metgod,37,Goalkeeper,Retired,0.0,out,Summer,1997,1997/1998
Carlos Fortes,23,Left Winger,Vitesse,0.0,out,Summer,1997,1997/1998
Erik Tammer,29,Centre-Forward,Go Ahead Eagles,0.0,in,Summer,1998,1998/1999
Anders Nielsen,25,Centre-Forward,PSV Eindhoven,0.0,in,Summer,1998,1998/1999
Romeo Wouden,27,Left Winger,Tiburones Rojos,0.0,in,Summer,1998,1998/1999
Dave Kastelein,22,defence,Feyenoord U21,0.0,in,Summer,1998,1998/1999
