player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nico-Jan Hoogma,23,Centre-Back,Cambuur L.,0.0,in,Summer,1992,1992/1993
Arno Arts,23,Central Midfield,FC Luzern,0.0,in,Summer,1992,1992/1993
Erik ten Hag,22,Centre-Back,De Graafschap,0.0,in,Summer,1992,1992/1993
Prince Polley,23,Centre-Forward,Germinal Ekeren,0.0,in,Summer,1992,1992/1993
Rik Platvoet,16,Centre-Forward,FC Twente U19,0.0,in,Summer,1992,1992/1993
Edwin Hilgerink,20,defence,FC Twente U19,0.0,in,Summer,1992,1992/1993
Arthur Numan,22,Left-Back,PSV Eindhoven,1270000.0,out,Summer,1992,1992/1993
Mitar Mrkela,26,Left Winger,Besiktas,364000.0,out,Summer,1992,1992/1993
Orlando Trustfull,21,Defensive Midfield,Feyenoord,0.0,out,Summer,1992,1992/1993
Husref Musemic,30,Centre-Forward,VVV-Venlo,0.0,out,Summer,1992,1992/1993
Richard de Boer,21,defence,Unknown,0.0,out,Summer,1992,1992/1993
Robin Schmidt,27,attack,Dordrecht'90,0.0,out,Summer,1992,1992/1993
Jan van Rabenswaay,20,attack,Unknown,0.0,out,Summer,1992,1992/1993
Eric van Rossum,29,Centre-Back,Unknown,0.0,out,Summer,1992,1992/1993
Mark Wijnreder,18,attack,Unknown,0.0,out,Summer,1992,1992/1993
Fred Rutten,29,Sweeper,Retired,0.0,out,Summer,1992,1992/1993
Michael Mols,22,Centre-Forward,Cambuur L.,545000.0,in,Winter,1992,1992/1993
Edwin Vurens,24,Centre-Forward,Sparta R.,450000.0,in,Winter,1992,1992/1993
Ronald de Boer,22,Right Winger,Ajax,1360000.0,out,Winter,1992,1992/1993
Marcel Peeper,27,Left Midfield,Sparta R.,0.0,out,Winter,1992,1992/1993
Joost Volmer,19,Centre-Back,HSC '21,0.0,in,Summer,1993,1993/1994
Michel Boerebach,30,midfield,Real Burgos CF,0.0,in,Summer,1993,1993/1994
Arnold Bruggink,15,Attacking Midfield,FC Twente U19,0.0,in,Summer,1993,1993/1994
Gerald Sibon,19,Centre-Forward,FC Twente U21,0.0,in,Summer,1993,1993/1994
Youri Mulder,24,Centre-Forward,FC Schalke 04,700000.0,out,Summer,1993,1993/1994
John Neijenhuis,28,attack,Achilles '29,0.0,out,Summer,1993,1993/1994
Hans de Koning,33,Goalkeeper,Retired,0.0,out,Summer,1993,1993/1994
André Paus,28,defence,Júbilo Iwata,499000.0,out,Winter,1993,1993/1994
Juul Ellerman,28,Centre-Forward,PSV Eindhoven,450000.0,in,Summer,1994,1994/1995
Paul Bosvelt,24,Defensive Midfield,Go Ahead Eagles,200000.0,in,Summer,1994,1994/1995
Berthil ter Avest,23,Left Midfield,FC Groningen,0.0,in,Summer,1994,1994/1995
Jeroen Heubach,19,Left-Back,FC Twente U19,0.0,in,Summer,1994,1994/1995
Sander Westerveld,19,Goalkeeper,FC Twente U19,0.0,in,Summer,1994,1994/1995
Niels Oude Kamphuis,16,Defensive Midfield,FC Twente U19,0.0,in,Summer,1994,1994/1995
Arno Knapen,18,Right-Back,FC Twente U19,0.0,in,Summer,1994,1994/1995
Pascal de Vries,17,midfield,FC Twente U19,0.0,in,Summer,1994,1994/1995
Björn Schurink,17,attack,FC Twente U19,0.0,in,Summer,1994,1994/1995
Jan Gaasbeek,31,midfield,NAC Breda,0.0,out,Summer,1994,1994/1995
Erwin Leurink,21,defence,Heracles,0.0,out,Summer,1994,1994/1995
Prince Polley,25,Centre-Forward,Heerenveen,0.0,out,Summer,1994,1994/1995
Edwin Hilgerink,22,defence,Heracles,0.0,out,Summer,1994,1994/1995
Boudewijn Pahlplatz,22,attack,PSV Eindhoven,0.0,out,Summer,1994,1994/1995
Erik ten Hag,24,Centre-Back,RKC Waalwijk,0.0,out,Summer,1994,1994/1995
Gerald Sibon,20,Centre-Forward,VVV-Venlo,0.0,out,Summer,1994,1994/1995
Arno Arts,25,Central Midfield,Cambuur L.,0.0,out,Summer,1994,1994/1995
Andreas Augustsson,18,Centre-Back,Helsingborg U19,0.0,in,Summer,1995,1995/1996
Ansar Ayupov,23,Central Midfield,Loko Moscow,0.0,in,Summer,1995,1995/1996
Yuri Petrov,20,Centre-Forward,RKC Waalwijk,0.0,in,Summer,1995,1995/1996
Theo ten Caat,30,Attacking Midfield,Vitesse,0.0,in,Summer,1995,1995/1996
Haci Sen,19,attack,Unknown,0.0,in,Summer,1995,1995/1996
Cees Paauwe,17,Goalkeeper,FC Twente U19,0.0,in,Summer,1995,1995/1996
Clemens Zwijnenberg,25,Right-Back,Feyenoord,0.0,out,Summer,1995,1995/1996
Ruud Kool,28,midfield,Fortuna Sittard,0.0,out,Summer,1995,1995/1996
Edwin Vurens,27,Centre-Forward,Roda JC,0.0,out,Summer,1995,1995/1996
Keith Gumbs,23,Centre-Forward,Newtown,0.0,in,Winter,1995,1995/1996
Joost Volmer,21,Centre-Back,Helmond Sport,0.0,out,Winter,1995,1995/1996
John Bosman,31,Centre-Forward,RSC Anderlecht,700000.0,in,Summer,1996,1996/1997
