player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Eugène Hanssen,34,defence,Verdy Kawasaki,0.0,in,Summer,1993,1993/1994
Remco Torken,21,attack,TOP,0.0,in,Summer,1993,1993/1994
Carlos Hasselbaink,24,attack,Telstar,0.0,in,Summer,1993,1993/1994
Hans Vincent,31,Attacking Midfield,Willem II,0.0,in,Summer,1993,1993/1994
Nico van der Meer,21,Central Midfield,PSV U21,0.0,in,Summer,1993,1993/1994
Husref Musemic,31,Centre-Forward,SC Pfullendorf,0.0,out,Summer,1993,1993/1994
Maurice Rayer,20,Centre-Back,Telstar,0.0,out,Summer,1993,1993/1994
Wilson Ogechukwu Ajah,21,attack,Roda JC,0.0,out,Summer,1993,1993/1994
Nordin Amrabat,20,Right Winger,FC Omniworld,75000.0,in,Summer,2007,2007/2008
Mike Mampuya,24,Right-Back,Lierse SK,0.0,in,Summer,2007,2007/2008
Jason Oost,24,Attacking Midfield,Sparta R.,0.0,in,Summer,2007,2007/2008
Raymond van Driel,23,Goalkeeper,Vitesse,0.0,in,Summer,2007,2007/2008
Danny Wintjens,23,Goalkeeper,Heerenveen,0.0,in,Summer,2007,2007/2008
Ken Leemans,24,Defensive Midfield,Roda JC,0.0,in,Summer,2007,2007/2008
Michael Timisela,21,Right-Back,Ajax,0.0,in,Summer,2007,2007/2008
Sandro Calabro,24,Centre-Forward,Helmond Sport,0.0,in,Summer,2007,2007/2008
Kevin Begois,25,Goalkeeper,Helmond Sport,0.0,in,Summer,2007,2007/2008
Siebe Blondelle,21,Centre-Back,Vitesse,0.0,in,Summer,2007,2007/2008
Samir El Gaaouiri,23,Left Winger,FC Utrecht,0.0,in,Summer,2007,2007/2008
Adil Auassar,20,Centre-Back,FC Dordrecht,0.0,in,Summer,2007,2007/2008
Rick Verbeek,18,Central Midfield,VVV/Hel U19,0.0,in,Summer,2007,2007/2008
Robert Willemse,18,defence,VVV/Hel U19,0.0,in,Summer,2007,2007/2008
Rico Kuijpers,19,attack,VVV/Hel U19,0.0,in,Summer,2007,2007/2008
Willem Janssen,20,Centre-Back,Roda JC,230000.0,out,Summer,2007,2007/2008
Rein Baart,35,Goalkeeper,NEC Nijmegen,0.0,out,Summer,2007,2007/2008
Sander Lenders,21,Centre-Back,SV Straelen,0.0,out,Summer,2007,2007/2008
Frank Broers,29,Left-Back,FC Emmen,0.0,out,Summer,2007,2007/2008
Roel Buikema,31,Left Midfield,Quick DH,0.0,out,Summer,2007,2007/2008
Dirk-Jan Derksen,35,Centre-Forward,Fortuna Sittard,0.0,out,Summer,2007,2007/2008
Rik Platvoet,31,Centre-Forward,Go Ahead Eagles,0.0,out,Summer,2007,2007/2008
Cor Varkevisser,25,Goalkeeper,Sparta R.,0.0,out,Summer,2007,2007/2008
Tom Muyters,22,Goalkeeper,Overpelt-Lommel,0.0,out,Summer,2007,2007/2008
Bas Jacobs,27,Left Winger,Fortuna Sittard,0.0,out,Summer,2007,2007/2008
Ahmed Ammi,26,Right-Back,NAC Breda,0.0,out,Summer,2007,2007/2008
Frank van Kouwen,26,Centre-Back,Roda JC,0.0,out,Summer,2007,2007/2008
Dylan Hughes,22,Second Striker,RKC Waalwijk,0.0,out,Summer,2007,2007/2008
Luizinho,24,midfield,Without Club,0.0,out,Summer,2007,2007/2008
Peter Jungschläger,23,Central Midfield,RBC Roosendaal,100000.0,in,Winter,2007,2007/2008
Keisuke Honda,21,Attacking Midfield,Nagoya Grampus,0.0,in,Winter,2007,2007/2008
Paul Jans,26,Centre-Forward,NEC Nijmegen,0.0,in,Winter,2007,2007/2008
Paul Jans,26,Centre-Forward,RW Essen,0.0,out,Winter,2007,2007/2008
Maico Gerritsen,21,attack,KFC Verbr. Geel,0.0,out,Winter,2007,2007/2008
Ruud Boymans,20,Centre-Forward,Fortuna Sittard,100000.0,in,Summer,2009,2009/2010
Achmed Ahahaoui,26,Left Winger,Go Ahead Eagles,0.0,in,Summer,2009,2009/2010
Dennis Gentenaar,33,Goalkeeper,Ajax,0.0,in,Summer,2009,2009/2010
Patrick Paauwe,33,Centre-Back,Bor. M'gladbach,0.0,in,Summer,2009,2009/2010
Alex Nkume,20,Left-Back,Enugu Rangers,0.0,in,Summer,2009,2009/2010
Diogo Viana,19,Right-Back,FC Porto,0.0,in,Summer,2009,2009/2010
Henrico Drost,22,Centre-Back,Heerenveen,0.0,in,Summer,2009,2009/2010
Jasar Takak,27,Central Midfield,Without Club,0.0,in,Summer,2009,2009/2010
Peter Reekers,28,Centre-Back,Heracles Almelo,0.0,out,Summer,2009,2009/2010
Samir El Gaaouiri,25,Left Winger,KSV Roeselare,0.0,out,Summer,2009,2009/2010
Leon Kantelberg,30,Left Winger,FC Eindhoven,0.0,out,Summer,2009,2009/2010
Danny Wintjens,25,Goalkeeper,Fortuna Sittard,0.0,out,Summer,2009,2009/2010
Robert Willemse,20,defence,Venray,0.0,out,Summer,2009,2009/2010
Mike Mampuya,26,Right-Back,Helmond Sport,0.0,out,Summer,2009,2009/2010
Marnix Kolder,28,Centre-Forward,SC Veendam,0.0,out,Summer,2009,2009/2010
Rachid Ofrany,22,Right Winger,AGOVV,0.0,out,Summer,2009,2009/2010
Ruud Boffin,22,Goalkeeper,MVV Maastricht,0.0,in,Winter,2009,2009/2010
Michael Uchebo,19,Centre-Forward,Enugu Rangers,0.0,in,Winter,2009,2009/2010
Maya Yoshida,21,Centre-Back,Nagoya Grampus,0.0,in,Winter,2009,2009/2010
Gonzalo García,26,Second Striker,FC Groningen,0.0,in,Winter,2009,2009/2010
Keisuke Honda,23,Attacking Midfield,CSKA Moscow,6000000.0,out,Winter,2009,2009/2010
Rick Verbeek,21,Central Midfield,Helmond Sport,0.0,out,Winter,2009,2009/2010
Josué,19,Attacking Midfield,FC Porto,0.0,in,Summer,2010,2010/2011
Ahmed Musa,17,Right Winger,Kano Pillars,0.0,in,Summer,2010,2010/2011
Bryan Linssen,19,Centre-Forward,MVV Maastricht,0.0,in,Summer,2010,2010/2011
Jorge Chula,20,Right Winger,FC Porto,0.0,in,Summer,2010,2010/2011
Balázs Tóth,28,Defensive Midfield,KRC Genk,0.0,in,Summer,2010,2010/2011
Roel Janssen,20,Centre-Back,VVV-Venlo U21,0.0,in,Summer,2010,2010/2011
Delano van Crooij,19,Goalkeeper,VVV/Hel U19,0.0,in,Summer,2010,2010/2011
Quin Kruijsen,19,Central Midfield,VVV-Venlo U21,0.0,in,Summer,2010,2010/2011
Rick Verbeek,21,Central Midfield,Helmond Sport,0.0,in,Summer,2010,2010/2011
Rachid Ofrany,23,Right Winger,AGOVV,0.0,in,Summer,2010,2010/2011
Adil Auassar,23,Centre-Back,Feyenoord,0.0,out,Summer,2010,2010/2011
Ruben Schaken,28,Right Winger,Feyenoord,0.0,out,Summer,2010,2010/2011
Sjors Verdellen,28,Centre-Back,MVV Maastricht,0.0,out,Summer,2010,2010/2011
Sandro Calabro,27,Centre-Forward,FC St. Gallen,0.0,out,Summer,2010,2010/2011
Kevin Van Dessel,31,Left Midfield,APOP Kinyras,0.0,out,Summer,2010,2010/2011
Soufiane Dadda,20,Right Winger,Fortuna Sittard,0.0,out,Summer,2010,2010/2011
Robert Böhm,22,Goalkeeper,Without Club,0.0,out,Summer,2010,2010/2011
Jasar Takak,28,Central Midfield,Without Club,0.0,out,Summer,2010,2010/2011
Ruud Boffin,22,Goalkeeper,MVV Maastricht,0.0,out,Summer,2010,2010/2011
Gonzalo García,26,Second Striker,FC Groningen,0.0,out,Summer,2010,2010/2011
Henrico Drost,23,Centre-Back,Heerenveen,0.0,out,Summer,2010,2010/2011
Robin Udegbe,19,Goalkeeper,Düsseldorf-West,0.0,in,Winter,2010,2010/2011
Robert Cullen,25,Centre-Forward,Roasso Kumamoto,0.0,in,Winter,2010,2010/2011
Dario Vujicevic,20,Defensive Midfield,Twente FC,0.0,in,Winter,2010,2010/2011
Funso Ojo,19,Central Midfield,PSV Eindhoven,0.0,in,Winter,2010,2010/2011
Youssef El Akchaoui,29,Left-Back,Heerenveen,0.0,in,Winter,2010,2010/2011
Patrick Paauwe,35,Centre-Back,Retired,0.0,out,Winter,2010,2010/2011
Diogo Viana,20,Right-Back,FC Porto,0.0,out,Winter,2010,2010/2011
Yanic Wildschut,19,Left Winger,FC Zwolle,200000.0,in,Summer,2011,2011/2012
Barry Maguire,21,Attacking Midfield,FC Utrecht,0.0,in,Summer,2011,2011/2012
Wilko de Vogt,35,Goalkeeper,Twente FC,0.0,in,Summer,2011,2011/2012
Rogier Molhoek,29,Defensive Midfield,Vitesse,0.0,in,Summer,2011,2011/2012
Marcel Meeuwis,30,Defensive Midfield,Bor. M'gladbach,0.0,in,Summer,2011,2011/2012
Uche Nwofor,19,Centre-Forward,Enugu Rangers,0.0,in,Summer,2011,2011/2012
Andrea Mei,22,Centre-Back,Inter,0.0,in,Summer,2011,2011/2012
Soufiane Dadda,21,Right Winger,VVV-Venlo U21,0.0,in,Summer,2011,2011/2012
Marnix Kolder,30,Centre-Forward,SC Veendam,0.0,in,Summer,2011,2011/2012
Marnix Kolder,30,Centre-Forward,Go Ahead Eagles,0.0,out,Summer,2011,2011/2012
Achmed Ahahaoui,28,Left Winger,FC Volendam,0.0,out,Summer,2011,2011/2012
