player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Erwin van de Looi,20,Centre-Back,FC Den Bosch,0.0,in,Summer,1992,1992/1993
Hans Gillhaus,28,Centre-Forward,Aberdeen FC,0.0,in,Summer,1992,1992/1993
Patrick Pothuizen,20,Centre-Back,Vit./AGOVV U19,0.0,in,Summer,1992,1992/1993
Ben Iroha,23,Left-Back,ASEC Mimosas,0.0,in,Winter,1992,1992/1993
Hans van Arum,26,Centre-Forward,Willem II,0.0,out,Winter,1992,1992/1993
Sergey Krutov,22,Central Midfield,CSKA Moscow,0.0,out,Winter,1992,1992/1993
Glenn Helder,24,Left Winger,Sparta R.,240000.0,in,Summer,1993,1993/1994
Willem Korsten,18,Left Winger,NEC Nijmegen,0.0,in,Summer,1993,1993/1994
Jerry Simons,23,Attacking Midfield,Dordrecht'90,0.0,in,Summer,1993,1993/1994
Roy Makaay,18,Centre-Forward,Vit./AGOVV U19,0.0,in,Summer,1993,1993/1994
John van den Brom,26,Attacking Midfield,Ajax,1360000.0,out,Summer,1993,1993/1994
Dennis Krijgsman,20,Attacking Midfield,Sparta R.,0.0,out,Summer,1993,1993/1994
Ton van Bremen,25,defence,NAC Breda,0.0,out,Summer,1993,1993/1994
Carel van der Velden,20,midfield,FC Den Bosch,0.0,out,Summer,1993,1993/1994
Patrick Pothuizen,21,Centre-Back,Dordrecht'90,0.0,out,Winter,1993,1993/1994
Theo ten Caat,29,Attacking Midfield,Aberdeen FC,127000.0,in,Summer,1994,1994/1995
Arco Jochemsen,23,Right Midfield,SDV Barneveld,0.0,in,Summer,1994,1994/1995
Chris van der Weerden,21,Right-Back,NEC Nijmegen,0.0,in,Summer,1994,1994/1995
Ante Mise,26,Defensive Midfield,Hajduk Split,0.0,in,Summer,1994,1994/1995
Dejan Curovic,25,Centre-Forward,Partizan,0.0,in,Summer,1994,1994/1995
Patrick Pothuizen,22,Centre-Back,Dordrecht'90,0.0,in,Summer,1994,1994/1995
Patrick Pothuizen,22,Centre-Back,NEC Nijmegen,0.0,out,Summer,1994,1994/1995
Roberto Straal,27,Centre-Back,MVV Maastricht,0.0,out,Summer,1994,1994/1995
Saïd Larossi,21,defence,Emmen,0.0,out,Summer,1994,1994/1995
René Eijer,31,Left Midfield,Retired,0.0,out,Summer,1994,1994/1995
Hans Gillhaus,31,Centre-Forward,Gamba Osaka,0.0,out,Winter,1994,1994/1995
Glenn Helder,26,Left Winger,Arsenal,0.0,out,Winter,1994,1994/1995
Carlos van Wanrooij,28,Left Midfield,NEC Nijmegen,0.0,in,Summer,1995,1995/1996
Rob Alflen,27,Defensive Midfield,Ajax,0.0,in,Summer,1995,1995/1996
Louis Laros,22,Left Midfield,Willem II,0.0,in,Summer,1995,1995/1996
Leo Koswal,19,Right Winger,Dordrecht'90,0.0,in,Summer,1995,1995/1996
Edwin Gorter,31,Attacking Midfield,FC Utrecht,0.0,in,Summer,1995,1995/1996
Raymond Atteveld,28,Centre-Back,Roda JC,0.0,in,Summer,1995,1995/1996
Saïd Larossi,22,defence,Emmen,0.0,in,Summer,1995,1995/1996
John Stegeman,18,Centre-Forward,Vit./AGOVV U19,0.0,in,Summer,1995,1995/1996
Phillip Cocu,24,Defensive Midfield,PSV Eindhoven,0.0,out,Summer,1995,1995/1996
Chris van der Weerden,22,Right-Back,PSV Eindhoven,0.0,out,Summer,1995,1995/1996
Theo ten Caat,30,Attacking Midfield,Twente FC,0.0,out,Summer,1995,1995/1996
Dmitri Shukov,20,Left Midfield,CSKA Moscow,0.0,in,Winter,1995,1995/1996
Bart Latuheru,30,Right Winger,AZ Alkmaar,0.0,out,Winter,1995,1995/1996
Ben Iroha,26,Left-Back,San Jose Clash,0.0,out,Winter,1995,1995/1996
Jerry Simons,26,Attacking Midfield,FC Volendam,0.0,out,Winter,1995,1995/1996
Jochem van der Hoeven,20,Centre-Back,Sparta R.,900000.0,in,Summer,1996,1996/1997
Sander Westerveld,21,Goalkeeper,Twente FC,900000.0,in,Summer,1996,1996/1997
