player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Yassine Abdellaoui,17,Left Midfield,OJC Rosmalen,0.0,in,Summer,1992,1992/1993
Marc van Hintum,25,Left-Back,RKC Waalwijk,0.0,in,Summer,1992,1992/1993
Adrie Bogers,27,Left-Back,KV Mechelen,0.0,in,Summer,1992,1992/1993
Nabil Bouchlal,17,Centre-Forward,Unknown,0.0,in,Summer,1992,1992/1993
Bert Verhagen,25,Centre-Back,Roda JC,0.0,in,Summer,1992,1992/1993
Ken Watanabe,18,attack,Unknown,0.0,in,Summer,1992,1992/1993
Bart Griemink,20,Goalkeeper,Emmen,0.0,in,Summer,1992,1992/1993
Mark Valentijn,22,attack,Willem II U21,0.0,in,Summer,1992,1992/1993
Marc Overmars,19,Left Winger,Ajax,908000.0,out,Summer,1992,1992/1993
René Wolffs,27,defence,FC Den Bosch,0.0,out,Summer,1992,1992/1993
Marc Latupeirissa,21,midfield,Unknown,0.0,out,Summer,1992,1992/1993
Meindert Dijkstra,25,Left-Back,Notts County,0.0,out,Summer,1992,1992/1993
Terry Waldorf,23,midfield,Unknown,0.0,out,Summer,1992,1992/1993
Fons Mallien,31,defence,Unknown,0.0,out,Summer,1992,1992/1993
Louis Laros,19,Left Midfield,VVV-Venlo,0.0,out,Summer,1992,1992/1993
Hans van Arum,26,Centre-Forward,Vitesse,0.0,in,Winter,1992,1992/1993
Hans Meeuwsen,30,Right-Back,Helmond Sport,0.0,out,Winter,1992,1992/1993
Marc Latupeirissa,22,midfield,Unknown,0.0,in,Summer,1993,1993/1994
Arne van den Berg,20,attack,Unknown,0.0,in,Summer,1993,1993/1994
Ron Vos,19,midfield,Unknown,0.0,in,Summer,1993,1993/1994
Frank Brugel,35,Goalkeeper,Unknown,0.0,out,Summer,1993,1993/1994
Hans Vincent,31,Attacking Midfield,VVV-Venlo,0.0,out,Summer,1993,1993/1994
Werner Hopstaken,20,defence,TOP,0.0,out,Summer,1993,1993/1994
Ken Watanabe,19,attack,TOP,0.0,out,Summer,1993,1993/1994
Marc van der Velden,20,midfield,TOP,0.0,out,Summer,1993,1993/1994
Mark Valentijn,22,attack,Helmond Sport,0.0,out,Summer,1993,1993/1994
Hans Werdekker,33,Centre-Back,Ajax,0.0,out,Summer,1993,1993/1994
