player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nélson Veríssimo,20,Centre-Back,Alverca,0.0,in,Summer,1997,1997/1998
Akwá,20,Centre-Forward,Benfica,0.0,in,Summer,1997,1997/1998
Paulão,27,Right Winger,Benfica,0.0,in,Summer,1997,1997/1998
Tó Sá,28,Right-Back,Vitória Setúbal,0.0,in,Summer,1997,1997/1998
Carlos Miguel,26,Central Midfield,Paços Ferreira,0.0,in,Summer,1997,1997/1998
Aurélio Soares,23,Centre-Back,1º de Agosto,0.0,in,Summer,1997,1997/1998
Vargas,18,Right Winger,Académica U19,0.0,in,Summer,1997,1997/1998
Guerra,18,Central Midfield,Académica U19,0.0,in,Summer,1997,1997/1998
João Campos,22,Defensive Midfield,Sourense,0.0,in,Summer,1997,1997/1998
Miguel Bruno,25,Centre-Forward,Espinho,0.0,out,Summer,1997,1997/1998
Albertino,25,Right-Back,Marítimo,0.0,out,Summer,1997,1997/1998
Dinda,24,Attacking Midfield,Leiria,0.0,out,Summer,1997,1997/1998
Telmo Pinto,26,Right Midfield,Leiria,0.0,out,Summer,1997,1997/1998
Jorge Silva,21,Defensive Midfield,Boavista,0.0,out,Summer,1997,1997/1998
Igor Akmadzic,24,attack,H. Beit Shean,0.0,in,Winter,1997,1997/1998
Miguel Bruno,26,Centre-Forward,Espinho,0.0,in,Winter,1997,1997/1998
Marinho,23,Attacking Midfield,União Coimbra,0.0,out,Winter,1997,1997/1998
Carlos Miguel,26,Central Midfield,Paços Ferreira,0.0,out,Winter,1997,1997/1998
Nuno Rocha,21,Central Midfield,Leça,0.0,in,Summer,1998,1998/1999
Paulo Adriano,21,Defensive Midfield,Anadia FC,0.0,in,Summer,1998,1998/1999
Camilo,28,Centre-Back,Farense,0.0,in,Summer,1998,1998/1999
Maurício Cabedelo,26,Centre-Forward,Marítimo,0.0,in,Summer,1998,1998/1999
Madureira,22,Central Midfield,Desportivo Aves,0.0,in,Summer,1998,1998/1999
Barroso,27,Central Midfield,FC Porto,0.0,in,Summer,1998,1998/1999
Luís Filipe,19,Right-Back,Académica U19,0.0,in,Summer,1998,1998/1999
Miguel Bruno,26,Centre-Forward,Varzim,0.0,out,Summer,1998,1998/1999
Vargas,19,Right Winger,Lourinhanense,0.0,out,Summer,1998,1998/1999
Akwá,21,Centre-Forward,Al-Wakrah SC,0.0,out,Summer,1998,1998/1999
Paulão,28,Right Winger,Espinho,0.0,out,Summer,1998,1998/1999
Aurélio Soares,24,Centre-Back,1º de Agosto,0.0,out,Summer,1998,1998/1999
Guerra,19,Central Midfield,Leixões,0.0,out,Summer,1998,1998/1999
Mito,32,Central Midfield,Retired,0.0,out,Summer,1998,1998/1999
Igor Akmadzic,25,attack,Unknown,0.0,out,Summer,1998,1998/1999
João Pires,28,attack,Alverca,0.0,out,Winter,1998,1998/1999
Jorginho,26,Left Winger,Campomaiorense,0.0,in,Summer,2002,2002/2003
Binho,25,Defensive Midfield,Naval,0.0,in,Summer,2002,2002/2003
Damian Tixier,22,Left-Back,Naval,0.0,in,Summer,2002,2002/2003
André Macanga,24,Defensive Midfield,FC Porto,0.0,in,Summer,2002,2002/2003
Lucian Marinescu,30,Attacking Midfield,UD Salamanca,0.0,in,Summer,2002,2002/2003
Marcelo,32,Centre-Forward,Walsall,0.0,in,Summer,2002,2002/2003
Raul Oliveira,29,Centre-Back,CF Estrela,0.0,in,Summer,2002,2002/2003
Nuno Pedro,20,Attacking Midfield,GD Tourizense,0.0,in,Summer,2002,2002/2003
Fabien Valeri,28,Left Midfield,Naval,0.0,in,Summer,2002,2002/2003
Roberto,23,Centre-Forward,Moreirense,0.0,in,Summer,2002,2002/2003
Eduardo,23,Goalkeeper,União Coimbra,0.0,in,Summer,2002,2002/2003
Nuno Luís,27,Right-Back,Nacional,0.0,in,Summer,2002,2002/2003
Fredy,22,Left-Back,CA Felgueiras,0.0,in,Summer,2002,2002/2003
Pedro Roma,31,Goalkeeper,SC Braga,0.0,in,Summer,2002,2002/2003
Leandro Netto,23,Centre-Forward,OFK Beograd,0.0,out,Summer,2002,2002/2003
Camilo,32,Centre-Back,Ovarense,0.0,out,Summer,2002,2002/2003
Yves Kibuey,32,Centre-Forward,Leiria,0.0,out,Summer,2002,2002/2003
João Oliveira Pinto,30,Right Winger,Imortal,0.0,out,Summer,2002,2002/2003
Valente,37,Goalkeeper,Imortal,0.0,out,Summer,2002,2002/2003
Alhandra,23,Left-Back,Leiria,0.0,out,Summer,2002,2002/2003
Henrique Hilário,27,Goalkeeper,FC Porto,0.0,in,Winter,2002,2002/2003
Carlos Martins,20,Attacking Midfield,Sporting B,0.0,in,Winter,2002,2002/2003
Pedro Oliveira,21,Right Winger,FC Porto,0.0,in,Winter,2002,2002/2003
Esquerdinha,30,Left-Back,Real Zaragoza,0.0,in,Winter,2002,2002/2003
Vítor Vieira,29,Right Winger,Santa Clara,0.0,in,Winter,2002,2002/2003
Marcos António,19,Centre-Back,FC Porto B,0.0,in,Winter,2002,2002/2003
Manuel José,21,Right Midfield,FC Porto,0.0,in,Winter,2002,2002/2003
Xano,19,Right Winger,Académica U19,0.0,in,Winter,2002,2002/2003
Nuno Pedro,21,Attacking Midfield,GD Tourizense,0.0,out,Winter,2002,2002/2003
Dino,24,Centre-Back,União Lamas,0.0,out,Winter,2002,2002/2003
Nuno Miranda,24,Left Winger,Académico Viseu,0.0,out,Winter,2002,2002/2003
Cédrick Fiston,22,Centre-Forward,G. Bordeaux,0.0,in,Summer,2003,2003/2004
Flávio Dias,25,Centre-Forward,Grêmio,0.0,in,Summer,2003,2003/2004
Zuela,19,Centre-Back,Sertanense,0.0,in,Summer,2003,2003/2004
Pedro Henriques,28,Left-Back,Santa Clara,0.0,in,Summer,2003,2003/2004
Khalid Fouhami,30,Goalkeeper,Standard Liège,0.0,in,Summer,2003,2003/2004
Zé António,26,Centre-Back,Varzim,0.0,in,Summer,2003,2003/2004
Ákos Buzsáky,21,Central Midfield,FC Porto,0.0,in,Summer,2003,2003/2004
Filipe Alvim,24,Right-Back,Juventude,0.0,in,Summer,2003,2003/2004
Rodolfo Correia,26,midfield,Varzim,0.0,in,Summer,2003,2003/2004
Delmer,28,Centre-Forward,Criciúma EC,0.0,in,Summer,2003,2003/2004
Fábio Felicio,21,Central Midfield,Olhanense,0.0,in,Summer,2003,2003/2004
Dionattan,21,Central Midfield,Juventude,0.0,in,Summer,2003,2003/2004
João Campos,28,Defensive Midfield,Pombal,0.0,out,Summer,2003,2003/2004
Pedro Hipólito,24,Attacking Midfield,Farense,0.0,out,Summer,2003,2003/2004
Márcio Santos,24,Goalkeeper,CF Estrela,0.0,out,Summer,2003,2003/2004
Roberto,24,Centre-Forward,CF Estrela,0.0,out,Summer,2003,2003/2004
Binho,26,Defensive Midfield,Naval,0.0,out,Summer,2003,2003/2004
André Macanga,25,Defensive Midfield,Boavista,0.0,out,Summer,2003,2003/2004
Henrique Hilário,27,Goalkeeper,Nacional,0.0,out,Summer,2003,2003/2004
Vítor Vieira,30,Right Winger,Penafiel,0.0,out,Summer,2003,2003/2004
Fabien Valeri,29,Left Midfield,Cannes,0.0,out,Summer,2003,2003/2004
Esquerdinha,31,Left-Back,Goiás EC,0.0,out,Summer,2003,2003/2004
Xano,20,Right Winger,UD Salamanca,0.0,out,Summer,2003,2003/2004
Zé Nando,34,Left-Back,Retired,0.0,out,Summer,2003,2003/2004
Tó Sá,34,Right-Back,Coimbra B,0.0,out,Summer,2003,2003/2004
Vital,31,Left-Back,Without Club,0.0,out,Summer,2003,2003/2004
Manuel José,22,Right Midfield,FC Porto,0.0,out,Summer,2003,2003/2004
Pedro Oliveira,21,Right Winger,FC Porto,0.0,out,Summer,2003,2003/2004
Marcos António,20,Centre-Back,FC Porto B,0.0,out,Summer,2003,2003/2004
Carlos Martins,21,Attacking Midfield,Sporting B,0.0,out,Summer,2003,2003/2004
Paulo Sérgio,19,Attacking Midfield,Sporting B,0.0,in,Winter,2003,2003/2004
Joeano,24,Centre-Forward,UD Salamanca,0.0,in,Winter,2003,2003/2004
Cacá,24,Centre-Forward,Albacete,0.0,in,Winter,2003,2003/2004
Dário,26,Centre-Forward,Al-Jazira,1200000.0,out,Winter,2003,2003/2004
Khalid Fouhami,31,Goalkeeper,Spartak-Alania,0.0,out,Winter,2003,2003/2004
Flávio Dias,25,Centre-Forward,Avaí FC,0.0,out,Winter,2003,2003/2004
Bruno Leite,22,Right-Back,RCD Mallorca B,0.0,in,Summer,2004,2004/2005
Luciano Fonseca,25,Right Winger,Metropolitano,0.0,in,Summer,2004,2004/2005
Ricardo Fernandes,26,Attacking Midfield,FC Porto,0.0,in,Summer,2004,2004/2005
Clément Beaud,23,Central Midfield,Vetra,0.0,in,Summer,2004,2004/2005
Rafael Ledesma,21,Attacking Midfield,Flamengo,0.0,in,Summer,2004,2004/2005
Vasco Faísca,23,Centre-Back,Vicenza,0.0,in,Summer,2004,2004/2005
Dani,30,Goalkeeper,Naval,0.0,in,Summer,2004,2004/2005
Danilo Moreira,23,Centre-Back,Coritiba FC,0.0,in,Summer,2004,2004/2005
William,19,Centre-Back,EC São José,0.0,in,Summer,2004,2004/2005
Dário,27,Centre-Forward,Al-Jazira,0.0,in,Summer,2004,2004/2005
Pedro Gomes,18,Goalkeeper,Académica U19,0.0,in,Summer,2004,2004/2005
Zé Castro,21,Centre-Back,Coimbra B,0.0,in,Summer,2004,2004/2005
Sarmento,19,Right-Back,Académica U19,0.0,in,Summer,2004,2004/2005
Nuno Piloto,22,Central Midfield,Coimbra B,0.0,in,Summer,2004,2004/2005
Luciano Fonseca,25,Right Winger,CS Sergipe-SE,0.0,in,Summer,2004,2004/2005
Xano,21,Right Winger,UD Salamanca,0.0,in,Summer,2004,2004/2005
