player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Matija Ljujic,24,Attacking Midfield,Wellington P.,0.0,in,Summer,2018,2018/2019
Luís Silva,19,Centre-Back,Stoke U23,0.0,in,Summer,2018,2018/2019
Mika,27,Goalkeeper,Leiria,0.0,in,Summer,2018,2018/2019
Bruno Sales,23,Centre-Back,Torreense,0.0,in,Summer,2018,2018/2019
Zakarya Bergdich,29,Left-Back,FC Sochaux,0.0,in,Summer,2018,2018/2019
Pierre Sagna,27,Right-Back,Moreirense,0.0,in,Summer,2018,2018/2019
Nuno Coelho,30,Defensive Midfield,Arouca,0.0,in,Summer,2018,2018/2019
Jonatan Lucca,24,Central Midfield,Pune City,0.0,in,Summer,2018,2018/2019
Nuno Tomás,22,Centre-Back,Belenenses,0.0,in,Summer,2018,2018/2019
Kikas,19,Centre-Forward,Castelo Branco,0.0,in,Summer,2018,2018/2019
Reinildo Mandava,24,Left-Back,Benfica B,0.0,in,Summer,2018,2018/2019
Alhassane Keita,26,Centre-Forward,Marítimo,0.0,in,Summer,2018,2018/2019
Dálcio,22,Central Midfield,Benfica B,0.0,in,Summer,2018,2018/2019
Henrique Almeida,27,Centre-Forward,Grêmio,0.0,in,Summer,2018,2018/2019
Eduardo Henrique,23,Defensive Midfield,Internacional,0.0,in,Summer,2018,2018/2019
Vincent Sasso,27,Centre-Back,Belenenses,0.0,in,Summer,2018,2018/2019
Filipe Chaby,24,Attacking Midfield,Belenenses,0.0,in,Summer,2018,2018/2019
Filipe Mendes,33,Goalkeeper,Belenenses,0.0,in,Summer,2018,2018/2019
Licá,29,Left Winger,Belenenses,0.0,in,Summer,2018,2018/2019
Benny,21,Central Midfield,Belenenses,0.0,in,Summer,2018,2018/2019
Diogo Viana,28,Right-Back,Belenenses,0.0,in,Summer,2018,2018/2019
Merlin Tandjigora,28,Defensive Midfield,Belenenses,0.0,in,Summer,2018,2018/2019
Gonçalo Silva,27,Centre-Back,Belenenses,0.0,in,Summer,2018,2018/2019
Cleylton,25,Centre-Back,Belenenses,0.0,in,Summer,2018,2018/2019
Muriel,31,Goalkeeper,Belenenses,0.0,in,Summer,2018,2018/2019
Fredy,28,Attacking Midfield,Belenenses,0.0,in,Summer,2018,2018/2019
André Sousa,27,Central Midfield,Belenenses,0.0,in,Summer,2018,2018/2019
Betinho,24,Centre-Forward,Belenenses,0.0,in,Summer,2018,2018/2019
Ousmane Dramé,26,Left Winger,Without Club,0.0,in,Summer,2018,2018/2019
André Santos,29,Central Midfield,Without Club,0.0,in,Summer,2018,2018/2019
Betinho,25,Centre-Forward,Lus. Lourosa,0.0,out,Summer,2018,2018/2019
Benny,21,Central Midfield,Benfica B,0.0,out,Summer,2018,2018/2019
Komnen Andric,23,Centre-Forward,Inter Zapresic,0.0,out,Summer,2018,2018/2019
André Sousa,27,Central Midfield,Sporting Gijón,0.0,out,Summer,2018,2018/2019
Filipe Mendes,33,Goalkeeper,Real SC,0.0,out,Summer,2018,2018/2019
Nicolás Vélez,28,Centre-Forward,N. Sembilan FC,0.0,in,Winter,2018,2018/2019
Dieguinho,26,Right Winger,Cova Piedade,0.0,in,Winter,2018,2018/2019
Kiki,24,Left-Back,Feirense,0.0,in,Winter,2018,2018/2019
Diogo Calila,20,Right-Back,B. SAD U23,0.0,in,Winter,2018,2018/2019
Rúben Ribeiro,23,Left-Back,B. SAD U23,0.0,in,Winter,2018,2018/2019
Tiago Rodrigues,17,Attacking Midfield,Belenenses U19,0.0,in,Winter,2018,2018/2019
Betinho,25,Centre-Forward,Lus. Lourosa,0.0,in,Winter,2018,2018/2019
Bruno Sales,23,Centre-Back,Torreense,0.0,out,Winter,2018,2018/2019
Rúben Ribeiro,23,Left-Back,CO Montijo,0.0,out,Winter,2018,2018/2019
Reinildo Mandava,25,Left-Back,LOSC Lille,0.0,out,Winter,2018,2018/2019
Dieguinho,26,Right Winger,Cova Piedade,0.0,out,Winter,2018,2018/2019
Filipe Chaby,24,Attacking Midfield,Sporting CP,0.0,out,Winter,2018,2018/2019
Fredy,28,Attacking Midfield,Antalyaspor,0.0,out,Winter,2018,2018/2019
Nuno Tomás,23,Centre-Back,CSKA-Sofia,0.0,out,Winter,2018,2018/2019
Betinho,25,Centre-Forward,B. SAD U23,0.0,out,Winter,2018,2018/2019
Fran Varela,24,Left-Back,R. Majadahonda,0.0,in,Summer,2019,2019/2020
André Moreira,23,Goalkeeper,Atlético Madrid,0.0,in,Summer,2019,2019/2020
Eduardo Kau,20,Centre-Back,Avaí FC,0.0,in,Summer,2019,2019/2020
Chima Akas,25,Left-Back,Kalmar FF,0.0,in,Summer,2019,2019/2020
Mateo Cassierra,22,Centre-Forward,Ajax,0.0,in,Summer,2019,2019/2020
Hervé Koffi,22,Goalkeeper,LOSC Lille,0.0,in,Summer,2019,2019/2020
Show,20,Defensive Midfield,LOSC Lille B,0.0,in,Summer,2019,2019/2020
Hakim Ouro-Sama,21,Centre-Back,LOSC Lille B,0.0,in,Summer,2019,2019/2020
Imad Faraj,20,Right Winger,LOSC Lille B,0.0,in,Summer,2019,2019/2020
Gonçalo Tavares,22,Right-Back,B. SAD U23,0.0,in,Summer,2019,2019/2020
Guilherme Oliveira,24,Goalkeeper,B. SAD U23,0.0,in,Summer,2019,2019/2020
Tiago Esgaio,23,Right-Back,B. SAD U23,0.0,in,Summer,2019,2019/2020
Marco Matias,30,Right Winger,Without Club,0.0,in,Summer,2019,2019/2020
Silvestre Varela,34,Left Winger,Without Club,0.0,in,Summer,2019,2019/2020
Tomás Ribeiro,20,Centre-Back,B. SAD U23,0.0,in,Summer,2019,2019/2020
Guilherme Oliveira,25,Goalkeeper,Louletano,0.0,in,Summer,2019,2019/2020
Dieguinho,27,Right Winger,Cova Piedade,0.0,in,Summer,2019,2019/2020
Nuno Tomás,23,Centre-Back,CSKA-Sofia,0.0,in,Summer,2019,2019/2020
Reinildo Mandava,25,Left-Back,LOSC Lille,0.0,in,Summer,2019,2019/2020
Bruno Sales,24,Centre-Back,Torreense,0.0,in,Summer,2019,2019/2020
Filipe Mendes,34,Goalkeeper,Real SC,0.0,in,Summer,2019,2019/2020
Benny,22,Central Midfield,Benfica B,0.0,in,Summer,2019,2019/2020
André Sousa,28,Central Midfield,Sporting Gijón,0.0,in,Summer,2019,2019/2020
Reinildo Mandava,25,Left-Back,LOSC Lille,3000000.0,out,Summer,2019,2019/2020
Mika,28,Goalkeeper,Coimbra,0.0,out,Summer,2019,2019/2020
Muriel,32,Goalkeeper,Fluminense,0.0,out,Summer,2019,2019/2020
Matija Ljujic,25,Attacking Midfield,Bnei Yehuda,0.0,out,Summer,2019,2019/2020
Bruno Sales,24,Centre-Back,Pêro Pinheiro,0.0,out,Summer,2019,2019/2020
