player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Erwin Sánchez,22,Attacking Midfield,Benfica,0.0,in,Summer,1992,1992/1993
Mateus,26,Attacking Midfield,Ferroviário,0.0,in,Summer,1992,1992/1993
Tozé,23,Centre-Forward,Sporting CP,0.0,in,Summer,1992,1992/1993
Zoran Lemajic,31,Goalkeeper,Farense,0.0,in,Summer,1992,1992/1993
Jaime Alves,27,Right-Back,Vit. Guimarães,0.0,in,Summer,1992,1992/1993
António Caetano,25,Left-Back,Vit. Guimarães,0.0,in,Summer,1992,1992/1993
Pedro Venâncio,28,Centre-Back,Sporting CP,0.0,in,Summer,1992,1992/1993
Artur Oliveira,22,Second Striker,Remo,0.0,in,Summer,1992,1992/1993
Litos,25,Attacking Midfield,Sporting CP,0.0,in,Summer,1992,1992/1993
Jojó,21,Central Midfield,Ferroviário,0.0,in,Summer,1992,1992/1993
Rui Bento,20,Defensive Midfield,Benfica,0.0,in,Summer,1992,1992/1993
Costinha,18,Goalkeeper,Boavista Y19,0.0,in,Summer,1992,1992/1993
Bambo,17,Centre-Forward,Boavista Y19,0.0,in,Summer,1992,1992/1993
João Pinto,20,Second Striker,Benfica,2500000.0,out,Summer,1992,1992/1993
Litos,18,Centre-Back,Campomaiorense,0.0,out,Summer,1992,1992/1993
Ivan Pudar,30,Goalkeeper,Eintracht Trier,0.0,out,Summer,1992,1992/1993
Eduard Eranosyan,31,attack,Leixões,0.0,out,Summer,1992,1992/1993
Coelho,30,Second Striker,Penafiel,0.0,out,Summer,1992,1992/1993
Cobra,23,midfield,Leixões,0.0,out,Summer,1992,1992/1993
Carlos Manuel,34,Central Midfield,Estoril Praia,0.0,out,Summer,1992,1992/1993
Pedro Barny,25,Centre-Back,Sporting CP,0.0,out,Summer,1992,1992/1993
Fernando Mendes,25,Left-Back,Benfica,0.0,out,Summer,1992,1992/1993
Samuel,25,Centre-Back,Benfica,0.0,out,Summer,1992,1992/1993
