player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Fernando Varela,23,Centre-Back,Trofense,0.0,in,Summer,2011,2011/2012
Bédi Buval,25,Centre-Forward,Lechia Gdansk,0.0,in,Summer,2011,2011/2012
Stopira,23,Centre-Back,Deportivo B,0.0,in,Summer,2011,2011/2012
Rabiola,21,Centre-Forward,FC Porto,0.0,in,Summer,2011,2011/2012
Jandson,25,Centre-Forward,Barueri,0.0,in,Summer,2011,2011/2012
Cris,27,Defensive Midfield,Asteras Tripoli,0.0,in,Summer,2011,2011/2012
Miguel Pedro,27,Attacking Midfield,Anorthosis,0.0,in,Summer,2011,2011/2012
Vitor,27,Central Midfield,Rostocker FC,0.0,in,Summer,2011,2011/2012
Hugo Costa,21,Left-Back,Varzim,0.0,in,Summer,2011,2011/2012
William Alves,24,Centre-Back,Rio Branco,0.0,in,Summer,2011,2011/2012
Pedro Queirós,26,Right-Back,Paços Ferreira,0.0,in,Summer,2011,2011/2012
Uanderson Melo,20,Centre-Forward,Anápolis-GO,0.0,in,Summer,2011,2011/2012
Jeferson,25,Centre-Back,Anápolis-GO,0.0,in,Summer,2011,2011/2012
Hélder Castro,25,Central Midfield,U Cluj,0.0,in,Summer,2011,2011/2012
Siaka Bamba,21,Defensive Midfield,Vit. Guimarães,0.0,in,Summer,2011,2011/2012
Diogo Rosado,21,Left Winger,Sporting CP,0.0,in,Summer,2011,2011/2012
Chapinha,19,Left Winger,Feirense U19,0.0,in,Summer,2011,2011/2012
Miguel Assunção,19,Goalkeeper,Feirense U19,0.0,in,Summer,2011,2011/2012
João Ricardo,19,Central Midfield,Espinho,0.0,in,Summer,2011,2011/2012
Nuno Henrique,24,Centre-Back,SC Braga,125000.0,out,Summer,2011,2011/2012
Pinheiro,34,Attacking Midfield,Salgueiros,0.0,out,Summer,2011,2011/2012
Edmar,27,Centre-Forward,Ceahlăul,0.0,out,Summer,2011,2011/2012
Élvis Pereira,33,Centre-Back,Trofense,0.0,out,Summer,2011,2011/2012
Moisés,29,Centre-Forward,Leixões,0.0,out,Summer,2011,2011/2012
Roberto,34,Centre-Forward,Arouca,0.0,out,Summer,2011,2011/2012
Bruno Neves,29,Left-Back,SC Covilhã,0.0,out,Summer,2011,2011/2012
Rui Sacramento,26,Goalkeeper,Camacha,0.0,out,Summer,2011,2011/2012
Marco Cadete,33,Right-Back,CD Fátima,0.0,out,Summer,2011,2011/2012
Marco Sousa,31,Goalkeeper,Boavista,0.0,out,Summer,2011,2011/2012
Diogo Fonseca,26,Centre-Forward,Desportivo Aves,0.0,out,Summer,2011,2011/2012
João Ricardo,19,Central Midfield,Gondomar,0.0,out,Summer,2011,2011/2012
Hugo Costa,21,Left-Back,Tondela,0.0,out,Summer,2011,2011/2012
Galhano,28,Right-Back,Retired,0.0,out,Summer,2011,2011/2012
Ricardo Machado,22,defence,Marítimo,0.0,out,Summer,2011,2011/2012
Gonçalo Abreu,25,Right Winger,Marítimo,0.0,out,Summer,2011,2011/2012
Bastian Hohmann,21,Left Midfield,G. Schöneiche,0.0,in,Winter,2011,2011/2012
Jandson,25,Centre-Forward,Lajeadense,0.0,out,Winter,2011,2011/2012
William Alves,24,Centre-Back,Santa Cruz,0.0,out,Winter,2011,2011/2012
Guima,30,Centre-Forward,CFR Cluj,0.0,in,Summer,2016,2016/2017
Jean Sony Alcénat,30,Right-Back,Steaua Bucharest,0.0,in,Summer,2016,2016/2017
Luís Aurélio,27,Central Midfield,Nacional,0.0,in,Summer,2016,2016/2017
Vítor Bruno,26,Left-Back,CFR Cluj,0.0,in,Summer,2016,2016/2017
Peçanha,36,Goalkeeper,FC Viitorul,0.0,in,Summer,2016,2016/2017
Herve Tchami,28,Right Winger,Giresunspor,0.0,in,Summer,2016,2016/2017
Alex Kakuba,25,Left-Back,Estoril Praia,0.0,in,Summer,2016,2016/2017
Flávio Ramos,22,Centre-Back,Náutico,0.0,in,Summer,2016,2016/2017
William Tchuameni,19,Centre-Forward,Unisport Bafang,0.0,in,Summer,2016,2016/2017
Vaná Alves,25,Goalkeeper,Coritiba FC,0.0,in,Summer,2016,2016/2017
Rena,22,Right-Back,Cesarense,0.0,in,Summer,2016,2016/2017
Paulo Monteiro,31,Centre-Back,União Madeira,0.0,in,Summer,2016,2016/2017
Luís Rocha,29,Centre-Back,Freamunde,0.0,in,Summer,2016,2016/2017
Anastasios Karamanos,25,Centre-Forward,Olympiacos,0.0,in,Summer,2016,2016/2017
Ricardo Dias,25,Defensive Midfield,Belenenses,0.0,in,Summer,2016,2016/2017
Tiago Silva,23,Attacking Midfield,Belenenses,0.0,in,Summer,2016,2016/2017
Lane Nhaga,19,Centre-Forward,Feirense U19,0.0,in,Summer,2016,2016/2017
Ima Lino,19,Goalkeeper,Feirense U19,0.0,in,Summer,2016,2016/2017
Iduitua David,19,Left Winger,Feirense U19,0.0,in,Summer,2016,2016/2017
Diogo Silvestre,26,Left-Back,Peñarol,0.0,in,Summer,2016,2016/2017
Nandinho,19,Left-Back,Gafanha,0.0,in,Summer,2016,2016/2017
Tiago Jogo,25,Central Midfield,Farense,0.0,in,Summer,2016,2016/2017
Joca,20,Centre-Back,Cesarense,0.0,in,Summer,2016,2016/2017
Renato Maia,20,Left-Back,S. João Ver,0.0,in,Summer,2016,2016/2017
Rena,21,Right-Back,S. João Ver,0.0,in,Summer,2016,2016/2017
Diogo Silvestre,26,Left-Back,Estudiantes,0.0,out,Summer,2016,2016/2017
Ima Lino,19,Goalkeeper,Dragões,0.0,out,Summer,2016,2016/2017
Nuno Diogo,35,Centre-Back,Famalicão,0.0,out,Summer,2016,2016/2017
Magique,23,Left Winger,Cova Piedade,0.0,out,Summer,2016,2016/2017
Agostinho Carvalho,23,Centre-Back,Fafe,0.0,out,Summer,2016,2016/2017
Serginho,30,Left-Back,US Créteil-L,0.0,out,Summer,2016,2016/2017
Hélder Castro,30,Central Midfield,Olympiakos N.,0.0,out,Summer,2016,2016/2017
Rafael Porcellis,29,Centre-Forward,União Madeira,0.0,out,Summer,2016,2016/2017
Giorgi Makaridze,26,Goalkeeper,Moreirense,0.0,out,Summer,2016,2016/2017
Joca,20,Centre-Back,Esmoriz,0.0,out,Summer,2016,2016/2017
Tiago Jogo,25,Central Midfield,Cesarense,0.0,out,Summer,2016,2016/2017
Mica,21,Right-Back,Gafanha,0.0,out,Summer,2016,2016/2017
Renato Maia,20,Left-Back,Oliveirense,0.0,out,Summer,2016,2016/2017
Rena,22,Right-Back,Cesarense,0.0,out,Summer,2016,2016/2017
Mika,28,Centre-Back,Trofense,0.0,out,Summer,2016,2016/2017
