player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gamboa,26,Right Winger,SC Braga,0.0,in,Summer,1999,1999/2000
Clayton,23,Left Winger,Atlético-MG,0.0,in,Summer,1999,1999/2000
Sérgio Freitas,32,Centre-Back,SC Braga,0.0,in,Summer,1999,1999/2000
István Vincze,32,Left Winger,Campomaiorense,0.0,in,Summer,1999,1999/2000
Amaral,29,Right Winger,Vitória Setúbal,0.0,in,Summer,1999,1999/2000
Luis Carlos,30,midfield,SC Braga,0.0,in,Summer,1999,1999/2000
Pedro De Figueiredo,31,Centre-Back,Vitória Setúbal,0.0,in,Summer,1999,1999/2000
Sandro,27,Centre-Back,Juventude,0.0,in,Summer,1999,1999/2000
George,21,Centre-Forward,América-RN,0.0,in,Summer,1999,1999/2000
Raul Barbosa,27,Right-Back,União Madeira,0.0,in,Summer,1999,1999/2000
Patacas,21,Right-Back,Sporting CP,0.0,in,Summer,1999,1999/2000
Romicha,24,Right Winger,Machico,0.0,out,Summer,1999,1999/2000
Ovidiu Lucian Cuc,26,Centre-Forward,Gil Vicente,0.0,out,Summer,1999,1999/2000
Joaquim Rodrigues,29,Left-Back,Operário Lagoa,0.0,out,Summer,1999,1999/2000
Antonio Miranda,33,Attacking Midfield,Retired,0.0,out,Summer,1999,1999/2000
Patacas,21,Right-Back,Sporting CP,0.0,out,Summer,1999,1999/2000
Faysal El Idrissi,22,Attacking Midfield,Exc. Mouscron,0.0,in,Winter,1999,1999/2000
Formoso,25,Left Winger,Boavista,0.0,in,Winter,1999,1999/2000
Renê Rivas,31,Centre-Back,Campomaiorense,0.0,in,Winter,1999,1999/2000
Pedro Martins,29,Defensive Midfield,Boavista,0.0,in,Winter,1999,1999/2000
Ricardo Sousa,20,Attacking Midfield,FC Porto,0.0,in,Winter,1999,1999/2000
Clayton,24,Left Winger,FC Porto,0.0,out,Winter,1999,1999/2000
Luis Carlos,31,midfield,Varzim,0.0,out,Winter,1999,1999/2000
Kali,22,Centre-Back,Barreirense,0.0,in,Summer,2001,2001/2002
Toñito,24,Right Midfield,Sporting CP,0.0,in,Summer,2001,2001/2002
Antonio Doncel,34,defence,Unknown,0.0,in,Summer,2001,2001/2002
Paiva,28,Defensive Midfield,Vit. Guimarães,0.0,in,Summer,2001,2001/2002
José Luis Morales,27,attack,Real Jaén CF,0.0,in,Summer,2001,2001/2002
Vítor Vieira,28,Right Winger,Gil Vicente,0.0,in,Summer,2001,2001/2002
Flávio Galvão,23,Attacking Midfield,América-MG,0.0,in,Summer,2001,2001/2002
Mauricio Hanuch,24,Central Midfield,Estudiantes,0.0,in,Summer,2001,2001/2002
Jorge Silva,29,Goalkeeper,Salgueiros,0.0,in,Summer,2001,2001/2002
Sérgio Nunes,26,Centre-Back,Benfica,0.0,in,Summer,2001,2001/2002
Idrissa Keita,24,Right-Back,Real Oviedo,0.0,in,Summer,2001,2001/2002
Telmo,26,Left-Back,Sport Recife,0.0,in,Summer,2001,2001/2002
Ricardo Fernandes,23,Attacking Midfield,Gil Vicente,0.0,out,Summer,2001,2001/2002
