player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nathan Júnior,26,Centre-Forward,SKA-Energia,0.0,in,Summer,2015,2015/2016
Wagner,28,Left Winger,Nacional,0.0,in,Summer,2015,2015/2016
Kaká,34,Centre-Back,APOEL Nicosia,0.0,in,Summer,2015,2015/2016
Markus Berger,30,Centre-Back,Gil Vicente,0.0,in,Summer,2015,2015/2016
Helder Tavares,25,Central Midfield,Otelul Galati,0.0,in,Summer,2015,2015/2016
Jordan Massengo,25,Defensive Midfield,RAEC Mons,0.0,in,Summer,2015,2015/2016
Luis Tinoco,28,Left-Back,Arouca,0.0,in,Summer,2015,2015/2016
Lucas Souza,25,Central Midfield,Parma,0.0,in,Summer,2015,2015/2016
Salva Chamorro,25,attack,Lleida Esportiu,0.0,in,Summer,2015,2015/2016
Raphael Guzzo,20,Central Midfield,Benfica B,0.0,in,Summer,2015,2015/2016
Jhon Murillo,19,Right Winger,Benfica,0.0,in,Summer,2015,2015/2016
Bruno Nascimento,24,Centre-Back,1. FC Köln,0.0,in,Summer,2015,2015/2016
Junior Oto'o,21,Right-Back,Braga B,0.0,in,Summer,2015,2015/2016
Dolly Menga,22,Centre-Forward,SC Braga,0.0,in,Summer,2015,2015/2016
Matt Jones,29,Goalkeeper,Belenenses,0.0,in,Summer,2015,2015/2016
Romário Baldé,18,Left Winger,Benfica B,0.0,in,Summer,2015,2015/2016
Luís Alberto,31,Defensive Midfield,Without Club,0.0,in,Summer,2015,2015/2016
Miguel Batista,19,Goalkeeper,Tondela U19,0.0,in,Summer,2015,2015/2016
João Jaquité,19,Defensive Midfield,Tondela U19,0.0,in,Summer,2015,2015/2016
Adílio Varela,18,Left Winger,Tondela U19,0.0,in,Summer,2015,2015/2016
André Carvalhas,26,Attacking Midfield,Portimonense,0.0,out,Summer,2015,2015/2016
Amar Zildzovic,25,Defensive Midfield,Camacha,0.0,out,Summer,2015,2015/2016
Joel Silva,24,Second Striker,Desportivo Aves,0.0,out,Summer,2015,2015/2016
Jordan Massengo,25,Defensive Midfield,Union SG,0.0,out,Summer,2015,2015/2016
Pedro Mendes,25,Left Winger,Felgueiras,0.0,out,Summer,2015,2015/2016
Deyvison,26,Centre-Back,Marítimo,0.0,out,Summer,2015,2015/2016
