player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Zé Carlos,33,Centre-Forward,APOEL Nicosia,0.0,in,Summer,2008,2008/2009
David Caiado,21,Attacking Midfield,Sporting CP,0.0,in,Summer,2008,2008/2009
Hugo Leal,28,Central Midfield,Belenenses,0.0,in,Summer,2008,2008/2009
Marcelo Lipatín,31,Centre-Forward,Nacional,0.0,in,Summer,2008,2008/2009
Areias,31,Left-Back,Belenenses,0.0,in,Summer,2008,2008/2009
Sidney Moraes,31,Defensive Midfield,Al-Wahda FC,0.0,in,Summer,2008,2008/2009
Delfim,31,Defensive Midfield,Naval,0.0,in,Summer,2008,2008/2009
Tiago Pinto,20,Left-Back,Sporting CP,0.0,in,Summer,2008,2008/2009
Hélder Barbosa,21,Left Winger,FC Porto,0.0,in,Summer,2008,2008/2009
Dino Djiba,22,Defensive Midfield,FC Metz,0.0,in,Summer,2008,2008/2009
Mércio,28,Central Midfield,Desportivo Aves,0.0,in,Summer,2008,2008/2009
Paulinho Teles,24,Right-Back,Vitória Setúbal,0.0,in,Summer,2008,2008/2009
Dino Djiba,22,Defensive Midfield,Gondomar,0.0,in,Summer,2008,2008/2009
Vítor Hugo,22,Right Winger,Fafe,0.0,in,Summer,2008,2008/2009
Idalécio,34,Centre-Back,Gondomar,0.0,in,Summer,2008,2008/2009
Fernando Dinis,25,Left-Back,União Madeira,0.0,in,Summer,2008,2008/2009
Rui Borges,26,Right Winger,Moreirense,0.0,in,Summer,2008,2008/2009
Miguel Ângelo,23,Centre-Back,Portimonense,0.0,in,Summer,2008,2008/2009
Kika,23,Central Midfield,Fafe,0.0,in,Summer,2008,2008/2009
Cascavél,21,Centre-Forward,Moreirense,0.0,in,Summer,2008,2008/2009
Paulo Sousa,27,Defensive Midfield,Unknown,0.0,out,Summer,2008,2008/2009
Maia,27,Right-Back,Cinfães,0.0,out,Summer,2008,2008/2009
Pesca,27,midfield,Montañeros CF,0.0,out,Summer,2008,2008/2009
Idalécio,34,Centre-Back,Louletano,0.0,out,Summer,2008,2008/2009
Sidney Moraes,32,Defensive Midfield,Santo André,0.0,out,Summer,2008,2008/2009
Paulo Sérgio,32,Right Midfield,Ermis Aradippou,0.0,out,Summer,2008,2008/2009
Leonardo,24,defence,Unknown,0.0,out,Summer,2008,2008/2009
Fernando Dinis,26,Left-Back,Beira-Mar,0.0,out,Summer,2008,2008/2009
Vítor Hugo,22,Right Winger,União Madeira,0.0,out,Summer,2008,2008/2009
Rui Borges,27,Right Winger,Moreirense,0.0,out,Summer,2008,2008/2009
Rui Goncalves,27,Central Midfield,Cinfães,0.0,out,Summer,2008,2008/2009
Kika,23,Central Midfield,Freamunde,0.0,out,Summer,2008,2008/2009
Cascavél,21,Centre-Forward,Freamunde,0.0,out,Summer,2008,2008/2009
Gora Tall,23,Centre-Back,Gondomar,0.0,out,Summer,2008,2008/2009
Kazeem,20,Attacking Midfield,SC Braga,0.0,out,Summer,2008,2008/2009
Marcos António,28,Centre-Forward,Boavista,0.0,out,Summer,2008,2008/2009
Nuno Pinto,21,Left-Back,Boavista,0.0,out,Summer,2008,2008/2009
André Barreto,28,Central Midfield,Wisla Kraków,0.0,out,Summer,2008,2008/2009
Cédric Moukouri,28,Centre-Forward,Marítimo,0.0,out,Summer,2008,2008/2009
Theo,30,Centre-Forward,Porto Caruaru,0.0,out,Summer,2008,2008/2009
Fernando Varela,21,Centre-Back,Estoril Praia,0.0,in,Winter,2008,2008/2009
Dagil,29,Centre-Forward,Estoril Praia,0.0,in,Winter,2008,2008/2009
Charles Chad,27,Centre-Forward,Ceará SC,0.0,in,Winter,2008,2008/2009
Moustapha Ouedraogo,20,Defensive Midfield,Stella Club,0.0,in,Winter,2008,2008/2009
Silas,21,Centre-Forward,Vera Cruz-PE,0.0,in,Winter,2008,2008/2009
Zé Carlos,33,Centre-Forward,PAE Veria,0.0,out,Winter,2008,2008/2009
Ricardo Nascimento,34,Attacking Midfield,Desportivo Aves,0.0,out,Winter,2008,2008/2009
Rios,24,Central Midfield,União Madeira,0.0,out,Winter,2008,2008/2009
Silas,21,Centre-Forward,GD Ribeirão,0.0,out,Winter,2008,2008/2009
