player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Djamel Menad,31,Centre-Forward,Famalicão,0.0,in,Summer,1992,1992/1993
Erik Tammer,23,Centre-Forward,Excelsior,0.0,in,Summer,1992,1992/1993
Mauro Soares,23,Defensive Midfield,Unknown,0.0,in,Summer,1992,1992/1993
Armando Sá,16,Right-Back,Belenenses U19,0.0,in,Summer,1992,1992/1993
João Manuel Pinto,19,Centre-Back,Campomaiorense,0.0,in,Summer,1992,1992/1993
Ayan Sadakov,30,Central Midfield,Lok. Plovdiv,0.0,out,Summer,1992,1992/1993
Figueiredo,19,Central Midfield,Tomar,0.0,out,Summer,1992,1992/1993
Paulo Monteiro,28,Central Midfield,Salgueiros,0.0,out,Summer,1992,1992/1993
Nuno Sousa,18,Centre-Forward,Tomar,0.0,out,Summer,1992,1992/1993
Edmundo,28,Centre-Back,CF Estrela,0.0,out,Summer,1992,1992/1993
Erik Tammer,23,Centre-Forward,Heerenveen,0.0,out,Winter,1992,1992/1993
Vítor Manuel,22,Attacking Midfield,Desportivo Aves,0.0,in,Summer,1993,1993/1994
Serge Honi,19,Centre-Forward,Canon Yaoundé,0.0,in,Summer,1993,1993/1994
Dacroce,25,midfield,Beira-Mar,0.0,in,Summer,1993,1993/1994
Zé Rui,28,Centre-Back,Leiria,0.0,in,Summer,1993,1993/1994
Vítor Vieira,20,Right Winger,Penafiel,0.0,in,Summer,1993,1993/1994
Toninho Cruz,24,Defensive Midfield,CA Felgueiras,0.0,in,Summer,1993,1993/1994
Darci,24,Left Winger,Volta Redonda,0.0,in,Summer,1993,1993/1994
David Embé,19,Centre-Forward,RC Bafoussam,0.0,in,Summer,1993,1993/1994
Pinho,21,Goalkeeper,Esposende,0.0,in,Summer,1993,1993/1994
Tito,21,Left-Back,Moreirense,0.0,in,Summer,1993,1993/1994
Clêisson,21,Attacking Midfield,Cruzeiro,0.0,in,Summer,1993,1993/1994
Bruno Silva,17,attack,Belenenses U19,0.0,in,Summer,1993,1993/1994
Rui Gregório,24,Centre-Back,Vitória Setúbal,0.0,out,Summer,1993,1993/1994
Luís Ferreira,20,Goalkeeper,Unknown,0.0,out,Summer,1993,1993/1994
Miroslav Curcic,31,attack,Estoril Praia,0.0,out,Summer,1993,1993/1994
Ádamo,22,Goalkeeper,Nacional,0.0,out,Summer,1993,1993/1994
Paulo Sérgio,25,Centre-Forward,Paços Ferreira,0.0,out,Summer,1993,1993/1994
Aleksandr Eshchenko,23,Left-Back,Rotor Volgograd,0.0,in,Winter,1993,1993/1994
Dacroce,25,midfield,Paços Ferreira,0.0,out,Winter,1993,1993/1994
Djamel Menad,33,Centre-Forward,JS Kabylie,0.0,out,Winter,1993,1993/1994
Darci,25,Left Winger,Volta Redonda,0.0,out,Winter,1993,1993/1994
Ricky,32,Centre-Forward,Boavista,0.0,in,Summer,1994,1994/1995
Miguel Bruno,22,Centre-Forward,Beira-Mar,0.0,in,Summer,1994,1994/1995
Abilio,27,Attacking Midfield,Salgueiros,0.0,in,Summer,1994,1994/1995
Alen Petrovic,24,Centre-Back,NK Osijek,0.0,in,Summer,1994,1994/1995
Darci,25,Left Winger,Volta Redonda,0.0,in,Summer,1994,1994/1995
Tomislav Ivkovic,33,Goalkeeper,Vitória Setúbal,0.0,in,Summer,1994,1994/1995
Álvaro Gregório,21,Left-Back,Paços Ferreira,0.0,in,Summer,1994,1994/1995
Nuno Afonso,19,Centre-Back,Benfica,0.0,in,Summer,1994,1994/1995
Leal,29,Centre-Back,Sporting CP,0.0,in,Summer,1994,1994/1995
Zoran Ban,21,Centre-Forward,Juventus,0.0,in,Summer,1994,1994/1995
M'Jid Bouyboud,27,Right Winger,Wydad AC,0.0,in,Summer,1994,1994/1995
Tulipa,21,Attacking Midfield,Salgueiros,0.0,in,Summer,1994,1994/1995
Dariusz Adamczuk,24,Defensive Midfield,Udinese,0.0,in,Summer,1994,1994/1995
Bino,21,Defensive Midfield,Salgueiros,0.0,in,Summer,1994,1994/1995
Bruno Caires,18,Defensive Midfield,Benfica,0.0,in,Summer,1994,1994/1995
Marco Botelho,18,Goalkeeper,Belenenses U19,0.0,in,Summer,1994,1994/1995
Serge Honi,20,Centre-Forward,Famalicão,0.0,out,Summer,1994,1994/1995
Bruno Silva,18,attack,Campomaiorense,0.0,out,Summer,1994,1994/1995
Gonçalves,26,Left Midfield,CF Estrela,0.0,out,Summer,1994,1994/1995
Aleksandr Eshchenko,24,Left-Back,Rotor Volgograd,0.0,out,Summer,1994,1994/1995
David Embé,20,Centre-Forward,AE Larisa,0.0,out,Summer,1994,1994/1995
José Taira,25,Defensive Midfield,CF Estrela,0.0,out,Summer,1994,1994/1995
Armando Sá,18,Right-Back,Vilafranquense,0.0,out,Summer,1994,1994/1995
Pinho,22,Goalkeeper,Famalicão,0.0,out,Summer,1994,1994/1995
Pedro Espinha,28,Goalkeeper,Salgueiros,0.0,out,Summer,1994,1994/1995
Émerson,22,Defensive Midfield,FC Porto,0.0,out,Summer,1994,1994/1995
Tito,22,Left-Back,Famalicão,0.0,out,Summer,1994,1994/1995
Clêisson,22,Attacking Midfield,Cruzeiro,0.0,out,Summer,1994,1994/1995
Dacroce,26,midfield,Paços Ferreira,0.0,in,Winter,1994,1994/1995
Basaúla Lemba,29,Attacking Midfield,Vit. Guimarães,0.0,in,Winter,1994,1994/1995
Toninho Cruz,25,Defensive Midfield,Rio Ave FC,0.0,out,Winter,1994,1994/1995
Vítor Vieira,21,Right Winger,Paços Ferreira,0.0,out,Winter,1994,1994/1995
Miguel Bruno,23,Centre-Forward,Gil Vicente,0.0,out,Winter,1994,1994/1995
Tulipa,22,Attacking Midfield,Salgueiros,0.0,out,Winter,1994,1994/1995
Miguel Mota,19,midfield,Águeda,0.0,in,Summer,1995,1995/1996
Quim Ferraz,21,Centre-Forward,Lamego,0.0,in,Summer,1995,1995/1996
Raul Oliveira,22,Centre-Back,Amora FC,0.0,in,Summer,1995,1995/1996
Paulo Gomes,25,midfield,Vitória Setúbal,0.0,in,Summer,1995,1995/1996
Pacheco,28,Left Winger,Sporting CP,0.0,in,Summer,1995,1995/1996
Rui Esteves,28,midfield,Benfica,0.0,in,Summer,1995,1995/1996
Calila,23,Right Winger,Coimbra,0.0,in,Summer,1995,1995/1996
Paulo Madeira,24,Centre-Back,Benfica,0.0,in,Summer,1995,1995/1996
Luís Ferreira,22,Goalkeeper,O Elvas,0.0,in,Summer,1995,1995/1996
Chipenda,26,Central Midfield,AC Malveira,0.0,in,Summer,1995,1995/1996
Everton Giovanella,24,Central Midfield,Tirsense,0.0,in,Summer,1995,1995/1996
Youssef Fertout,24,Centre-Forward,Wydad AC,0.0,in,Summer,1995,1995/1996
Fernando Mendes,28,Left-Back,Boavista,0.0,in,Summer,1995,1995/1996
Pedro Barny,28,Centre-Back,Boavista,0.0,in,Summer,1995,1995/1996
Rogério,19,Defensive Midfield,Vianense,0.0,in,Summer,1995,1995/1996
Neves,24,Right-Back,Gil Vicente,0.0,in,Summer,1995,1995/1996
Lito Vidigal,25,Right-Back,Campomaiorense,0.0,in,Summer,1995,1995/1996
César Brito,30,Centre-Forward,Benfica,0.0,in,Summer,1995,1995/1996
José Taira,26,Defensive Midfield,CF Estrela,0.0,in,Summer,1995,1995/1996
Lula,29,Centre-Back,Leiria,0.0,in,Summer,1995,1995/1996
Valente,30,Goalkeeper,Boavista,0.0,in,Summer,1995,1995/1996
Tulipa,22,Attacking Midfield,Salgueiros,0.0,in,Summer,1995,1995/1996
Serge Honi,21,Centre-Forward,Famalicão,0.0,in,Summer,1995,1995/1996
Catanha,23,Centre-Forward,UD Salamanca,480000.0,out,Summer,1995,1995/1996
Nuno Afonso,20,Centre-Back,Campomaiorense,0.0,out,Summer,1995,1995/1996
Vítor Manuel,24,Attacking Midfield,Campomaiorense,0.0,out,Summer,1995,1995/1996
Dariusz Adamczuk,25,Defensive Midfield,Pogon Szczecin,0.0,out,Summer,1995,1995/1996
Serge Honi,21,Centre-Forward,AE Larisa,0.0,out,Summer,1995,1995/1996
Dacroce,27,midfield,Chaves,0.0,out,Summer,1995,1995/1996
Marco Botelho,19,Goalkeeper,Oriental,0.0,out,Summer,1995,1995/1996
Álvaro Gregório,22,Left-Back,Leiria,0.0,out,Summer,1995,1995/1996
Basaúla Lemba,30,Attacking Midfield,Tirsense,0.0,out,Summer,1995,1995/1996
Álvaro Teixeira,31,Right-Back,CA Felgueiras,0.0,out,Summer,1995,1995/1996
Luiz Gustavo,23,attack,Benfica,0.0,out,Summer,1995,1995/1996
Alen Petrovic,25,Centre-Back,Croatia Zagreb,0.0,out,Summer,1995,1995/1996
Abilio,28,Attacking Midfield,Salgueiros,0.0,out,Summer,1995,1995/1996
Zé Rui,30,Centre-Back,Vitória Setúbal,0.0,out,Summer,1995,1995/1996
Zoran Ban,22,Centre-Forward,Boavista,0.0,out,Summer,1995,1995/1996
Bino,22,Defensive Midfield,FC Porto,0.0,out,Summer,1995,1995/1996
João Manuel Pinto,22,Centre-Back,FC Porto,0.0,out,Summer,1995,1995/1996
Diamantino Figueiredo,35,Goalkeeper,Famalicão,0.0,out,Summer,1995,1995/1996
Ricky,33,Centre-Forward,Al-Arabi SC,0.0,out,Summer,1995,1995/1996
Leal,30,Centre-Back,CA Felgueiras,0.0,out,Summer,1995,1995/1996
Bruno Caires,19,Defensive Midfield,Benfica,0.0,out,Summer,1995,1995/1996
Chiquinho Conde,30,Centre-Forward,Sporting CP,0.0,in,Winter,1995,1995/1996
Mauro Airez,27,Centre-Forward,Benfica,0.0,out,Winter,1995,1995/1996
Darci,27,Left Winger,Rochester Rhinos,0.0,out,Winter,1995,1995/1996
Mauro Soares,27,Defensive Midfield,Sporting CP,0.0,out,Winter,1995,1995/1996
Pedro Valido,26,Centre-Back,Tirsense,0.0,in,Summer,1996,1996/1997
Amaral,26,Right Winger,CA Felgueiras,0.0,in,Summer,1996,1996/1997
António Caetano,29,Left-Back,Boavista,0.0,in,Summer,1996,1996/1997
Filgueira,29,Centre-Back,Marítimo,0.0,in,Summer,1996,1996/1997
Paulo Fonseca,23,Centre-Back,Leça,0.0,in,Summer,1996,1996/1997
Silvino Morais,30,Goalkeeper,Vitória Setúbal,0.0,in,Summer,1996,1996/1997
Emerson Almeida,23,midfield,Vit. Guimarães,0.0,in,Summer,1996,1996/1997
Marco Silva,18,Right-Back,Belenenses U19,0.0,in,Summer,1996,1996/1997
Paulo Gomes,26,midfield,FC Sochaux,0.0,out,Summer,1996,1996/1997
Raul Oliveira,23,Centre-Back,Farense,0.0,out,Summer,1996,1996/1997
Everton Giovanella,25,Central Midfield,UD Salamanca,0.0,out,Summer,1996,1996/1997
Chiquinho Conde,30,Centre-Forward,Vitória Setúbal,0.0,out,Summer,1996,1996/1997
Pacheco,29,Left Winger,Reggiana,0.0,out,Summer,1996,1996/1997
Tomislav Ivkovic,35,Goalkeeper,Benfica,0.0,out,Summer,1996,1996/1997
Chipenda,27,Central Midfield,Vitória Setúbal,0.0,out,Summer,1996,1996/1997
Miguel Mota,20,midfield,Desportivo Aves,0.0,out,Summer,1996,1996/1997
Lula,30,Centre-Back,FC Porto,0.0,out,Summer,1996,1996/1997
José Taira,27,Defensive Midfield,UD Salamanca,0.0,out,Summer,1996,1996/1997
Fernando Mendes,29,Left-Back,FC Porto,0.0,out,Summer,1996,1996/1997
Quim Ferraz,22,Centre-Forward,Paços Ferreira,0.0,out,Summer,1996,1996/1997
Neves,25,Right-Back,Marítimo,0.0,out,Summer,1996,1996/1997
Tulipa,23,Attacking Midfield,Boavista,0.0,out,Summer,1996,1996/1997
César Brito,31,Centre-Forward,UD Salamanca,0.0,out,Summer,1996,1996/1997
Andrade,23,Defensive Midfield,Sporting CP,0.0,in,Winter,1996,1996/1997
João Paulo Brito,23,Right Winger,Louletano,0.0,in,Summer,1997,1997/1998
Diyan Petkov,29,midfield,Lok. Sofia,0.0,in,Summer,1997,1997/1998
Marco Botelho,21,Goalkeeper,Santa Clara,0.0,in,Summer,1997,1997/1998
Joseph Addo,25,Centre-Back,FSV Frankfurt,0.0,in,Summer,1997,1997/1998
Gerson,22,Centre-Back,Académico Viseu,0.0,in,Summer,1997,1997/1998
Abdoul Salam Sow,26,Right Winger,Chunnam Dragons,0.0,in,Summer,1997,1997/1998
Quim Ferraz,23,Centre-Forward,Paços Ferreira,0.0,in,Summer,1997,1997/1998
Jojó,26,Central Midfield,Penafiel,0.0,in,Summer,1997,1997/1998
Gocha Kokoshvili,28,Centre-Back,Olhanense,0.0,in,Summer,1997,1997/1998
Nené,20,Left-Back,Leixões,0.0,in,Summer,1997,1997/1998
Franklin,18,Defensive Midfield,Belenenses U19,0.0,in,Summer,1997,1997/1998
Paulo Dias,19,Defensive Midfield,Belenenses U19,0.0,in,Summer,1997,1997/1998
Ricardo Aires,18,Centre-Back,Belenenses U19,0.0,in,Summer,1997,1997/1998
Neca,17,Attacking Midfield,Belenenses U19,0.0,in,Summer,1997,1997/1998
Pedro Alves,18,Goalkeeper,Belenenses U19,0.0,in,Summer,1997,1997/1998
Paulo Madeira,26,Centre-Back,Benfica,200000.0,out,Summer,1997,1997/1998
Pedro Valido,27,Centre-Back,CA Felgueiras,0.0,out,Summer,1997,1997/1998
Amaral,27,Right Winger,Vitória Setúbal,0.0,out,Summer,1997,1997/1998
Rui Esteves,30,midfield,Pusan Daewoo,0.0,out,Summer,1997,1997/1998
Calila,25,Right Winger,CA Felgueiras,0.0,out,Summer,1997,1997/1998
Silvino Morais,31,Goalkeeper,União Lamas,0.0,out,Summer,1997,1997/1998
Marco Silva,19,Right-Back,Atlético CP,0.0,out,Summer,1997,1997/1998
Rogério,21,Defensive Midfield,UD Salamanca,0.0,out,Summer,1997,1997/1998
Paulo Fonseca,24,Centre-Back,Marítimo,0.0,out,Summer,1997,1997/1998
Emerson Almeida,24,midfield,Retired,0.0,out,Summer,1997,1997/1998
Perdigão,20,Defensive Midfield,Atlético-PR,0.0,in,Winter,1997,1997/1998
Diyan Petkov,30,midfield,Lok. Sofia,0.0,out,Winter,1997,1997/1998
Nené,21,Left-Back,Portimonense,0.0,out,Winter,1997,1997/1998
Quim Ferraz,23,Centre-Forward,Gil Vicente,0.0,out,Winter,1997,1997/1998
Wilson,30,Centre-Back,Gil Vicente,0.0,in,Summer,1999,1999/2000
José Carlos,32,Right-Back,Vit. Guimarães,0.0,in,Summer,1999,1999/2000
Nilson,26,Centre-Back,Madureira-RJ,0.0,in,Summer,1999,1999/2000
Rui Pataca,26,Centre-Forward,CA Felgueiras,0.0,in,Summer,1999,1999/2000
Jesús Seba,25,Second Striker,Chaves,0.0,in,Summer,1999,1999/2000
Haruna Doda,24,attack,Enugu Rangers,0.0,in,Summer,1999,1999/2000
Fajardo,20,Attacking Midfield,Pescadores,0.0,in,Summer,1999,1999/2000
