player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Predrag Jokanovic,24,Centre-Back,OFK Kikinda,0.0,in,Summer,1993,1993/1994
António Caldas,34,Goalkeeper,Leixões,0.0,in,Summer,1993,1993/1994
Germano,27,Centre-Back,Vit. Guimarães,0.0,in,Summer,1993,1993/1994
Paulo Jorge,30,Right Winger,Vit. Guimarães,0.0,in,Summer,1993,1993/1994
Rodrigão,21,Defensive Midfield,Botafogo,0.0,in,Summer,1993,1993/1994
Sasa Simic,25,Attacking Midfield,Borac Cacak,0.0,in,Summer,1994,1994/1995
Nenad Markicevic,26,midfield,Unknown,0.0,in,Summer,1994,1994/1995
Agrela,19,Right-Back,U. Madeira U19,0.0,in,Summer,1994,1994/1995
Marco Aurelio,27,Centre-Back,Sporting CP,0.0,out,Summer,1994,1994/1995
António Caldas,35,Goalkeeper,Leça,0.0,out,Winter,1994,1994/1995
Amilton,25,Right Winger,Varzim,0.0,in,Summer,2015,2015/2016
Nilson,27,Left-Back,Doxa Katokopias,0.0,in,Summer,2015,2015/2016
Paulinho,23,Right-Back,Moreirense,0.0,in,Summer,2015,2015/2016
Erick Iragua,19,Attacking Midfield,Bolívar U20,0.0,in,Summer,2015,2015/2016
Danilo Dias,29,Left Winger,Qarabag FK,0.0,in,Summer,2015,2015/2016
Diego Galo,31,Centre-Back,Arouca,0.0,in,Summer,2015,2015/2016
Diogo Coelho,22,Left-Back,Braga B,0.0,in,Summer,2015,2015/2016
Breitner,25,Attacking Midfield,Mineros,0.0,in,Summer,2015,2015/2016
Tiago Ferreira,21,Centre-Back,Zulte Waregem,0.0,in,Summer,2015,2015/2016
Abdullahi Shehu,22,Right-Back,Qadsia SC,0.0,in,Summer,2015,2015/2016
André Moreira,19,Goalkeeper,Atlético Madrid,0.0,in,Summer,2015,2015/2016
Joãozinho,26,Left-Back,SC Braga,0.0,in,Summer,2015,2015/2016
Fabiano Oliveira,29,Centre-Forward,Tigres,0.0,in,Summer,2015,2015/2016
Paulo Monteiro,30,Centre-Back,Concordia,0.0,in,Summer,2015,2015/2016
Gian Martins,22,Defensive Midfield,Sanjoanense,0.0,in,Summer,2015,2015/2016
Otávio Silva,24,Centre-Back,Khaitan SC,0.0,in,Summer,2015,2015/2016
Gonzalo Bueno,22,Left Winger,Kuban Krasnodar,0.0,in,Summer,2015,2015/2016
Jhonder Cádiz,19,Centre-Forward,Caracas FC,0.0,in,Summer,2015,2015/2016
Edder Farías,27,Centre-Forward,Caracas FC,0.0,in,Summer,2015,2015/2016
Renny Vega,36,Goalkeeper,Career break,0.0,in,Summer,2015,2015/2016
Oleksiy Shlyakotin,25,Goalkeeper,Without Club,0.0,in,Summer,2015,2015/2016
Stéphane Dasse,25,Left-Back,Chaves,0.0,out,Summer,2015,2015/2016
Christo Amessan,24,Left Winger,Famalicão,0.0,out,Summer,2015,2015/2016
Roberto da Silva,32,Centre-Back,Santa Clara,0.0,out,Summer,2015,2015/2016
Zé Luis,26,Defensive Midfield,LD Maputo,0.0,out,Summer,2015,2015/2016
Pedro Trigueira,27,Goalkeeper,Coimbra,0.0,out,Summer,2015,2015/2016
Diogo Coelho,23,Left-Back,Farense,0.0,out,Summer,2015,2015/2016
Talles Henrique,26,Right Winger,SC Sagamihara,0.0,out,Summer,2015,2015/2016
Naftal,20,midfield,LD Maputo,0.0,out,Summer,2015,2015/2016
Édson Almeida,21,Centre-Back,LD Maputo,0.0,out,Summer,2015,2015/2016
Jaime Simões,26,Centre-Back,Apol. Limassol,0.0,out,Summer,2015,2015/2016
Ayrton Victor,21,Attacking Midfield,Without Club,0.0,out,Summer,2015,2015/2016
Chico Gomes,27,Right-Back,Without Club,0.0,out,Summer,2015,2015/2016
Otávio Silva,24,Centre-Back,Without Club,0.0,out,Summer,2015,2015/2016
Oleksiy Shlyakotin,25,Goalkeeper,Without Club,0.0,out,Summer,2015,2015/2016
Barnes Osei,20,Right Winger,Paços Ferreira,0.0,out,Summer,2015,2015/2016
Jimmy,20,Defensive Midfield,Coimbra,0.0,out,Summer,2015,2015/2016
Diogo Coelho,22,Left-Back,Braga B,0.0,out,Summer,2015,2015/2016
Frédéric Mendy,26,Centre-Forward,Estoril Praia,0.0,out,Summer,2015,2015/2016
Genséric Kusunga,27,Centre-Back,Without Club,0.0,in,Winter,2015,2015/2016
Rúben Lima,26,Left-Back,Din. Zagreb II,0.0,in,Winter,2015,2015/2016
Marco Túlio,23,Defensive Midfield,Anápolis-GO,0.0,in,Winter,2015,2015/2016
Miguel Cardoso,21,Right Winger,Deportivo B,0.0,in,Winter,2015,2015/2016
Raúl Gudiño,19,Goalkeeper,FC Porto B,0.0,in,Winter,2015,2015/2016
Toni Silva,22,Right Winger,Without Club,0.0,in,Winter,2015,2015/2016
Kheireddine Zarabi,31,Centre-Back,Nîmes Olympique,0.0,out,Winter,2015,2015/2016
Diogo Firmino,19,Attacking Midfield,Praiense,0.0,out,Winter,2015,2015/2016
Erick Iragua,19,Attacking Midfield,Without Club,0.0,out,Winter,2015,2015/2016
Renny Vega,36,Goalkeeper,Without Club,0.0,out,Winter,2015,2015/2016
Filipe Chaby,21,Attacking Midfield,Sporting B,0.0,out,Winter,2015,2015/2016
Gonzalo Bueno,22,Left Winger,Kuban Krasnodar,0.0,out,Winter,2015,2015/2016
