player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Kuni,24,Attacking Midfield,Jeonbuk Hyundai,0.0,in,Summer,2022,2022/2023
Rafael Martins,33,Centre-Forward,Moreirense,0.0,in,Summer,2022,2022/2023
Clayton,23,Centre-Forward,Vila Nova FC,0.0,in,Summer,2022,2022/2023
Eduardo Fereira,21,Right-Back,Caracas FC,0.0,in,Summer,2022,2022/2023
João Nunes,26,Centre-Back,Puskás AFC,0.0,in,Summer,2022,2022/2023
Yan Eteki,24,Central Midfield,Granada CF,0.0,in,Summer,2022,2022/2023
Diogo Pinto,23,Attacking Midfield,CF Estrela,0.0,in,Summer,2022,2022/2023
Anderson,23,Right Winger,Tsarsko Selo,0.0,in,Summer,2022,2022/2023
Fernando Varela,34,Centre-Back,PAOK Salonika,0.0,in,Summer,2022,2022/2023
Léo Bolgado,23,Centre-Back,Coimbra-MG,0.0,in,Summer,2022,2022/2023
Lucas Soares,24,Right-Back,Guimarães B,0.0,in,Summer,2022,2022/2023
Isaac Monteiro,18,Centre-Back,Belenenses U19,0.0,in,Summer,2022,2022/2023
Romário Baró,22,Central Midfield,FC Porto,0.0,in,Summer,2022,2022/2023
Léo Natel,25,Left Winger,Corinthians,0.0,in,Summer,2022,2022/2023
Duplexe Tchamba,24,Centre-Back,SönderjyskE,0.0,in,Summer,2022,2022/2023
Ricardo Fernandes,19,Left-Back,Real SC,0.0,in,Summer,2022,2022/2023
Rogério Fernandes,19,Right-Back,Praiense,0.0,in,Summer,2022,2022/2023
Camilo Triana,25,Centre-Forward,SC Covilhã,0.0,in,Summer,2022,2022/2023
Jota Silva,22,Left Winger,Vit. Guimarães,190000.0,out,Summer,2022,2022/2023
Zidane Banjaqui,23,Attacking Midfield,Mafra,0.0,out,Summer,2022,2022/2023
Kelechi John,23,Centre-Back,Central Coast,0.0,out,Summer,2022,2022/2023
Camilo Triana,25,Centre-Forward,Vitória Setúbal,0.0,out,Summer,2022,2022/2023
Zach Muscat,28,Centre-Back,Farense,0.0,out,Summer,2022,2022/2023
João Vieira,30,Centre-Forward,Torreense,0.0,out,Summer,2022,2022/2023
Ricardo Fernandes,19,Left-Back,Estoril U23,0.0,out,Summer,2022,2022/2023
Lucas Silva,22,Left Winger,Mafra,0.0,out,Summer,2022,2022/2023
Hebert,31,Centre-Back,Without Club,0.0,out,Summer,2022,2022/2023
Rodrigo Galo,35,Right-Back,Without Club,0.0,out,Summer,2022,2022/2023
Kleis Bozhanaj,21,Attacking Midfield,Spezia Calcio,0.0,out,Summer,2022,2022/2023
Leandro Sanca,22,Right Winger,Spezia Calcio,0.0,out,Summer,2022,2022/2023
Lucas Soares,24,Right-Back,Guimarães B,0.0,out,Summer,2022,2022/2023
Felippe Cardoso,24,Centre-Forward,Santos FC,0.0,in,Winter,2022,2022/2023
Beni,20,Central Midfield,Trofense,0.0,in,Winter,2022,2022/2023
Kiki,24,Right Winger,Leixões,0.0,in,Winter,2022,2022/2023
Yuki Soma,25,Left Winger,Nagoya Grampus,0.0,in,Winter,2022,2022/2023
Carnejy Antoine,31,Centre-Forward,Hapoel Haifa,0.0,out,Winter,2022,2022/2023
Anderson Cordeiro,24,Left Winger,A. Keciörengücü,0.0,out,Winter,2022,2022/2023
Vitó,25,Central Midfield,CF Estrela,0.0,out,Winter,2022,2022/2023
Yan Eteki,25,Defensive Midfield,FC Cartagena,0.0,out,Winter,2022,2022/2023
Nuno Borges,34,Defensive Midfield,Without Club,0.0,out,Winter,2022,2022/2023
