player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nílton,21,Central Midfield,Boavista,0.0,in,Summer,2000,2000/2001
Camberra,29,Central Midfield,Freamunde,0.0,in,Summer,2000,2000/2001
Jorge Vinagre,25,Left-Back,Chaves,0.0,in,Summer,2000,2000/2001
Abilio,33,Attacking Midfield,Campomaiorense,0.0,in,Summer,2000,2000/2001
Tó Luis,32,Goalkeeper,Rio Ave FC,0.0,in,Summer,2000,2000/2001
Ádamo,29,Goalkeeper,Moreirense,0.0,in,Summer,2000,2000/2001
Nuno Afonso,25,Centre-Back,Marítimo,0.0,in,Summer,2000,2000/2001
Quinzinho,26,Centre-Forward,Rayo Vallecano,0.0,in,Summer,2000,2000/2001
Michel Pensée,27,Centre-Back,Seongnam Ilhwa,0.0,in,Summer,2000,2000/2001
José Soares,24,Centre-Back,Campomaiorense,0.0,in,Summer,2000,2000/2001
Rui Lima,22,Attacking Midfield,Boavista,0.0,in,Summer,2000,2000/2001
Roudolphe Douala,21,Left Winger,Boavista,0.0,in,Summer,2000,2000/2001
Nuno Gomes,20,Centre-Back,Gondomar,0.0,out,Summer,2000,2000/2001
Rui Faria,19,Goalkeeper,GD Serzedelo,0.0,out,Summer,2000,2000/2001
Cândido Rego,29,Goalkeeper,Vit. Guimarães,0.0,out,Summer,2000,2000/2001
Rogerinho,26,Left Winger,Vitória Setúbal,0.0,out,Summer,2000,2000/2001
Nenad Divac,31,Right-Back,Sloboda Uzice,0.0,out,Summer,2000,2000/2001
Quim Machado,33,midfield,Tirsense,0.0,out,Summer,2000,2000/2001
Ermin Rakovic,22,Right Winger,NK Olimpija,0.0,out,Summer,2000,2000/2001
Jean Paulista,22,Second Striker,Farense,0.0,out,Summer,2000,2000/2001
Paulo Alexandre,30,Centre-Back,Chaves,0.0,out,Summer,2000,2000/2001
João Paulo,19,Centre-Forward,Boavista,0.0,out,Summer,2000,2000/2001
Josivan,21,attack,FC Porto B,0.0,in,Winter,2000,2000/2001
Josivan,21,attack,FC Porto B,0.0,out,Winter,2000,2000/2001
Dill,32,Right Winger,Penafiel,150000.0,in,Summer,2006,2006/2007
Bruninho,20,Right Winger,Casa Pia,0.0,in,Summer,2006,2006/2007
