player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Artur Jorge,21,Centre-Forward,Varzim,0.0,in,Summer,1992,1992/1993
Zé Nando,23,Left-Back,Gil Vicente,0.0,in,Summer,1992,1992/1993
Thierry Pauk,26,defence,FC Metz,0.0,in,Summer,1992,1992/1993
Marito,24,Right Midfield,Chaves,0.0,in,Summer,1992,1992/1993
Jorginho,30,Centre-Back,Sporting CP,0.0,in,Summer,1992,1992/1993
Celestino da Silva,27,Centre-Back,Varzim,0.0,in,Summer,1992,1992/1993
Petar Mihtarski,25,Centre-Forward,FC Porto,0.0,in,Summer,1992,1992/1993
Careca,23,Attacking Midfield,Sporting CP,0.0,in,Summer,1992,1992/1993
Secretário,22,Right-Back,SC Braga,0.0,out,Summer,1992,1992/1993
Djamel Menad,31,Centre-Forward,Belenenses,0.0,out,Summer,1992,1992/1993
Amarildo,27,attack,CD Logroñés,0.0,out,Summer,1992,1992/1993
Dane Kuprešanin,25,Attacking Midfield,Vit. Guimarães,0.0,out,Summer,1992,1992/1993
Marquinhos,28,midfield,Beira-Mar,0.0,out,Summer,1992,1992/1993
Chico Faria,27,Centre-Forward,Espinho,0.0,out,Summer,1992,1992/1993
Tanta,27,defence,Vit. Guimarães,0.0,out,Summer,1992,1992/1993
Porfírio Amorim,31,Centre-Back,Retired,0.0,out,Summer,1992,1992/1993
Careca,24,Attacking Midfield,Sporting CP,0.0,out,Winter,1992,1992/1993
Tiago,17,Defensive Midfield,Trofense,0.0,in,Summer,1993,1993/1994
Goran Milanko,24,Central Midfield,Cádiz CF,0.0,in,Summer,1993,1993/1994
Silvino Morais,27,Goalkeeper,Espinho,0.0,in,Summer,1993,1993/1994
Morgado,23,Left-Back,FC Porto B,0.0,in,Summer,1993,1993/1994
Amarildo,28,attack,CD Logroñés,0.0,in,Summer,1993,1993/1994
Nando,30,defence,Gil Vicente,0.0,in,Summer,1993,1993/1994
Leomir,31,midfield,Santa Cruz,0.0,in,Summer,1993,1993/1994
Tó Ferreira,21,Goalkeeper,Amora FC,0.0,out,Summer,1993,1993/1994
Artur Jorge,22,Centre-Forward,Vit. Guimarães,0.0,out,Summer,1993,1993/1994
Zé Nando,24,Left-Back,Penafiel,0.0,out,Summer,1993,1993/1994
Thierry Pauk,27,defence,LB Châteauroux,0.0,out,Summer,1993,1993/1994
Petar Mihtarski,27,Centre-Forward,FC Porto,0.0,out,Summer,1993,1993/1994
Leomir,31,midfield,Retired,0.0,out,Winter,1993,1993/1994
Pedro Gonçalves,21,Left Winger,Wolves U23,1300000.0,in,Summer,2019,2019/2020
Thibang Phete,25,Defensive Midfield,Guimarães B,0.0,in,Summer,2019,2019/2020
Rúben Lameiras,24,Right Winger,Plymouth,0.0,in,Summer,2019,2019/2020
Gustavo Assunção,19,Defensive Midfield,Atl. Madrid U19,0.0,in,Summer,2019,2019/2020
Toni Martínez,22,Centre-Forward,West Ham U23,0.0,in,Summer,2019,2019/2020
Lionn,30,Right-Back,Chaves,0.0,in,Summer,2019,2019/2020
Patrick William,22,Centre-Back,Ceará SC,0.0,in,Summer,2019,2019/2020
Lawrence Ofori,21,Central Midfield,Leixões,0.0,in,Summer,2019,2019/2020
Guga,21,Attacking Midfield,Benfica B,0.0,in,Summer,2019,2019/2020
Riccieli,20,Centre-Back,Mirassol-SP,0.0,in,Summer,2019,2019/2020
Uroš Račić,21,Defensive Midfield,Valencia,0.0,in,Summer,2019,2019/2020
Nicolás Schiappacasse,20,Left Winger,Atl. Madrid B,0.0,in,Summer,2019,2019/2020
Josh Tymon,20,Left-Back,Stoke City,0.0,in,Summer,2019,2019/2020
Vaná Alves,28,Goalkeeper,FC Porto,0.0,in,Summer,2019,2019/2020
Roderick Miranda,28,Centre-Back,Wolves,0.0,in,Summer,2019,2019/2020
Nehuén Pérez,19,Centre-Back,Atlético Madrid,0.0,in,Summer,2019,2019/2020
Vitor,20,Goalkeeper,Figueirense FC,0.0,in,Summer,2019,2019/2020
Álex Centelles,19,Left-Back,Valencia,0.0,in,Summer,2019,2019/2020
Diogo Gonçalves,22,Right Midfield,Benfica,0.0,in,Summer,2019,2019/2020
Fábio Martins,25,Left Winger,SC Braga,0.0,in,Summer,2019,2019/2020
Thibang Phete,26,Defensive Midfield,B SAD,0.0,in,Summer,2019,2019/2020
Nuno Afonso,20,midfield,Oliveirense,0.0,in,Summer,2019,2019/2020
José Amorim,20,Right-Back,Caçadores,0.0,in,Summer,2019,2019/2020
Júnior Franco,24,Defensive Midfield,Fafe,0.0,in,Summer,2019,2019/2020
Pedrinho,21,Left Winger,Oliveirense,0.0,in,Summer,2019,2019/2020
Jorge Pereira,21,Defensive Midfield,Oliveirense,0.0,in,Summer,2019,2019/2020
Filipe Garcia,19,Left-Back,Louletano,0.0,in,Summer,2019,2019/2020
Nuno Castro,24,Goalkeeper,Mirandês,0.0,in,Summer,2019,2019/2020
Júnior Franco,24,Defensive Midfield,Mafra,0.0,out,Summer,2019,2019/2020
Ângelo Meneses,25,Centre-Back,Ararat-Armenia,0.0,out,Summer,2019,2019/2020
Deni Hočko,25,Central Midfield,Mouscron,0.0,out,Summer,2019,2019/2020
Pedrinho,21,Left Winger,Anadia FC,0.0,out,Summer,2019,2019/2020
Joel Monteiro,28,Right-Back,Casa Pia,0.0,out,Summer,2019,2019/2020
Nuno Afonso,20,midfield,AD Ninense,0.0,out,Summer,2019,2019/2020
Filipe Garcia,19,Left-Back,Louletano,0.0,out,Summer,2019,2019/2020
Nuno Castro,24,Goalkeeper,Salgueiros,0.0,out,Summer,2019,2019/2020
Ricardo Fernandes,24,Goalkeeper,Académico Viseu,0.0,out,Summer,2019,2019/2020
Fabinho,24,Central Midfield,Oliveirense,0.0,out,Summer,2019,2019/2020
Filipe Oliveira,25,Central Midfield,Vilafranquense,0.0,out,Summer,2019,2019/2020
Capela,33,Defensive Midfield,Penafiel,0.0,out,Summer,2019,2019/2020
Feliz,30,Right Winger,Feirense,0.0,out,Summer,2019,2019/2020
Ricardo Silva,38,Centre-Back,Feirense,0.0,out,Summer,2019,2019/2020
Fabrício Simões,34,Centre-Forward,Farense,0.0,out,Summer,2019,2019/2020
Jorge Miguel,28,Left-Back,Académico Viseu,0.0,out,Summer,2019,2019/2020
Luís Rocha,32,Centre-Back,Farense,0.0,out,Summer,2019,2019/2020
Hugo Gomes,24,Centre-Back,Varzim,0.0,out,Summer,2019,2019/2020
Gabriel Souza,22,Goalkeeper,Famalicão U23,0.0,out,Summer,2019,2019/2020
José Amorim,20,Right-Back,Without Club,0.0,out,Summer,2019,2019/2020
