player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Tulipa,19,Attacking Midfield,Rio Ave FC,0.0,in,Summer,1992,1992/1993
Luís Sobrinho,31,Centre-Back,Vitória Setúbal,0.0,in,Summer,1992,1992/1993
Carlos Pinto,19,Attacking Midfield,Rebordosa AC,0.0,in,Summer,1992,1992/1993
Melo,29,midfield,Vit. Guimarães,0.0,in,Summer,1992,1992/1993
Antonio Miranda,26,Attacking Midfield,Beira-Mar,0.0,in,Summer,1992,1992/1993
Valtinho,25,Defensive Midfield,Penafiel,0.0,in,Summer,1992,1992/1993
Carlos Padrão,32,Goalkeeper,FC Porto,0.0,in,Summer,1992,1992/1993
Miguel Bruno,20,Centre-Forward,Feirense,0.0,in,Summer,1992,1992/1993
António Caldas,33,Goalkeeper,Leixões,0.0,out,Summer,1992,1992/1993
Nikola Spasov,33,attack,Rio Ave FC,0.0,out,Summer,1992,1992/1993
Marc Pascal,30,Centre-Forward,Retired,0.0,out,Summer,1992,1992/1993
Riva,22,Left Winger,Valeriodoce-MG,0.0,in,Summer,1993,1993/1994
Riva,22,Left Winger,Valeriodoce-MG,0.0,in,Summer,1993,1993/1994
Helcinho,23,Attacking Midfield,Beira-Mar,0.0,in,Summer,1993,1993/1994
Vlado Bozinoski,29,Central Midfield,Ipswich,0.0,in,Summer,1993,1993/1994
Álvaro Gregório,20,Left-Back,Salgueiros,0.0,in,Summer,1993,1993/1994
Kiki,31,Attacking Midfield,SC Braga,0.0,in,Summer,1993,1993/1994
Paulo Sérgio,25,Centre-Forward,Belenenses,0.0,in,Summer,1993,1993/1994
Carlos Carneiro,19,Centre-Forward,Paços F. U19,0.0,in,Summer,1993,1993/1994
Pedro Correia,18,Goalkeeper,Paços F. U19,0.0,in,Summer,1993,1993/1994
Miguel Bruno,21,Centre-Forward,Beira-Mar,0.0,out,Summer,1993,1993/1994
Valtinho,26,Defensive Midfield,Unknown,0.0,out,Summer,1993,1993/1994
Antonio Miranda,27,Attacking Midfield,Espinho,0.0,out,Summer,1993,1993/1994
Barriga,29,Left-Back,Leixões,0.0,out,Summer,1993,1993/1994
Luís Sobrinho,32,Centre-Back,Felgueiras-2015,0.0,out,Summer,1993,1993/1994
Jaime Pacheco,35,Central Midfield,SC Braga,0.0,out,Summer,1993,1993/1994
Tulipa,20,Attacking Midfield,Salgueiros,0.0,out,Summer,1993,1993/1994
Dacroce,25,midfield,Belenenses,0.0,in,Winter,1993,1993/1994
Beto,23,Central Midfield,Sport Recife,1000000.0,in,Summer,2000,2000/2001
Glauber,25,midfield,Sport Recife,0.0,in,Summer,2000,2000/2001
Gaspar,25,Centre-Back,Alverca,0.0,in,Summer,2000,2000/2001
Pinho,28,Goalkeeper,Freamunde,0.0,in,Summer,2000,2000/2001
Formoso,26,Left Winger,Santa Clara,0.0,in,Summer,2000,2000/2001
Zé Nando,24,Left-Back,Gil Vicente,0.0,in,Summer,2000,2000/2001
Leonardo,31,Centre-Forward,ABC FC,0.0,in,Summer,2000,2000/2001
Alfredo Bóia,24,Centre-Back,Leiria,0.0,in,Summer,2000,2000/2001
Everaldo,26,Left Winger,CSA,0.0,in,Summer,2000,2000/2001
Nélson,23,midfield,Rebordosa AC,0.0,in,Summer,2000,2000/2001
Mário Sérgio,18,Right-Back,Paços F. U19,0.0,in,Summer,2000,2000/2001
Cadú,18,Centre-Back,Paços F. U19,0.0,in,Summer,2000,2000/2001
Miguel Reisinho,25,Right Winger,FC Marco,0.0,out,Summer,2000,2000/2001
Cadú,18,Centre-Back,Aliados Lordelo,0.0,out,Summer,2000,2000/2001
Rui Miguel,25,Centre-Forward,Vitória Setúbal,0.0,out,Summer,2000,2000/2001
Gabriel Alejandro Gervino,35,Central Midfield,Olhanense,0.0,out,Summer,2000,2000/2001
Lula,34,Centre-Back,SC Quanxing,0.0,out,Summer,2000,2000/2001
Paulo Vida,29,Centre-Forward,Campomaiorense,0.0,out,Winter,2000,2000/2001
Mauro,27,Left Winger,Penafiel,0.0,in,Summer,2001,2001/2002
Miguel  Xavier,23,Central Midfield,CD Fátima,0.0,in,Summer,2001,2001/2002
Vitinha,25,Left-Back,FC Marco,0.0,in,Summer,2001,2001/2002
Paulo Sousa,26,Defensive Midfield,Penafiel,0.0,in,Summer,2001,2001/2002
Júlio César,21,Centre-Forward,Campinense-PB,0.0,in,Summer,2001,2001/2002
Filó,29,Centre-Back,Penafiel,0.0,in,Summer,2001,2001/2002
Rui Mendes,22,Central Midfield,Naval,0.0,in,Summer,2001,2001/2002
Jurandir,22,Centre-Forward,Botafogo,0.0,in,Summer,2001,2001/2002
Pedrinha,23,Central Midfield,Penafiel,0.0,in,Summer,2001,2001/2002
Cadú,19,Centre-Back,Aliados Lordelo,0.0,in,Summer,2001,2001/2002
Glauber,26,midfield,Boavista,0.0,out,Summer,2001,2001/2002
Nélson,24,midfield,Lixa,0.0,out,Summer,2001,2001/2002
Formoso,27,Left Winger,Ovarense,0.0,out,Summer,2001,2001/2002
Cadú,19,Centre-Back,Gondomar,0.0,out,Summer,2001,2001/2002
Marco Paulo,28,Central Midfield,Belenenses,0.0,out,Summer,2001,2001/2002
Gaspar,26,Centre-Back,Alverca,0.0,out,Summer,2001,2001/2002
Rafael,27,Attacking Midfield,FC Porto,0.0,out,Summer,2001,2001/2002
Alfredo Bóia,25,Centre-Back,Nacional,0.0,out,Summer,2001,2001/2002
Filipe Gouveia,28,Left Midfield,Boavista,0.0,in,Winter,2001,2001/2002
Leo Oliveira,25,midfield,Penafiel,0.0,out,Winter,2001,2001/2002
Renato Queirós,24,Right Winger,Sanjoanense,0.0,in,Summer,2002,2002/2003
Júnior,25,Attacking Midfield,Unknown,0.0,in,Summer,2002,2002/2003
Fernando Baptista,31,Goalkeeper,Leiria,0.0,in,Summer,2002,2002/2003
